ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TEMP_2,TIME,VOICE
3.7684734,-8.414422,-2.906561,0.031673774,-0.105134405,-0.11493351,3.11,30.8,3.8910267,-8.438214,-3.1350574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-23 16:33:59,-17.550274515365057
4.0078936,-8.611943,-2.2158337,0.027446805,-0.046575226,-0.081954256,3.11,30.8,4.0171714,-8.663119,-2.2322938,-0.009277532,0.05117606,0.016460137,-0.7024222,-0.34700808,0.015313521,0.0,2016-11-23 16:34:00,60.57704926216438
4.286818,-8.497022,-2.4372973,0.013610085,0.008807872,-0.0063359267,3.11,30.8,4.247463,-8.546851,-2.2541409,0.03935469,0.049829323,-0.18315643,-0.700651,-0.35215986,0.0028019408,0.0,2016-11-23 16:34:01,72.42841575474355
4.2413282,-8.365341,-2.256535,-0.07160841,0.052481584,0.017096695,3.11,30.9,4.275296,-8.492982,-2.4004865,-0.033967737,0.12764087,0.14395137,-0.70801663,-0.34799522,-0.0058645746,0.0,2016-11-23 16:34:02,76.14121564046663
4.0186677,-8.356961,-3.0346506,-0.028995965,0.0013472931,0.0107027115,3.11,30.9,4.093187,-8.395418,-2.9888616,-0.07451953,0.038456865,-0.045789108,-0.7347576,-0.33543065,-0.014969309,0.0,2016-11-23 16:34:03,71.4355362810125
4.1419687,-8.197746,-2.9101522,-0.009818808,0.0066712187,0.0064384583,3.11,30.9,4.1950903,-8.331971,-3.0250738,-0.05312135,0.13422494,0.11492168,-0.7337013,-0.3404656,-0.018800704,0.0,2016-11-23 16:34:04,67.26471371704874
4.098873,-8.232463,-3.1998506,-0.041774344,-0.0039835563,-0.0010215886,3.11,30.9,4.163068,-8.294413,-3.1688757,-0.06419453,0.06194997,-0.030974984,-0.7413063,-0.3347082,-0.023889415,0.0,2016-11-23 16:34:05,75.27671091703192
4.0426097,-8.2169,-3.193865,-0.009814547,-0.014637798,-0.0031545144,3.11,31.0,4.150648,-8.25401,-3.2888849,-0.10803835,0.037110128,0.09501988,-0.74646956,-0.332363,-0.027113345,0.0,2016-11-23 16:34:06,69.17854130755808
4.1575313,-8.128315,-3.335123,0.0125584025,-0.0061178138,0.0074949344,3.11,31.0,4.1591773,-8.239047,-3.3153708,-0.0016460137,0.110731825,-0.019752163,-0.7478402,-0.33131236,-0.029023314,0.0,2016-11-23 16:34:07,65.6584533920305
4.1252093,-8.180987,-3.289633,-0.0066131614,0.00985849,-0.004226969,3.11,31.0,4.1698017,-8.240394,-3.2984617,-0.044592008,0.05940613,0.008828619,-0.74692297,-0.33208567,-0.028855126,0.0,2016-11-23 16:34:09,72.98904305968475
4.084508,-8.1642275,-3.2692823,-0.0034160367,0.0024005733,0.0021630195,3.11,31.0,4.177433,-8.2454815,-3.276016,-0.09292495,0.08125322,0.0067336923,-0.7466777,-0.3309082,-0.02986658,0.0,2016-11-23 16:34:10,72.00274853695701
4.119224,-8.136695,-3.3399115,0.0029763489,0.008791361,0.0053577474,3.11,31.0,4.173393,-8.244433,-3.2836475,-0.054168813,0.107739076,-0.05626374,-0.74693173,-0.3309231,-0.029722955,0.0,2016-11-23 16:34:11,71.5892956078552
4.143166,-8.121132,-3.3363202,-0.0023494407,0.0066602994,-0.001034638,3.11,31.1,4.1698017,-8.243984,-3.2894835,-0.026635494,0.122852474,-0.04683657,-0.7471346,-0.3309135,-0.029581055,0.0,2016-11-23 16:34:12,75.97341851952766
4.056975,-8.12592,-3.1914709,-0.0076728333,0.005592372,0.009614544,3.11,31.1,4.157681,-8.244883,-3.302502,-0.10070611,0.1189619,0.1110311,-0.7478355,-0.33033568,-0.029426482,0.0,2016-11-23 16:34:13,70.83342058090031
