ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
4.958,-3.33,7.102,-0.024780177,1.3747668,-0.012390088,6.0,4.74,-3.034,8.03,0.299,-0.329,-0.721,-0.050237,-0.296712,0.372894,2016-11-26 19:46:21,67.7770940072328
1.163,-8.981,3.867,-0.08220091,0.03290701,0.2300826,2.0,1.22,-8.903,3.924,0.07,-0.174,-0.38,-0.302869,-0.456253,0.627789,2016-11-26 19:46:22,73.57509874596839
0.407,-9.447,2.885,-0.07580602,-0.0627498,0.07154276,2.0,0.336,-9.367,2.881,0.07,-0.005,0.104,-0.377271,-0.459087,0.602655,2016-11-26 19:46:23,73.8971871779843
0.331,-9.588,2.342,-0.13122836,0.21063149,0.10671463,2.0,0.244,-9.493,2.445,0.106,-0.086,-0.094,-0.404897,-0.459778,0.579524,2016-11-26 19:46:24,65.08222068541626
0.173,-9.635,2.109,6.6613377E-4,0.004130029,0.02997602,2.0,0.086,-9.527,2.322,0.095,-0.121,-0.193,-0.412089,-0.460159,0.581032,2016-11-26 19:46:25,69.78599030673848
0.096,-9.655,2.072,0.033573143,0.0073274714,0.016253663,2.0,-0.014,-9.529,2.315,0.116,-0.121,-0.233,-0.414931,-0.458025,0.583444,2016-11-26 19:46:26,68.3363818837236
-0.009,-9.667,2.003,-0.019850787,-0.012523315,0.002664535,2.0,-0.05,-9.568,2.146,0.039,-0.097,-0.133,-0.418795,-0.463844,0.582193,2016-11-26 19:46:27,71.76476145535722
-0.012,-9.709,2.002,-0.009192646,0.013589129,0.0137223555,2.0,-0.028,-9.581,2.09,0.024,-0.089,-0.055,-0.401181,-0.482149,0.600178,2016-11-26 19:46:28,66.6340898724687
6.481,-2.96,-5.227,-0.5073275,-0.4565681,-0.665068,4.0,5.755,-4.232,-6.717,0.768,0.884,3.196,-0.504468,-0.766834,0.020713,2016-11-26 19:46:29,70.72809927583711
5.194,-4.041,-7.464,-0.05502265,0.83946174,-0.047828402,4.0,5.706,-3.648,-7.091,-0.588,-0.482,-0.845,-0.504188,-0.779344,-0.001984,2016-11-26 19:46:30,70.67663333316644
7.178,-1.278,2.913,-0.9457767,0.14881428,-2.142153,6.0,8.708,-0.465,4.485,8.161,-3.278,-0.825,-0.150201,-0.498737,-0.202153,2016-11-26 19:46:31,69.40718771525587
-9.638,-15.479,1.222,-0.36037835,-2.0219824,2.1272316,4.0,-2.935,-8.181,4.541,-7.556,-6.254,-4.79,-0.516107,0.045843,0.216534,2016-11-26 19:46:32,65.7622471785809
-0.679,-5.255,8.215,0.12789768,-0.5214495,0.43938184,2.0,-0.591,-4.964,8.436,-0.084,-0.302,-0.203,-0.243364,-0.103094,0.478556,2016-11-26 19:46:33,66.75419246060956
0.018,-5.189,7.409,0.43538502,-0.5054623,0.2340794,4.0,0.631,-5.068,8.371,0.131,-0.05,-0.868,-0.190566,-0.192018,0.594246,2016-11-26 19:46:34,68.24052729705562
4.362,-0.722,8.619,0.8930189,-0.3161471,0.53943515,2.0,4.779,-0.655,8.538,0.107,0.733,0.601,0.175447,-0.184112,0.75609,2016-11-26 19:46:35,60.47138966107642
3.935,3.075,8.751,0.9303224,-0.29909405,-0.4745537,2.0,4.805,0.692,8.52,-0.974,2.217,0.067,0.207221,-0.150502,0.693056,2016-11-26 19:46:36,67.17014522594954
-1.811,-1.23,9.578,-0.16040501,-0.26925126,0.8705036,2.0,-1.209,-1.299,9.644,-0.555,-0.722,-3.179,-0.088196,-0.021963,0.834694,2016-11-26 19:46:37,68.60940677207664
0.372,0.075,10.601,0.25019985,0.2051692,0.06914468,2.0,1.139,0.403,9.731,-0.216,-0.478,1.001,0.061581,0.004865,0.964187,2016-11-26 19:46:38,67.38715108707301
6.221,-0.094,7.646,1.3322676E-4,0.026378896,-9.3258725E-4,4.0,6.275,0.128,7.534,-0.045,-0.224,0.114,0.32455,-0.102439,0.890735,2016-11-26 19:46:39,69.20461548177289
6.085,-0.079,7.746,-2.664535E-4,-0.0013322675,-5.32907E-4,26.0,6.19,-0.027,7.605,-0.102,-0.059,0.138,0.317546,-0.106776,0.894379,2016-11-26 19:46:40,69.38325440079592
6.069,-0.085,7.768,-0.0019984012,-0.001065814,2.664535E-4,26.0,6.097,-0.066,7.68,-0.025,-0.014,0.087,0.311657,-0.106246,0.896981,2016-11-26 19:46:41,70.60002858431369
6.066,-0.092,7.773,-9.3258725E-4,-6.6613377E-4,1.3322676E-4,26.0,6.073,-0.074,7.698,-0.011,-0.018,0.071,0.310304,-0.105717,0.897951,2016-11-26 19:46:42,72.80958576918974
6.069,-0.077,7.772,0.0,-3.9968026E-4,0.0,26.0,6.062,-0.076,7.707,0.004,-0.006,0.067,0.309738,-0.105322,0.898431,2016-11-26 19:46:43,70.43810540899146
5.073,2.118,8.983,1.0303757,0.21276312,-0.18784972,4.0,5.058,1.86,8.192,0.061,-0.168,0.722,0.286643,0.010955,0.911087,2016-11-26 19:46:44,69.84957098757906
4.767,-5.45,6.559,-0.3710365,-0.058486544,0.166267,6.0,4.445,-5.485,6.805,0.3,0.097,-0.213,-0.017614,-0.390769,0.68818,2016-11-26 19:46:45,70.7885696356784
5.214,-4.761,7.054,-0.023048228,0.10738076,0.18012257,4.0,5.302,-4.573,6.865,0.253,0.238,0.201,0.049859,-0.384032,0.687036,2016-11-26 19:46:47,66.34337747731885
5.522,0.478,8.93,0.09166001,0.07660538,-0.099520385,2.0,5.268,0.318,8.265,0.382,-0.32,0.494,0.210774,-0.184812,0.682269,2016-11-26 19:46:48,63.24142053020126
3.963,0.247,9.48,0.16520117,0.025446309,0.0023980816,6.0,4.066,0.259,8.92,-0.257,-0.265,0.813,0.160977,-0.138867,0.697738,2016-11-26 19:46:49,70.15695292316467
4.177,1.489,8.767,-0.45297095,-0.29150012,0.33546495,26.0,3.932,0.873,8.941,-0.478,0.23,0.572,0.177841,-0.111807,0.695137,2016-11-26 19:46:50,67.21384027567001
5.374,-0.543,8.154,0.047029044,-0.0094591,0.07260858,2.0,5.531,-0.497,8.082,-0.233,-0.042,0.249,0.186068,-0.230821,0.66363,2016-11-26 19:46:51,74.56274274856597
4.827,0.196,8.572,0.020383693,0.03290701,-0.017585931,2.0,5.124,0.21,8.358,-0.3,-0.003,0.184,0.196508,-0.187629,0.668162,2016-11-26 19:46:52,73.78695071312376
4.519,0.804,8.543,0.053423926,0.099920064,-0.07513989,2.0,4.874,0.729,8.477,-0.233,-0.044,0.065,0.205319,-0.159994,0.665384,2016-11-26 19:46:53,70.78440405615956
4.471,0.615,8.729,-0.0038635759,0.008393286,0.008792966,2.0,4.633,0.548,8.625,-0.12,0.035,0.223,0.189179,-0.156324,0.66953,2016-11-26 19:46:54,68.83739785624297
5.185,-0.442,7.945,-0.17519318,-0.30748734,0.121636026,2.0,5.026,0.125,8.419,-0.361,-0.401,-0.899,0.193259,-0.182692,0.683817,2016-11-26 19:46:55,69.92584714412658
5.186,-0.115,7.769,0.3162803,1.0523582,0.42272848,6.0,5.617,-0.485,8.023,0.187,0.228,0.08,0.225046,-0.200648,0.763663,2016-11-26 19:46:56,59.95613372867907
4.604,1.647,7.729,0.42166266,-0.1180389,0.75379694,55.0,6.059,-0.097,7.71,-2.544,1.268,0.236,0.311521,-0.099231,0.904954,2016-11-26 19:46:57,63.63016689597336
5.425,-1.122,8.226,0.025712764,0.09032774,0.092859045,50.0,5.101,-1.164,8.293,0.341,0.062,-0.091,0.256015,-0.10768,0.946208,2016-11-26 19:46:58,68.96648969230927
5.087,-0.965,8.382,-1.3322676E-4,-0.0027977617,-0.0017319478,51.0,5.074,-1.036,8.327,0.003,0.07,0.063,0.254281,-0.103723,0.944992,2016-11-26 19:46:59,72.5823129105554
5.052,-0.949,8.386,-0.003730349,0.0035971224,-0.001598721,51.0,5.048,-0.991,8.348,0.019,0.066,0.02,0.252535,-0.102726,0.944378,2016-11-26 19:47:00,66.08907815756359
5.01,-0.935,8.422,0.0077271517,0.0014654943,0.012123634,52.0,4.982,-0.979,8.389,0.025,0.039,0.037,0.247404,-0.105129,0.942489,2016-11-26 19:47:01,68.6970912960909
4.996,-0.934,8.433,0.017452704,-0.017585931,0.0,52.0,4.954,-0.982,8.405,0.027,0.058,0.066,0.245202,-0.106341,0.941739,2016-11-26 19:47:02,62.23061874409822
5.016,-0.912,8.421,-5.32907E-4,5.32907E-4,-9.3258725E-4,52.0,4.975,-0.95,8.396,0.042,0.037,0.02,0.246066,-0.106437,0.940289,2016-11-26 19:47:03,58.05592674811849
5.018,-0.918,8.417,0.0017319478,-0.0013322675,-0.002131628,52.0,4.98,-0.94,8.395,0.035,0.023,0.022,0.245929,-0.107093,0.939292,2016-11-26 19:47:04,58.64457061465237
5.027,-0.917,8.424,0.0025313082,-0.0014654943,6.6613377E-4,52.0,4.985,-0.932,8.393,0.044,0.022,0.02,0.245911,-0.107652,0.938434,2016-11-26 19:47:05,66.46190188057618
5.021,-0.916,8.407,7.993605E-4,-0.003197442,-3.9968026E-4,52.0,4.987,-0.928,8.392,0.034,0.014,0.016,0.245736,-0.108315,0.937665,2016-11-26 19:47:06,64.81735858686775
5.021,-0.904,8.38,0.021049827,0.13122836,-0.029176658,26.0,4.982,-0.928,8.395,0.051,0.016,0.012,0.24507,-0.10902,0.937047,2016-11-26 19:47:07,70.15658636714059
5.041,-0.903,8.418,3.9968026E-4,-0.0039968025,9.3258725E-4,8.0,4.985,-0.919,8.394,0.044,0.013,0.022,0.245183,-0.109048,0.936611,2016-11-26 19:47:08,63.09696795881494
5.036,-0.909,8.424,-0.0057287505,0.009725553,0.0025313082,51.0,4.989,-0.917,8.392,0.055,0.015,0.022,0.245161,-0.109523,0.936042,2016-11-26 19:47:09,66.51379127125641
5.034,-0.903,8.422,-0.0035971224,0.0011990408,-0.001065814,14.0,4.99,-0.914,8.392,0.043,0.012,0.03,0.245005,-0.109898,0.935554,2016-11-26 19:47:10,64.54760587557189
5.037,-0.908,8.409,9.3258725E-4,-6.6613377E-4,-0.0014654943,51.0,4.992,-0.913,8.39,0.048,0.013,0.021,0.244989,-0.110295,0.93513,2016-11-26 19:47:11,62.04214455021112
5.043,-0.906,8.414,7.993605E-4,-3.9968026E-4,0.0,51.0,4.995,-0.91,8.389,0.046,0.001,0.026,0.244898,-0.110743,0.934595,2016-11-26 19:47:12,64.43701749572274
5.043,-0.904,8.412,-1.3322676E-4,-6.6613377E-4,9.3258725E-4,51.0,4.996,-0.909,8.389,0.045,0.005,0.022,0.244768,-0.1112,0.934086,2016-11-26 19:47:13,66.44587565954463
5.042,-0.896,8.417,-1.3322676E-4,-7.993605E-4,-1.3322676E-4,51.0,4.998,-0.908,8.388,0.045,0.004,0.023,0.244652,-0.111623,0.933629,2016-11-26 19:47:14,67.72506100948956
5.052,-0.898,8.408,0.0017319478,-9.3258725E-4,7.993605E-4,51.0,4.999,-0.906,8.387,0.046,0.01,0.013,0.244567,-0.111979,0.933205,2016-11-26 19:47:15,59.99125359862943
5.049,-0.895,8.411,0.0029309886,-6.6613377E-4,6.6613377E-4,51.0,5.001,-0.905,8.386,0.047,0.01,0.027,0.244532,-0.112319,0.932815,2016-11-26 19:47:16,62.97238188788704
5.042,-0.895,8.427,0.007860378,-0.007993605,5.32907E-4,51.0,5.006,-0.9,8.383,0.053,0.023,0.025,0.244738,-0.112438,0.932444,2016-11-26 19:47:17,64.38070746850138
5.055,-0.889,8.418,-0.0077271517,0.010791367,-0.0013322675,38.0,5.006,-0.897,8.384,0.047,0.012,0.024,0.244573,-0.112623,0.932148,2016-11-26 19:47:18,63.265287176273944
5.054,-0.89,8.416,0.0,-0.0029309886,9.3258725E-4,51.0,5.008,-0.896,8.383,0.043,0.007,0.031,0.244555,-0.112913,0.931819,2016-11-26 19:47:19,64.72193283509452
5.056,-0.891,8.414,-0.0011990408,0.0023980816,0.0018651745,51.0,5.009,-0.895,8.382,0.038,0.001,0.03,0.24451,-0.113141,0.931542,2016-11-26 19:47:20,60.20562947352624
5.057,-0.894,8.411,0.0017319478,1.3322676E-4,0.0,51.0,5.01,-0.895,8.382,0.047,-0.001,0.03,0.244501,-0.113358,0.931292,2016-11-26 19:47:21,46.69693372033568
5.053,-0.892,8.409,-0.0011990408,-9.3258725E-4,-1.3322676E-4,51.0,5.011,-0.894,8.381,0.042,0.003,0.026,0.244491,-0.113464,0.931146,2016-11-26 19:47:22,60.37299142808901
5.062,-0.889,8.406,-1.3322676E-4,0.001065814,0.0,51.0,5.013,-0.893,8.38,0.046,0.005,0.021,0.244535,-0.113548,0.931023,2016-11-26 19:47:23,64.0286216047599
5.062,-0.885,8.403,0.0,-7.993605E-4,0.0,51.0,5.014,-0.893,8.38,0.046,0.002,0.02,0.244557,-0.113665,0.930895,2016-11-26 19:47:24,66.12219971164363
5.054,-0.889,8.395,7.993605E-4,0.0011990408,-0.0022648547,51.0,5.015,-0.893,8.379,0.041,0.002,0.018,0.244583,-0.113769,0.93077,2016-11-26 19:47:25,66.13618727140118
5.058,-0.889,8.402,0.0,0.001065814,-3.9968026E-4,51.0,5.017,-0.892,8.378,0.042,0.006,0.026,0.244618,-0.113876,0.93065,2016-11-26 19:47:26,65.53009822163514
5.059,-0.886,8.39,-0.002131628,0.0,-1.3322676E-4,50.0,5.018,-0.891,8.378,0.041,0.007,0.01,0.244655,-0.113936,0.930538,2016-11-26 19:47:27,67.66725625670021
5.073,-0.892,8.403,0.0,0.0,-1.3322676E-4,51.0,5.019,-0.892,8.377,0.052,0.005,0.024,0.244707,-0.114033,0.930461,2016-11-26 19:47:28,62.23923206393211
5.065,-0.886,8.393,0.0,1.3322676E-4,-1.3322676E-4,51.0,5.021,-0.891,8.376,0.042,0.003,0.022,0.24476,-0.114081,0.930364,2016-11-26 19:47:29,38.52730340347225
5.073,-0.887,8.393,-0.0039968025,-9.3258725E-4,5.32907E-4,51.0,5.022,-0.89,8.375,0.055,-0.002,0.015,0.244805,-0.114165,0.930265,2016-11-26 19:47:30,65.74215305349044
5.075,-0.886,8.402,-0.001065814,-2.664535E-4,-3.9968026E-4,51.0,5.022,-0.89,8.375,0.052,0.003,0.023,0.24478,-0.114208,0.930195,2016-11-26 19:47:31,63.29977659131174
5.067,-0.885,8.4,0.001065814,0.0,0.001598721,51.0,5.024,-0.89,8.374,0.04,0.004,0.028,0.244846,-0.114298,0.930099,2016-11-26 19:47:32,68.60388937452947
5.076,-0.881,8.397,0.0011990408,-0.0023980816,-3.9968026E-4,51.0,5.025,-0.889,8.374,0.054,0.003,0.02,0.244869,-0.11436,0.930014,2016-11-26 19:47:33,67.92612922964841
5.068,-0.888,8.397,0.001065814,5.32907E-4,3.9968026E-4,51.0,5.026,-0.889,8.373,0.04,0.003,0.025,0.244901,-0.114398,0.929939,2016-11-26 19:47:34,66.01622411443823
5.075,-0.883,8.399,0.0011990408,6.6613377E-4,-0.0013322675,51.0,5.027,-0.888,8.373,0.054,0.008,0.018,0.24493,-0.114447,0.929869,2016-11-26 19:47:35,64.20793267750153
5.073,-0.889,8.388,-0.001065814,7.993605E-4,-1.3322676E-4,51.0,5.028,-0.887,8.372,0.048,0.003,0.02,0.244995,-0.114487,0.929784,2016-11-26 19:47:36,38.04841850752423
5.078,-0.888,8.4,1.3322676E-4,0.0018651745,7.993605E-4,51.0,5.029,-0.887,8.371,0.049,0.001,0.032,0.245038,-0.114575,0.929699,2016-11-26 19:47:37,65.88581141723108
5.077,-0.888,8.4,-7.993605E-4,-2.664535E-4,-0.0014654943,51.0,5.03,-0.887,8.371,0.05,0.004,0.033,0.24507,-0.114603,0.929637,2016-11-26 19:47:38,63.49180199466588
5.08,-0.881,8.392,-0.0017319478,2.664535E-4,-0.0013322675,51.0,5.03,-0.887,8.37,0.047,0.007,0.022,0.245061,-0.114664,0.929586,2016-11-26 19:47:39,66.73783011779092
5.081,-0.885,8.392,1.3322676E-4,0.001598721,7.993605E-4,51.0,5.032,-0.886,8.369,0.05,-0.002,0.022,0.245136,-0.114713,0.929511,2016-11-26 19:47:40,59.32250612338297
5.079,-0.885,8.403,-6.6613377E-4,2.664535E-4,-1.3322676E-4,51.0,5.033,-0.886,8.369,0.039,-0.004,0.037,0.245151,-0.114746,0.929448,2016-11-26 19:47:41,39.85001251167773
5.082,-0.886,8.396,-5.32907E-4,7.993605E-4,0.0,51.0,5.035,-0.885,8.368,0.05,-0.001,0.028,0.245241,-0.114791,0.92936,2016-11-26 19:47:42,59.49790778750742
5.083,-0.885,8.397,1.3322676E-4,0.002131628,0.0017319478,51.0,5.036,-0.885,8.367,0.045,0.002,0.028,0.245278,-0.114862,0.929296,2016-11-26 19:47:43,61.40191768211111
5.089,-0.88,8.384,0.0,-0.001065814,-0.0022648547,51.0,5.037,-0.884,8.367,0.049,0.004,0.03,0.245329,-0.114871,0.92924,2016-11-26 19:47:44,61.879880710331236
5.083,-0.885,8.391,0.0,0.0,-3.9968026E-4,51.0,5.038,-0.884,8.366,0.044,-0.003,0.024,0.245381,-0.114921,0.929178,2016-11-26 19:47:45,63.19196345480033
5.084,-0.882,8.399,0.0019984012,0.001065814,-1.3322676E-4,51.0,5.039,-0.883,8.366,0.046,0.003,0.035,0.245431,-0.114935,0.929117,2016-11-26 19:47:46,68.09634671800706
5.086,-0.879,8.391,0.0,9.3258725E-4,0.0,51.0,5.04,-0.883,8.365,0.047,0.006,0.028,0.245455,-0.114964,0.929071,2016-11-26 19:47:47,67.35275615944381
5.091,-0.877,8.388,0.0,-9.3258725E-4,-1.3322676E-4,51.0,5.041,-0.882,8.365,0.044,0.008,0.023,0.24549,-0.115009,0.929017,2016-11-26 19:47:48,65.2276194269927
5.082,-0.876,8.385,-0.0019984012,-0.0011990408,0.0,51.0,5.041,-0.882,8.364,0.041,0.004,0.02,0.245509,-0.11503,0.928959,2016-11-26 19:47:49,60.57192893122217
5.084,-0.876,8.388,-0.0017319478,-2.664535E-4,-1.3322676E-4,51.0,5.042,-0.882,8.364,0.046,0.006,0.02,0.245507,-0.115119,0.928893,2016-11-26 19:47:50,29.313875929044567
5.088,-0.873,8.387,0.001065814,-0.0011990408,-0.0022648547,51.0,5.043,-0.881,8.363,0.046,0.01,0.027,0.245548,-0.11515,0.928787,2016-11-26 19:47:51,58.58305461081761
5.092,-0.874,8.391,-0.001065814,0.0,-0.0011990408,51.0,5.044,-0.88,8.363,0.044,0.007,0.028,0.245583,-0.115216,0.928683,2016-11-26 19:47:52,34.46192018811149
5.1,-0.874,8.397,0.0,6.6613377E-4,-2.664535E-4,51.0,5.045,-0.879,8.363,0.049,0.002,0.03,0.245592,-0.11527,0.928598,2016-11-26 19:47:53,60.65715887943654
5.096,-0.883,8.396,-0.001065814,-1.3322676E-4,-2.664535E-4,51.0,5.046,-0.879,8.362,0.047,-0.003,0.035,0.245639,-0.115306,0.928544,2016-11-26 19:47:54,63.38977581224007
5.088,-0.877,8.388,7.993605E-4,-1.3322676E-4,0.0,51.0,5.047,-0.879,8.361,0.042,0.001,0.033,0.245671,-0.115339,0.928501,2016-11-26 19:47:55,67.49029678909356
5.092,-0.87,8.384,9.3258725E-4,0.0,0.0,51.0,5.048,-0.878,8.361,0.051,0.005,0.027,0.245718,-0.115353,0.928465,2016-11-26 19:47:56,65.34162271732846
5.096,-0.877,8.393,-0.0045297095,-1.3322676E-4,6.6613377E-4,51.0,5.048,-0.877,8.361,0.043,0.002,0.032,0.245758,-0.115343,0.928429,2016-11-26 19:47:57,67.18926616973599
5.102,-0.873,8.388,0.0,6.6613377E-4,-2.664535E-4,51.0,5.049,-0.878,8.36,0.048,0.004,0.03,0.245785,-0.115405,0.92838,2016-11-26 19:47:58,61.93129354133568
5.097,-0.874,8.379,1.3322676E-4,0.0,0.0,51.0,5.05,-0.877,8.359,0.046,0.006,0.021,0.245838,-0.115442,0.928302,2016-11-26 19:47:59,60.7537352866533
5.102,-0.866,8.389,0.0011990408,0.0,-2.664535E-4,51.0,5.052,-0.877,8.359,0.05,0.01,0.029,0.245874,-0.115528,0.928214,2016-11-26 19:48:00,66.3049546521695
5.102,-0.87,8.393,-0.004130029,6.6613377E-4,0.0,51.0,5.052,-0.876,8.358,0.048,0.003,0.032,0.245877,-0.115554,0.928135,2016-11-26 19:48:01,66.49297711719754
5.102,-0.874,8.397,-7.993605E-4,-2.664535E-4,6.6613377E-4,51.0,5.053,-0.875,8.358,0.049,0.001,0.029,0.245905,-0.115607,0.928057,2016-11-26 19:48:02,70.72413451059356
5.101,-0.858,8.385,-0.0022648547,-3.9968026E-4,7.993605E-4,51.0,5.054,-0.874,8.358,0.044,0.013,0.023,0.245937,-0.115629,0.927974,2016-11-26 19:48:03,63.496279228315046
5.101,-0.871,8.389,-6.6613377E-4,7.993605E-4,-0.0022648547,51.0,5.055,-0.874,8.357,0.045,0.003,0.032,0.245965,-0.115719,0.927889,2016-11-26 19:48:04,64.70160991980029
5.114,-0.861,8.386,0.0030642152,-0.0014654943,-1.3322676E-4,51.0,5.055,-0.873,8.357,0.055,0.01,0.032,0.245955,-0.115722,0.927831,2016-11-26 19:48:05,67.6953505887809
5.103,-0.87,8.381,0.0,-2.664535E-4,-1.3322676E-4,51.0,5.057,-0.873,8.356,0.043,0.008,0.023,0.246028,-0.115778,0.927743,2016-11-26 19:48:06,65.14555158668999
5.113,-0.866,8.394,1.3322676E-4,-3.9968026E-4,-0.001065814,51.0,5.057,-0.872,8.356,0.057,0.002,0.037,0.246024,-0.115822,0.927671,2016-11-26 19:48:07,63.514871521866354
5.1,-0.864,8.392,9.3258725E-4,7.993605E-4,7.993605E-4,51.0,5.058,-0.871,8.355,0.043,0.007,0.036,0.246076,-0.115832,0.9276,2016-11-26 19:48:08,65.00686241950095
5.101,-0.865,8.384,0.0022648547,-2.664535E-4,0.001065814,51.0,5.059,-0.871,8.355,0.044,0.004,0.024,0.246102,-0.115895,0.927521,2016-11-26 19:48:09,66.93980973369088
5.112,-0.862,8.394,0.0029309886,0.0018651745,7.993605E-4,51.0,5.06,-0.869,8.354,0.055,0.006,0.044,0.246151,-0.11589,0.927463,2016-11-26 19:48:10,67.85640401209348
5.111,-0.859,8.388,0.003330669,-9.3258725E-4,-0.001065814,51.0,5.061,-0.87,8.354,0.053,0.005,0.038,0.246184,-0.115975,0.927397,2016-11-26 19:48:11,52.309839977807954
5.113,-0.864,8.388,0.0013322675,9.3258725E-4,0.0,51.0,5.062,-0.869,8.353,0.049,0.007,0.036,0.246212,-0.116007,0.927334,2016-11-26 19:48:12,31.57242000930148
5.112,-0.859,8.393,-0.0019984012,0.0018651745,0.0011990408,51.0,5.063,-0.868,8.353,0.048,0.01,0.038,0.246226,-0.116012,0.927263,2016-11-26 19:48:13,62.01397008155411
5.11,-0.86,8.382,9.3258725E-4,-2.664535E-4,-0.0013322675,51.0,5.063,-0.868,8.353,0.049,0.012,0.027,0.246245,-0.116058,0.927222,2016-11-26 19:48:14,65.34230932914969
