ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.5177461,-0.14784196,8.598776,-0.11560145,0.0506172,-0.20107202,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-29 13:56:00,62.970370934921505
-0.54887074,-0.16460137,8.435969,-0.11560145,0.058066774,-0.2000078,136.0,-0.6663847,-0.30746838,9.779151,0.083995104,0.11413659,-1.2617788,-0.026730422,0.026221815,0.35456145,2016-11-29 13:56:01,78.79428336345038
-0.66858083,-0.18136078,8.950723,-0.10070229,0.048488747,-0.19894357,138.0,-0.73210603,-0.49268183,9.766867,0.0635252,0.31132105,-0.816144,-0.037192065,0.025400283,0.36985323,2016-11-29 13:56:02,66.48228449845034
-0.16101007,2.0093338,10.69849,0.17067511,1.3649353,0.97915363,158.0,1.6931573,1.6127652,9.523791,-1.8541673,0.39656866,1.1746988,0.09059395,-0.07883236,0.09280848,2016-11-29 13:56:03,79.84590744021156
-0.11312603,6.067506,5.2444987,-0.034720335,0.18683803,-0.14679652,175.0,0.087061174,5.7437034,7.948125,0.099088006,0.32140827,-2.4354753,0.29686648,0.08141701,0.26552266,2016-11-29 13:56:04,69.14626347473475
0.5069722,5.490503,6.221333,-0.08686737,0.1910949,-0.21597117,221.0,0.4737417,5.143145,8.336307,0.033230484,0.34735775,-2.1149735,0.26574945,0.06590805,0.31616512,2016-11-29 13:56:05,69.62934630051201
0.6362591,6.0411696,6.5469446,-0.09112427,0.09212198,-0.18830132,169.0,0.6422017,5.9942994,7.7347484,-0.0059426427,0.04687023,-1.1878037,0.31762168,0.068949506,0.29792982,2016-11-29 13:56:06,65.16578077695699
1.1486182,5.593454,5.222951,-0.12730792,-0.053676866,-0.21809962,183.0,0.9994606,5.970828,7.714965,0.14915764,-0.37737417,-2.492014,0.32419688,0.03927678,0.26702717,2016-11-29 13:56:07,61.964701839828116
0.9283517,6.007651,5.9172697,-0.12411525,-0.16009939,-0.18617287,187.0,0.8448483,6.2032385,7.5482745,0.083503425,-0.19558764,-1.6310048,0.33719963,0.037967484,0.23043282,2016-11-29 13:56:08,63.13550347848525
1.0073603,5.4713492,6.906075,0.018490925,0.041039173,-0.14679652,183.0,1.2463303,5.9788795,7.6726823,-0.23896992,-0.5075302,-0.7666073,0.32984817,0.001501199,0.19685176,2016-11-29 13:56:09,61.956651882499656
1.4718355,6.342839,5.866991,-0.13582173,0.06551635,-0.19468667,159.0,1.251544,6.714434,7.0370736,0.2202915,-0.37159538,-1.1700826,0.37577656,-0.0010397555,0.16728893,2016-11-29 13:56:10,64.24530346689178
1.5556326,5.5168395,5.6946087,-0.027270757,0.07509438,-0.14041118,194.0,1.6421316,6.2695045,7.3598304,-0.086498976,-0.75266504,-1.6652217,0.35205558,-0.028459856,0.16335177,2016-11-29 13:56:11,62.8219608527084
1.0720038,5.4354362,5.895722,0.11214274,0.5220689,-0.18085174,176.0,1.4149723,6.2973437,7.3832035,-0.34296846,-0.8619075,-1.4874816,0.3473273,-0.054084312,0.06225473,2016-11-29 13:56:12,62.739843027823376
0.8972271,5.4498014,6.0465565,-6.6512823E-4,0.3007101,-0.19042976,195.0,1.3045859,6.250505,7.4430933,-0.1894865,-0.8701353,-0.64475775,0.34400177,-0.04659024,0.06666535,2016-11-29 13:56:13,63.46725858451067
1.0456676,5.4114943,6.527791,-0.06239019,0.08999353,-0.19255821,193.0,1.3352022,6.310757,7.386607,-0.28953457,-0.8992629,-0.85881615,0.34670377,-0.056429926,0.044133116,2016-11-29 13:56:14,63.065733437235366
1.584363,5.775413,6.3099184,0.021683596,-0.03558504,-0.29046693,169.0,1.7168286,6.455034,7.18021,-0.1324656,-0.67962074,-0.8702917,0.35522872,-0.08788471,0.01620751,2016-11-29 13:56:15,62.72702801494842
0.45908818,5.037999,7.643489,0.05786726,-0.13349375,-0.055273175,280.0,0.67263967,5.856728,7.8368793,-0.21355149,-0.8187289,-0.19339037,0.3119157,-0.056026414,-0.06007024,2016-11-29 13:56:16,63.175832961546135
0.13587095,6.019622,5.639542,-0.051747937,-0.2324667,-0.14573231,212.0,0.98196685,6.653628,7.1369014,-0.8460959,-0.634006,-1.4973593,0.3624081,-0.06913508,-0.039002307,2016-11-29 13:56:17,63.19408032844676
1.4694413,5.6604915,6.5110316,-0.056004837,0.29326054,-0.21597117,171.0,1.4147288,6.549072,7.1609073,0.054712534,-0.8885803,-0.64987564,0.35390255,-0.09822605,-0.053902928,2016-11-29 13:56:18,63.817040557111575
1.2276269,5.6245785,6.362591,0.053610355,-0.0760256,-0.24044836,185.0,1.5709363,6.5376554,7.13874,-0.3433094,-0.9130769,-0.7761493,0.35357088,-0.1049437,-0.048970327,2016-11-29 13:56:19,61.49765596002189
1.1127052,5.8400564,6.4751186,-0.065582864,0.0463603,-0.19042976,176.0,1.5160301,6.7343903,6.9656324,-0.40332484,-0.89433384,-0.4905138,0.36468703,-0.10888058,-0.06348704,2016-11-29 13:56:20,62.39770413398319
1.158195,5.7395,5.910087,-0.13795018,-0.038777716,-0.19787934,173.0,1.4339085,6.752503,6.965486,-0.27571344,-1.0130029,-1.055399,0.36476633,-0.10864881,-0.07412802,2016-11-29 13:56:21,62.16502012702884
1.572392,5.7203465,6.063316,-0.08473892,0.0761586,-0.17233793,169.0,1.845406,6.574448,7.0385723,-0.27301407,-0.85410166,-0.97525644,0.35131383,-0.13308379,-0.08187479,2016-11-29 13:56:22,62.5486969067435
1.6394296,5.442619,6.4248405,-0.102830745,0.2283428,-0.13189739,166.0,1.9032271,6.375692,7.204073,-0.26379752,-0.93307304,-0.7792325,0.33770052,-0.13657553,-0.0876219,2016-11-29 13:56:23,61.68414823313287
1.7351977,5.5383873,6.183026,-0.07516089,-0.014300533,-0.22022808,175.0,1.9000932,6.4152946,7.169661,-0.16489553,-0.87690735,-0.9866352,0.3392416,-0.13915522,-0.09409635,2016-11-29 13:56:24,61.31810305820033
1.7495629,5.547964,6.465542,-0.19116142,-0.020685889,-0.18510863,173.0,1.7596623,6.5805283,7.0548306,0.09285128,-0.946373,-0.42648315,0.3496298,-0.13439779,-0.09781822,2016-11-29 13:56:25,62.17579504806628
1.7663223,5.5503583,6.381745,-0.10708765,0.11766338,-0.19255821,169.0,1.9170742,6.4754915,7.1107826,-0.15075195,-0.9251332,-0.72903776,0.34150916,-0.14429998,-0.10375693,2016-11-29 13:56:26,62.925796714176045
1.5316905,5.3516393,6.8605847,-0.11879412,0.06551635,-0.25321904,188.0,1.8395848,6.165828,7.400601,-0.30789435,-0.81418896,-0.5400162,0.32494017,-0.1307221,-0.086554736,2016-11-29 13:56:27,63.53050657017141
