ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
3.7159722,0.206908,9.524944,3.046392,-2.180877,3.512589,3000.0,3.0585308,-1.0842366,9.254201,-1.1358415,-1.0292206,-0.15233868,0.058253694,-0.15739647,0.63141525,2016-12-02 12:37:04,-4.503933316036994
5.039944,1.569152,7.9689484,0.82235205,1.0989711,0.7288731,1493.0,3.1870828,0.70749587,9.247289,-2.2236214,-1.0661721,1.1838573,0.14733729,-0.082530245,0.73509896,2016-12-02 12:37:05,41.157788903384144
4.626128,1.1948041,9.007076,-0.099035904,0.30222708,0.03477708,1638.0,2.8551042,1.3255533,9.287718,-1.5581357,0.20729332,0.2112731,0.15896986,-0.03445047,0.7866315,2016-12-02 12:37:06,46.67486935541389
4.76606,2.334592,8.717644,-0.5316239,-0.15724492,-0.17296292,2501.0,3.6278977,2.0508,8.877105,-1.0986942,-0.13548808,0.043448683,0.21675651,-0.02025588,0.80128276,2016-12-02 12:37:07,42.00016850623164
4.128592,-0.617136,9.552452,0.0060560927,-0.0032729134,-0.08986692,1366.0,3.1749928,-0.23912425,9.275378,-0.86987936,0.51315975,-0.29022974,0.1304071,-0.100405954,0.8245316,2016-12-02 12:37:09,28.00905607787762
3.658564,3.7159722,11.15868,-0.9984279,2.924639,0.48447305,2041.0,2.1155794,3.5275705,8.902301,-1.2954129,-2.552894,4.807197,0.18599647,0.10730468,0.8536691,2016-12-02 12:37:10,22.85568296322284
4.409652,1.8657601,9.492652,0.06715609,-0.9808729,0.27428907,1781.0,3.009588,2.6515374,8.948861,-1.487372,0.8635174,-0.7375427,0.20474668,0.042589515,0.8500119,2016-12-02 12:37:11,72.00809974802651
3.7195601,1.169688,9.54408,-0.011051908,-0.008160919,-0.0018829182,1753.0,2.5333939,1.5374156,9.348189,-1.1861662,0.3677276,-0.19589023,0.15280691,0.005001143,0.86116296,2016-12-02 12:37:12,37.713028497668226
3.837964,0.96995604,9.509397,-0.050151,-0.047280528,0.017765593,1557.0,3.4904559,1.0696576,9.10181,-0.3475082,0.099701606,-0.40758654,0.18552147,-0.038969863,0.8595846,2016-12-02 12:37:13,27.604062842573697
4.337892,0.35999602,9.410129,-0.003673017,0.00829931,6.1730295E-4,1725.0,4.043687,0.34688526,8.927411,-0.29420507,-0.013110753,-0.48271748,0.19361962,-0.08567492,0.85666937,2016-12-02 12:37:15,39.642679650726336
4.346264,0.367172,9.3886,-0.001228042,0.007486269,5.6191534E-4,1694.0,4.069928,0.33960474,8.915759,-0.26078767,-0.038331266,-0.4680565,0.19483128,-0.086392276,0.85712975,2016-12-02 12:37:16,42.61424885626063
