ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
9.566273,-0.35051113,1.6979501,0.0,9.39804,1.6616825,2.233737,0.068101734,-1.8251265,-0.46309182,2016-12-04 21:10:25,64.07735749314948
9.518388,-0.96342677,1.8361554,0.0,9.602345,-0.095342435,1.9340893,-0.13620347,-0.84446156,-0.068101734,2016-12-04 21:10:26,72.85845325258076
9.566273,-0.95385,1.7176938,0.0,9.602345,-0.8036005,1.7978858,-0.095342435,-0.10896278,-0.040861044,2016-12-04 21:10:27,71.10190881924488
9.566273,-0.9059659,1.6387193,0.0,9.588725,-0.92618364,1.7706451,-0.027240695,0.05448139,-0.013620348,2016-12-04 21:10:28,75.97110291538291
9.63331,-0.8580819,1.5103859,2.0,9.602345,-0.92618364,1.7025435,0.013620348,0.05448139,-0.2043052,2016-12-04 21:10:29,63.31858632338662
9.527966,-0.752737,1.9644889,4.0,9.615966,-0.939804,1.607201,-0.068101734,-0.027240695,0.068101734,2016-12-04 21:10:30,49.2785545685128
9.317275,-1.7678785,1.5992322,2.0,9.615966,-0.91256326,1.6208212,-0.2043052,-0.7899802,-0.095342435,2016-12-04 21:10:31,72.09606632091804
9.757809,-0.26431987,1.105642,0.0,9.615966,-1.0760074,1.525479,-0.12258312,0.24516624,-0.05448139,2016-12-04 21:10:32,68.68306744737421
9.326852,-1.691264,-4.0375676,0.0,9.765789,-0.667397,0.31326798,-0.8989429,-0.43585113,-3.4731886,2016-12-04 21:10:33,67.26361956179646
9.144893,-1.3464991,-1.1352574,2.0,9.438901,-1.0079057,-2.4108014,0.19068487,-0.667397,0.7354987,2016-12-04 21:10:34,69.86685162730963
9.60458,-0.47500962,0.29615408,0.0,9.534244,-1.4982383,-1.6753027,0.31326798,0.6946377,1.8932283,2016-12-04 21:10:35,68.09083714253934
8.876742,1.9096153,1.9644889,0.0,9.779409,-0.61291564,0.0,0.10896278,1.9068487,0.96704465,2016-12-04 21:10:36,76.4455609091267
