ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-0.561,4.587,8.655,2.0,2016-12-11 18:18:23,41.39859585860918
-2.002,3.5,7.047,10.0,2016-12-11 18:18:23,63.719617745490154
4.252,-0.523,9.043,0.0,2016-12-11 18:18:24,64.2314633417769
3.769,0.155,9.383,2.0,2016-12-11 18:18:25,67.85857502534498
3.611,-0.504,8.828,0.0,2016-12-11 18:18:26,63.07624660992439
2.309,0.026,9.383,0.0,2016-12-11 18:18:27,63.805920277355945
2.295,0.572,9.426,0.0,2016-12-11 18:18:28,67.16559936824557
2.309,0.5,9.483,0.0,2016-12-11 18:18:29,62.03561064365249
2.381,0.552,9.421,2.0,2016-12-11 18:18:30,52.129410892605875
2.357,0.466,9.426,0.0,2016-12-11 18:18:31,64.84511713615505
2.357,0.509,9.416,0.0,2016-12-11 18:18:32,63.77594312781226
2.319,0.533,9.349,0.0,2016-12-11 18:18:33,63.09422302864816
2.376,0.452,9.407,0.0,2016-12-11 18:18:34,63.97840269804937
2.424,0.452,9.469,2.0,2016-12-11 18:18:35,62.83345935045438
2.381,0.442,9.316,0.0,2016-12-11 18:18:36,64.0155016439914
2.386,0.442,9.435,0.0,2016-12-11 18:18:37,62.246965456335424
2.304,0.39,9.426,2.0,2016-12-11 18:18:38,63.91920614233875
2.343,0.39,9.455,2.0,2016-12-11 18:18:39,64.56561055124948
1.807,0.284,9.321,0.0,2016-12-11 18:18:40,62.810452890653806
1.74,0.227,9.522,2.0,2016-12-11 18:18:41,61.06385833811356
1.826,0.208,9.636,2.0,2016-12-11 18:18:42,62.267979287587806
1.74,0.117,9.617,0.0,2016-12-11 18:18:43,66.07222514949882
1.926,0.126,9.392,2.0,2016-12-11 18:18:44,64.07381183646584
2.386,-0.17,9.411,0.0,2016-12-11 18:18:45,64.83363689906228
2.228,-0.218,9.498,2.0,2016-12-11 18:18:46,62.24443583816353
2.257,-0.26,9.411,2.0,2016-12-11 18:18:47,65.48988864856068
2.257,-0.251,9.45,2.0,2016-12-11 18:18:48,68.26140453096846
2.252,-0.255,9.416,0.0,2016-12-11 18:18:49,60.858872893912476
2.3,-0.27,9.455,2.0,2016-12-11 18:18:50,61.52741147302965
2.261,-0.255,9.488,2.0,2016-12-11 18:18:51,66.55996288299833
2.261,-0.246,9.445,0.0,2016-12-11 18:18:52,62.814108372269445
2.309,-0.275,9.411,0.0,2016-12-11 18:18:53,64.0912516519319
2.29,-0.284,9.373,2.0,2016-12-11 18:18:54,66.85617821249798
2.319,-0.275,9.426,2.0,2016-12-11 18:18:55,64.5698693437396
2.271,-0.294,9.464,2.0,2016-12-11 18:18:56,66.12632552897672
