ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
3.332,-0.766,8.925,12.0,2016-12-11 21:08:16,-Infinity
3.332,-0.881,8.925,12.0,2016-12-11 21:08:16,-Infinity
3.332,-0.766,8.925,12.0,2016-12-11 21:08:16,-Infinity
3.371,-0.842,8.696,12.0,2016-12-11 21:08:16,-Infinity
3.409,-0.804,8.849,12.0,2016-12-11 21:08:16,-Infinity
3.409,-0.459,8.81,12.0,2016-12-11 21:08:16,-Infinity
3.371,-1.149,8.964,12.0,2016-12-11 21:08:16,-Infinity
3.447,-0.191,9.04,12.0,2016-12-11 21:08:16,-Infinity
3.409,-0.804,8.81,4.0,2016-12-11 21:08:16,-Infinity
3.486,2.604,9.96,0.0,2016-12-11 21:08:17,-Infinity
2.298,1.072,9.194,0.0,2016-12-11 21:08:18,-Infinity
2.528,1.225,9.079,0.0,2016-12-11 21:08:19,-Infinity
2.719,0.689,9.347,0.0,2016-12-11 21:08:20,-Infinity
2.336,1.034,9.155,12.0,2016-12-11 21:08:21,-Infinity
2.336,1.264,9.04,12.0,2016-12-11 21:08:22,-Infinity
2.375,1.034,9.155,4.0,2016-12-11 21:08:23,-Infinity
2.26,1.034,9.117,0.0,2016-12-11 21:08:24,-Infinity
2.221,1.034,9.232,0.0,2016-12-11 21:08:25,-Infinity
2.26,0.996,9.117,0.0,2016-12-11 21:08:26,-Infinity
2.298,1.034,9.117,0.0,2016-12-11 21:08:27,-Infinity
2.26,1.11,9.117,0.0,2016-12-11 21:08:28,-Infinity
2.26,1.149,9.079,0.0,2016-12-11 21:08:29,-Infinity
2.221,0.996,9.079,0.0,2016-12-11 21:08:30,-Infinity
2.26,1.11,9.194,0.0,2016-12-11 21:08:31,-Infinity
2.26,1.034,9.079,0.0,2016-12-11 21:08:32,-Infinity
2.068,1.034,9.079,0.0,2016-12-11 21:08:33,-Infinity
2.221,0.996,9.079,0.0,2016-12-11 21:08:34,-Infinity
2.26,1.11,9.04,0.0,2016-12-11 21:08:35,-Infinity
2.298,1.11,9.079,0.0,2016-12-11 21:08:36,-Infinity
2.26,0.957,9.117,0.0,2016-12-11 21:08:37,-Infinity
2.26,1.072,9.194,0.0,2016-12-11 21:08:38,-Infinity
2.221,0.996,9.155,0.0,2016-12-11 21:08:39,-Infinity
2.336,1.149,9.117,0.0,2016-12-11 21:08:40,-Infinity
2.26,1.11,9.117,0.0,2016-12-11 21:08:41,-Infinity
2.26,1.034,9.117,0.0,2016-12-11 21:08:42,-Infinity
2.221,1.072,9.04,0.0,2016-12-11 21:08:43,-Infinity
2.298,1.072,9.194,0.0,2016-12-11 21:08:44,-Infinity
2.221,1.034,9.002,0.0,2016-12-11 21:08:45,-Infinity
2.26,1.11,9.27,0.0,2016-12-11 21:08:46,-Infinity
2.221,1.072,9.04,0.0,2016-12-11 21:08:47,-Infinity
2.183,1.11,9.117,0.0,2016-12-11 21:08:48,-Infinity
2.221,1.11,9.194,0.0,2016-12-11 21:08:49,-Infinity
2.183,1.072,9.155,0.0,2016-12-11 21:08:50,-Infinity
2.26,0.996,9.117,0.0,2016-12-11 21:08:51,-Infinity
2.413,0.919,9.155,0.0,2016-12-11 21:08:52,-Infinity
2.298,0.957,9.079,0.0,2016-12-11 21:08:53,-Infinity
2.298,0.919,9.117,0.0,2016-12-11 21:08:54,-Infinity
2.413,1.072,9.155,0.0,2016-12-11 21:08:55,-Infinity
2.413,1.072,9.194,0.0,2016-12-11 21:08:56,-Infinity
2.298,1.072,9.232,0.0,2016-12-11 21:08:57,-Infinity
2.336,0.957,9.232,0.0,2016-12-11 21:08:58,-Infinity
