ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.0,0.0,0.0,13000.0,6.187682,-2.8194807,0.9116478,0.0,0.0,0.0,2017-02-16 13:59:28,-6.90153670528758
1.216,-0.356,8.822,-0.2803838,0.61727077,-0.30277187,13000.0,3.7360125,-4.9550805,2.3748074,0.24686587,0.17910673,0.07460892,2017-02-16 13:59:29,18.817946460506686
0.247,-1.173,10.373,-0.061833687,0.21215352,0.06396589,13000.0,3.5409124,-5.6685624,2.120572,0.22768362,0.17120516,0.115177795,2017-02-16 13:59:30,65.84269827733333
0.906,-0.633,9.704,0.0031982942,-0.10341151,-0.11727079,13000.0,0.30866265,-0.09831852,0.3783722,-0.018535657,-0.06863361,0.15031667,2017-02-16 13:59:31,41.0081405804826
0.477,-0.791,9.961,-0.043710023,0.042643923,-0.029850746,13000.0,-0.054185867,-0.13403177,0.27974415,-0.023270654,-0.06431409,0.14873269,2017-02-16 13:59:32,45.48666546596448
-1.25,-1.325,9.786,-0.6759062,1.1226013,-0.6567164,13000.0,-0.09231591,0.006959319,1.1451244,-0.0618577,-0.012523324,-0.080543235,2017-02-16 13:59:33,45.48515086968304
1.41,-0.663,8.554,0.5479744,-0.046908315,0.65991473,7500.0,-0.1243031,0.63343775,-0.4840727,-0.008235699,-0.12923674,0.22673519,2017-02-16 13:59:34,44.42122538195654
0.984,-0.005,9.282,-0.2867804,-0.45842218,0.09914712,13000.0,-0.29709375,-0.1513347,-0.08336449,0.030374153,-0.113002695,0.42164248,2017-02-16 13:59:35,33.148241315815625
2.082,-0.327,9.697,-0.12793177,-0.11727079,-0.021321962,13000.0,-0.36728477,0.3446737,0.2547636,0.05372881,-0.1372932,0.4288757,2017-02-16 13:59:36,51.18031781144932
1.927,0.056,9.509,0.035181236,0.0074626864,-0.011727079,13000.0,-0.054412603,0.052679904,0.12552261,0.061161734,-0.12533517,0.4241082,2017-02-16 13:59:37,58.36189704636293
1.946,-0.564,9.444,0.020255864,-0.03731343,0.0021321962,13000.0,-0.08789945,0.022616506,0.06634712,0.035078775,-0.14159016,0.41965437,2017-02-16 13:59:38,54.097522011284
2.006,-0.348,9.493,0.011727079,0.0021321962,0.0,13000.0,-0.073194504,-0.018624961,0.11867809,0.04748911,-0.13786235,0.42127308,2017-02-16 13:59:39,48.44012924486249
2.014,-0.295,9.481,-0.010660981,-0.008528785,-0.008528785,13000.0,-0.08238459,-0.06186375,0.09774208,0.052059207,-0.13556257,0.42176446,2017-02-16 13:59:40,28.88613816952583
2.053,-0.256,9.329,-0.02238806,-0.028784648,0.025586354,13000.0,-0.07921505,-0.055909887,0.059760094,0.054886643,-0.13506198,0.42099872,2017-02-16 13:59:41,50.90048118327198
2.024,-0.24,9.429,0.015991472,0.018123668,0.0031982942,13000.0,-0.0708406,-0.0598334,0.16824436,0.056623016,-0.1341433,0.42158946,2017-02-16 13:59:42,53.24477275675083
2.666,1.087,8.91,0.20149253,-0.31130064,-0.29211086,13000.0,-0.6218672,0.1977917,0.1938343,0.12275168,-0.18245311,0.29991275,2017-02-16 13:59:43,47.87991055965484
3.662,0.603,8.542,0.030916844,-0.0063965884,0.04477612,13000.0,-0.20183611,-0.16091645,0.16347218,0.108184785,-0.21646157,0.3011404,2017-02-16 13:59:44,24.53091289201771
0.128,1.358,7.366,-0.31130064,-0.07995736,-0.021321962,7500.0,-3.4744327,0.91525555,-1.4152689,0.08743502,-0.19436911,0.30651218,2017-02-16 13:59:45,49.97785744171401
1.716,-0.158,10.008,-0.09914712,-0.06716418,-0.03304904,13000.0,-0.32146287,0.09689829,-0.36952877,0.0532171,-0.11484343,0.4095969,2017-02-16 13:59:46,36.31897078516253
1.518,-0.307,9.551,-0.036247335,-0.013859275,-0.0010660981,13000.0,-0.02707386,-0.336024,0.30153275,0.042771984,-0.109962784,0.41222936,2017-02-16 13:59:47,51.81747531857073
1.485,-0.357,9.809,-0.0074626864,-0.008528785,0.0063965884,13000.0,-0.15100121,-0.13773438,0.24049377,0.04165404,-0.11234223,0.41259882,2017-02-16 13:59:48,40.22467357469968
1.596,-0.305,9.61,0.0,-0.0063965884,-0.0010660981,13000.0,-0.046318054,-0.08914046,0.11442661,0.041264992,-0.11103592,0.41461346,2017-02-16 13:59:49,51.711571315742795
