ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,-0.11623286,-0.13071641,-0.9600891,2017-02-16 15:05:48,-10.964861042560951
1.619,1.898,9.281,0.008528785,0.0053304904,-0.013859275,7500.0,-0.037567616,0.07008886,-0.01168251,-0.10841238,-0.12707394,-0.9598382,2017-02-16 15:05:49,17.099586027331874
0.629,2.246,9.544,0.06076759,-0.053304903,-0.04904051,7500.0,-0.4947753,0.33773315,0.023709297,-0.070622355,-0.123738416,-0.95905566,2017-02-16 15:05:50,74.45933551658241
1.769,0.969,9.597,-0.2803838,-0.21108742,-0.18869936,7500.0,-0.022122145,-0.14579093,0.033765793,-0.12581429,-0.09068002,-0.96296173,2017-02-16 15:05:51,48.46096997483501
2.408,0.445,9.181,0.0,-0.024520256,0.008528785,7500.0,-0.019389391,0.15541503,-0.016055107,-0.16834739,-0.048172373,-0.9730371,2017-02-16 15:05:52,51.8794118493307
2.186,0.999,9.75,-0.0053304904,0.09168444,-0.0021321962,5500.0,0.053163767,0.28597802,0.37826633,-0.15247509,-0.06458738,-0.9721124,2017-02-16 15:05:53,37.382877475340656
2.983,0.407,8.895,-0.07356077,0.18017058,0.07569297,7500.0,0.1375401,-0.09528965,-0.46282005,-0.19258311,-0.07009338,-0.96126133,2017-02-16 15:05:54,28.662348263460586
2.501,0.775,9.329,0.03411514,0.014925373,-0.078891255,5500.0,-0.5443616,0.22477645,0.053495407,-0.16958988,-0.06334372,-0.9673723,2017-02-16 15:05:55,18.844479699437056
2.43,0.657,9.119,0.019189766,-0.0021321962,-0.011727079,5500.0,-0.2690873,0.01361078,0.0063095093,-0.16395994,-0.06656235,-0.9690469,2017-02-16 15:05:56,42.978179178287384
3.209,-0.486,9.209,-0.26332623,0.19509594,0.009594883,7500.0,-0.1386466,0.093198,-0.5706997,-0.2197563,-0.024461782,-0.9583299,2017-02-16 15:05:57,40.600335361493336
-0.018,-0.992,11.146,-1.2366738,0.024520256,-0.54477614,24000.0,-3.2719607,-1.4617153,2.74094,0.16832007,-0.048933297,0.9327195,2017-02-16 15:05:58,42.89051770094729
1.176,-0.279,9.881,0.0010660981,-0.019189766,0.04477612,7500.0,-0.01142621,0.6884405,0.086652756,0.03537325,0.0030682562,0.9675454,2017-02-16 15:05:59,35.08166866311226
-0.988,0.113,10.1,-0.009594883,-0.12153518,0.17910448,7500.0,-0.69600517,0.22805136,0.118439674,0.029241415,0.0034579784,0.9685599,2017-02-16 15:06:00,30.695474203127606
-2.684,2.158,9.299,0.74946696,-0.70042646,0.5426439,7500.0,-1.6947931,-0.46253133,-0.6584568,0.038424302,0.120493695,0.971668,2017-02-16 15:06:01,41.93144689011931
0.118,-0.927,12.348,-0.15671642,-0.9509595,-0.2196162,7500.0,0.4922871,-0.39462188,2.1206408,0.0399245,0.003085757,0.99439555,2017-02-16 15:06:02,32.16177761894536
-0.906,0.21,9.905,0.0,0.0,-0.0021321962,7500.0,-0.11384472,0.018756807,0.060336113,0.009272941,0.012981104,0.99337864,2017-02-16 15:06:03,45.765282246480574
-0.921,0.214,9.914,0.0,0.0,0.0010660981,7500.0,-0.10115881,0.023794174,0.06260109,0.00858565,0.013200523,0.9933807,2017-02-16 15:06:04,23.650783006918882
-0.901,0.204,9.88,0.0010660981,-0.0010660981,0.0,7500.0,-0.0867936,0.014815897,0.038659096,0.00858565,0.013200523,0.9933807,2017-02-16 15:06:05,50.658741437491855
-0.915,0.213,9.905,0.0,-0.0010660981,0.0,7500.0,-0.10235591,0.020801425,0.06918526,0.00858565,0.013200523,0.9933807,2017-02-16 15:06:06,44.90264613237684
-0.91,0.208,9.896,0.0,-0.0010660981,0.0,7500.0,-0.078413896,0.022597075,0.06439686,0.00858565,0.013200523,0.9933807,2017-02-16 15:06:07,49.74721060073611
-0.914,0.217,9.911,0.0,0.0,0.0010660981,7500.0,-0.09996171,0.03576517,0.06858635,0.00858565,0.013200523,0.9933807,2017-02-16 15:06:08,47.99550059192468
-0.914,0.207,9.905,0.0,-0.0010660981,0.0,7500.0,-0.09277911,0.021399975,0.060206413,0.00858565,0.013200523,0.9933807,2017-02-16 15:06:09,50.13775425107078
-0.909,0.199,9.902,0.0010660981,-0.0010660981,0.0,7500.0,-0.095771864,0.027984023,0.046440125,0.00858565,0.013200523,0.9933807,2017-02-16 15:06:10,44.128642458670306
-0.909,0.219,9.907,0.0,-0.0010660981,0.0,7500.0,-0.09277911,0.027984023,0.06738949,0.00858565,0.013200523,0.9933807,2017-02-16 15:06:11,43.28795833768532
-0.901,0.218,9.914,0.0010660981,0.0,-0.0010660981,7500.0,-0.09218056,0.025589824,0.07038212,0.00858565,0.013200523,0.9933807,2017-02-16 15:06:12,43.62723825968493
-0.914,0.202,9.912,0.0,-0.0010660981,0.0,7500.0,-0.09756751,0.018407226,0.06080532,0.00858565,0.013200523,0.9933807,2017-02-16 15:06:13,45.47075974658788
-0.903,0.204,9.918,0.0,-0.0010660981,0.0,7500.0,-0.095771864,0.014217347,0.073973656,0.00858565,0.013200523,0.9933807,2017-02-16 15:06:14,35.37949752227222
