ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.41180268,0.16280572,9.548077,-4.288156E-4,6.102852E-4,0.012330127,2.0,0.4110998,0.16577153,9.796627,-0.04335043,-0.029568052,-0.2487642,0.022276409,0.0038459382,0.97729176,2017-03-25 23:10:02,36.71759299721834
0.40222588,0.16280572,9.509769,-4.819826E-4,6.089806E-4,-0.026500283,3.0,0.40608776,0.16114715,9.796913,-0.038338374,-0.011323333,-0.26266968,0.02197985,0.003650199,0.97711605,2017-03-25 23:10:03,12.146231138717118
0.40222588,0.15322891,9.528923,-0.0,0.0,-0.0,3.0,0.40470326,0.16333458,9.796935,0.0175275,1.0959137E-4,-0.3444134,0.021938829,0.0037485294,0.9768687,2017-03-25 23:10:04,6.169566297342279
0.41180268,0.1436521,9.557653,-0.0016301658,0.003240227,-0.0041666646,3.0,0.41169629,0.15715104,9.796744,-0.030326555,0.006293132,-0.26250178,0.022199385,0.0035000246,0.97814304,2017-03-25 23:10:05,7.729936583726783
0.41180268,0.18195933,9.528923,-7.541395E-4,-9.267709E-4,-0.0084856,3.0,0.40440175,0.15180446,9.797133,-0.036652356,0.025260048,-0.30375102,0.021791516,0.0032254786,0.97734195,2017-03-25 23:10:06,2.647194662019814
0.38307226,0.16280572,9.576807,-5.104299E-4,9.334738E-4,-0.010092826,3.0,0.39674386,0.15995666,9.797316,-0.015374146,0.0034875174,-0.29031357,0.02151164,0.0036294113,0.97650975,2017-03-25 23:10:07,2.5927524755698
0.40222588,0.17238252,9.557653,-0.001407475,-3.8056567E-4,0.011586631,3.0,0.4062193,0.15923326,9.79694,-0.05209028,-0.023029773,-0.27631748,0.02195469,0.0036210306,0.97776365,2017-03-25 23:10:08,2.7251845435764155
0.41180268,0.1340753,9.5385,-0.0010462536,0.0010099054,0.004343535,3.0,0.39442965,0.16393206,9.797343,-0.013059908,-0.0141082285,-0.23585962,0.021424243,0.003938463,0.9773602,2017-03-25 23:10:09,2.715512056685048
0.39264908,0.17238252,9.557653,-3.9315203E-4,-6.813403E-4,-0.003432051,3.0,0.39398572,0.15410058,9.797522,-0.012615957,-0.004276752,-0.26327822,0.021306504,0.0033905634,0.9767428,2017-03-25 23:10:10,13.168436505609684
0.39264908,0.17238252,9.500193,3.6062174E-6,-0.0016995938,-0.011004061,3.0,0.40805477,0.1528016,9.796966,-0.013064688,0.010642559,-0.30358395,0.021963684,0.003373963,0.97864044,2017-03-25 23:10:11,5.045841222373749
0.41180268,0.1436521,9.5385,-2.653356E-4,8.1758265E-4,0.0014567701,3.0,0.40085882,0.1613492,9.797126,-0.0058687553,-0.03876609,-0.23564182,0.021701064,0.0038329905,0.9782407,2017-03-25 23:10:12,4.988846377884667
0.40222588,0.17238252,9.528923,0.002921503,0.0046664737,0.011969051,3.0,0.38840473,0.15507121,9.7977295,-0.0070349937,-0.005247396,-0.26348606,0.02101381,0.0036472192,0.97822124,2017-03-25 23:10:13,3.113122804565484
0.4309563,0.16280572,9.519346,-0.0016814827,-7.5339526E-4,-0.010122405,3.0,0.38923764,0.15686734,9.7976675,-0.007867924,-0.020663863,-0.1953228,0.021077128,0.0037121733,0.97806364,2017-03-25 23:10:14,3.2905871926422474
