ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.18199158,2.8827362,8.508667,4064.0,0.091264784,3.4109454,9.193885,0.32570285,-0.07101846,-0.61646366,0.108579874,0.1394732,0.7925458,2017-04-04 08:26:16,42.594225191354994
4.5884247,0.085617065,9.581528,3108.0,4.1840816,0.9776363,8.815218,0.56528187,-0.8544149,1.1053829,0.21223438,-0.07419921,0.8225136,2017-04-04 08:26:17,48.485110416359795
3.8412476,0.85194397,8.930145,3058.0,4.0039988,0.82627046,8.913791,-0.027029514,-0.042716682,0.124406815,0.2041283,-0.06208723,0.85794944,2017-04-04 08:26:18,27.194063910569465
3.726303,0.8327942,8.96846,3315.0,3.7785609,0.7888977,9.015016,0.027323961,0.018198788,0.0018453598,-0.19646423,-0.04199924,-0.9795999,2017-04-04 08:26:19,29.154896992787656
3.7837677,0.6603699,8.853516,3223.0,3.844469,0.6515381,8.998108,0.035301685,-0.03887397,-0.06708622,-0.19698735,-0.049195312,-0.9762807,2017-04-04 08:26:20,31.78919870488887
3.994522,0.71784973,8.738571,3273.0,4.0845423,0.64907384,8.891884,0.009584427,-0.017279267,-0.09653282,-0.21028873,-0.04918057,-0.9738612,2017-04-04 08:26:21,31.646381396450238
4.0711517,0.62205505,8.700256,3334.0,4.1066127,0.60502106,8.884822,0.0053195953,0.023042142,-0.03887081,-0.21209002,-0.04492174,-0.97431445,2017-04-04 08:26:22,32.33085785483504
4.0903015,0.48794556,8.623611,3247.0,4.1238403,0.5384928,8.881124,0.0077524185,-0.009343207,0.11583805,-0.21298379,-0.042739138,-0.9738518,2017-04-04 08:26:23,28.161076344144035
4.49263,0.41131592,8.508667,3164.0,4.586077,0.40853468,8.658602,-0.027876854,0.12356681,0.05049324,-0.23916043,-0.03655777,-0.96837664,2017-04-04 08:26:24,35.14049422735382
4.4160004,0.31552124,8.604462,3080.0,4.432098,0.3900629,8.7392645,-0.08014774,0.0048817694,-0.072208405,-0.23026875,-0.037387475,-0.9698062,2017-04-04 08:26:25,39.70645307535173
4.3010406,0.33467102,8.776886,3061.0,4.2949915,0.3588025,8.808785,0.018350601,0.035975784,-0.082354546,-0.22268152,-0.03591508,-0.9713756,2017-04-04 08:26:26,30.607951916556928
4.3010406,0.39215088,8.661926,3089.0,4.3354692,0.37980548,8.788051,-0.01872015,0.0137215555,0.07814121,-0.22503477,-0.035964616,-0.97122693,2017-04-04 08:26:27,29.956989357953464
4.530945,0.4304657,8.661926,3160.0,4.5409446,0.39623958,8.682926,-0.0077848434,0.0377627,0.094828606,-0.23669341,-0.03564008,-0.96904004,2017-04-04 08:26:28,29.64621244316468
4.799164,0.21972656,8.719406,3285.0,4.781205,0.1710131,8.560445,-0.101780415,0.08822723,0.0657177,-0.25126305,-0.020141078,-0.9667626,2017-04-04 08:26:29,33.590049776821196
5.278122,-0.22091675,7.780655,2738.0,5.472487,-0.10225177,8.137064,0.20059443,-0.2533527,-0.52113533,-0.29141065,-0.014318215,-0.9542948,2017-04-04 08:26:30,28.304182372100094
5.4505463,1.388382,7.1484222,3489.0,6.158995,1.7395618,7.4304166,-0.34627295,-0.09854174,0.28177214,-0.31338578,-0.15147129,-0.9231564,2017-04-04 08:26:31,31.578155097652218
6.772461,-5.010483,4.657852,167.0,6.326024,-4.999375,5.58194,0.86804295,-0.33041477,-0.0010237694,-0.46392375,0.013229588,-0.71032864,2017-04-04 08:26:32,35.25828018131534
7.9219666,1.7332306,5.194275,3864.0,8.291219,2.3702688,4.669893,-0.83006763,-0.9657469,-0.21014595,0.4942552,0.13271597,0.8590148,2017-04-04 08:26:33,34.00203559677187
5.067383,5.507416,3.642456,1206.0,6.4305053,5.408196,5.0567183,1.0436835,0.7651291,-0.47389078,0.4862887,-0.07551443,0.572363,2017-04-04 08:26:34,38.56784570433095
6.4276123,2.2696686,8.144653,3022.0,8.398993,2.1849031,4.5665646,0.37562084,-0.63885593,1.683713,0.38456318,-0.34537107,0.4723856,2017-04-04 08:26:35,46.48530492996172
9.416306,-1.3512573,2.2822266,1039.0,9.792556,-0.27004042,-0.4508975,2.1518488,-1.3109777,1.5073847,0.4533612,-0.56342965,0.44764245,2017-04-04 08:26:36,53.400561348366
5.1440125,6.6377563,2.416336,73.0,7.3908787,6.1475844,1.9371382,1.3275776,0.84667253,-0.37950897,0.5539983,-0.30711457,0.28038853,2017-04-04 08:26:37,51.47892355189816
8.956512,4.0322266,0.82618713,0.0,7.996178,5.524056,1.3100858,1.1372137,-1.3696346,-0.45491886,0.55687547,-0.35084742,0.2959755,2017-04-04 08:26:38,36.15021550605258
10.106003,6.1204834,-1.4728088,0.0,8.555007,4.285686,-2.148288,0.031013489,0.375659,1.002634,0.66668284,-0.3908625,0.33439198,2017-04-04 08:26:39,36.09924239712677
9.473785,3.2084198,-1.7026978,1.0,8.484932,4.852492,-0.7934942,-0.14349937,-1.4071293,-1.692715,0.62527674,-0.38663408,0.32351375,2017-04-04 08:26:40,36.53824618390984
10.4891815,4.47287,-0.26582336,0.0,9.380299,2.7871454,-0.642028,1.2546864,1.427659,0.26575822,0.5756559,-0.4487256,0.39709908,2017-04-04 08:26:41,54.4715869538573
9.148102,2.0589294,-0.7064667,1.0,9.347584,2.7863164,-1.0146495,1.1354065,-3.0705843,-0.41052616,0.5964928,-0.4471534,0.3862741,2017-04-04 08:26:42,61.49418872007559
10.565811,-0.31671143,-0.1508789,1.0,9.007569,3.7341607,-1.0440946,1.1013718,0.40914536,1.3471011,0.59888136,-0.44110668,0.34534976,2017-04-04 08:26:43,58.052663197836544
8.24765,4.7985535,0.40470886,1.0,8.868505,3.8317242,-1.6846105,-1.7765722,0.23685265,2.774432,0.63095737,-0.43334058,0.34245208,2017-04-04 08:26:44,45.23353868102206
8.190186,3.629898,1.1710358,1.0,8.5273,4.2488794,-2.324343,-0.7286663,3.3249822,2.6841836,0.6290431,-0.472031,0.2768476,2017-04-04 08:26:45,55.445653136800146
10.987289,7.0592346,0.17480469,8.0,8.544578,3.1303391,-3.6553454,2.0781736,0.34761095,-1.1267018,0.7008734,-0.44175476,0.34213537,2017-04-04 08:26:46,59.24887979929542
11.121399,4.185501,-4.461502,8.0,8.78276,3.369532,-2.7712393,2.4780712,0.8694627,-1.7342582,0.6867098,-0.41197506,0.3691434,2017-04-04 08:26:47,64.95834241382666
8.841568,2.710312,-3.0246277,8.0,8.723444,3.8600996,-2.2741044,-0.5227313,-0.3095944,-1.9632819,0.6546203,-0.43291956,0.33436906,2017-04-04 08:26:48,49.83344410199646
6.753311,3.706543,-3.656845,0.0,8.863688,3.9497306,-1.4159924,-1.6822438,1.1153648,-0.66060185,0.6265957,-0.423761,0.34574807,2017-04-04 08:26:49,63.78398032690168
4.9332733,4.6069794,-1.4728088,1.0,8.917175,3.9560544,-1.0020034,-2.5661135,1.2799187,-0.6301192,0.61302876,-0.41866896,0.35251454,2017-04-04 08:26:50,60.63705140082429
