ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-1.0632782,4.2812805,8.604462,27.0,-0.97531223,4.617164,8.596566,0.20889741,-0.23768997,0.39616585,0.18523225,0.16548754,0.48213497,2017-04-12 16:13:54,54.63243349224554
-0.7567444,4.3579254,8.719406,24.0,-1.057545,4.595578,8.59841,-0.0540421,-0.03431225,-0.21667767,0.18257275,0.16813779,0.4797153,2017-04-12 16:13:55,58.93368679098204
1.0058289,-3.1138153,2.0140076,26.0,4.524815,-5.2036147,6.9727206,-1.8760748,0.32692337,-1.7633867,0.07544926,-0.3725555,0.8045469,2017-04-12 16:13:56,65.52479737641717
-0.31610107,-0.18260193,10.041336,25.0,-0.32464105,-0.30169505,9.796631,0.12001839,0.039242417,-0.24461842,0.014475878,0.01735778,-0.99170524,2017-04-12 16:13:57,70.68630423890112
-0.41189575,-0.16343689,9.773117,21.0,-0.40178967,-0.14529726,9.7973385,0.011707902,0.0019680709,-0.012184143,0.018656295,0.011256404,-0.98064184,2017-04-12 16:13:58,40.5253204906596
-0.37358093,-0.16343689,9.811432,25.0,-0.35181642,-0.16919056,9.798877,0.017348945,-0.01302731,0.009461403,0.015924383,0.011947535,-0.98077255,2017-04-12 16:13:59,34.91742847589875
-0.3352661,-0.16343689,9.792267,22.0,-0.35179216,-0.16348639,9.798974,0.01769209,5.913973E-4,-8.72612E-4,0.015974734,0.011668594,-0.98069376,2017-04-12 16:14:00,37.1478344112604
-0.3352661,-0.16343689,9.773117,24.0,-0.32525262,-0.17082712,9.799767,0.028057516,-0.011910871,-0.01884365,0.014635991,0.011695111,-0.9817267,2017-04-12 16:14:01,37.425620193694826
-0.3352661,-0.16343689,9.849747,29.0,-0.35166413,-0.16034834,9.799031,-0.0015676618,-0.002548635,-0.0014438629,0.015997024,0.011513703,-0.98065424,2017-04-12 16:14:02,29.910099825935266
-0.3544159,-0.16343689,9.830582,23.0,-0.34965986,-0.16517493,9.799023,-0.0037368238,0.0022194982,0.0029964447,0.015857222,0.011723878,-0.98079306,2017-04-12 16:14:03,31.197562894540106
-0.3544159,-0.18260193,9.830582,25.0,-0.35106784,-0.15748706,9.799099,0.016450763,-0.0056586713,0.013366699,0.015994381,0.011366348,-0.98063517,2017-04-12 16:14:04,39.37426124449125
-0.37358093,-0.16343689,9.830582,24.0,-0.35786927,-0.16274555,9.798767,0.005710274,3.350079E-4,0.008349419,0.016272858,0.0117104035,-0.98046684,2017-04-12 16:14:05,37.34405621467138
-0.3352661,-0.16343689,9.849747,26.0,-0.35488304,-0.15761687,9.79896,0.021392107,-0.0050316006,0.0017719269,0.01617632,0.0114216525,-0.98050076,2017-04-12 16:14:06,36.92822830901822
-0.3544159,-0.18260193,9.849747,25.0,-0.36991587,-0.1580087,9.798397,0.017757922,-0.0044637173,-0.008459091,0.016893761,0.011636033,-0.97996634,2017-04-12 16:14:07,38.86790080712838
-0.3544159,-0.16343689,9.830582,25.0,-0.36937815,-0.15675709,9.798437,-0.0018263757,-0.0056712925,0.0074357986,0.016879523,0.01156801,-0.97996753,2017-04-12 16:14:08,32.87762202296689
-0.3927307,-0.14428711,9.849747,26.0,-0.3741893,-0.15135929,9.79834,0.0028004348,-0.011190906,-0.025158882,0.017160248,0.011368529,-0.9797141,2017-04-12 16:14:09,43.12825100521212
-0.37358093,-0.16343689,9.849747,28.0,-0.36919338,-0.15895747,9.798409,-0.0019399822,-0.003425613,0.005543709,0.016850386,0.011672787,-0.9800062,2017-04-12 16:14:10,51.58889630615434
-0.37358093,-0.16343689,9.830582,30.0,-0.36324733,-0.16152142,9.79859,-0.027640969,0.018053561,0.001458168,0.01654184,0.011720238,-0.980257,2017-04-12 16:14:11,36.59402428596777
-0.3544159,-0.16343689,9.830582,26.0,-0.37418982,-0.1531423,9.798312,0.0028183162,-0.009390339,-0.025585175,0.01714371,0.011455323,-0.9797404,2017-04-12 16:14:12,41.40969451777829
-0.3544159,-0.18260193,9.830582,25.0,-0.36723557,-0.15415418,9.798559,0.01518178,-0.00829117,-0.031002998,0.016800774,0.011413126,-0.980007,2017-04-12 16:14:13,14.551780722102372
-0.3352661,-0.18260193,9.792267,23.0,-0.33835706,-0.17576927,9.799235,-0.015650451,0.012544513,0.019519806,0.015220676,0.012099498,-0.9813362,2017-04-12 16:14:14,14.42161182685309
-0.37358093,-0.14428711,9.811432,23.0,-0.35733968,-0.16457716,9.798756,0.0043138266,0.0017804652,-0.006290436,0.016230818,0.011792977,-0.98051167,2017-04-12 16:14:15,13.590643521414236
-0.3927307,-0.16343689,9.888062,27.0,-0.37224457,-0.15171765,9.7984085,0.020126432,-0.010782734,-0.028308868,0.017063625,0.011360287,-0.97979,2017-04-12 16:14:16,37.33134544761891
-0.3544159,-0.16343689,9.830582,26.0,-0.36052313,-0.15818243,9.798744,-0.030359656,0.014706105,0.019942284,0.01644176,0.011522068,-0.9803068,2017-04-12 16:14:17,43.232510363552194
-0.3544159,-0.16343689,9.830582,26.0,-0.35373813,-0.15913248,9.798976,0.020520598,-0.0033828318,-0.0059776306,0.016107582,0.011480919,-0.9805631,2017-04-12 16:14:18,46.28082101210775
-0.37358093,-0.16343689,9.830582,28.0,-0.35726306,-0.16555087,9.798742,0.02349317,-0.016357735,-0.047512054,0.016218305,0.011839519,-0.9805281,2017-04-12 16:14:19,52.20246787493987
-0.3927307,-0.16343689,9.888062,25.0,-0.35320675,-0.16555224,9.798889,-0.017856747,0.0032953173,0.019331932,0.016023867,0.011787571,-0.9806725,2017-04-12 16:14:20,25.36189403790059
-0.37358093,-0.14428711,9.811432,25.0,-0.3531296,-0.16264665,9.798941,3.2934546E-4,-4.608929E-5,0.025138855,0.016046481,0.011644693,-0.9806344,2017-04-12 16:14:21,34.91304776513351
-0.37358093,-0.16343689,9.830582,29.0,-0.364336,-0.16188666,9.798543,-0.0058442354,-6.0753524E-4,-0.011287689,0.01659068,0.011752189,-0.9802232,2017-04-12 16:14:22,42.13835061179615
-0.3352661,-0.16343689,9.830582,26.0,-0.3431159,-0.16801563,9.799206,-0.029674947,0.0049656183,0.008811951,0.015517885,0.011779824,-0.98106366,2017-04-12 16:14:23,50.17896515546556
-0.37358093,-0.16343689,9.888062,28.0,-0.3542013,-0.15652539,9.799002,-0.017695874,0.012982354,0.004163742,0.016153546,0.011359609,-0.98050964,2017-04-12 16:14:24,36.81853229052982
-0.37358093,-0.16343689,9.888062,24.0,-0.35726774,-0.1629569,9.798785,0.004651338,3.4078956E-4,0.02077198,0.016242094,0.011712971,-0.9804913,2017-04-12 16:14:25,43.800333311490064
-0.37358093,-0.16343689,9.888062,25.0,-0.35021725,-0.1565666,9.799144,0.016278267,0.012872785,-0.005695343,0.01596191,0.011310512,-0.9806525,2017-04-12 16:14:26,51.37625337062428
-0.3352661,-0.16343689,9.830582,29.0,-0.3468659,-0.16000256,9.799208,0.012536317,-0.0030023307,-0.014233589,0.015769888,0.011435601,-0.98082006,2017-04-12 16:14:27,54.52234030215322
-0.37358093,-0.16343689,9.868912,22.0,-0.360123,-0.15824537,9.798758,0.0075861216,-0.0043658465,-1.3828278E-4,0.01642199,0.0115199555,-0.98032206,2017-04-12 16:14:28,50.627567596347546
-0.3544159,-0.16343689,9.792267,25.0,-0.32930452,-0.17260344,9.7996,0.013524294,0.009334728,-0.01688099,0.014814729,0.011832078,-0.9816094,2017-04-12 16:14:29,43.63164617774791
-0.3927307,-0.14428711,9.849747,24.0,-0.3620645,-0.15553728,9.79873,0.010147631,-0.006826073,-0.016614914,0.01653995,0.011413079,-0.98021346,2017-04-12 16:14:30,44.514880913115576
-0.3544159,-0.16343689,9.907227,28.0,-0.37056088,-0.15207914,9.798467,-1.6716123E-4,-0.0101869255,0.014158249,0.016979495,0.011355704,-0.9798564,2017-04-12 16:14:31,37.92390376105698
-0.3352661,-0.16343689,9.830582,26.0,-0.3506498,-0.1638792,9.799009,-0.002196908,0.0011756867,0.026051521,0.015916396,0.011673194,-0.98073983,2017-04-12 16:14:32,48.53015126565168
-0.3352661,-0.16343689,9.868912,24.0,-0.33320743,-0.17482604,9.799428,-0.0010276139,-0.007234901,8.2969666E-4,0.014982241,0.011989252,-0.9815032,2017-04-12 16:14:34,52.54801262440885
-0.3544159,-0.14428711,9.830582,28.0,-0.332695,-0.16037047,9.799693,0.017193198,-0.0027775466,-0.0059127808,0.015086078,0.011275069,-0.9813259,2017-04-12 16:14:35,35.87470325030439
-0.37358093,-0.16343689,9.849747,27.0,-0.35223213,-0.16546816,9.798925,-5.1921606E-4,-0.016351819,0.023679733,0.015977906,0.011771007,-0.9807059,2017-04-12 16:14:36,40.68793437225523
-0.37358093,-0.16343689,9.868912,25.0,-0.35922444,-0.15980332,9.798766,0.0064908266,-0.0028852075,0.005092621,0.016364656,0.0115843285,-0.98037654,2017-04-12 16:14:37,41.71236362145343
-0.37358093,-0.16343689,9.830582,28.0,-0.3649513,-0.15359704,9.798654,-0.0066560805,0.010140538,-0.02105999,0.016696312,0.011356109,-0.9800814,2017-04-12 16:14:38,35.559809963367364
-0.3927307,-0.16343689,9.868912,23.0,-0.3710842,-0.15389873,9.798418,-0.01906699,0.010681406,0.0023822784,0.01698775,0.011451199,-0.9798641,2017-04-12 16:14:39,43.24083014828159
-0.3927307,-0.14428711,9.849747,26.0,-0.35089737,-0.15504603,9.799144,0.01695767,-0.0078047663,-0.04391861,0.016008394,0.011244972,-0.98060673,2017-04-12 16:14:40,37.71164163607938
-0.3544159,-0.18260193,9.849747,26.0,-0.37945864,-0.14799087,9.798188,-0.010334939,-0.014300525,0.01403141,0.017444458,0.0112746265,-0.9794719,2017-04-12 16:14:41,28.687950049317198
-0.3544159,-0.16343689,9.849747,25.0,-0.3527465,-0.16071507,9.798986,0.038562864,-0.0018482059,-0.040819168,0.016045626,0.011545469,-0.98062086,2017-04-12 16:14:42,48.555814825990275
-0.3927307,-0.16343689,9.868912,26.0,-0.37063146,-0.15769637,9.798375,-0.020081311,-0.0048819184,0.017188072,0.016930943,0.011630207,-0.979936,2017-04-12 16:14:43,49.678420520597
-0.3927307,-0.14428711,9.888062,28.0,-0.3707663,-0.15728575,9.798376,-0.019224942,0.014160767,0.017288208,0.0169412,0.011611977,-0.9799251,2017-04-12 16:14:44,37.16110599038635
-0.41189575,-0.14428711,9.907227,28.0,-0.36894435,-0.16042943,9.798394,0.016806543,-0.0020168722,-0.009148598,0.016824907,0.011741249,-0.9800365,2017-04-12 16:14:45,48.18961030608358
-0.3544159,-0.16343689,9.811432,26.0,-0.3453015,-0.1650485,9.799179,-0.008082628,0.0021047592,0.002122879,0.015649335,0.011662361,-0.98094565,2017-04-12 16:14:46,15.241120174842692
-0.3927307,-0.14428711,9.926376,25.0,-0.3667115,-0.15905285,9.798501,0.014705807,-0.0033386797,-0.01315403,0.016730536,0.011644986,-0.980097,2017-04-12 16:14:47,23.002727133907253
-0.37358093,-0.14428711,9.888062,23.0,-0.3451815,-0.16614833,9.799165,0.01114431,0.0033029765,-0.04178524,0.015633693,0.011714609,-0.9809651,2017-04-12 16:14:48,44.08075721959112
-0.3927307,-0.14428711,9.868912,27.0,-0.3759491,-0.15002534,9.798293,0.024938285,-0.012052745,0.0010232925,0.017257087,0.01132692,-0.9796303,2017-04-12 16:14:49,46.392653169300154
-0.37358093,-0.14428711,9.830582,27.0,-0.3567251,-0.16017362,9.798851,-0.014727265,-0.0023075044,0.030740738,0.016241403,0.011570149,-0.9804712,2017-04-12 16:14:50,46.583347451083775
-0.3352661,-0.18260193,9.830582,26.0,-0.3701366,-0.15283418,9.7984705,-0.0011740625,0.0094845,-0.027989388,0.016952148,0.011386891,-0.97988284,2017-04-12 16:14:51,16.25489297329858
-0.37358093,-0.14428711,9.830582,25.0,-0.35362056,-0.16250761,9.798924,0.019671917,-3.2383204E-4,-0.043165207,0.01607129,0.011644195,-0.98061496,2017-04-12 16:14:52,41.82449204507763
-0.37358093,-0.14428711,9.811432,24.0,-0.3537176,-0.16806798,9.798828,0.020102829,-0.013749316,-0.03314209,0.015998287,0.01195362,-0.9802416,2017-04-12 16:14:53,47.315891051086545
-0.3927307,-0.16343689,9.868912,27.0,-0.35586885,-0.15939386,9.798895,0.0035927296,-0.0030846149,-0.008067131,0.016043797,0.011747868,-0.9776435,2017-04-12 16:14:54,56.3358956298114
-0.3544159,-0.16343689,9.849747,28.0,-0.37883648,-0.14563328,9.798248,0.008194894,0.002476126,-0.0053596497,0.017277759,0.011396353,-0.97653484,2017-04-12 16:14:55,48.70388906642545
-0.3927307,-0.14428711,9.849747,25.0,-0.35923874,-0.15155557,9.798896,0.0064887702,0.007971287,0.0054092407,0.01628158,0.011412909,-0.9773867,2017-04-12 16:14:56,49.98471473906875
-0.37358093,-0.16343689,9.849747,20.0,-0.37772825,-0.15741603,9.798108,0.0069718063,-0.0048437715,-0.021627426,0.017107587,0.011951451,-0.9767781,2017-04-12 16:14:57,32.974328890396556
-0.3927307,-0.16343689,9.868912,24.0,-0.37820628,-0.15342765,9.798153,-0.030565828,0.010407701,0.028149605,0.017169971,0.011764922,-0.9766922,2017-04-12 16:14:58,47.35921693921628
-0.37358093,-0.16343689,9.888062,26.0,-0.3876462,-0.14854284,9.797859,0.0039343834,0.001916334,0.008756638,0.017887847,0.01163664,-0.9748794,2017-04-12 16:14:59,52.90051137205901
-0.3927307,-0.14428711,9.907227,26.0,-0.37311986,-0.15155493,9.798377,0.0021404326,0.008324504,0.0022172928,0.017171962,0.011265707,-0.9808808,2017-04-12 16:15:00,47.999964396276226
-0.3544159,-0.16343689,9.830582,24.0,-0.37944424,-0.15283385,9.798115,-0.01055178,0.009648234,1.8119812E-4,0.017464679,0.011409358,-0.9806837,2017-04-12 16:15:01,45.491279964282384
-0.37358093,-0.16343689,9.888062,24.0,-0.36153826,-0.16029616,9.798673,-0.028857976,0.017044097,0.0644331,0.01653592,0.011546052,-0.9813838,2017-04-12 16:15:02,38.051728045740354
-0.3544159,-0.16343689,9.849747,24.0,-0.34564102,-0.16815223,9.799114,0.050154567,-0.013744488,-0.04794407,0.015701586,0.011733425,-0.9820093,2017-04-12 16:15:03,36.92378677202865
-0.41189575,-0.14428711,9.907227,22.0,-0.38534904,-0.14715445,9.797971,-0.004098624,0.0041210502,0.006614685,0.01780075,0.011208863,-0.9804063,2017-04-12 16:15:04,31.755661692510305
-0.3544159,-0.14428711,9.849747,27.0,-0.3662026,-0.15695776,9.798553,0.033365697,-0.0054379553,-0.03297043,0.016790261,0.011441625,-0.9811846,2017-04-12 16:15:05,29.204470016733353
-0.3544159,-0.16343689,9.811432,22.0,-0.35177806,-0.16300075,9.798984,-0.0013293028,1.7018616E-4,-0.0048513412,0.016042244,0.011556658,-0.98174256,2017-04-12 16:15:06,38.83395419292664
-0.3927307,-0.14428711,9.888062,24.0,-0.3722861,-0.15220062,9.798399,0.0014368594,-0.010119483,0.017765999,0.017125975,0.011286574,-0.9809175,2017-04-12 16:15:07,35.92162178851756
-0.3352661,-0.16343689,9.773117,26.0,-0.35611594,-0.16246037,9.798836,0.0033414662,-2.2768974E-4,-0.03256893,0.01625576,0.011584105,-0.98159194,2017-04-12 16:15:08,31.971961037652537
-0.3544159,-0.16343689,9.868912,25.0,-0.34817335,-0.16678366,9.799048,0.013943642,0.003843233,-0.016784668,0.015835429,0.011697463,-0.981909,2017-04-12 16:15:09,38.1497220273947
-0.29693604,-0.16343689,9.830582,30.0,-0.35694328,-0.16274235,9.7988,0.0040561557,2.4735928E-6,0.02814293,0.01629306,0.0116082225,-0.98156804,2017-04-12 16:15:10,42.972571777165854
-0.3927307,-0.16343689,9.907227,28.0,-0.37899,-0.1512048,9.798158,-0.010719478,0.008123055,0.011795044,0.017457666,0.011324016,-0.9806773,2017-04-12 16:15:11,45.55271109405274
-0.41189575,-0.12512207,9.888062,26.0,-0.36271763,-0.16678882,9.798521,-0.0091049075,-0.015004545,0.0037240982,0.016534733,0.011878461,-0.98142767,2017-04-12 16:15:12,49.88128950263956
