ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.8530884,-1.052948,9.821381,0.22479248,-0.26335144,-0.12515259,378.0,2.7463305,-0.9751846,9.363604,-0.18039083,0.024199247,-0.5212555,-0.04216257,-0.1442616,0.056177683,2017-04-29 07:43:56,NaN
3.180954,-1.1037292,9.795563,-0.120513916,-0.03756714,0.0692749,378.0,2.821994,-1.0268855,9.335537,-0.035514116,0.060227036,-7.9250336E-4,-0.046009388,-0.14799744,0.04699124,2017-04-29 07:43:58,NaN
3.641693,-0.10940552,9.722229,-0.06616211,0.0055999756,0.078445435,378.0,2.7921534,-0.54202604,9.385119,0.025286674,-0.16537589,-0.08201504,-0.03977059,-0.1411041,-0.08199527,2017-04-29 07:44:00,NaN
3.4996338,-0.73501587,10.109833,-0.01260376,0.032073975,-1.5258789E-4,256.0,3.4025526,-0.018473385,9.197429,0.084563255,-0.06874081,-0.068211555,-0.013181615,-0.17574961,-0.0682911,2017-04-29 07:44:02,NaN
3.1941833,-0.8237152,9.956787,-0.039474487,0.10069275,-0.019088745,256.0,3.1357777,-0.7389646,9.262355,-0.03475094,-0.1407867,-0.008564949,-0.0426662,-0.16333638,-0.043447312,2017-04-29 07:44:04,NaN
3.8234558,-0.9858246,9.766251,-0.05596924,0.2969818,0.29388428,256.0,3.0407836,-0.7698527,9.291466,-0.12238622,-0.26244998,0.28122807,-0.034309365,-0.16387081,0.006890016,2017-04-29 07:44:06,NaN
3.4557343,0.37905884,9.742172,0.16981506,0.14956665,-0.14958191,316.0,3.385274,-0.7862809,9.170173,0.21570063,-0.08495557,-0.13742924,-0.056927077,-0.17091115,-0.091644414,2017-04-29 07:44:08,NaN
3.269867,0.36764526,9.987625,0.029525757,-0.024139404,-0.02418518,242.0,2.926909,0.39819676,9.351205,0.026444435,-0.049735755,-0.02492237,0.001000751,-0.15238193,-0.1267965,2017-04-29 07:44:10,NaN
2.4365082,0.25254822,10.59404,0.011627197,-0.022903442,-0.055725098,242.0,3.2497025,-0.062366504,9.252347,0.108864784,-0.05270441,0.054945946,-0.014545389,-0.16660285,-0.06378606,2017-04-29 07:44:13,NaN
1.6284332,0.9891968,10.642624,-0.0044555664,0.0068206787,-0.0129852295,200.0,0.87080437,1.9382719,9.573671,1.5014532,-1.0968096,0.3459406,0.065614566,-0.08702486,-0.4787583,2017-04-29 07:44:15,NaN
-0.35214233,-0.08470154,10.400574,-0.006500244,0.0119018555,-0.014419556,179.0,-0.61923116,-0.26484007,9.783496,0.3638072,0.24577954,0.07012272,0.02919677,0.021360679,-0.9751749,2017-04-29 07:44:17,NaN
-0.3302307,-0.062698364,10.428986,0.0015869141,0.0017089844,8.392334E-4,179.0,-0.35828036,-0.07600343,9.7998085,0.05091676,0.018155962,0.0037078857,0.015784854,0.009941991,-0.93562704,2017-04-29 07:44:19,NaN
-0.36730957,-0.04208374,10.473175,5.79834E-4,0.0010986328,-9.918213E-4,179.0,-0.32151765,-0.063488446,9.801172,-0.02450636,0.025607854,0.02313137,0.01405616,0.008892261,-0.9357671,2017-04-29 07:44:21,NaN
-0.30177307,-0.028900146,10.476349,-6.5612793E-4,-5.340576E-4,8.392334E-4,176.0,-0.31588745,-0.044548817,9.801459,-0.019223034,-0.0147918165,0.005583763,0.014252539,0.00759409,-0.93571216,2017-04-29 07:44:23,NaN
-0.30574036,-0.10620117,10.446976,-4.4250488E-4,0.0012969971,-0.0013885498,185.0,-0.3281419,-0.04390336,9.801061,-0.013716161,-0.031605303,-0.011972427,0.0148694,0.007994068,-0.93566346,2017-04-29 07:44:25,NaN
-0.32899475,-0.06271362,10.387878,0.0011901855,-1.2207031E-4,-3.8146973E-4,185.0,-0.30263197,-0.063398145,9.801774,0.016444385,-0.026518017,0.06245327,0.013361958,0.008293381,-0.93581784,2017-04-29 07:44:27,NaN
-0.35377502,-0.12080383,10.482315,0.0021972656,-1.2207031E-4,-0.0019989014,183.0,-0.3072508,-0.04974174,9.80171,-0.027378947,-0.025073647,0.01458931,0.013769293,0.007893519,-0.9357675,2017-04-29 07:44:29,NaN
-0.3148346,-0.04724121,10.36496,-0.0018615723,-5.340576E-4,-3.8146973E-4,186.0,-0.30417195,-0.048483804,9.801812,-7.355213E-4,-0.009316653,-0.0397892,0.013596376,0.007774218,-0.9357809,2017-04-29 07:44:31,NaN
-0.3335266,-0.04537964,10.420639,1.6784668E-4,9.0026855E-4,2.2888184E-4,186.0,-0.31095698,-0.033486687,9.8016615,1.3291836E-4,0.06121462,0.022064209,0.0140967155,0.0075369333,-0.9357257,2017-04-29 07:44:33,NaN
-0.31225586,-0.07383728,10.426132,-2.4414063E-4,-0.0013427734,0.0010528564,183.0,-0.30875793,-0.0587508,9.801612,0.024274677,0.04081086,-0.042909622,0.013679966,0.008349638,-0.93578875,2017-04-29 07:44:36,NaN
-0.35664368,-0.0118255615,10.432495,-0.0022735596,0.0017089844,-0.0014038086,191.0,-0.3130233,-0.045351084,9.801548,-0.040418595,-0.02825069,-0.0593071,0.014122972,0.007789056,-0.9357303,2017-04-29 07:44:38,NaN
-0.25958252,-0.12765503,10.458771,-0.010009766,-7.324219E-4,-0.0024108887,81.0,-0.30874202,-0.032359015,9.801736,-0.009893417,0.075602725,-0.020923615,0.014948289,0.0065506096,-0.93561375,2017-04-29 07:44:40,NaN
1.8435059,-1.5996399,10.041122,-1.5746307,-2.8593292,0.9037018,81.0,-1.6904787,-0.39842892,9.651628,0.484326,-1.6083834,-0.79694366,-0.0088194255,0.08846552,-0.13119526,2017-04-29 07:44:42,NaN
