ACC_X,ACC_Y,ACC_Z,TIME,VOICE
5.291186,2.492364,7.4615297,2017-05-04 11:17:59,-Infinity
5.04578,2.445677,7.5094137,2017-05-04 11:18:00,-Infinity
5.257667,3.679888,7.041347,2017-05-04 11:18:01,-Infinity
4.5525746,3.039439,7.645883,2017-05-04 11:18:02,-Infinity
4.2341456,2.195483,8.1079645,2017-05-04 11:18:04,-Infinity
4.5274353,3.040636,7.953538,2017-05-04 11:18:05,-Infinity
4.6471453,3.2704794,7.6722193,2017-05-04 11:18:06,55.76844252291287
4.4795513,1.8974048,7.953538,2017-05-04 11:18:07,43.1618979753928
3.028665,-1.3718776,11.068395,2017-05-04 11:18:08,40.72577402579712
1.7669208,-0.44532153,9.388862,2017-05-04 11:18:09,58.45122900722956
1.7681179,-0.45250413,9.425972,2017-05-04 11:18:10,47.00862114903158
1.7812861,-0.46088383,9.4295635,2017-05-04 11:18:11,65.14106456913856
1.780089,-0.4405331,9.419987,2017-05-04 11:18:12,48.80388518604197
1.7657237,-0.4417302,9.411607,2017-05-04 11:18:13,54.9409139400513
1.7561469,-0.44532153,9.417592,2017-05-04 11:18:14,63.347577419783406
1.7585411,-0.46447513,9.419987,2017-05-04 11:18:15,57.293106179647104
1.7621324,-0.46806642,9.411607,2017-05-04 11:18:16,58.96984155271124
1.7669208,-0.45489833,9.399636,2017-05-04 11:18:17,72.42785384336167
1.7705121,-0.4345476,9.39365,2017-05-04 11:18:18,63.775098784862855
1.7561469,-0.44532153,9.374496,2017-05-04 11:18:19,64.21760822878872
1.804031,-0.45130703,9.489418,2017-05-04 11:18:20,67.64718059800215
1.7812861,-0.46327803,9.412804,2017-05-04 11:18:21,68.37595660767279
1.7417817,-0.4249708,9.345766,2017-05-04 11:18:22,72.9360806688369
10.20289,-1.3587095,0.021547815,2017-05-04 11:18:23,61.31544961946495
-1.5813702,2.2421699,9.440337,2017-05-04 11:18:24,73.56536245150009
3.515885,0.8810662,8.4347725,2017-05-04 11:18:25,65.20286530523772
3.6511576,0.79726917,8.779537,2017-05-04 11:18:26,64.14711229062577
4.2521024,0.31483752,8.589199,2017-05-04 11:18:27,65.08119296930428
6.0956373,0.22744916,5.400122,2017-05-04 11:18:28,56.975308841298926
4.43885,-0.12210429,7.991845,2017-05-04 11:18:29,69.01557190296684
8.763975,-0.37229836,3.4632127,2017-05-04 11:18:30,57.716221344163216
8.553286,-0.2813187,4.248511,2017-05-04 11:18:31,62.64030295855284
8.559271,-0.2837129,4.2760444,2017-05-04 11:18:32,74.49983194283982
8.859743,-0.2645593,4.298789,2017-05-04 11:18:33,69.80949082803276
8.523358,-0.29688102,4.337096,2017-05-04 11:18:34,66.2941180943682
8.4826565,-0.260968,4.3766007,2017-05-04 11:18:35,72.46355274289502
8.469488,-0.2741361,4.378995,2017-05-04 11:18:36,42.82448060034794
8.479065,-0.272939,4.370615,2017-05-04 11:18:38,56.20465868537333
8.480263,-0.2825158,4.417302,2017-05-04 11:18:39,45.81919201822046
8.463503,-0.2657564,4.396951,2017-05-04 11:18:40,59.14687125519144
8.459911,-0.2813187,4.392163,2017-05-04 11:18:41,61.879003800863
