ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
9.241618,-3.514688,1.2641385,-0.021908032,-0.7752952,0.85016936,8.6609,-1.3406098,4.4002256,0.5328346,-2.336884,-2.9156077,-0.00845332,-0.52495664,0.11662949,2017-05-24 10:55:55,73.64341914726059
8.542512,-2.3080103,4.5681367,0.6090759,0.63282204,-0.012331771,8.845939,-3.9353614,1.5597119,-0.45580444,1.6199024,2.7034569,-0.0374697,-0.64735836,0.2687221,2017-05-24 10:55:56,56.56729752511097
9.691729,-2.2601264,2.8921957,-0.28887358,0.19104372,-0.30331197,8.813121,-2.7052686,3.3437724,0.298892,0.4170504,0.3609621,0.012792547,-0.57389146,0.2576674,2017-05-24 10:55:57,65.40312570456568
9.3182335,-1.9728222,1.685518,0.039310057,-0.041706376,-0.002341693,9.264538,-2.5908105,1.9043176,0.9098615,0.60223985,-0.43331993,0.0088581275,-0.6346877,0.21846992,2017-05-24 10:55:58,71.43287122848572
8.781932,-2.7964275,1.2737153,0.07836851,-0.39336163,-0.15204287,9.355279,-2.4828851,1.5762051,-0.43395156,-0.4863507,0.07185691,0.024671772,-0.6473231,0.2233221,2017-05-24 10:55:59,76.69460321018312
8.647857,-2.9783869,3.3423057,-0.1773283,0.6777515,0.21851946,8.943603,-3.1789424,2.4650924,-0.3764043,0.18246602,1.0217164,-0.025016293,-0.6113014,0.23422231,2017-05-24 10:56:00,75.08710607450365
9.021352,-3.371036,2.9592333,-0.13382429,0.24576463,-0.14133297,9.0455885,-3.0191066,2.2875128,0.06642413,-0.2089155,0.055186972,-0.024787087,-0.61867183,0.2185919,2017-05-24 10:56:01,75.1299499404045
9.165004,-3.3423057,1.9728222,0.423669,-0.49738052,-0.2871453,9.399151,-2.499789,1.2559427,-0.25989807,-0.41496545,-0.016491104,0.028661216,-0.65965396,0.22435413,2017-05-24 10:56:02,53.80118061978195
8.504205,-3.3518825,3.4763808,-0.11177342,-0.15507053,-0.13562444,8.870396,-3.398615,2.4363635,0.25523686,0.19783317,-0.09366379,0.031601734,-0.6121939,0.32033098,2017-05-24 10:56:03,78.12369244772634
8.743625,-4.0414124,2.4229321,4.6613166E-4,0.006983294,0.18917294,8.64453,-3.5110736,3.0190837,0.0043910323,-0.3707255,-0.17243116,0.0056823273,-0.5882493,0.31152657,2017-05-24 10:56:04,77.12717316082774
8.389283,-4.271256,4.003105,-0.13891369,-0.07038068,0.22221102,8.383764,-3.9807153,3.1680899,-0.26603737,-0.21435171,1.0542179,-0.023136955,-0.5813235,0.3193627,2017-05-24 10:56:05,78.57196754462085
8.37013,-4.6830587,2.4229321,-0.06311392,-0.21444887,0.1582387,8.228392,-4.4515657,2.940669,0.05277968,-0.2883151,-0.74779314,-0.074677445,-0.5869335,0.29104322,2017-05-24 10:56:06,78.15680305269277
8.686164,-3.916914,2.4516625,0.011145456,-0.06613751,-0.008902962,8.592454,-4.047979,2.4400826,0.070086926,0.12531859,0.079681605,-0.045830525,-0.6111383,0.28236732,2017-05-24 10:56:07,78.5530339355331
