ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.10534488,0.12449849,10.228029,-0.0,0.0,0.0,-0.15094912,0.09423806,9.805036,0.096467726,0.0011043696,0.2740214,0.0031759625,0.008499328,0.19914348,2017-05-24 11:13:09,65.93975398039969
-0.076614454,0.05746084,9.864111,-0.0017487061,0.0056296396,-0.06542662,-0.018039394,0.062149286,9.8064375,-0.06368269,-0.0076678945,0.85829467,0.0029231305,0.0015304321,0.19849223,2017-05-24 11:13:10,49.04840207895312
-0.047884032,0.047884032,9.078813,-0.010445194,-0.012008503,0.022575071,-0.037735768,0.072075106,9.806313,-0.003125273,-0.031214068,1.4032333,0.0032140596,0.002622225,0.20064577,2017-05-24 11:13:11,47.55441487921207
-0.038307227,0.047884032,9.998186,-0.011690347,-0.008044218,-0.019256976,-0.050285377,0.06164652,9.806329,-0.0041960133,-0.007165128,0.29996935,0.0025648766,0.0031422954,0.2006129,2017-05-24 11:13:12,66.51712876517526
-0.047884032,0.06703765,9.950302,3.0278752E-4,0.0025708121,0.006401794,-0.038595352,0.06542805,9.806356,-0.015886035,0.029914381,0.082015544,0.0028663764,0.0026047337,0.20323212,2017-05-24 11:13:13,68.57832060271507
-0.06703765,0.06703765,10.333375,0.0021315808,0.009854724,0.01672754,-0.038922213,0.068541355,9.806334,0.07978326,-0.014059966,0.041177776,0.0030283043,0.0026420197,0.19957311,2017-05-24 11:13:14,67.21496790017244
-0.019153614,0.076614454,9.892841,3.14097E-4,5.1176624E-4,0.012904745,-0.04620392,0.06823249,9.806304,0.018963229,0.013489596,0.06844757,0.0029210271,0.00301995,0.20534617,2017-05-24 11:13:15,66.17101806264094
-0.047884032,0.095768064,9.988609,-0.001979714,0.0072087143,0.0116124945,-0.030657042,0.0628915,9.8064,-0.023824347,0.04607128,0.15007322,0.002827364,0.0021751998,0.20082219,2017-05-24 11:13:16,65.53606545246393
-0.047884032,0.076614454,9.883265,-0.0039484426,0.005368556,-0.0018089038,-0.05351747,0.05552894,9.806348,0.012656425,-0.014667895,0.13650607,0.0022184667,0.0032464885,0.20296103,2017-05-24 11:13:17,52.38602625521529
-0.009576807,0.02873042,9.911995,-0.0028915906,0.017772572,-0.02986152,-0.009146868,0.07258914,9.806377,0.009146868,-0.018107748,0.08199476,0.0035305293,0.0012043852,0.2020056,2017-05-24 11:13:18,44.852444253073486
-0.2681506,0.02873042,9.624691,-0.013946587,0.035951994,0.046484005,-0.07090913,0.056647025,9.806231,-0.16063677,-0.02940633,0.082141906,0.0020857474,0.004130691,0.20499334,2017-05-24 11:13:19,56.18666346212608
0.1340753,0.12449849,10.5919485,9.1562346E-5,0.0018588186,0.053456206,-0.0473642,0.060298353,9.806351,0.14270663,0.03504408,0.46339107,0.0025403185,0.0029716098,0.19636491,2017-05-24 11:13:20,69.65729144422613
-0.047884032,0.05746084,9.873688,0.0021122866,-0.037561074,0.019917041,-0.051898576,0.05438822,9.806362,0.024657879,9.316954E-5,0.054769028,0.0021850741,0.0031491478,0.20084606,2017-05-24 11:13:21,67.00315859939387
-0.019153614,0.08619126,10.007763,-0.0051811794,0.001237735,0.020019414,-0.029653946,0.046900157,9.806494,0.029653946,0.034821928,0.09549872,0.0020376295,0.0019626785,0.20145905,2017-05-24 11:13:22,70.56229155076208
