ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
6.373689,6.8920226,3.1743963,10.0,4.438797,8.295009,2.7677257,1.603373,-0.89810467,0.37345576,0.51301235,0.30936,0.68807405,2017-06-02 12:03:37,45.38778969087227
6.557054,4.48739,5.8448725,12.0,7.0227976,5.9371905,3.4059465,-0.73205566,-0.9084544,1.6877966,0.5424192,0.17923857,0.7613966,2017-06-02 12:03:38,55.82861506715173
8.063738,0.17717895,6.0248494,12.0,8.019135,0.8498427,5.5804677,-0.31881142,-0.23259598,0.17884445,0.46218693,-0.043111138,0.86832553,2017-06-02 12:03:39,62.82026824155632
8.879457,-0.556311,5.153186,18.0,8.109659,-0.078238465,5.5134096,0.035455704,-0.307192,-0.045613766,0.45440078,-0.07247998,0.87771785,2017-06-02 12:03:40,60.43370392718061
8.953188,-0.48825684,5.298141,12.0,8.5731325,0.090228446,4.760635,-0.03669262,-0.1627449,0.39169645,0.50605154,-0.07372274,0.8481363,2017-06-02 12:03:41,40.45448896149285
8.440874,-1.7586273,7.1737814,14.0,8.705479,-0.46733797,4.4907265,-0.40720844,-0.13664436,1.1655798,0.5433532,-0.10043437,0.82284826,2017-06-02 12:03:42,64.39652577987044
9.194216,-0.87201536,3.9847798,12.0,9.188839,-0.63181317,3.3669627,-0.6104078,0.7966313,0.36608768,0.55904686,-0.09512248,0.81936747,2017-06-02 12:03:43,71.02725395342718
9.050554,-1.2765716,4.7504206,12.0,8.518098,-0.46485192,4.8369727,-0.06684208,-0.11713764,0.11120558,0.49993867,-0.07804224,0.85909873,2017-06-02 12:03:44,73.30713226861431
9.081743,-3.4439607,3.0488992,24.0,6.3219614,-3.210738,6.774537,0.3306465,-0.6204617,0.04296398,0.39185002,-0.19461976,0.8988809,2017-06-02 12:03:45,59.66172397835331
8.154482,-3.7294068,5.2193346,14.0,7.740088,-3.253604,5.067098,0.036781788,-0.08256674,0.013731003,0.44981506,-0.19828337,0.8707034,2017-06-02 12:03:46,67.37178385223176
9.164919,-2.4590364,4.164757,14.0,8.0025835,-2.485414,5.0942874,0.6427231,0.30106926,-0.7984252,0.4680698,-0.14551392,0.8716285,2017-06-02 12:03:47,73.60902242511094
8.686632,-2.1225343,5.184313,10.0,8.323749,-1.776242,4.8714023,-0.027607918,0.050635457,0.060608864,0.49152064,-0.110010274,0.8638544,2017-06-02 12:03:48,67.95612583553661
8.504213,-2.323874,5.471302,14.0,7.964363,-1.7949299,5.433004,0.086174965,-0.10560095,-0.10827255,0.4604161,-0.10493288,0.88147694,2017-06-02 12:03:49,72.75475355561402
7.937074,-2.1215882,5.5452404,14.0,8.269141,-1.7744293,4.9641814,-0.5711088,0.04962468,0.2719202,0.48572722,-0.104719974,0.86781454,2017-06-02 12:03:50,31.094572599003406
9.435244,-1.9845337,3.2989197,20.0,7.8252473,-1.8463225,5.6148896,0.087767124,-0.114260435,0.13933325,-0.47900742,0.09770699,-0.87223727,2017-06-02 12:03:51,65.12720463936544
9.114824,-2.1376557,4.624923,14.0,8.313916,-1.5184894,4.9742713,-0.302742,0.1215204,0.45904922,-0.49416572,0.09128377,-0.8645602,2017-06-02 12:03:52,61.313764090612494
8.917269,-1.9779266,5.0753527,14.0,8.429667,-1.5211536,4.77464,0.023647308,-0.048350573,0.09048271,-0.49930626,0.085172564,-0.8621895,2017-06-02 12:03:53,59.39411026646418
