ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.2545624,-0.3543396,9.825806,-0.006790161,0.08418274,0.005584717,7.0,1.2494421,-0.3960551,9.718664,0.01163578,0.025051832,-0.0041570663,-0.054528657,-0.038893327,-0.59925634,2017-01-03 09:22:14,-Infinity
1.043869,-0.4118042,9.777924,-0.002319336,0.017211914,0.009246826,13.0,0.9953113,-0.3928034,9.748099,0.013963461,0.00294739,-0.033263206,-0.046526283,-0.028645186,-0.5987352,2017-01-03 09:22:15,38.74893846795487
1.1204834,-0.37348938,9.825806,0.0021514893,0.0041656494,0.0029296875,6.0,1.0412215,-0.3766012,9.743942,0.04665649,-0.005393535,4.4822693E-4,-0.047328163,-0.030939339,-0.60004383,2017-01-03 09:22:16,36.07065122563737
1.0726013,-0.3830719,9.787491,0.0025634766,0.01272583,0.0074157715,4.0,1.0455245,-0.3927227,9.742846,0.07322478,0.015250146,0.024993896,-0.04810573,-0.030642783,-0.5996661,2017-01-03 09:22:17,36.22719671195784
1.0343018,-0.43095398,9.816223,-0.0021209717,0.011306763,0.005569458,5.0,0.9855159,-0.4052583,9.748585,0.046906948,0.020642698,-0.024489403,-0.046786994,-0.027775373,-0.6002427,2017-01-03 09:22:18,31.480258601506534
1.0630188,-0.37348938,9.969452,0.0015411377,0.0098724365,0.005783081,9.0,1.0359204,-0.38874182,9.744031,0.059717894,0.03729254,-0.2010889,-0.04760252,-0.030441733,-0.59851205,2017-01-03 09:22:19,26.341591160756444
1.0151367,-0.36392212,9.806656,-0.002319336,0.007232666,0.0078125,7.0,0.9550007,-0.39294645,9.752126,0.04022813,-0.00840807,0.028608322,-0.045279354,-0.027014032,-0.59838647,2017-01-03 09:22:20,44.7178166648454
1.0151367,-0.39265442,9.864105,-0.0019226074,0.009674072,0.004547119,7.0,0.9419016,-0.39198893,9.753438,0.03988862,0.015930682,-0.034104347,-0.044859696,-0.026470197,-0.59906256,2017-01-03 09:22:21,44.860474241271106
1.0055695,-0.40222168,9.777924,-0.005783081,0.011917114,0.0033416748,7.0,0.9397782,-0.39949727,9.753338,0.07676309,0.017693222,-0.0019168854,-0.04512114,-0.026119648,-0.5996617,2017-01-03 09:22:22,39.38390868701628
0.99598694,-0.4405365,9.758759,-0.0034332275,-6.713867E-4,-7.6293945E-5,9.0,0.9432209,-0.38667372,9.753523,0.05013156,0.02650705,0.019924164,-0.04469813,-0.026661273,-0.59952044,2017-01-03 09:22:23,41.59428258433901
1.0151367,-0.39265442,9.816223,-0.0011901855,0.001159668,5.340576E-4,9.0,0.9877014,-0.376229,9.749527,5.8686733E-4,0.027217537,0.008662224,-0.045629274,-0.02881698,-0.5991715,2017-01-03 09:22:24,42.49083804761256
1.0151367,-0.42138672,9.816223,-0.0016021729,0.001159668,0.0019683838,9.0,0.9885579,-0.3845298,9.749117,-0.009152412,-0.0073195696,-0.006483078,-0.04599874,-0.028592011,-0.59926814,2017-01-03 09:22:25,38.24860363250281
1.0151367,-0.36392212,9.854538,2.4414063E-4,-8.69751E-4,1.2207031E-4,7.0,0.99774384,-0.37928063,9.748386,0.0054585934,0.0013197064,-0.0043497086,-0.04606308,-0.029134326,-0.5991576,2017-01-03 09:22:26,41.015089670357625
0.99598694,-0.33518982,9.825806,-3.8146973E-4,-0.0012817383,-2.746582E-4,9.0,0.99129117,-0.37680203,9.749141,0.0059298873,0.010819048,-0.0043725967,-0.045762923,-0.028946644,-0.59916025,2017-01-03 09:22:27,42.703031049893525
1.0151367,-0.40222168,9.959885,0.0020599365,-4.7302246E-4,-2.746582E-4,7.0,0.9993453,-0.37403187,9.7484255,-0.020300627,0.006431699,0.043667793,-0.04589503,-0.029364713,-0.5990854,2017-01-03 09:22:28,17.400911705845537
1.0055695,-0.37348938,9.816223,0.0010528564,0.0013580322,0.0017547607,11.0,0.9926665,-0.37291586,9.74915,-0.015451908,0.008413166,0.016033173,-0.045644328,-0.029124992,-0.5991059,2017-01-03 09:22:29,15.352941200427706
1.0151367,-0.40222168,9.931152,0.001449585,-6.713867E-4,-0.0019073486,9.0,0.9888369,-0.37096933,9.749614,0.0035319328,-0.0093847215,0.06500816,-0.04544654,-0.029028486,-0.5991017,2017-01-03 09:22:30,14.037637617010652
1.0151367,-0.3543396,9.854538,-3.8146973E-4,-4.7302246E-4,9.460449E-4,7.0,0.9979255,-0.37436053,9.748558,0.012447238,-0.0019779801,-0.025880814,-0.04586514,-0.029296016,-0.59909666,2017-01-03 09:22:31,36.98428970842771
0.96725464,-0.43095398,9.7300415,-0.0011901855,5.493164E-4,0.0015563965,11.0,0.9867124,-0.38156193,9.74942,-0.017745852,-4.017949E-4,-0.0023841858,-0.04581949,-0.028609164,-0.5992414,2017-01-03 09:22:32,36.894570401635285
1.0151367,-0.36392212,9.892838,-0.0022125244,5.493164E-4,-0.0012969971,9.0,0.99139386,-0.37741718,9.749106,0.016668677,-0.0013030767,0.0026006699,-0.04579151,-0.028931588,-0.5991672,2017-01-03 09:22:33,36.71127408413169
1.0151367,-0.3543396,9.806656,0.0018615723,-0.0029144287,-0.0029144287,9.0,0.9952045,-0.37796825,9.748697,0.004008651,-0.013748437,-0.030034065,-0.04593102,-0.029071027,-0.59915453,2017-01-03 09:22:34,36.402021490037264
0.9864044,-0.34477234,9.806656,0.0022735596,-0.0027160645,0.0019683838,9.0,0.98793405,-0.3731129,9.749623,-0.0060938,0.005097151,0.010110855,-0.04550754,-0.028924195,-0.5991324,2017-01-03 09:22:35,42.003736884997124
1.0151367,-0.3830719,9.864105,8.392334E-4,-8.69751E-4,-0.0012969971,9.0,0.99336874,-0.3835774,9.748666,-0.013453901,-0.02451548,-0.034443855,-0.04610675,-0.028819695,-0.59923214,2017-01-03 09:22:36,42.53388441872197
0.9864044,-0.36392212,9.768341,6.4086914E-4,-8.69751E-4,-6.866455E-4,7.0,0.9890716,-0.38402107,9.749084,-0.011117637,0.005435616,5.979538E-4,-0.045993447,-0.028629085,-0.5992594,2017-01-03 09:22:37,34.81801704621122
1.0247192,-0.3830719,9.88327,2.2888184E-4,-4.7302246E-4,9.460449E-4,9.0,0.98930013,-0.3805455,9.749198,0.008954167,-0.0033042133,-0.0073080063,-0.045856737,-0.028747432,-0.5992159,2017-01-03 09:22:38,44.94447939494406
0.97683716,-0.40222168,9.797073,0.003692627,7.4768066E-4,9.460449E-4,9.0,0.9890244,-0.3761115,9.749397,-0.017953753,0.00287202,-5.607605E-4,-0.04566494,-0.028875068,-0.59916335,2017-01-03 09:22:39,37.0235593953118
1.0055695,-0.43095398,9.768341,-0.0014953613,9.765625E-4,1.6784668E-4,7.0,0.9956925,-0.38069627,9.748541,0.019426942,0.0015842617,0.012712479,-0.04605879,-0.029005583,-0.5991852,2017-01-03 09:22:40,42.4913382010623
1.0151367,-0.3543396,9.825806,-0.0027160645,-4.4250488E-4,0.0015869141,9.0,0.985007,-0.3838565,9.749503,-0.010095835,0.01225847,-0.016338348,-0.04586211,-0.028467111,-0.5992779,2017-01-03 09:22:41,35.39368223598346
1.0055695,-0.3830719,9.825806,-0.003112793,-0.0020751953,3.5095215E-4,7.0,0.98333055,-0.3863396,9.749574,0.00360775,0.03342372,-0.030442238,-0.045913402,-0.02832034,-0.59931654,2017-01-03 09:22:42,15.144232237757329
