ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
8.341,-2.911,5.995,4.0,2017-04-09 18:38:08,5.3426414085623115
7.872,-2.873,5.669,3.0,2017-04-09 18:38:08,36.117882167094336
7.853,-2.882,5.602,3.0,2017-04-09 18:38:08,44.86681416421891
7.881,-2.901,5.612,0.0,2017-04-09 18:38:09,47.84009895135039
7.843,-2.882,5.602,1.0,2017-04-09 18:38:10,63.479483968418535
7.862,-2.911,5.621,1.0,2017-04-09 18:38:11,47.652873235224284
7.862,-2.882,5.612,3.0,2017-04-09 18:38:12,53.23249362047886
7.862,-2.901,5.631,1.0,2017-04-09 18:38:13,47.886198817478125
7.853,-2.873,5.64,1.0,2017-04-09 18:38:14,55.40196330941722
7.891,-2.873,5.65,1.0,2017-04-09 18:38:15,41.74411996236071
7.872,-2.892,5.631,1.0,2017-04-09 18:38:16,40.90112706106595
7.872,-2.892,5.64,0.0,2017-04-09 18:38:17,61.1830506462896
7.901,-2.911,5.64,0.0,2017-04-09 18:38:18,40.99865318050243
7.872,-2.853,5.65,1.0,2017-04-09 18:38:19,42.786279775714505
7.872,-2.882,5.64,1.0,2017-04-09 18:38:20,43.07646019439218
7.853,-2.911,5.621,1.0,2017-04-09 18:38:21,39.14179627406577
7.881,-2.901,5.621,1.0,2017-04-09 18:38:22,64.74327477025531
7.853,-2.882,5.669,3.0,2017-04-09 18:38:23,44.70350674195029
7.862,-2.863,5.66,3.0,2017-04-09 18:38:24,57.07504420711999
7.872,-2.892,5.679,1.0,2017-04-09 18:38:26,64.83253082503768
7.862,-2.882,5.583,5.0,2017-04-09 18:38:27,49.33741677809037
7.853,-2.882,5.631,1.0,2017-04-09 18:38:28,53.893376580695964
7.862,-2.901,5.602,0.0,2017-04-09 18:38:29,47.272196916623884
7.843,-2.911,5.669,0.0,2017-04-09 18:38:30,52.84870982876893
7.862,-2.882,5.631,3.0,2017-04-09 18:38:31,41.24036873056995
7.881,-2.901,5.573,1.0,2017-04-09 18:38:32,42.9650001076822
7.853,-2.892,5.621,0.0,2017-04-09 18:38:33,65.76520622570007
7.843,-2.882,5.602,0.0,2017-04-09 18:38:34,59.92374079824717
7.853,-2.892,5.602,1.0,2017-04-09 18:38:35,65.16686631625555
7.862,-2.901,5.612,0.0,2017-04-09 18:38:36,61.01152232700683
7.872,-2.863,5.66,1.0,2017-04-09 18:38:37,40.44478665060491
7.881,-2.901,5.66,1.0,2017-04-09 18:38:38,60.26675976554866
7.872,-2.882,5.669,1.0,2017-04-09 18:38:39,43.83432757289812
7.872,-2.901,5.669,1.0,2017-04-09 18:38:40,55.50314589317345
7.843,-2.882,5.65,1.0,2017-04-09 18:38:41,66.12172891819547
7.853,-2.921,5.679,0.0,2017-04-09 18:38:42,44.63895801840408
7.853,-2.882,5.66,1.0,2017-04-09 18:38:43,57.54729298507592
7.862,-2.892,5.612,1.0,2017-04-09 18:38:44,57.772754830103246
7.872,-2.921,5.621,0.0,2017-04-09 18:38:45,42.90816411607152
7.872,-2.873,5.526,1.0,2017-04-09 18:38:46,64.4323238035691
7.872,-2.873,5.66,3.0,2017-04-09 18:38:47,48.240378925383894
7.843,-2.892,5.631,0.0,2017-04-09 18:38:48,43.4350931200828
7.881,-2.882,5.66,3.0,2017-04-09 18:38:49,42.612304953570444
7.862,-2.892,5.65,0.0,2017-04-09 18:38:50,44.81947927942472
7.843,-2.892,5.679,1.0,2017-04-09 18:38:51,42.55928187572564
7.824,-2.911,5.631,1.0,2017-04-09 18:38:52,62.70275889213537
7.862,-2.901,5.631,1.0,2017-04-09 18:38:53,61.49656253026514
7.862,-2.882,5.631,0.0,2017-04-09 18:38:54,46.25876580406609
7.862,-2.892,5.679,1.0,2017-04-09 18:38:55,41.71338635937039
7.843,-2.882,5.688,1.0,2017-04-09 18:38:56,39.77309426282177
7.853,-2.901,5.631,0.0,2017-04-09 18:38:57,56.50012697772746
7.853,-2.901,5.66,1.0,2017-04-09 18:38:58,65.41316105260178
7.862,-2.901,5.64,1.0,2017-04-09 18:38:59,41.51770226010278
7.862,-2.911,5.631,1.0,2017-04-09 18:39:00,41.54143764271376
7.853,-2.959,5.583,0.0,2017-04-09 18:39:01,42.277352764390386
7.872,-2.901,5.65,1.0,2017-04-09 18:39:02,45.214498756423836
7.853,-2.892,5.621,1.0,2017-04-09 18:39:03,55.30939016598671
7.881,-2.892,5.64,1.0,2017-04-09 18:39:05,45.11179960161563
7.881,-2.892,5.621,0.0,2017-04-09 18:39:06,42.69946716456645
7.862,-2.901,5.621,1.0,2017-04-09 18:39:07,40.59863079622886
7.843,-2.892,5.65,1.0,2017-04-09 18:39:08,61.65895422458832
7.872,-2.873,5.631,3.0,2017-04-09 18:39:09,58.884375615891756
7.862,-2.873,5.65,1.0,2017-04-09 18:39:10,60.022467594682915
7.872,-2.901,5.631,3.0,2017-04-09 18:39:11,62.4307863417811
7.872,-2.873,5.65,1.0,2017-04-09 18:39:12,42.31065272782821
7.843,-2.882,5.64,1.0,2017-04-09 18:39:13,43.77300131234706
7.843,-2.892,5.593,0.0,2017-04-09 18:39:14,42.36265978893154
7.891,-2.873,5.64,3.0,2017-04-09 18:39:15,43.28072718010471
7.862,-2.901,5.64,1.0,2017-04-09 18:39:16,64.35657642180436
7.862,-2.844,5.631,3.0,2017-04-09 18:39:17,41.579466007289184
7.872,-2.892,5.602,1.0,2017-04-09 18:39:18,60.582232479645384
7.881,-2.892,5.631,3.0,2017-04-09 18:39:19,43.01814748513779
7.872,-2.901,5.631,1.0,2017-04-09 18:39:20,45.40981829442981
7.834,-2.959,5.593,4.0,2017-04-09 18:39:21,59.90820349392344
7.843,-2.853,5.621,1.0,2017-04-09 18:39:22,64.78245252323057
7.872,-2.892,5.631,4.0,2017-04-09 18:39:23,55.775931314722236
7.843,-2.873,5.66,1.0,2017-04-09 18:39:24,60.78242263766882
7.862,-2.863,5.631,1.0,2017-04-09 18:39:25,45.173526764397295
7.853,-2.815,5.755,0.0,2017-04-09 18:39:26,44.45901696811805
7.853,-2.892,5.64,1.0,2017-04-09 18:39:27,65.3870860485046
7.881,-2.901,5.66,3.0,2017-04-09 18:39:28,66.44576818512252
7.872,-2.863,5.66,0.0,2017-04-09 18:39:29,63.254894848540516
7.843,-2.882,5.631,4.0,2017-04-09 18:39:30,54.008757778735436
7.843,-2.911,5.66,3.0,2017-04-09 18:39:31,55.13342538810687
7.853,-2.921,5.679,1.0,2017-04-09 18:39:32,39.92996175959743
7.824,-2.901,5.64,0.0,2017-04-09 18:39:33,58.42417611601164
7.843,-2.853,5.707,3.0,2017-04-09 18:39:34,49.61749309729576
6.857,-3.122,6.828,4.0,2017-04-09 18:39:35,54.64420158075251
