ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.21308395,0.21308395,9.715671,-0.002130529,0.002130529,-0.0010652645,154.0,0.22145592,0.22341378,9.801603,-0.017948776,-0.01870954,-0.076355934,0.006502,-0.014664,-0.36385,2017-06-19 14:23:08,47.915284270145705
0.22625206,0.22385786,9.727641,0.0031957934,0.0010652645,-0.0010652645,155.0,0.22251995,0.21674718,9.801729,0.007323414,-0.008451626,-0.090847015,0.006158,-0.014594,-0.364336,2017-06-19 14:23:09,55.653066714494116
-0.24301147,-0.49919105,9.55885,-0.024501082,0.039414786,0.7318367,155.0,-0.11029476,0.24539505,9.8029585,1.1541667,-0.6320586,-0.18425274,0.01366,0.001267,-0.323932,2017-06-19 14:23:10,56.54868454185997
2.6623523,0.2693477,10.656591,-0.0063915867,-0.16618125,1.2080098,156.0,0.46636775,-0.094278485,9.7951,1.1580981,-0.32949522,-0.6600237,-5.07E-4,-0.024261,0.177572,2017-06-19 14:23:11,53.35902332960635
2.088941,-0.1592144,10.748769,0.5400891,0.551807,0.06391586,137.0,0.6770013,-1.1575298,9.714534,1.2706819,-0.19399703,-0.3412342,-0.044388,-0.052214,0.329895,2017-06-19 14:23:12,54.90799610619577
1.5286977,0.89064306,9.544485,0.0,-0.004261058,-0.0010652645,97.0,1.5390232,0.87060374,9.645924,0.031573176,-0.021859229,-0.13495731,0.072141,-0.054685,0.394569,2017-06-19 14:23:13,64.95992945388262
1.3084313,0.2777274,10.084377,-0.027696876,0.19068234,0.17044231,10.0,4.875028,-0.16779728,8.507425,-2.6723626,0.4562986,1.1316309,0.107832,-0.233697,0.434796,2017-06-19 14:23:14,52.60595412947449
3.4979286,2.0757728,8.579621,-0.04474111,-0.28336033,-0.043675844,11.0,2.7442575,-0.9430123,9.367505,0.36940193,0.2881981,-0.27073574,0.014686,-0.148911,0.411543,2017-06-19 14:23:16,64.90752876108796
1.6687586,-0.092176765,8.978256,-0.9012137,-0.4708469,-0.8607337,10.0,2.1716192,-0.030728394,9.563132,-0.39153016,0.5993513,0.863616,0.059991,-0.093899,0.546831,2017-06-19 14:23:17,53.28826866490735
1.1504139,0.19273324,9.623494,0.002130529,0.0063915867,-0.0010652645,103.0,1.1207112,0.18133266,9.740714,0.00456357,0.005415067,-0.07651901,0.036937,-0.044693,0.504904,2017-06-19 14:23:18,54.21629380777386
1.1935096,0.18315643,9.657013,0.0,-0.007456851,-0.0010652645,105.0,1.1902511,0.19419262,9.732214,-0.0075154305,0.0033290237,-0.102734566,0.039146,-0.047569,0.501849,2017-06-19 14:23:19,58.05424062930831
1.2054806,0.18555063,9.628283,0.0,-0.0053263223,0.0,105.0,1.2125304,0.19571231,9.729432,-0.019020796,-0.005373284,-0.097558975,0.039753,-0.048546,0.501188,2017-06-19 14:23:20,53.721252361378774
1.2042835,0.16280572,9.617508,0.002130529,0.0,0.0,105.0,1.2152715,0.18488888,9.729301,-0.021761894,-0.013703465,-0.1201725,0.039349,-0.048942,0.501251,2017-06-19 14:23:21,52.198565503661925
1.210269,0.17118542,9.617508,0.0010652645,0.0,0.0010652645,106.0,1.2173281,0.18847136,9.728976,-0.03219819,0.005458981,-0.07555485,0.039562,-0.04894,0.501276,2017-06-19 14:23:22,51.939756970276804
1.2186487,0.17597382,9.634268,-0.0010652645,0.0,0.0010652645,105.0,1.2217296,0.18599628,9.728472,0.007692933,-0.023190558,-0.10976601,0.039573,-0.049193,0.501391,2017-06-19 14:23:23,51.93357912407375
1.1947067,0.18076223,9.624691,0.0010652645,-0.0010652645,0.0,105.0,1.2309799,0.19458446,9.727138,0.012807846,-0.007836729,-0.0868845,0.040191,-0.049383,0.501371,2017-06-19 14:23:24,51.09382424743317
1.22224,0.19632454,9.629479,0.0,0.0,0.0,106.0,1.237086,0.1896841,9.72646,-0.0028750896,-0.007724762,-0.12451458,0.040135,-0.049777,0.501414,2017-06-19 14:23:25,55.2412687670285
1.2246342,0.18315643,9.580399,0.0,-0.002130529,0.0,105.0,1.2435329,0.19276553,9.725577,-0.010519028,-0.022777215,-0.08771801,0.040436,-0.049985,0.501377,2017-06-19 14:23:26,53.256937265884645
1.2258313,0.16879122,9.619903,0.0010652645,0.002130529,0.0,107.0,1.2418809,0.18336545,9.72597,-0.018443823,-0.01457423,-0.076140404,0.039984,-0.050148,0.501486,2017-06-19 14:23:27,52.77455733844199
1.2521675,0.18794483,9.619903,0.002130529,0.0,-0.0010652645,106.0,1.2456728,0.19082236,9.725342,-0.0066734552,-0.024425343,-0.099453926,0.040405,-0.05013,0.501368,2017-06-19 14:23:28,53.22021225508172
1.2270284,0.18674773,9.616311,0.0010652645,0.0010652645,0.0,104.0,1.2498273,0.18236645,9.724972,0.009522796,-4.0711462E-4,-0.09549236,0.040141,-0.050529,0.501407,2017-06-19 14:23:29,54.877094414773424
1.2485762,0.17238252,9.605537,0.0010652645,-0.002130529,0.0010652645,106.0,1.2482274,0.17798683,9.725257,-0.0068337917,-0.005604312,-0.09697437,0.039894,-0.05058,0.501203,2017-06-19 14:23:31,53.21370331023231
1.2378023,0.18435353,9.598354,0.002130529,0.0010652645,0.0,108.0,1.2533213,0.18385182,9.724493,-0.011927724,-0.025834516,-0.09142208,0.040274,-0.050664,0.501012,2017-06-19 14:23:32,51.09375303443974
1.246182,0.17238252,9.598354,0.002130529,-0.002130529,0.0,105.0,1.2563399,0.1806912,9.724163,-0.038888335,0.010844931,-0.1198225,0.040198,-0.05089,0.500769,2017-06-19 14:23:33,53.405247257504726
1.2425907,0.18914193,9.616311,0.0,-0.0010652645,-0.0010652645,107.0,1.2604526,0.18720266,9.723507,-0.031030059,-0.014820144,-0.09761906,0.040579,-0.050916,0.500541,2017-06-19 14:23:34,54.47916255058885
1.2605472,0.19033903,9.617508,0.002130529,0.002130529,-0.0010652645,108.0,1.2638447,0.1897838,9.723018,-0.008085966,0.018511757,-0.13304234,0.040771,-0.051008,0.500374,2017-06-19 14:23:35,53.061781702367654
1.2389994,0.17836803,9.594764,0.002130529,0.002130529,0.0,105.0,1.2590601,0.18494545,9.723731,-0.032031775,-0.01615423,-0.10861683,0.040432,-0.050921,0.500352,2017-06-19 14:23:36,52.72595567390023
1.2425907,0.18076223,9.625888,0.0010652645,-0.002130529,-0.0010652645,105.0,1.2589027,0.18076764,9.72383,-0.013917804,0.0203453,-0.14343166,0.040238,-0.051025,0.500266,2017-06-19 14:23:37,52.02159270222417
1.2557588,0.18794483,9.637859,-0.002130529,0.0010652645,0.0,108.0,1.2671088,0.18218526,9.722738,-0.03170073,-0.015788242,-0.113609314,0.040498,-0.051364,0.500016,2017-06-19 14:23:38,51.14680489344772
1.2665327,0.16998832,9.607931,-0.0010652645,0.0010652645,0.0010652645,105.0,1.2661049,0.18166372,9.722878,-0.030696869,-0.0044927895,-0.08501911,0.040445,-0.051336,0.499949,2017-06-19 14:23:39,52.86588693016452
1.2545617,0.19512744,9.622296,0.0010652645,0.0,0.0,105.0,1.2653224,0.18655102,9.722888,-0.014352083,-0.009380087,-0.12692738,0.040635,-0.051181,0.499848,2017-06-19 14:23:40,52.863862336649355
1.2605472,0.17597382,9.643845,-0.002130529,0.0010652645,0.0010652645,106.0,1.269342,0.18344076,9.722423,-0.012386084,-0.01584664,-0.083366394,0.040592,-0.051446,0.499693,2017-06-19 14:23:41,52.03766614168933
1.2497733,0.18555063,9.603143,0.0010652645,0.0031957934,0.0,105.0,1.2727128,0.18753538,9.721904,-0.024136662,-0.003181845,-0.113972664,0.040851,-0.051498,0.499538,2017-06-19 14:23:42,50.25678568618092
1.2473791,0.17477672,9.624691,0.002130529,0.0,-0.0010652645,105.0,1.2734432,0.18583599,9.721841,-0.027261257,-0.013453469,-0.10313511,0.040797,-0.051572,0.499577,2017-06-19 14:23:43,51.21605347527379
1.2485762,0.18076223,9.624691,0.0,0.0031957934,0.0,106.0,1.273898,0.18128248,9.721867,-0.007365346,0.0018739551,-0.0923872,0.04059,-0.051722,0.499291,2017-06-19 14:23:44,52.991482765295935
1.2401965,0.18555063,9.601946,0.0010652645,0.0031957934,0.0010652645,105.0,1.2678202,0.18667614,9.72256,-0.008470178,-0.0047168136,-0.12540245,0.040673,-0.051314,0.499307,2017-06-19 14:23:45,54.65405311570582
1.2797008,0.18794483,9.603143,-0.0010652645,0.0053263223,0.0,107.0,1.2717341,0.18721116,9.722038,-0.011186957,-0.005251825,-0.10213566,0.0408,-0.051472,0.499346,2017-06-19 14:23:46,54.55153896747022
1.2497733,0.19153613,9.64145,0.0,0.0010652645,-0.0010652645,108.0,1.2826033,0.17860869,9.720772,-0.0017054081,-0.0050290674,-0.09009552,0.040689,-0.052182,0.49917,2017-06-19 14:23:47,52.29262684769637
1.2785037,0.20111294,9.588778,0.002130529,0.0053263223,0.0,105.0,1.276684,0.18340456,9.721462,-0.011348486,-0.0062336326,-0.121910095,0.040741,-0.051803,0.499043,2017-06-19 14:23:48,51.34138303927162
1.2629414,0.17717093,9.611523,0.002130529,-0.002130529,0.0010652645,108.0,1.278831,0.18737485,9.721105,-0.013495445,0.0065554976,-0.13711548,0.040977,-0.051793,0.499123,2017-06-19 14:23:49,52.07253650191454
1.2761095,0.18076223,9.619903,0.0,0.0010652645,-0.0010652645,107.0,1.2788388,0.18419203,9.721164,-0.0063205957,-0.008218214,-0.13238621,0.040846,-0.051867,0.499285,2017-06-19 14:23:50,51.44494467753199
1.2844892,0.16160862,9.637859,0.002130529,0.010652645,-0.0010652645,107.0,1.2818489,0.18916245,9.720673,-0.026090145,0.023921505,-0.15583706,0.041143,-0.051874,0.499273,2017-06-19 14:23:51,52.590473487684434
1.2569559,0.17717093,9.655815,0.0,-0.0031957934,0.0,107.0,1.2744546,0.18099129,9.7218,-0.02228713,-0.039733395,-0.08753204,0.040584,-0.05176,0.499166,2017-06-19 14:23:52,53.98588306223913
1.2904748,0.18076223,9.603143,0.0010652645,-0.002130529,0.0010652645,108.0,1.2808893,0.18672073,9.720846,-0.0011885166,0.0024212003,-0.19192314,0.040996,-0.051905,0.499038,2017-06-19 14:23:53,54.577275112771915
1.2545617,0.20350714,9.5492735,-0.0010652645,-0.0063915867,0.0,107.0,1.2827349,0.1902288,9.720534,-0.006625414,-0.007072374,-0.20118809,0.041198,-0.051898,0.499022,2017-06-19 14:23:54,52.4631898404003
1.3096284,0.18674773,9.715671,0.0,0.014913702,-0.0010652645,107.0,1.2875301,0.18133765,9.72007,-0.022194505,0.005410075,0.03510475,0.04092,-0.052344,0.49889,2017-06-19 14:23:55,50.900024967950266
1.2677298,0.17357962,9.635465,0.002130529,0.0063915867,-0.0010652645,109.0,1.3019831,0.19705938,9.717838,-0.040238857,-0.011508748,-0.08357048,0.041986,-0.052586,0.498839,2017-06-19 14:23:56,50.14642142037288
1.2677298,0.17118542,9.640253,0.0,0.0063915867,-0.0010652645,107.0,1.2873932,0.18085276,9.720098,-0.017269254,-0.004878938,-0.12054539,0.040889,-0.052355,0.498791,2017-06-19 14:23:57,52.14453887933999
1.271321,0.18674773,9.646238,-0.0010652645,-0.0063915867,0.0,106.0,1.2781438,0.18657002,9.7212105,-0.008019805,-0.010596201,-0.15038872,0.040901,-0.051801,0.498745,2017-06-19 14:23:58,52.09151890943022
1.270124,0.19512744,9.603143,-0.0010652645,0.0010652645,0.0,109.0,1.2845447,0.18604963,9.720376,-0.002449751,-0.0064844936,-0.1244154,0.041033,-0.052106,0.49858,2017-06-19 14:23:59,51.408251044431836
1.3024458,0.18435353,9.624691,0.002130529,0.002130529,0.0,107.0,1.2899646,0.1860489,9.719659,-0.0138551,-0.011272177,-0.10933304,0.041163,-0.052354,0.498421,2017-06-19 14:24:00,53.87152532055672
1.2808979,0.17477672,9.623494,-0.0010652645,0.004261058,0.0,106.0,1.2852607,0.18459654,9.720309,-0.007954121,-0.0026372075,-0.10639191,0.040969,-0.052189,0.498281,2017-06-19 14:24:01,58.06156441286436
1.2904748,0.18076223,9.628283,0.0010652645,0.0,-0.0010652645,107.0,1.2917311,0.18610726,9.719423,-0.0072419643,-0.007739231,-0.09353542,0.041197,-0.052442,0.498188,2017-06-19 14:24:02,53.97345294093022
1.2725182,0.17836803,9.594764,0.002130529,0.0031957934,0.0,106.0,1.2867562,0.18094608,9.7201805,-0.0154351,0.0022103488,-0.07753277,0.04084,-0.052353,0.498185,2017-06-19 14:24:03,55.66528742639942
1.2749124,0.19991584,9.615114,0.0,-0.0010652645,0.0010652645,107.0,1.295735,0.18783738,9.718857,-0.028005242,-0.023834556,-0.13247299,0.04138,-0.052573,0.498241,2017-06-19 14:24:04,52.77051718548533
1.2868834,0.18794483,9.5971575,0.0010652645,-0.004261058,-0.0010652645,109.0,1.2971575,0.18608591,9.7187,-0.024639368,-0.008914977,-0.13111973,0.041349,-0.052673,0.498404,2017-06-19 14:24:05,52.94558517710282
1.2773066,0.18674773,9.593566,0.0010652645,0.002130529,-0.0010652645,107.0,1.3010236,0.18951024,9.718118,-0.024914145,-0.012339309,-0.08504677,0.041593,-0.052763,0.498283,2017-06-19 14:24:06,52.02455518959517
1.258153,0.18076223,9.607931,0.0010652645,0.002130529,0.0,109.0,1.2937977,0.18793778,9.719112,-0.008111477,-0.0011900514,-0.11836338,0.041339,-0.052481,0.498314,2017-06-19 14:24:07,51.16748377179101
1.2916719,0.19991584,9.617508,0.0010652645,0.0031957934,0.0010652645,109.0,1.3039975,0.18039557,9.717893,-0.02429676,-0.0128014535,-0.10517311,0.041265,-0.053128,0.498271,2017-06-19 14:24:08,51.29988970732902
1.282095,0.17357962,9.591172,-0.002130529,-0.0010652645,-0.0010652645,106.0,1.2977346,0.18498461,9.718644,0.015485048,-0.0066165775,-0.10472679,0.041293,-0.052744,0.498042,2017-06-19 14:24:10,53.57884045384729
1.2761095,0.1592144,9.599552,0.0010652645,0.002130529,0.0,107.0,1.3032534,0.1819131,9.717964,-0.036720753,0.0036375374,-0.083696365,0.041289,-0.053075,0.497879,2017-06-19 14:24:11,54.44042545352936
1.2797008,0.19033903,9.576807,0.0,-0.0010652645,-0.0010652645,107.0,1.2934909,0.17765082,9.719347,-0.009001732,0.0019143075,-0.09106445,0.040844,-0.052754,0.497801,2017-06-19 14:24:12,52.31375139748208
1.2988545,0.16759412,9.616311,0.0010652645,0.0010652645,0.0010652645,106.0,1.2989451,0.18249361,9.71853,-0.0144559145,0.01502803,-0.14890575,0.041191,-0.052879,0.497669,2017-06-19 14:24:13,51.64736068670883
1.2773066,0.17477672,9.588778,0.0,0.0,-0.0010652645,106.0,1.3004464,0.18853536,9.718214,-0.0063803196,0.0053949803,-0.119859695,0.041492,-0.052796,0.49758,2017-06-19 14:24:14,56.11594980049962
1.292869,0.17238252,9.646238,-0.002130529,-0.0010652645,0.0,106.0,1.2971249,0.18232787,9.718776,-0.00904429,-0.015930846,-0.10007,0.041118,-0.052817,0.497362,2017-06-19 14:24:15,52.40840860064546
1.2892777,0.19632454,9.546879,0.0010652645,-0.010652645,-0.0010652645,106.0,1.2933481,0.18300168,9.719267,-0.00646472,0.024096772,-0.08140755,0.041042,-0.052639,0.497218,2017-06-19 14:24:16,52.37444173423079
1.2749124,0.19752164,9.605537,0.0,-0.004261058,-0.002130529,107.0,1.2913915,0.18790951,9.719434,2.8038025E-4,-0.0059501827,-0.122276306,0.041202,-0.052433,0.497097,2017-06-19 14:24:17,52.42864075027335
1.3060371,0.17597382,9.600749,0.002130529,0.004261058,0.0,105.0,1.2982705,0.18284997,9.718614,-0.01138711,0.03023398,-0.10589409,0.041147,-0.052873,0.496975,2017-06-19 14:24:18,52.06929737713934
1.3036429,0.18794483,9.615114,0.0010652645,-0.004261058,-0.0010652645,108.0,1.2990229,0.18110617,9.718545,0.0022257566,-0.009920746,-0.09983921,0.041081,-0.052957,0.496844,2017-06-19 14:24:19,51.50878179670901
