ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.3919464,8.099187,5.22193,62.0,0.35988095,8.346453,5.135912,0.32485667,-0.458642,-0.030435562,0.40174535,0.27702355,0.5259864,2017-07-16 20:38:03,56.02446126257263
8.93609,0.25536042,3.2932284,62.0,6.9612956,3.0637827,6.1906366,6.450686,-3.5431163,-1.545917,0.38885525,-0.0028520224,0.7625277,2017-07-16 20:38:04,61.05215343520804
9.120157,-1.1066544,2.3660893,7.0,9.29134,-1.4240824,2.7952406,0.091285706,0.051359653,-0.35793066,0.5161652,-0.30175465,0.7452981,2017-07-16 20:38:05,33.865248819916914
8.024164,-2.1035569,4.6149626,44.0,8.866618,-1.0239894,4.062625,-0.15249443,-0.44204485,0.64855003,0.5109334,-0.1618312,0.83394855,2017-07-16 20:38:06,71.23446695237756
8.627237,-0.547908,4.2053003,14.0,8.729469,-0.84415233,4.387956,0.1915617,-0.3528998,-0.31091833,0.50355875,-0.13744892,0.8408436,2017-07-16 20:38:07,75.89693790362362
8.702158,-0.2912094,4.73982,5.0,8.930526,-0.8829887,3.954293,-0.059158325,0.250731,0.5096359,0.5229657,-0.15777841,0.8218356,2017-07-16 20:38:08,68.97191122534849
8.389185,-0.17895049,5.035292,5.0,8.532586,-0.5529853,4.8020377,-0.06547642,0.017987788,0.15967512,0.487125,-0.13613553,0.84469914,2017-07-16 20:38:09,74.36305848713113
8.584238,-1.0349839,5.137873,5.0,8.565476,-0.6818657,4.7263155,-0.009781837,-0.115854025,-0.0037059784,0.49413016,-0.12699324,0.8441243,2017-07-16 20:38:11,77.82021866729477
8.999292,0.64464265,3.6293004,51.0,9.102092,0.38513872,3.629598,0.026803017,-0.021357387,-0.10298681,0.5487738,-0.11742796,0.80131483,2017-07-16 20:38:12,64.16040464506226
9.01716,0.40785676,3.6921306,51.0,9.105105,0.18503405,3.6377468,-0.0037460327,-0.049233392,-0.060969114,0.5449884,-0.13234125,0.800416,2017-07-16 20:38:13,63.87403697064698
8.869806,0.37265474,3.9083931,53.0,9.075561,0.060488798,3.7149613,-0.091786385,0.020874515,0.03374648,0.5400688,-0.13753314,0.8032432,2017-07-16 20:38:14,71.85362873643615
