ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
4.625229,0.2515869,7.5251007,0.46598816,-1.1575928,0.20046997,208.0,32.432175,5.347572,0.21933122,8.217405,-0.28920794,0.18028158,-0.20191383,0.042462412,-0.2814709,0.10403399,2018-01-28 21:53:25,74.94249025379744
4.019272,-1.6998444,7.7897644,0.9082031,-0.6433563,-0.059661865,287.81,32.55211,4.4467964,-1.3252447,8.639451,-0.05035925,-0.29177296,-0.5689907,-0.06423747,-0.23483706,0.05348623,2018-01-28 21:53:26,74.95288955811438
4.0556946,-1.0483856,8.337616,0.32943726,-0.53837585,0.23573303,189.89,32.652054,4.504762,-0.81897134,8.672185,-0.14556551,-0.44335318,-0.014813423,-0.010763919,-0.23667376,0.14283745,2018-01-28 21:53:27,47.08673669239623
6.018112,-0.5874634,7.280487,0.0024261475,-0.18112183,0.026672363,54.050003,32.742004,6.2518773,-0.49722186,7.5390444,0.12626982,-0.13728577,0.29065037,0.044002157,-0.33716395,0.19524617,2018-01-28 21:53:28,72.56969637434199
6.625595,-0.77534485,6.5739594,-0.02999878,0.011169434,0.039474487,54.050003,32.811966,6.829524,-0.7817408,6.9940596,0.11449051,-0.08302289,-0.024398804,0.03869849,-0.37660012,0.19694467,2018-01-28 21:53:29,77.10019087326503
6.621002,-0.9505005,6.5831604,0.010879517,0.0066375732,7.6293945E-4,54.050003,32.871933,6.9743047,-0.94230664,6.829459,0.061493874,-0.054097295,-0.43123245,0.032180678,-0.38772675,0.19839469,2018-01-28 21:53:30,74.141341770328
6.8064575,-0.94462585,5.8736115,-0.01411438,-0.18132019,0.0118255615,48.39,32.91191,7.1403785,-0.9955866,6.6478715,-0.015101433,-0.057384133,0.09779072,0.02991774,-0.40900615,0.19115078,2018-01-28 21:53:31,78.75235073403358
6.71109,-0.98957825,6.504944,-0.014923096,0.01423645,0.009750366,48.39,32.9319,7.100842,-0.979186,6.692505,-0.052297592,-0.01193434,0.06001997,0.022411847,-0.39688832,0.17889288,2018-01-28 21:53:32,76.17585787682076
6.8414307,-1.0518646,6.213684,0.007659912,-0.0059051514,0.0030059814,48.39,32.95189,7.1334352,-1.056399,6.6459394,0.01720047,-0.0339334,-0.10775566,0.020760141,-0.40065497,0.18097177,2018-01-28 21:53:33,75.66552243144058
7.268051,-1.0453644,5.7132416,0.03529358,-0.40821838,-0.0034942627,48.39,32.971878,7.606543,-1.1141391,6.08848,0.02575922,0.019852519,-0.47046614,0.028724035,-0.43222693,0.18854569,2018-01-28 21:53:34,73.81363439810218
6.969864,-1.1677399,6.1847534,0.0020751953,0.049926758,-0.014511108,48.39,33.011856,7.2644815,-1.2159706,6.474497,-0.0330472,0.0013319254,0.07233143,0.015203514,-0.41189972,0.18345603,2018-01-28 21:53:35,76.99925714843273
7.0616302,-1.3936768,6.027176,-9.1552734E-4,-0.012664795,-0.011978149,48.39,33.06183,7.358448,-1.3488586,6.3406787,-0.030349731,-0.06684291,-0.09887648,0.011859753,-0.41997993,0.18870217,2018-01-28 21:53:36,45.670096310814415
7.0659027,-1.3065948,6.085144,0.010864258,-0.0018157959,-0.0052948,48.39,33.1118,7.3685985,-1.3452885,6.32964,0.050329685,-0.013594389,0.07882309,0.011106458,-0.42089763,0.18638651,2018-01-28 21:53:37,45.116765834116194
7.0550995,-1.3418121,5.9664764,0.0105896,-0.0072631836,0.008163452,48.39,33.15178,7.395493,-1.3799062,6.290702,-0.028813362,-0.06000638,0.06170273,0.009421749,-0.42329034,0.18594682,2018-01-28 21:53:38,46.55146391599507
7.018219,-1.3421173,6.288971,0.008758545,0.0039367676,-0.007461548,48.39,33.191757,7.3748837,-1.3807322,6.31467,0.008115768,-0.1016835,-0.08364391,0.012036109,-0.42169324,0.19209352,2018-01-28 21:53:39,72.81341108848531
7.0236816,-1.3036194,6.015457,0.0034637451,0.004852295,-0.0019989014,48.39,33.211746,7.3605075,-1.3618903,6.3355007,0.0039548874,0.020991802,-0.04036665,0.009809267,-0.42057478,0.18581104,2018-01-28 21:53:40,78.14623572780195
7.018921,-1.3971405,6.0994263,0.0074310303,0.0013580322,0.011856079,48.39,33.231735,7.346544,-1.3768312,6.348465,-0.03752947,-0.07583952,0.09338617,0.006040896,-0.41935784,0.18104374,2018-01-28 21:53:41,68.60037710284908
