ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
9.423,0.785,3.064,3.0,2016-11-12 22:03:52,NaN
9.117,0.028,3.715,3.0,2016-11-12 22:03:53,NaN
8.858,-0.287,4.367,2.0,2016-11-12 22:03:54,NaN
8.878,-0.124,4.3,2.0,2016-11-12 22:03:55,NaN
6.953,-1.197,4.29,3.0,2016-11-12 22:03:56,NaN
5.573,-4.089,5.707,3.0,2016-11-12 22:03:57,NaN
6.273,-3.629,6.426,5.0,2016-11-12 22:03:58,NaN
7.527,-1.474,6.282,5.0,2016-11-12 22:03:59,NaN
7.738,-1.206,5.947,6.0,2016-11-12 22:04:00,NaN
7.853,-1.197,5.861,3.0,2016-11-12 22:04:01,NaN
7.738,-1.245,5.976,2.0,2016-11-12 22:04:02,NaN
7.671,-1.321,6.081,4.0,2016-11-12 22:04:03,NaN
7.565,-1.264,6.253,5.0,2016-11-12 22:04:04,NaN
7.565,-1.264,6.225,4.0,2016-11-12 22:04:05,NaN
7.546,-1.139,6.301,4.0,2016-11-12 22:04:06,NaN
7.661,-1.197,6.167,4.0,2016-11-12 22:04:07,NaN
7.709,-1.235,6.119,6.0,2016-11-12 22:04:08,NaN
7.795,-1.312,6.033,5.0,2016-11-12 22:04:09,NaN
7.767,-1.283,6.138,0.0,2016-11-12 22:04:11,NaN
7.719,-1.426,5.956,5.0,2016-11-12 22:04:12,NaN
7.7,-1.398,6.033,3.0,2016-11-12 22:04:13,NaN
7.767,-1.369,5.928,4.0,2016-11-12 22:04:14,NaN
7.872,-1.551,5.813,0.0,2016-11-12 22:04:15,NaN
7.929,-1.484,5.736,0.0,2016-11-12 22:04:16,NaN
8.284,-1.676,5.937,3.0,2016-11-12 22:04:17,NaN
8.025,-1.446,5.372,3.0,2016-11-12 22:04:18,NaN
