ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
0.06703765,-0.21068975,9.682152,80.0,2017-01-27 11:07:09,NaN
0.05746084,-0.22984336,9.682152,81.0,2017-01-27 11:07:10,NaN
0.047884032,-0.23942018,9.691729,80.0,2017-01-27 11:07:11,NaN
0.05746084,-0.23942018,9.701305,80.0,2017-01-27 11:07:12,NaN
0.047884032,-0.23942018,9.701305,79.0,2017-01-27 11:07:13,NaN
0.05746084,-0.23942018,9.691729,79.0,2017-01-27 11:07:14,NaN
0.05746084,-0.22984336,9.691729,79.0,2017-01-27 11:07:15,NaN
0.15322891,-0.21068975,9.682152,74.0,2017-01-27 11:07:16,NaN
0.20111294,-0.2681506,9.691729,74.0,2017-01-27 11:07:17,NaN
0.18195933,-0.29688102,9.691729,74.0,2017-01-27 11:07:18,NaN
0.22026655,-0.21068975,9.710882,73.0,2017-01-27 11:07:19,NaN
0.17238252,-0.19153613,9.691729,47.0,2017-01-27 11:07:20,NaN
0.22984336,-0.22984336,9.691729,48.0,2017-01-27 11:07:21,NaN
0.05746084,-0.1436521,9.682152,77.0,2017-01-27 11:07:22,NaN
0.047884032,-0.17238252,9.682152,78.0,2017-01-27 11:07:23,NaN
0.02873042,-0.18195933,9.691729,78.0,2017-01-27 11:07:24,NaN
0.038307227,-0.17238252,9.691729,75.0,2017-01-27 11:07:25,NaN
0.038307227,-0.16280572,9.691729,76.0,2017-01-27 11:07:26,NaN
0.019153614,-0.19153613,9.701305,78.0,2017-01-27 11:07:27,NaN
0.038307227,-0.18195933,9.710882,78.0,2017-01-27 11:07:28,NaN
0.047884032,-0.16280572,9.710882,84.0,2017-01-27 11:07:29,NaN
0.02873042,-0.17238252,9.701305,84.0,2017-01-27 11:07:30,NaN
0.038307227,-0.17238252,9.691729,84.0,2017-01-27 11:07:31,NaN
0.038307227,-0.16280572,9.691729,83.0,2017-01-27 11:07:32,NaN
0.02873042,-0.18195933,9.691729,83.0,2017-01-27 11:07:33,NaN
0.038307227,-0.17238252,9.691729,86.0,2017-01-27 11:07:34,NaN
0.038307227,-0.17238252,9.701305,86.0,2017-01-27 11:07:35,NaN
0.02873042,-0.17238252,9.691729,86.0,2017-01-27 11:07:36,NaN
0.02873042,-0.17238252,9.710882,85.0,2017-01-27 11:07:38,NaN
0.02873042,-0.18195933,9.710882,86.0,2017-01-27 11:07:39,NaN
0.047884032,-0.17238252,9.701305,86.0,2017-01-27 11:07:40,NaN
0.02873042,-0.19153613,9.710882,86.0,2017-01-27 11:07:41,NaN
0.02873042,-0.17238252,9.701305,87.0,2017-01-27 11:07:42,NaN
0.02873042,-0.17238252,9.701305,87.0,2017-01-27 11:07:43,NaN
0.038307227,-0.17238252,9.691729,87.0,2017-01-27 11:07:44,NaN
0.02873042,-0.18195933,9.691729,87.0,2017-01-27 11:07:45,NaN
0.02873042,-0.18195933,9.691729,87.0,2017-01-27 11:07:46,NaN
0.038307227,-0.17238252,9.701305,88.0,2017-01-27 11:07:47,NaN
0.019153614,-0.18195933,9.701305,88.0,2017-01-27 11:07:48,NaN
0.019153614,-0.18195933,9.701305,88.0,2017-01-27 11:07:49,NaN
0.038307227,-0.18195933,9.710882,88.0,2017-01-27 11:07:50,NaN
0.02873042,-0.18195933,9.710882,89.0,2017-01-27 11:07:51,NaN
0.02873042,-0.18195933,9.701305,88.0,2017-01-27 11:07:52,NaN
0.009576807,-0.18195933,9.701305,88.0,2017-01-27 11:07:53,NaN
0.02873042,-0.17238252,9.691729,87.0,2017-01-27 11:07:54,NaN
0.02873042,-0.19153613,9.710882,88.0,2017-01-27 11:07:55,NaN
0.019153614,-0.19153613,9.691729,88.0,2017-01-27 11:07:57,NaN
0.009576807,-0.20111294,9.710882,88.0,2017-01-27 11:07:58,NaN
0.02873042,-0.18195933,9.701305,88.0,2017-01-27 11:07:59,NaN
0.019153614,-0.17238252,9.701305,88.0,2017-01-27 11:08:00,NaN
0.038307227,-0.19153613,9.701305,88.0,2017-01-27 11:08:01,NaN
0.047884032,-0.17238252,9.701305,88.0,2017-01-27 11:08:02,NaN
0.02873042,-0.19153613,9.691729,88.0,2017-01-27 11:08:03,NaN
0.038307227,-0.16280572,9.691729,87.0,2017-01-27 11:08:04,NaN
0.038307227,-0.18195933,9.691729,87.0,2017-01-27 11:08:05,NaN
0.038307227,-0.19153613,9.691729,87.0,2017-01-27 11:08:06,NaN
0.019153614,-0.18195933,9.691729,87.0,2017-01-27 11:08:07,NaN
0.038307227,-0.18195933,9.701305,86.0,2017-01-27 11:08:08,NaN
0.019153614,-0.18195933,9.710882,87.0,2017-01-27 11:08:09,NaN
0.038307227,-0.17238252,9.691729,87.0,2017-01-27 11:08:10,NaN
0.02873042,-0.19153613,9.691729,87.0,2017-01-27 11:08:11,NaN
0.038307227,-0.18195933,9.691729,86.0,2017-01-27 11:08:12,NaN
0.02873042,-0.17238252,9.701305,86.0,2017-01-27 11:08:13,NaN
0.02873042,-0.16280572,9.691729,87.0,2017-01-27 11:08:14,NaN
0.047884032,-0.16280572,9.691729,91.0,2017-01-27 11:08:15,NaN
0.038307227,-0.17238252,9.701305,91.0,2017-01-27 11:08:16,NaN
0.038307227,-0.19153613,9.691729,91.0,2017-01-27 11:08:17,NaN
0.02873042,-0.18195933,9.691729,90.0,2017-01-27 11:08:18,NaN
0.047884032,-0.17238252,9.682152,90.0,2017-01-27 11:08:19,NaN
0.019153614,-0.17238252,9.701305,91.0,2017-01-27 11:08:20,NaN
0.02873042,-0.18195933,9.691729,90.0,2017-01-27 11:08:21,NaN
0.038307227,-0.18195933,9.701305,91.0,2017-01-27 11:08:23,NaN
0.047884032,-0.18195933,9.691729,90.0,2017-01-27 11:08:24,NaN
0.02873042,-0.18195933,9.701305,90.0,2017-01-27 11:08:25,NaN
0.047884032,-0.19153613,9.701305,89.0,2017-01-27 11:08:26,NaN
0.02873042,-0.16280572,9.701305,90.0,2017-01-27 11:08:27,NaN
0.02873042,-0.18195933,9.691729,90.0,2017-01-27 11:08:28,NaN
0.038307227,-0.19153613,9.701305,89.0,2017-01-27 11:08:29,NaN
0.02873042,-0.18195933,9.691729,90.0,2017-01-27 11:08:30,NaN
0.038307227,-0.17238252,9.701305,90.0,2017-01-27 11:08:31,NaN
0.038307227,-0.19153613,9.691729,92.0,2017-01-27 11:08:32,NaN
0.038307227,-0.19153613,9.701305,90.0,2017-01-27 11:08:33,NaN
0.038307227,-0.16280572,9.691729,92.0,2017-01-27 11:08:34,NaN
0.038307227,-0.17238252,9.682152,91.0,2017-01-27 11:08:35,NaN
0.038307227,-0.18195933,9.701305,92.0,2017-01-27 11:08:36,NaN
0.047884032,-0.16280572,9.682152,92.0,2017-01-27 11:08:37,NaN
0.02873042,-0.17238252,9.701305,92.0,2017-01-27 11:08:38,NaN
0.02873042,-0.19153613,9.701305,90.0,2017-01-27 11:08:39,NaN
0.02873042,-0.17238252,9.701305,90.0,2017-01-27 11:08:40,NaN
0.038307227,-0.18195933,9.691729,91.0,2017-01-27 11:08:41,NaN
0.02873042,-0.18195933,9.691729,91.0,2017-01-27 11:08:42,NaN
0.02873042,-0.19153613,9.710882,91.0,2017-01-27 11:08:43,NaN
0.038307227,-0.17238252,9.691729,92.0,2017-01-27 11:08:44,NaN
0.02873042,-0.18195933,9.691729,92.0,2017-01-27 11:08:45,NaN
