ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
3.4876373,0.5351654,7.9540625,-0.17759705,0.25854644,0.7379715,0.0,4.7508855,1.0602276,8.513248,-0.6353555,-0.7761419,-0.013895988,-0.12019636,-0.22693168,-0.62752205,2017-03-23 20:00:30,60.04515881247168
4.2100496,0.9778229,8.896872,0.1746521,-0.12393036,-0.11324005,0.0,4.1602283,1.4004037,8.769365,-0.22135901,-0.3804195,0.14582253,-0.08855882,-0.2122361,-0.6417146,2017-03-23 20:00:31,53.232516488559284
4.2726564,1.0524536,8.658358,-0.03741455,0.002168274,-0.02026825,0.0,4.155036,1.483646,8.758131,-0.01681161,-0.038988948,0.045731544,-0.088008285,-0.21380866,-0.6512937,2017-03-23 20:00:32,48.67570847000096
3.6535308,1.912378,8.327634,0.24453735,1.7613999,0.49505156,1.0,4.0847893,2.3793101,8.592076,1.4117799,-0.7620671,-1.0221243,-0.052681323,-0.24320923,-0.6536136,2017-03-23 20:00:33,53.91523196530632
3.9544952,1.4748017,8.52923,0.12385559,0.1497818,-0.09442596,0.0,4.3285165,1.7726663,8.61928,0.030558586,0.15142035,-0.093322754,-0.094231896,-0.22728701,-0.68284374,2017-03-23 20:00:34,64.15243692771847
4.6744814,1.0442902,8.428369,-0.022094727,-0.020613099,0.0029251098,0.0,4.57985,1.3897916,8.55943,0.055544853,-0.10369837,-0.05068302,-0.11696749,-0.22340354,-0.67845106,2017-03-23 20:00:35,67.16408384725372
4.8056765,0.88146365,8.464218,0.03300476,0.025605774,-0.011174011,0.0,4.534862,1.4683672,8.570258,-0.15993309,-0.06711626,-0.021817207,-0.11429633,-0.2235505,-0.6847115,2017-03-23 20:00:36,69.60381099383176
5.8438234,-0.28352967,7.601742,0.0027923584,-0.2661728,0.17534943,0.0,5.845242,0.45190147,7.8612537,0.4494543,-0.40731192,-0.57118034,-0.19952461,-0.24367504,-0.65610635,2017-03-23 20:00:37,75.71139450890635
4.912183,1.2159973,8.165222,-0.13084412,-0.3153824,0.45502776,0.0,4.9681144,1.5610331,8.309717,-0.6958952,0.261613,0.2344451,-0.1091831,-0.2537743,-0.62700486,2017-03-23 20:00:38,73.0300522963904
5.0760927,0.9156586,8.439616,-0.10473633,9.933471E-4,0.03353424,0.0,5.0124755,1.2620633,8.333827,-0.2841072,0.19249642,-0.006901264,-0.123613335,-0.2445666,-0.630264,2017-03-23 20:00:39,71.92014480096303
