ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.2873042,0.6512229,9.346964,0.002443461,-0.0036651916,-0.002443461,1.0,-0.4701,1.7502999,9.6377,0.23009999,-1.0127,0.21519999,0.046915,0.080072,0.699085,2017-06-28 21:18:47,34.146388855417314
-0.31603462,0.7374141,9.404425,0.007330383,0.010995574,0.0012217305,1.0,-0.35799998,0.9385,9.755,0.0748,-0.1644,-0.052899998,0.020725,0.046911,0.709642,2017-06-28 21:18:48,51.40127878845048
-0.22984336,0.5746084,9.385271,0.0036651916,0.0012217305,0.002443461,1.0,-0.4123,0.83,9.7627,0.1779,-0.20279999,0.087699994,0.015917,0.045074,0.687977,2017-06-28 21:18:50,58.595710583379145
-0.18195933,0.5650316,9.394848,0.0036651916,0.008552114,0.0012217305,1.0,-0.28399998,0.71059996,9.7767,0.017099999,-0.1122,0.0067999996,0.015282,0.035936,0.708752,2017-06-28 21:18:51,39.53746784082364
-0.20111294,0.59376204,9.375694,0.004886922,0.002443461,0.0036651916,1.0,-0.24309999,0.6304,9.783299,0.0368,-0.0156,4.9999997E-4,0.01387,0.031557,0.708894,2017-06-28 21:18:52,51.46069227448403
-0.21068975,0.59376204,9.385271,0.0036651916,0.0,-0.0012217305,2.0,-0.23529999,0.6476,9.7824,0.0195,-0.0126,0.0112,0.014645,0.03196,0.711745,2017-06-28 21:18:53,42.70807584499473
-0.24899697,0.58418524,9.385271,0.008552114,0.0012217305,0.002443461,1.0,-0.249,0.6329,9.783,0.0026,-0.0185,-0.0285,0.01371,0.031888,0.710611,2017-06-28 21:18:54,44.10889771691349
-0.22984336,0.59376204,9.414001,0.0036651916,-0.0061086523,0.0,1.0,-0.2421,0.6433,9.782499,-0.0033,-0.0378,0.0503,0.014431,0.031961,0.707592,2017-06-28 21:18:55,62.8930183495672
-0.23942018,0.62249243,9.337387,0.0012217305,-0.0036651916,-0.0012217305,1.0,-0.23889999,0.6533,9.781899,-0.0063,-0.0278,-0.0177,0.01473,0.032289,0.711443,2017-06-28 21:18:56,48.11034524309848
-0.22984336,0.60333884,9.375694,0.007330383,-0.0012217305,0.0012217305,1.0,-0.23529999,0.6498,9.7822,0.0098,-0.0324,-0.0066,0.014596,0.031923,0.712246,2017-06-28 21:18:57,58.48784414150634
-0.22984336,0.61291564,9.414001,0.002443461,0.002443461,0.0,1.0,-0.2321,0.64489996,9.782599,-0.0026,-0.0307,-0.0067999996,0.014719,0.031718,0.710474,2017-06-28 21:18:58,63.58227760364754
-0.20111294,0.58418524,9.385271,0.0036651916,-0.0012217305,0.0,1.0,-0.23089999,0.6272,9.7838,0.0254,-0.023,-2.0E-4,0.01421,0.030995,0.708622,2017-06-28 21:18:59,50.03396055004325
-0.24899697,0.61291564,9.414001,-0.002443461,0.0,0.0036651916,1.0,-0.23189999,0.6204,9.7842,0.016099999,0.023799999,-0.0011,0.013924,0.030788,0.708695,2017-06-28 21:19:00,52.57850897550324
-0.22026655,0.62249243,9.375694,0.0036651916,0.0012217305,0.0,1.0,-0.2263,0.6238,9.7841,0.0122,0.0185,-0.0381,0.014246,0.030782,0.708691,2017-06-28 21:19:01,31.714494477633526
-0.22984336,0.63206923,9.433155,0.0036651916,-0.0012217305,0.0,1.0,-0.2339,0.6471,9.7824,0.0084999995,-0.0323,0.012399999,0.014738,0.031864,0.710445,2017-06-28 21:19:02,44.923181235225336
-0.21068975,0.60333884,9.346964,0.004886922,0.0012217305,0.0012217305,1.0,-0.2272,0.6398,9.7831,0.012,-0.0154,0.021599999,0.015079,0.031185,0.702191,2017-06-28 21:19:03,35.38229592530874
-0.20111294,0.5746084,9.385271,0.007330383,-0.002443461,0.004886922,1.0,-0.2252,0.6328,9.7836,0.0101,-0.009699999,-0.0187,0.01485,0.030938,0.70409,2017-06-28 21:19:04,34.92363311625556
-0.21068975,0.59376204,9.385271,0.002443461,0.002443461,0.0012217305,1.0,-0.2227,0.6239,9.7842,-0.0018,0.0186,-0.029,0.014584,0.030492,0.704104,2017-06-28 21:19:05,45.15267680214612
-0.24899697,0.60333884,9.3661175,0.004886922,0.0012217305,0.0012217305,1.0,-0.2244,0.62439996,9.7841,-0.0299,-7.0E-4,-0.0187,0.014544,0.030569,0.704093,2017-06-28 21:19:06,59.35979737737031
-0.22984336,0.58418524,9.385271,0.008552114,0.0,0.0036651916,2.0,-0.2207,0.6217,9.7844,0.0155,-0.0176,-0.018099999,0.014575,0.030337,0.704094,2017-06-28 21:19:07,45.05297736298954
-0.24899697,0.61291564,9.356541,0.0012217305,-0.0012217305,0.0036651916,2.0,-0.2243,0.6277,9.783899,-0.0095,0.0066,5.9999997E-4,0.014607,0.030689,0.704079,2017-06-28 21:19:08,41.86207172338713
-0.22026655,0.62249243,9.385271,0.004886922,0.0,0.004886922,1.0,-0.2267,0.63379997,9.7835,0.0111,0.0011999999,0.0191,0.014799,0.03099,0.704065,2017-06-28 21:19:09,33.38850392338752
-0.22026655,0.61291564,9.385271,0.0,-0.0012217305,0.002443461,1.0,-0.22739999,0.62909997,9.7838,0.012,-0.0145,0.0084,0.014603,0.030845,0.704061,2017-06-28 21:19:10,33.822681309457415
-0.22984336,0.62249243,9.3661175,0.0012217305,-0.0012217305,0.002443461,1.0,-0.2217,0.6331,9.7836,-0.0139999995,-0.007999999,-0.0296,0.01496,0.030697,0.704061,2017-06-28 21:19:11,33.50678887847821
-0.22026655,0.61291564,9.385271,0.0036651916,0.0,0.004886922,1.0,-0.22489999,0.6282,9.783899,0.0188,0.0072999997,-0.027999999,0.014666,0.030723,0.704049,2017-06-28 21:19:12,64.28363819664467
-0.21068975,0.61291564,9.356541,0.007330383,0.0012217305,0.002443461,1.0,-0.2192,0.6289,9.783999,0.0041,0.0053,-0.020499999,0.014892,0.030540999,0.704052,2017-06-28 21:19:13,63.238571601744795
-0.22984336,0.59376204,9.346964,0.0061086523,0.0061086523,0.0036651916,1.0,-0.2191,0.63229996,9.7837,-0.0157,0.0025,-0.022,0.015022,0.030661,0.704041,2017-06-28 21:19:14,66.0093178882992
-0.20111294,0.60333884,9.346964,0.004886922,0.0012217305,0.0036651916,2.0,-0.21779999,0.6308,9.783899,0.0050999997,-0.0066,0.0,0.014923,0.030628,0.704037,2017-06-28 21:19:15,36.22291105986943
-0.22026655,0.60333884,9.385271,0.0061086523,-0.002443461,0.004886922,2.0,-0.2219,0.6321,9.7837,0.0069,0.011299999,-0.0016,0.014914,0.030752,0.704027,2017-06-28 21:19:16,34.23218729683422
-0.21068975,0.61291564,9.356541,0.0061086523,0.002443461,0.002443461,1.0,-0.22739999,0.63229996,9.7836,0.0026,0.0106,-0.058,0.014723,0.030958,0.704011,2017-06-28 21:19:17,35.609197682308526
-0.2681506,0.60333884,9.394848,0.0036651916,0.0012217305,0.0012217305,1.0,-0.2259,0.63229996,9.7836,-0.0032,0.0,-0.049799997,0.014975,0.03077,0.704013,2017-06-28 21:19:18,52.441999640392474
-0.20111294,0.61291564,9.375694,0.002443461,0.0012217305,0.0036651916,1.0,-0.22219999,0.63199997,9.7837,0.0067999996,-0.0264,0.008599999,0.014897,0.03076,0.70400697,2017-06-28 21:19:19,52.749122891929794
-0.20111294,0.60333884,9.394848,0.0012217305,-0.0036651916,0.007330383,1.0,-0.2207,0.6242,9.7842,0.0158,-0.0011999999,-8.0E-4,0.014669,0.030424,0.70400697,2017-06-28 21:19:20,55.761109913702896
-0.21068975,0.61291564,9.385271,0.0036651916,-0.0012217305,0.0036651916,1.0,-0.22209999,0.6299,9.7838,-0.031799998,-0.0263,-0.02,0.0148289995,0.030682,0.703996,2017-06-28 21:19:21,61.70234102521489
-0.22026655,0.61291564,9.356541,0.0036651916,0.0036651916,0.0036651916,1.0,-0.22749999,0.6196,9.7844,0.0106999995,-0.0041,0.037499998,0.0143099995,0.0305,0.703991,2017-06-28 21:19:22,62.54418567369352
-0.22984336,0.62249243,9.346964,0.008552114,-0.002443461,0.0012217305,1.0,-0.2267,0.6271,9.783899,0.0016999999,-0.0033,-0.0385,0.01456,0.030748,0.703978,2017-06-28 21:19:23,33.872499151489556
-0.21068975,0.60333884,9.356541,0.0012217305,-0.0012217305,-0.0012217305,1.0,-0.2263,0.6279,9.783899,0.020299999,-0.0022,0.039499998,0.014604,0.030764,0.703975,2017-06-28 21:19:24,58.74273383166097
-0.21068975,0.59376204,9.337387,0.0036651916,-0.004886922,0.0012217305,1.0,-0.2276,0.62369996,9.7841,0.0023,0.0274,-0.030499998,0.014471,0.03068,0.70397097,2017-06-28 21:19:25,61.296876072541984
-0.22984336,0.62249243,9.356541,0.004886922,-0.002443461,0.002443461,1.0,-0.2217,0.62479997,9.7842,0.0069999998,0.0275,-0.0404,0.014658,0.030484,0.703973,2017-06-28 21:19:26,47.84868207491978
-0.22026655,0.60333884,9.385271,0.004886922,0.002443461,0.004886922,2.0,-0.2208,0.6263,9.7841,-0.0037,-0.0030999999,-0.0088,0.014748,0.030503,0.703965,2017-06-28 21:19:27,52.26061439431583
-0.20111294,0.61291564,9.375694,0.007330383,0.002443461,0.0012217305,2.0,-0.22309999,0.627,9.783999,-0.0015,-0.0235,-0.02,0.01469,0.030611,0.703948,2017-06-28 21:19:28,49.47585580454431
