ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-0.4405331,3.1794999,9.222465,87.0,2017-01-27 13:36:42,NaN
-0.50757074,2.6719291,9.155427,107.0,2017-01-27 13:36:43,NaN
1.1587936,1.9057846,9.595961,102.0,2017-01-27 13:36:44,NaN
1.0821792,2.2026656,9.500193,102.0,2017-01-27 13:36:45,NaN
3.2082303,2.135628,7.7667904,80.0,2017-01-27 13:36:46,NaN
1.2258313,1.8100165,8.829816,159.0,2017-01-27 13:36:47,NaN
-2.3080103,0.7278373,9.126697,320.0,2017-01-27 13:36:48,NaN
-2.4899697,1.1683705,9.346964,370.0,2017-01-27 13:36:49,NaN
-2.7006595,1.388637,9.222465,362.0,2017-01-27 13:36:50,NaN
-2.6144683,1.4460979,9.251195,379.0,2017-01-27 13:36:51,NaN
-2.8060043,1.5227122,9.136273,353.0,2017-01-27 13:36:52,NaN
-2.767697,1.5514427,9.107543,352.0,2017-01-27 13:36:53,NaN
-2.719813,1.532289,9.184157,363.0,2017-01-27 13:36:54,NaN
-2.7485435,1.4939818,9.126697,381.0,2017-01-27 13:36:55,NaN
-2.815581,1.5610195,9.078813,389.0,2017-01-27 13:36:56,NaN
-2.815581,1.5131354,9.136273,414.0,2017-01-27 13:36:57,NaN
-2.8443117,1.532289,9.155427,419.0,2017-01-27 13:36:58,NaN
-2.815581,1.4748282,9.174581,437.0,2017-01-27 13:36:59,NaN
-2.767697,1.4652514,9.136273,438.0,2017-01-27 13:37:00,NaN
-2.183512,2.231396,9.710882,421.0,2017-01-27 13:37:01,NaN
4.903325,-0.18195933,8.389283,127.0,2017-01-27 13:37:02,NaN
3.6391866,0.095768064,9.222465,139.0,2017-01-27 13:37:03,NaN
4.759673,-0.9959879,8.513782,119.0,2017-01-27 13:37:05,NaN
2.7102363,-0.92895025,9.3661175,137.0,2017-01-27 13:37:06,NaN
-4.7884035,0.8331822,7.929596,936.0,2017-01-27 13:37:07,NaN
-5.401319,0.9864111,7.8529816,1949.0,2017-01-27 13:37:08,NaN
-5.449203,0.9959879,7.8146744,1907.0,2017-01-27 13:37:09,NaN
-5.45878,1.0151415,7.824251,1788.0,2017-01-27 13:37:10,NaN
-5.4683566,1.0630256,7.776367,1755.0,2017-01-27 13:37:11,NaN
-5.497087,1.0055647,7.8050976,1692.0,2017-01-27 13:37:12,NaN
-5.5258174,1.0534488,7.776367,1651.0,2017-01-27 13:37:13,NaN
-5.535394,1.0630256,7.747637,1635.0,2017-01-27 13:37:14,NaN
-5.535394,1.0726024,7.7572136,1644.0,2017-01-27 13:37:15,NaN
-5.535394,1.0630256,7.747637,1684.0,2017-01-27 13:37:16,NaN
-5.5641246,1.091756,7.699753,1757.0,2017-01-27 13:37:17,NaN
-5.5737014,1.1013328,7.7189064,1846.0,2017-01-27 13:37:18,NaN
0.41180268,1.4460979,9.471462,212.0,2017-01-27 13:37:19,NaN
4.4436383,0.80445176,8.848969,123.0,2017-01-27 13:37:20,NaN
4.0318356,0.7182605,8.839393,130.0,2017-01-27 13:37:21,NaN
-2.719813,0.6991069,9.232041,391.0,2017-01-27 13:37:22,NaN
-4.6926355,1.7717092,8.992621,298.0,2017-01-27 13:37:23,NaN
-4.7884035,1.5131354,8.255207,429.0,2017-01-27 13:37:24,NaN
-6.0621185,0.80445176,7.4124484,2357.0,2017-01-27 13:37:25,NaN
-6.5026517,0.7086837,6.981492,6630.0,2017-01-27 13:37:26,NaN
-4.76925,-0.36391866,8.082825,1155.0,2017-01-27 13:37:27,NaN
-5.133168,-0.35434186,7.785944,1721.0,2017-01-27 13:37:28,NaN
-6.2345014,-0.9959879,7.1826053,4577.0,2017-01-27 13:37:29,NaN
-6.4643445,-0.91937345,7.038953,4699.0,2017-01-27 13:37:30,NaN
-6.4739213,-0.91937345,7.0006456,4719.0,2017-01-27 13:37:31,NaN
-6.5122285,-0.8810662,6.895301,4695.0,2017-01-27 13:37:32,NaN
-7.2304893,-0.1436521,6.205771,5543.0,2017-01-27 13:37:33,NaN
-7.824251,0.6703765,5.401319,5149.0,2017-01-27 13:37:34,NaN
-7.8146744,0.6512229,5.3821654,3964.0,2017-01-27 13:37:35,NaN
-7.575254,1.484405,6.397307,103.0,2017-01-27 13:37:36,NaN
-7.441179,0.31603462,5.7748146,119.0,2017-01-27 13:37:37,NaN
-7.393295,0.60333884,5.803545,3436.0,2017-01-27 13:37:38,NaN
-7.479486,-0.15322891,6.0046577,2144.0,2017-01-27 13:37:39,NaN
-7.4028716,-0.1436521,6.0238113,2465.0,2017-01-27 13:37:40,NaN
-7.489063,-0.11492168,5.9663506,2444.0,2017-01-27 13:37:41,NaN
-7.4507556,-0.076614454,5.9567738,2510.0,2017-01-27 13:37:42,NaN
-7.479486,-0.08619126,5.90889,2479.0,2017-01-27 13:37:43,NaN
-7.4603324,-0.08619126,5.947197,2445.0,2017-01-27 13:37:44,NaN
-7.4603324,-0.08619126,5.93762,2467.0,2017-01-27 13:37:45,NaN
-7.4507556,-0.08619126,5.9759274,2547.0,2017-01-27 13:37:46,NaN
-7.441179,-0.076614454,5.9759274,2579.0,2017-01-27 13:37:47,NaN
-7.469909,-0.08619126,5.9759274,2560.0,2017-01-27 13:37:48,NaN
-7.4603324,-0.076614454,5.9759274,2614.0,2017-01-27 13:37:49,NaN
-7.4507556,-0.11492168,6.0142345,2685.0,2017-01-27 13:37:50,NaN
-7.431602,-0.11492168,5.9759274,2688.0,2017-01-27 13:37:51,NaN
-7.4507556,-0.10534488,6.0142345,2711.0,2017-01-27 13:37:52,NaN
-7.441179,-0.095768064,5.9759274,2784.0,2017-01-27 13:37:53,NaN
-7.4028716,-0.10534488,6.0046577,2933.0,2017-01-27 13:37:54,NaN
-7.393295,-0.11492168,6.042965,2966.0,2017-01-27 13:37:55,NaN
-7.393295,-0.10534488,6.081272,2998.0,2017-01-27 13:37:56,NaN
-7.335834,-0.019153614,6.157887,2971.0,2017-01-27 13:37:57,NaN
