ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.5227122,0.2873042,9.950302,-0.37018433,0.51923543,0.46181414,4.0,2.8165998,0.47939998,9.3812,0.0037,0.3809,0.8037,0.00526,-0.161677,-0.180694,2017-07-02 17:26:07,32.22913906724862
2.2122424,0.22984336,9.528923,0.095294975,0.012217305,0.034208454,6.0,2.3716,0.297,9.5109,-0.0637,0.0072,0.030599998,0.0012459999,-0.12318,-0.125987,2017-07-02 17:26:08,50.95783899860563
2.873042,0.6512229,9.481039,-0.02565634,0.04520403,-0.043982297,6.0,2.9227,0.6149,9.3407,-0.0251,-0.032899998,0.1604,0.01483,-0.153405,-0.109451,2017-07-02 17:26:09,46.586804134478484
2.8060043,0.6799533,9.232041,0.007330383,-0.04642576,-0.018325957,4.0,2.9350998,0.67539996,9.3326,-0.0594,-0.0721,-0.066199996,0.01635,-0.154589,-0.119059,2017-07-02 17:26:10,46.039930265651904
3.074155,0.6703765,9.232041,-0.0036651916,-0.013439035,-0.012217305,4.0,3.069,0.68759996,9.2886,0.0077,-0.0056999996,0.0056999996,0.015798,-0.161967,-0.120799,2017-07-02 17:26:11,49.14443238959491
3.1028855,0.7469909,9.078813,0.05497787,-0.064751714,0.017104227,4.0,3.187,0.8634,9.234,-0.0267,0.0039,0.0365,0.024601,-0.169085,-0.118043,2017-07-02 17:26:12,39.771211039702806
3.1507695,0.9576807,9.222465,-0.007330383,0.007330383,-0.012217305,6.0,3.1601999,0.9722,9.2324,-0.011399999,-0.0018999999,0.0839,0.029731,-0.1685,-0.121679,2017-07-02 17:26:13,45.31518073630558
3.064578,1.0055647,9.270349,0.007330383,-0.014660766,-0.014660766,4.0,3.0828,1.0081,9.2547,0.0458,-0.0256,0.061499998,0.031884,-0.16464,-0.122137,2017-07-02 17:26:14,49.47512525583193
3.0358477,1.0151415,9.222465,-0.010995574,0.008552114,-0.010995574,4.0,3.0723,1.0254999,9.2563,-0.0075999997,-0.0011999999,0.0222,0.0325,-0.164046,-0.123671,2017-07-02 17:26:15,49.330607086703196
2.9496565,1.0151415,9.241618,0.008552114,0.013439035,-0.014660766,4.0,2.9864,1.0073999,9.2863,-0.0285,-0.0055,-0.0168,0.032265,-0.159643,-0.123936,2017-07-02 17:26:16,45.27180251517229
2.8921957,1.0630256,9.251195,0.004886922,-0.004886922,-0.008552114,4.0,2.9161,1.046,9.3043995,0.0067999996,0.0413,-0.0165,0.034879,-0.156171,-0.122768,2017-07-02 17:26:17,35.73889556035021
2.873042,1.091756,9.241618,0.013439035,0.017104227,-0.008552114,4.0,2.8925,1.0717,9.3088,-0.007999999,-0.0042,0.0288,0.036446,-0.154829,-0.122671,2017-07-02 17:26:18,34.26433738167232
2.777274,1.043872,9.270349,0.0012217305,0.014660766,-0.010995574,4.0,2.8441,1.0718,9.3237,0.0095999995,0.0155,-0.0307,0.036778,-0.152538,-0.121963,2017-07-02 17:26:19,40.849689536742034
2.777274,1.0821792,9.32781,0.002443461,-0.002443461,-0.0061086523,4.0,2.7893,1.0553,9.3421,-0.0018,0.0415,0.0379,0.036212,-0.149567,-0.122358,2017-07-02 17:26:20,38.23419001463793
2.7389667,1.0630256,9.289502,-0.0036651916,0.013439035,-0.012217305,4.0,2.7681,1.109,9.342199,-0.0202,-0.0196,-0.0402,0.039168,-0.149093,-0.122336,2017-07-02 17:26:21,32.297374211611654
2.633622,1.0726024,9.32781,-0.004886922,0.017104227,-0.014660766,4.0,2.6648,1.0942,9.373899,-0.0184,-0.0083,0.023,0.03775,-0.143307,-0.130308,2017-07-02 17:26:22,34.39354161265547
2.5953147,1.0630256,9.356541,-0.009773844,0.028099801,-0.010995574,4.0,2.5751,1.0675,9.401999,-0.0087,-0.0252,-0.0018,0.036891,-0.138801,-0.131454,2017-07-02 17:26:23,48.41615194366795
2.5953147,1.091756,9.375694,0.0012217305,-0.0036651916,-0.0036651916,4.0,2.6076999,1.1151,9.3875,0.007999999,-0.0298,0.026099999,0.039065998,-0.140856,-0.131708,2017-07-02 17:26:24,45.944043089051036
2.5953147,1.1587936,9.289502,0.012217305,-0.004886922,-0.007330383,4.0,2.6141,1.1451,9.3821,-0.0316,-0.0044,-0.0187,0.040748,-0.141256,-0.131056,2017-07-02 17:26:25,27.95933215159809
2.5953147,1.1683705,9.260772,-0.002443461,-0.0036651916,-0.009773844,4.0,2.6262,1.1658,9.3762,-0.018199999,-0.0047,-0.023699999,0.041676,-0.142154,-0.130733,2017-07-02 17:26:26,35.01690294440981
2.4516625,-0.1340753,10.103531,-0.56688297,-0.28099802,0.058643065,4.0,2.9403,-0.3127,9.3502,-0.235,0.0274,0.7186,-0.033959,-0.148718,-0.116877,2017-07-02 17:26:27,40.84037767555368
4.2425256,-0.78529817,8.264784,-0.05131268,0.13683382,-0.56077427,4.0,4.3715997,-0.51989996,8.762899,0.2836,-0.0211,-0.4991,-0.095293,-0.212577,-0.280903,2017-07-02 17:26:28,46.746956233775194
