ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
5.313095,-2.0586548,5.711197,2.4367523,-0.35510254,1.915329,52.0,3.657064,-1.3629724,8.996586,1.7221165,-0.72031224,-3.1228151,0.11465783,-0.16779546,0.7999518,2017-07-17 21:31:54,31.49681843991088
2.9290466,1.9413452,9.402512,-0.07185364,-0.103027344,-0.04878235,78.0,2.5411184,2.4809048,9.141018,0.3515613,-0.5750649,0.13067341,0.17757238,0.04904928,0.86071455,2017-07-17 21:31:55,47.26811037390999
3.2792053,5.213928,7.2394104,-0.2876892,0.20605469,0.6708069,54.0,3.5803213,5.1564865,7.5340786,-0.31391644,0.039006233,-0.32160425,0.32792088,0.09130613,0.7237971,2017-07-17 21:31:56,53.196108609758284
1.0961456,-2.3880768,7.4013214,1.0077362,-4.36644,-0.24751282,58.0,3.803168,0.4807339,9.026361,-2.7105029,-2.8692508,-1.6333008,0.19834977,-0.021000808,0.9538283,2017-07-17 21:31:57,20.777708943573195
2.8022308,0.1411438,9.407303,0.050720215,-0.18487549,0.042022705,53.0,2.1915295,0.4782635,9.546666,0.5984056,-0.33980298,-0.19292545,-0.10895674,-0.03720061,-0.9868852,2017-07-17 21:31:58,35.65285778437536
2.8277435,0.011138916,9.4687195,2.2888184E-4,0.10749817,0.03591919,12.0,2.5762248,0.15425766,9.460955,0.23130631,-0.144329,-0.06646347,-0.13089503,-0.022182627,-0.98536605,2017-07-17 21:31:59,33.65240464792141
2.7759094,0.03666687,9.542892,0.014892578,0.038269043,0.0021209717,11.0,2.7085013,0.05542528,9.425038,0.04148388,-0.019288909,0.027643204,-0.13840935,-0.017310996,-0.98487717,2017-07-17 21:32:00,24.662140195396507
2.7113037,0.05580139,9.518173,0.0018615723,0.0036621094,-0.0011444092,11.0,2.7279303,0.028618021,9.419552,0.013569593,0.008447869,-0.016055107,-0.13957119,-0.016012004,-0.9847604,2017-07-17 21:32:01,45.19227964420707
4.753174,0.08770752,9.552475,-0.038864136,-0.79371643,0.21224976,18.0,3.2978537,0.11664301,9.234768,0.38878012,0.6444232,-1.3473063,-0.16883017,-0.02557818,-0.9788045,2017-07-17 21:32:02,55.58716004913229
0.15657043,-0.27520752,9.062744,-0.026229858,-0.22886658,-0.006439209,82.0,0.22051452,-0.46876714,9.792957,-0.064273894,0.19426075,-0.74486065,-0.013395388,0.022774791,-0.99542576,2017-07-17 21:32:03,19.88921089497317
