ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-5.648636,6.2174225,5.040619,0.08125305,-0.1663971,-0.031845093,53.0,29.5018,-5.576352,6.278816,5.0646963,-0.22858095,-0.08895588,0.04483223,0.49071243,0.031203363,-0.5357423,2017-07-18 15:44:40,51.070698616327746
-5.6682434,5.9428253,5.099457,-0.006454468,-0.01210022,-0.0121154785,53.0,29.5018,-5.7026396,6.0707846,5.176472,-0.042301178,-0.007080078,-0.085840225,0.48407328,0.041790206,-0.54140383,2017-07-18 15:44:41,45.39340182915035
-5.6094055,5.9428253,5.040619,-0.0067596436,-0.011795044,-0.0031433105,52.0,29.5018,-5.7444425,6.079516,5.1196933,-0.048322678,0.011285305,-0.07937193,0.48715025,0.040656254,-0.5443268,2017-07-18 15:44:42,38.195686106637126
-5.6682434,6.1193542,5.040619,-0.011459351,-0.009353638,0.003692627,52.0,29.5018,-5.645333,6.112428,5.1902633,-0.03164053,0.040854454,-0.028685093,0.48395896,0.03397011,-0.5468496,2017-07-18 15:44:43,38.769780564610656
-5.570175,6.0997314,5.138687,-0.010665894,-0.0030059814,-0.011749268,52.0,29.601807,-5.6073623,6.089427,5.258018,-0.025024414,0.038649082,-0.041387558,0.48033738,0.034520786,-0.54592544,2017-07-18 15:44:44,37.51560713721667
-5.6682434,5.8839874,5.0602264,-0.0047454834,0.01361084,0.005279541,51.0,29.601807,-5.6992097,6.038975,5.2172966,0.0026984215,-0.003850937,-0.038099766,0.4819864,0.04100028,-0.5445956,2017-07-18 15:44:45,40.71713823650741
-5.4917297,6.1193542,5.1779175,-0.012130737,-0.019424438,0.026641846,50.0,29.601807,-5.6095695,6.095124,5.2490554,0.0053887367,0.06457567,-0.0026082993,0.48040438,0.03980322,-0.5380593,2017-07-18 15:44:46,38.097273121071105
-5.6094055,6.0605164,5.197525,-0.009567261,-0.0034332275,-0.0025939941,49.0,29.601807,-5.5988126,6.088872,5.267762,-0.050619125,0.056105137,0.0054779053,0.4793336,0.040720537,-0.53664184,2017-07-18 15:44:47,38.07724539569679
-5.5113373,6.0408936,5.2759705,-0.017196655,-0.01826477,0.0061950684,48.0,29.701813,-5.557828,6.138391,5.253674,-0.013703823,0.02987051,-0.03955221,0.47983783,0.043506745,-0.5270826,2017-07-18 15:44:48,46.23097821020242
-5.3936615,6.0408936,5.2367554,-0.0068206787,-0.0104522705,0.004547119,48.0,29.701813,-5.475528,6.1635833,5.3102946,0.018814564,-0.051714897,-0.03201294,0.47706488,0.040736172,-0.5251144,2017-07-18 15:44:49,39.61366507176579
9.747803,-0.6864624,0.05883789,0.59181213,-0.7020569,1.5073395,15.0,29.701813,9.704108,1.376191,0.32675797,1.4523592,0.76936734,1.0526531,0.22096133,-0.6591783,0.13049486,2017-07-18 15:44:50,32.60732070698357
5.197525,-2.6085663,-7.766861,0.28308105,-0.5952759,-0.08364868,1.0,29.701813,5.8057747,-2.0619955,-7.629649,0.028057098,-0.09983301,-0.20633602,0.43582588,-0.83609784,0.2439931,2017-07-18 15:44:51,29.227384295582585
-0.84336853,-0.45111084,-9.767426,-0.008651733,-0.04421997,-0.0022888184,0.0,29.701813,-1.4613515,0.3065022,-9.692311,0.43003905,-0.80994105,-0.4378767,-0.54019487,0.83806914,0.053658478,2017-07-18 15:44:52,39.16584984816502
-0.84336853,-0.47071838,-9.806656,0.0060577393,0.03224182,7.019043E-4,0.0,29.801819,-0.9115752,-0.2833533,-9.760078,0.12920213,-0.12785652,-0.0234766,-0.5512512,0.8329151,0.01361994,2017-07-18 15:44:53,34.629763599335874
-0.84336853,-0.50994873,-9.826263,-0.010543823,-0.009109497,-4.5776367E-4,0.0,29.801819,-0.85200137,-0.42144057,-9.760474,-0.0030748248,-0.1826612,-0.11241245,-0.55559117,0.83003867,0.006314288,2017-07-18 15:44:54,33.981357589788956
-0.8041382,-0.47071838,-9.885101,-0.0129852295,-0.007156372,0.0066223145,0.0,29.801819,-0.8207726,-0.4538585,-9.761697,0.041383386,-0.03362441,-0.023025513,-0.55446476,0.830829,0.003986574,2017-07-18 15:44:55,33.17302305226569
-0.823761,-0.47071838,-9.826263,-0.012802124,-0.023147583,0.0013122559,0.0,29.801819,-0.79838866,-0.4638062,-9.763086,0.03805381,-0.0042467117,0.012537956,-0.55100715,0.8331686,0.0027332555,2017-07-18 15:44:56,34.910974760407264
-0.823761,-0.47071838,-9.943939,0.017791748,0.02142334,8.8500977E-4,0.0,29.801819,-0.79377574,-0.47854623,-9.762751,0.034508288,-0.086830735,0.006047249,-0.551006,0.83315915,0.0019760467,2017-07-18 15:44:57,28.24331971772657
-0.7060852,-0.5491791,-9.826263,0.019485474,-2.593994E-4,-0.0022277832,0.0,29.801819,-0.7631914,-0.49629495,-9.764303,0.043782353,-0.06840545,0.096894264,-0.5492195,0.83438534,2.584632E-4,2017-07-18 15:44:58,32.84416633145419
-0.7453003,-0.37265015,-9.924332,-0.012069702,-0.013809204,0.0027770996,0.0,29.901825,-0.78546256,-0.4800592,-9.76335,-0.031395435,0.13123557,-0.055570602,-0.5474002,0.8355509,0.0014741155,2017-07-18 15:44:59,36.160026264984126
-0.8041382,-0.49032593,-9.806656,0.0076446533,0.0027313232,-0.001373291,0.0,29.901825,-0.7500182,-0.49373087,-9.765454,0.008861303,-0.091935694,-0.06569862,-0.55028856,0.83371586,5.5955858E-5,2017-07-18 15:45:00,32.49469961362874
-0.66685486,-0.5491791,-9.806656,-0.014572144,-0.005630493,9.1552734E-5,0.0,29.901825,-0.78405327,-0.4792494,-9.763502,0.060148418,-0.06883687,0.096800804,-0.5526335,0.8321035,0.0017633499,2017-07-18 15:45:01,31.66785219735433
-0.7060852,-0.50994873,-9.865494,-0.017318726,-0.013259888,0.0010070801,0.0,29.901825,-0.7553959,-0.47902152,-9.765772,-0.025225341,-0.028448135,-0.049180984,-0.55149204,0.83292997,8.993986E-4,2017-07-18 15:45:02,27.11132072306842
-0.8041382,-0.4118805,-9.767426,-0.0023040771,-4.4250488E-4,-9.1552734E-5,0.0,29.901825,-0.7533219,-0.4901307,-9.765381,0.05007857,0.021261305,0.034794807,-0.54980266,0.83403414,2.7552745E-4,2017-07-18 15:45:03,31.4762802368142
-0.7060852,-0.47071838,-9.845871,-0.007980347,-0.0077056885,0.0012512207,0.0,29.901825,-0.7757536,-0.45231768,-9.76545,-0.0038446188,0.08254349,-0.018330574,-0.5506249,0.8334936,0.0025620842,2017-07-18 15:45:04,28.535321769573635
-0.64723206,-0.5687866,-9.904724,-0.0010223389,-0.0061798096,0.004180908,0.0,30.001831,-0.77355766,-0.46154565,-9.765192,0.052717686,-0.025884837,-0.019418716,-0.55050945,0.83356196,0.0021011778,2017-07-18 15:45:05,33.73981086978326
-0.6864624,-0.49032593,-9.826263,-0.0051116943,-0.006729126,0.002960205,0.0,30.001831,-0.7674398,-0.4602041,-9.765738,0.045348585,-0.008354574,-0.014695168,-0.5503317,0.83369607,0.0019760542,2017-07-18 15:45:06,31.571626307358784
-0.7649231,-0.45111084,-9.845871,-0.0015106201,-0.0031280518,9.1552734E-5,0.0,30.001831,-0.7676315,-0.4700627,-9.765253,0.08565837,0.04132372,0.015707016,-0.55081576,0.83336145,0.0015885718,2017-07-18 15:45:07,30.68084545482624
-0.78453064,-0.50994873,-9.826263,-0.0067596436,-0.003921509,-0.0015563965,0.0,30.001831,-0.7935344,-0.47595018,-9.7628975,-0.006588638,-0.051197857,0.06449318,-0.55157423,0.8327875,0.0021118396,2017-07-18 15:45:08,32.56421562456142
-0.66685486,-0.5295563,-9.787033,-0.006454468,-0.0056915283,-0.0023498535,0.0,30.001831,-0.76599014,-0.45919865,-9.765899,0.043001115,-0.06873679,0.013336182,-0.550256,0.8337509,0.0019738544,2017-07-18 15:45:10,30.432803897429753
-0.8041382,-0.5295563,-9.806656,-0.0016326904,-0.0031280518,1.5258789E-4,0.0,30.001831,-0.75341296,-0.5000155,-9.764873,0.05220294,-0.026305318,0.0017957687,-0.55201906,0.8325532,-1.9987072E-5,2017-07-18 15:45:11,33.388576488371214
-0.7453003,-0.45111084,-9.845871,-0.004989624,-0.007888794,0.0032043457,0.0,30.001831,-0.7671124,-0.4921807,-9.764204,0.04533106,-0.015258461,0.007334709,-0.55188555,0.8326213,6.927702E-4,2017-07-18 15:45:12,30.33463966077405
-0.823761,-0.5491791,-9.845871,-0.005722046,-0.0035552979,-0.00289917,0.0,30.001831,-0.74508023,-0.5104864,-9.76497,0.064525664,0.0045853853,-0.023096085,-0.5523802,0.8323167,-6.8051665E-4,2017-07-18 15:45:13,30.553193892304694
-0.7453003,-0.50994873,-9.845871,-0.0063934326,-0.004837036,-0.002166748,0.0,30.001831,-0.7690072,-0.48005512,-9.764659,0.02839601,0.012263924,0.07639694,-0.5513283,0.8330043,0.001230752,2017-07-18 15:45:14,33.29916282216643
