ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.0883453,3.6343873,9.195435,30000.0,1.6065669,3.222984,9.121497,0.0,0.0,-0.0,0.014578644,-0.19905664,-0.86093765,2017-08-02 13:43:41,26.40632035015193
4.4731264,4.239337,6.9344306,29040.0,3.5650191,3.6250725,8.3856945,1.1881101,0.27763557,0.22204399,-0.0760096,-0.275795,-0.84460235,2017-08-02 13:43:42,40.47773447657147
5.581876,0.47452086,8.81735,30000.0,4.9027395,1.1714346,8.411972,0.100800514,-0.4599296,0.18465328,-0.24778795,-0.09853895,-0.9538199,2017-08-02 13:43:43,44.93441102374604
5.896634,0.56904906,8.193774,30000.0,5.317432,0.7688126,8.203916,0.07978535,0.04821068,-0.01299572,-0.23559086,-0.16190633,-0.8592902,2017-08-02 13:43:44,24.44934831382909
5.2085085,0.17583007,8.985699,30000.0,4.913404,0.64087003,8.4627495,-0.16289186,-0.15836531,0.47616863,-0.048984244,-0.25713885,-0.3017128,2017-08-02 13:43:45,24.303295764159813
5.306821,0.1786682,8.595392,30000.0,4.952378,0.20084345,8.461915,-0.14277124,0.19138673,0.09023285,-0.06069866,-0.25471178,-0.261583,2017-08-02 13:43:46,25.879756552832944
5.1404543,-0.008480847,8.900112,30000.0,4.5996842,0.2576249,8.657189,-0.03485632,-0.045511067,-0.0077781677,-0.05475683,-0.23705854,-0.27077764,2017-08-02 13:43:47,13.38829866158254
5.287915,0.09738463,8.627367,30000.0,4.668595,0.31889403,8.618174,0.096913815,0.038475037,-0.048602104,-0.05798609,-0.23923431,-0.29197374,2017-08-02 13:43:48,32.951071365236785
5.1678743,0.39795226,8.656519,30000.0,4.5633783,0.5561534,8.662371,0.043303967,0.076872945,-0.10539055,-0.03901019,-0.23836997,-0.27142704,2017-08-02 13:43:49,42.91461885747195
4.947644,0.059573352,8.791008,30000.0,4.286632,0.2921428,8.815317,0.034113884,0.019641459,-0.027750969,-0.04901431,-0.2211251,-0.27579495,2017-08-02 13:43:50,39.066028572112046
4.9816713,0.11345214,8.828631,30000.0,4.4819818,0.3647851,8.714882,-0.023881435,0.0038957298,0.042505264,-0.046562653,-0.23129338,-0.26843172,2017-08-02 13:43:51,24.21609067635829
4.888089,0.13141173,8.87661,30000.0,4.4008374,0.48197618,8.750469,-0.041077614,-0.079013914,0.045674324,-0.038205232,-0.2288899,-0.26364288,2017-08-02 13:43:52,29.394615300477792
4.797345,0.19568175,8.871902,30000.0,4.309245,0.43799376,8.798236,0.01173687,0.0078059137,0.03504753,-0.038943056,-0.22292978,-0.26489025,2017-08-02 13:43:53,-0.9437274494269616
4.87486,0.19568175,8.84181,30000.0,4.329598,0.45235935,8.787511,0.018659592,-0.0065451264,0.015060425,-0.039104763,-0.22466896,-0.26559067,2017-08-02 13:43:54,39.49748289006663
4.919278,0.22497863,8.905761,28603.0,4.3398147,0.47396827,8.78133,0.018873215,0.0051428676,-0.014901161,-0.04034785,-0.22486442,-0.27478966,2017-08-02 13:43:55,43.522446419062746
4.8578463,0.21458739,8.897288,28791.0,4.3303747,0.4904597,8.785084,0.0019087791,-3.8391352E-4,-0.04172802,-0.03960038,-0.2244214,-0.2752775,2017-08-02 13:43:56,45.40918173547872
4.8398867,0.2306549,8.911408,29451.0,4.304478,0.4994507,8.797296,-0.016494274,0.017008305,-0.024588585,-0.038594637,-0.2238978,-0.27583155,2017-08-02 13:43:57,40.31168336554012
4.8370485,0.24766845,8.778787,30000.0,4.3056593,0.512345,8.795976,0.0019860268,-0.0072416663,-0.07422447,-0.038140416,-0.22377525,-0.27592444,2017-08-02 13:43:58,38.43137648932588
5.03555,0.16827697,8.814527,30000.0,4.408019,0.46073437,8.747998,0.085273266,-0.040433317,-0.02315998,-0.04307959,-0.22829883,-0.27873266,2017-08-02 13:43:59,41.03233602561298
4.9901705,0.3412506,8.82394,30000.0,4.472507,0.5529726,8.709839,0.0014233589,0.007444322,0.0033388138,-0.04072734,-0.23342277,-0.28052723,2017-08-02 13:44:00,48.91679893634573
4.9618196,0.10872191,8.892597,30000.0,4.4356995,0.45597923,8.734245,-0.022000313,-0.08963117,0.08930302,-0.038722273,-0.23060358,-0.2582148,2017-08-02 13:44:01,37.20072047981857
4.9608736,0.30060118,8.794774,30000.0,4.4009156,0.57558256,8.744772,0.014131546,-0.015453756,-0.018660545,-0.03381763,-0.23021099,-0.2649399,2017-08-02 13:44:02,21.02219249856573
4.938184,0.4868042,8.767506,30000.0,4.474629,0.6637592,8.701006,-0.0607996,0.06577611,-0.010502815,-0.029138077,-0.23563346,-0.25938362,2017-08-02 13:44:03,26.330311003639203
4.9684267,0.33368224,8.754342,30000.0,4.3449745,0.59331995,8.77152,0.09254408,-0.007248163,-0.08089638,-0.03764846,-0.2266265,-0.2879285,2017-08-02 13:44:04,34.59535014370347
5.2633486,0.26941222,8.88036,30000.0,4.5571895,0.56242484,8.665223,0.03952074,-0.030066311,-0.12626553,-0.03803066,-0.237381,-0.2733079,2017-08-02 13:44:05,32.60954886471632
5.0894136,0.29587096,8.809835,30000.0,4.562369,0.53513277,8.664226,-6.0367584E-4,0.00782311,0.07713032,-0.03709589,-0.2384771,-0.2598527,2017-08-02 13:44:06,0.06064722816482098
5.2935762,0.2826416,8.598201,30000.0,4.4705925,0.5970003,8.707914,0.25312662,-0.07264191,-0.15290928,-0.034739494,-0.23412192,-0.2685606,2017-08-02 13:44:07,2.4458633724915515
5.3153353,0.40646666,8.728,30000.0,4.799155,0.7748305,8.5169325,-0.009622097,0.027277768,0.09643078,-0.038610373,-0.25251216,-0.29176432,2017-08-02 13:44:08,53.52317755656606
5.2378206,0.42064208,8.522029,30000.0,4.817593,0.6991617,8.51307,-0.07814646,-0.050014496,-0.037700653,-0.036004405,-0.25522798,-0.27196333,2017-08-02 13:44:09,32.26752509706414
5.369199,0.37622374,8.489112,30000.0,4.835154,0.6114601,8.509864,-0.013429642,0.024372995,-0.07640934,-0.04473336,-0.2532126,-0.28618607,2017-08-02 13:44:10,-1.3593412090976318
5.440091,0.21553344,8.6076145,30000.0,4.8353066,0.55707544,8.513511,0.081501484,-0.06721246,0.071492195,-0.045984842,-0.25262058,-0.2807737,2017-08-02 13:44:11,22.897561281968983
5.5024843,-0.4754303,9.034617,30000.0,4.808124,0.17704254,8.545232,-0.008353233,-0.09368238,-0.08286667,-0.062044475,-0.24497272,-0.25461593,2017-08-02 13:44:12,37.127601549267446
4.972211,-0.022656262,8.780669,30000.0,4.434395,0.24445629,8.743384,0.0074238777,-0.027301013,-0.10175705,-0.048935518,-0.22821294,-0.25565213,2017-08-02 13:44:13,46.364980201612944
4.8653994,0.17206115,8.885066,30000.0,4.47508,0.34900847,8.719073,-0.10828018,0.06093663,0.09519768,-0.04248355,-0.23161635,-0.2491349,2017-08-02 13:44:14,47.04477187673437
4.6196413,0.1181671,8.895406,30000.0,4.1617026,0.40635622,8.870484,-0.008133411,-0.06734395,0.1276865,-0.037612684,-0.21597649,-0.26133513,2017-08-02 13:44:15,50.400096323845425
4.8153048,0.10304564,8.882242,30000.0,4.2380486,0.35359994,8.836532,0.05798292,0.0024276078,0.03803444,-0.038030535,-0.2184087,-0.24667703,2017-08-02 13:44:16,40.71497228653479
4.7103853,0.06996459,9.048707,30000.0,4.2262435,0.3402492,8.842708,-0.037935257,-0.011227101,0.099264145,-0.03782113,-0.21844207,-0.24292539,2017-08-02 13:44:17,43.04147329722957
4.7737093,0.034991443,8.818292,30000.0,4.2450047,0.34573832,8.833504,0.01589489,0.011795253,-0.016846657,-0.03936071,-0.21892633,-0.25336593,2017-08-02 13:44:18,52.97228235845498
