ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.559,6.368,7.804,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-23 11:54:02,-4.891618729357757
1.282,5.414,8.552,-0.48294243,0.4392324,0.09808102,225.0,-4.483452,-1.407737,3.5938692,0.17137575,0.09776772,0.9134054,2017-08-23 11:54:03,27.439558522571552
-1.444,3.527,12.737,-1.7515992,0.68443495,-0.5597015,225.0,-0.62246907,7.027764,3.4914808,-0.039813127,-0.11477663,0.9420366,2017-08-23 11:54:04,33.871429347395896
2.508,0.404,10.616,0.015991472,-0.078891255,-0.09808102,80.0,2.29929,-0.06939321,-0.3195057,-0.005697556,-0.0028336998,-0.9904379,2017-08-23 11:54:05,40.587677035460274
-0.044,0.316,10.035,-0.0031982942,-0.0031982942,0.0,10.0,0.11254934,0.014107145,-0.04201603,0.0015073218,-0.0016631888,-0.9907239,2017-08-23 11:54:06,63.7852083575465
-0.05,0.309,10.027,0.0042643924,-0.0021321962,0.0,0.0,0.087154135,0.019185692,-0.039648056,-1.42322915E-5,-0.0019831816,-0.9997976,2017-08-23 11:54:07,43.47701172354909
-0.05,0.297,10.025,0.0042643924,0.0010660981,0.0,0.0,0.09194254,0.009608887,-0.042639732,5.976421E-5,0.001982332,0.9999937,2017-08-23 11:54:08,31.78892677719613
-0.044,0.298,10.02,-0.0053304904,0.0021321962,-0.0010660981,0.0,0.09074544,6.3063577E-4,-0.049821854,1.6019965E-4,0.0019767515,0.9985583,2017-08-23 11:54:09,34.02878389232815
-0.046,0.293,10.034,-0.0063965884,0.0042643924,0.0,0.0,0.083562836,0.0072146878,-0.034858704,1.6019965E-4,0.0019767515,0.9985583,2017-08-23 11:54:10,33.00742137780635
-0.041,0.283,10.033,-0.0010660981,0.0021321962,0.0010660981,0.0,0.068000525,0.008411791,-0.048624992,1.6019965E-4,0.0019767515,0.9985583,2017-08-23 11:54:11,29.711507709693358
-0.053,0.305,10.035,-0.0053304904,-0.0021321962,0.0,0.0,0.07937298,0.0072146878,-0.03426075,2.906836E-4,0.0019618138,0.9928184,2017-08-23 11:54:12,34.161083305675895
-0.05,0.272,10.027,0.0042643924,-0.0010660981,-0.0010660981,0.0,0.08116864,-0.012537474,-0.04503441,2.906836E-4,0.0019618138,0.9928184,2017-08-23 11:54:13,31.75094858722702
