ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
6.4585986,-0.05363009,7.2849965,54.0,6.6603503,-0.027240695,7.2051635,-0.25878662,-0.027240695,0.17706451,2016-12-05 17:33:13,63.690946182156694
6.592674,-0.034476474,7.164583,53.0,6.524146,-0.068101734,7.314126,0.040861044,-0.013620348,-0.16344418,2016-12-05 17:33:14,64.63962639580862
6.381984,-0.39839512,7.2950306,53.0,6.565007,-0.08172209,7.2868857,-0.13620347,-0.27240694,-0.013620348,2016-12-05 17:33:15,64.6597981944721
6.6118274,-0.11109093,7.094342,53.0,6.551387,-0.19068487,7.2868857,-0.068101734,0.027240695,-0.013620348,2016-12-05 17:33:16,63.925369472066805
6.5543666,-0.082360506,7.1244454,53.0,6.565007,-0.16344418,7.2868857,-0.027240695,0.068101734,-0.08172209,2016-12-05 17:33:17,61.00826305402275
6.640558,0.118752435,7.2950306,53.0,6.6194887,0.0,7.232404,-0.25878662,0.19068487,0.16344418,2016-12-05 17:33:18,62.16402632200726
6.54479,0.04213798,7.2849965,53.0,6.5786276,0.068101734,7.2732654,-0.095342435,-0.040861044,-0.013620348,2016-12-05 17:33:19,62.959253282750495
5.146576,1.08601,9.151401,52.0,6.483285,0.027240695,7.354988,-0.70825803,0.74911916,1.0896277,2016-12-05 17:33:20,57.34238152914039
4.840118,0.41563344,8.388783,67.0,5.8703694,0.3949901,7.8453197,-1.3620348,0.35412902,0.44947144,2016-12-05 17:33:21,60.563176408987125
4.591121,-0.8293514,9.101229,46.0,5.325556,0.3949901,8.22669,0.25878662,-0.939804,-1.3211737,2016-12-05 17:33:22,64.19595298629415
5.041231,-0.3409343,8.378749,67.0,5.1893525,-0.38136974,8.308412,-0.2043052,-0.12258312,-0.095342435,2016-12-05 17:33:23,73.28316974053833
4.9263096,-0.24516623,8.228233,65.0,4.8760843,-0.36774936,8.499097,-0.14982383,0.08172209,0.21792556,2016-12-05 17:33:24,59.74930362830352
4.993347,-0.22601262,8.6195755,66.0,4.8897047,-0.25878662,8.499097,0.23154591,0.095342435,-0.55843425,2016-12-05 17:33:25,63.67680287040746
4.5240836,-0.1972822,8.880471,66.0,4.944186,-0.28602728,8.471856,-0.28602728,-0.17706451,0.27240694,2016-12-05 17:33:26,63.0898123854208
4.466623,-0.0727837,8.780127,71.0,4.69902,-0.36774936,8.594439,-0.17706451,0.32688835,0.05448139,2016-12-05 17:33:27,65.14624145703186
4.4378924,0.013407558,8.739989,70.0,4.4810944,-0.19068487,8.730643,-0.068101734,0.10896278,-0.08172209,2016-12-05 17:33:28,63.05470501568129
4.3900084,-0.0057460554,8.679782,70.0,4.440233,-0.013620348,8.744264,-0.095342435,0.013620348,0.0,2016-12-05 17:33:29,65.25049675199524
4.50493,0.013407558,8.479094,71.0,4.372132,0.027240695,8.785125,0.040861044,0.068101734,0.0,2016-12-05 17:33:30,62.28740892941832
4.466623,0.13790604,8.599506,70.0,4.3993726,0.05448139,8.771504,0.095342435,0.10896278,-0.17706451,2016-12-05 17:33:31,57.38769603158917
4.4378924,0.08044521,8.589472,70.0,4.4538536,0.095342435,8.744264,-0.068101734,-0.027240695,0.05448139,2016-12-05 17:33:32,62.38675139009588
4.457046,0.09002201,8.579437,71.0,4.440233,0.08172209,8.744264,0.0,-0.040861044,-0.027240695,2016-12-05 17:33:33,60.24428581982288
4.409162,0.09959882,8.669747,70.0,4.440233,0.068101734,8.744264,0.027240695,0.095342435,-0.08172209,2016-12-05 17:33:34,61.25046565665993
4.4378924,0.13790604,8.659713,70.0,4.4538536,0.12258312,8.744264,0.0,-0.013620348,-0.095342435,2016-12-05 17:33:35,62.367223317285394
4.50493,0.20494369,8.6195755,69.0,4.467474,0.13620347,8.730643,-0.027240695,-0.05448139,-0.068101734,2016-12-05 17:33:36,62.22390502426903
4.6677356,-0.81019783,8.368714,70.0,4.508335,0.14982383,8.703402,0.17706451,-0.7763598,-0.28602728,2016-12-05 17:33:37,62.076008886713545
5.2998047,-0.24516623,7.9974413,67.0,4.780742,-0.28602728,8.553578,0.4086104,0.28602728,-0.05448139,2016-12-05 17:33:38,60.63906088215687
5.1561527,0.23367411,7.957303,66.0,5.1484914,-0.29964766,8.335652,-0.095342435,0.49033248,0.08172209,2016-12-05 17:33:39,57.49447701473197
4.7635036,0.23367411,9.010919,66.0,5.1621118,-0.040861044,8.335652,-0.2043052,-0.14982383,0.13620347,2016-12-05 17:33:40,63.02586773944132
4.466623,-0.9538499,8.750024,68.0,5.0122876,-0.21792556,8.430995,-0.7899802,-0.027240695,0.74911916,2016-12-05 17:33:41,59.38380140927251
3.949475,-0.41754875,9.091194,70.0,4.5764365,-0.4086104,8.66254,-0.31326798,0.6946377,-0.3949901,2016-12-05 17:33:42,64.12906735021886
4.5336604,0.27198133,8.729954,71.0,4.2086873,-0.3405087,8.853226,0.36774936,0.44947144,-0.32688835,2016-12-05 17:33:43,65.82683466023063
4.639005,0.5784392,8.609541,68.0,4.4810944,0.17706451,8.730643,0.14982383,0.3405087,-0.25878662,2016-12-05 17:33:44,64.57241643615502
4.552814,0.5497087,8.549335,68.0,4.630918,0.51757324,8.6353,-0.027240695,0.05448139,-0.095342435,2016-12-05 17:33:45,63.85084087895442
4.447469,0.47309428,8.62961,68.0,4.6172976,0.57205456,8.6353,-0.14982383,-0.040861044,0.095342435,2016-12-05 17:33:46,64.85755735587914
4.457046,0.47309428,8.699851,69.0,4.5219555,0.5448139,8.689781,-0.08172209,-0.068101734,0.013620348,2016-12-05 17:33:48,65.29648896426224
4.5336604,0.45394066,8.579437,69.0,4.4947147,0.47671217,8.703402,0.0,-0.013620348,-0.040861044,2016-12-05 17:33:49,67.25685066593581
4.514507,0.5018247,8.699851,69.0,4.4810944,0.47671217,8.717022,0.05448139,-0.040861044,-0.027240695,2016-12-05 17:33:50,62.77202093406166
4.514507,0.42521024,8.659713,69.0,4.5219555,0.47671217,8.689781,-0.040861044,-0.027240695,0.05448139,2016-12-05 17:33:51,63.87872603442504
4.5336604,0.41563344,8.6195755,69.0,4.508335,0.44947144,8.703402,0.05448139,-0.027240695,-0.068101734,2016-12-05 17:33:52,64.52064739120121
4.648582,0.3581726,8.549335,69.0,4.5491962,0.4086104,8.676161,0.05448139,0.0,-0.040861044,2016-12-05 17:33:53,63.050239305038794
