ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
4.369418,0.9528923,9.052477,0.032724924,0.038179077,0.020725785,35.77148,4.3263226,1.1492168,8.726865,0.04309563,-0.19632454,0.32561144,0.10380045,-0.29889384,0.045343935,2017-03-01 18:34:31,46.94079669916686
4.4843397,1.757344,8.702923,0.015271631,0.046905722,-0.02617994,38.440994,4.2760444,1.7525556,8.652645,0.20829555,0.0047884034,0.050278235,0.04229211,-0.2522499,-0.23770437,2017-03-01 18:34:32,51.21304984556669
4.829105,3.3375173,8.343793,0.15817046,-0.0141808,-0.080721475,36.305386,4.525041,2.5091233,8.331821,0.30406362,0.8283938,0.011971008,0.067919664,-0.27260226,-0.27643353,2017-03-01 18:34:33,33.881597825056716
6.787562,1.6184803,8.238448,-0.43851396,-0.13853551,-0.5279621,8.00854,6.6271505,1.4101849,7.091625,0.1604115,0.20829555,1.1468226,-0.041892365,-0.37059355,-0.31563875,2017-03-01 18:34:34,73.92716213770862
7.3430166,1.0247183,6.7731967,-0.13417219,1.2806354,-0.28252518,2.6695135,6.9862804,1.0271125,6.8067155,0.35673606,-0.0023942017,-0.033518825,-0.10390653,-0.3771413,-0.39143118,2017-03-01 18:34:35,81.43616070880447
2.3582888,0.6799533,9.449914,-0.09162979,0.029452432,0.19634955,3.203416,2.597709,0.61530983,9.437943,-0.23942018,0.06464344,0.011971008,-0.020409442,-0.13552272,-0.42697948,2017-03-01 18:34:37,81.88035987473108
2.2816741,0.5650316,9.181764,-0.009817477,0.35452,0.2934335,2.6695135,2.7844565,0.58418524,9.385271,-0.50278234,-0.019153614,-0.20350714,-0.025403894,-0.14264062,-0.4276915,2017-03-01 18:34:38,77.83681286890425
2.1332338,0.5410896,9.421184,0.080721475,0.41887903,0.35452,2.6695135,2.9257145,0.61052144,9.3421755,-0.79248077,-0.06943185,0.079008654,-0.027047012,-0.14897883,-0.42899746,2017-03-01 18:34:39,82.14639257334723
3.1196449,0.5506664,9.502586,0.040360738,0.061086524,0.073085666,2.6695135,3.0765493,0.6655881,9.289502,0.04309563,-0.11492168,0.21308395,-0.028563246,-0.15670541,-0.43336275,2017-03-01 18:34:40,80.8554083200837
3.5936968,-1.2689269,8.913613,1.1235557,-0.83448553,1.5358897,20.822205,5.5377884,-0.30885202,8.090008,-1.9440918,-0.9600749,0.82360536,-0.053924598,-0.29115495,-0.15766436,2017-03-01 18:34:41,55.5513251383458
6.3661823,-0.33997664,7.529764,0.10035643,0.023998277,0.05781403,9.610249,6.339846,-0.33518824,7.477092,0.02633622,-0.0047884034,0.05267244,-0.016182438,-0.34887564,-0.034201592,2017-03-01 18:34:42,45.05871689773966
6.054936,-1.3694834,7.309498,-0.2443461,0.09708394,-0.053450707,14.949276,5.971139,-0.94810385,7.723695,0.08379706,-0.4213795,-0.4141969,-0.04119347,-0.32824314,-0.020756662,2017-03-01 18:34:43,34.28999129393482
5.604826,-1.1348516,7.869741,-0.021816615,-0.061086524,-0.050178215,8.00854,5.6120086,-0.94810385,7.9870567,-0.007182605,-0.18674773,-0.11731588,-0.05467409,-0.3036087,-0.071329325,2017-03-01 18:34:44,35.45508905155981
-1.0845734,0.090979666,9.938332,0.0032724924,0.0141808,-0.0109083075,18.686594,-0.82121116,0.35913026,9.765948,-0.2633622,-0.2681506,0.17238252,0.03820471,0.031706665,-0.018449008,2017-03-01 18:34:45,34.79739021433933
-1.1468226,0.0,9.947908,0.0054541538,-0.0054541538,0.009817477,18.686594,-0.93373865,0.28491,9.758766,-0.21308395,-0.28491,0.18914193,0.038493447,0.03329955,-0.022381663,2017-03-01 18:34:46,32.6130934473902
-1.1180922,0.07182605,9.995792,-0.0021816615,-0.0032724924,0.006544985,18.686594,-0.9672575,0.24181437,9.7563715,-0.15083471,-0.16998832,0.23942018,0.032989487,0.037374392,-0.02702117,2017-03-01 18:34:47,35.50090129075765
-1.0366893,0.062249243,9.94312,0.011999139,0.0021816615,-0.0054541538,18.686594,-0.9911995,0.20829555,9.7563715,-0.045489833,-0.14604631,0.18674773,0.029124387,0.04002385,-0.03125125,2017-03-01 18:34:48,33.32997695715224
-1.1133038,0.12449849,9.952697,0.0021816615,-0.0021816615,-0.004363323,18.686594,-1.0151415,0.17477672,9.753978,-0.09816227,-0.050278235,0.19871874,0.025942218,0.042262796,-0.035051405,2017-03-01 18:34:49,33.499895337864096
-1.1133038,0.05267244,9.967062,-0.0076358155,0.0021816615,-0.004363323,18.152693,-1.0079589,0.1436521,9.753978,-0.10534488,-0.090979666,0.21308395,0.0229971,0.042921785,-0.037237644,2017-03-01 18:34:50,41.16812827484436
-1.1180922,0.10534488,9.765948,0.015271631,0.0032724924,-0.009817477,18.152693,-1.0175357,0.15322891,9.753978,-0.10055647,-0.047884032,0.011971008,0.021751285,0.044456743,-0.038390398,2017-03-01 18:34:51,44.84901316529971
-1.1707647,0.009576807,9.794679,-0.0032724924,-0.008726646,-0.01308997,18.152693,-1.0223241,0.14604631,9.753978,-0.14844051,-0.1364695,0.04070143,0.020062026,0.04567982,-0.039667934,2017-03-01 18:34:52,38.93652377347532
-1.1420342,0.062249243,9.97185,-0.015271631,-0.019634955,-0.0010908308,19.220497,-1.0223241,0.1316811,9.753978,-0.11971009,-0.06943185,0.21787235,0.018190848,0.046375893,-0.041178286,2017-03-01 18:34:53,42.21211633949238
-1.1468226,0.05267244,9.871294,0.0076358155,-0.0010908308,0.0076358155,18.152693,-1.0319009,0.11731588,9.751583,-0.11492168,-0.06464344,0.11971009,0.016621668,0.04746336,-0.041659653,2017-03-01 18:34:54,63.42668183665452
-1.0127473,0.05746084,10.043676,-0.0032724924,0.008726646,-0.0021816615,18.152693,-1.0295067,0.10534488,9.753978,0.016759412,-0.047884032,0.2896984,0.015213048,0.04792226,-0.042289525,2017-03-01 18:34:55,61.25069864074206
-1.0366893,0.10055647,9.799467,-0.006544985,-0.0021816615,0.01308997,19.220497,-1.0366893,0.090979666,9.751583,0.0,0.009576807,0.047884032,0.013810705,0.048768487,-0.042778194,2017-03-01 18:34:56,49.3645460572796
-1.0702082,0.08619126,9.813833,0.0021816615,0.0032724924,0.0076358155,19.7544,-1.0223241,0.08619126,9.753978,-0.047884032,0.0,0.059855044,0.0130001865,0.04846703,-0.043062985,2017-03-01 18:34:57,43.85537795330167
-1.1372458,0.17238252,9.952697,-0.01308997,0.0032724924,0.006544985,18.686594,-1.0223241,0.08379706,9.753978,-0.11492168,0.088585466,0.19871874,0.012440719,0.04881868,-0.044628173,2017-03-01 18:34:58,42.70146921867933
-1.103727,0.10534488,10.010158,0.006544985,0.0021816615,0.0032724924,18.686594,-1.0271125,0.088585466,9.753978,-0.076614454,0.016759412,0.25617957,0.012292339,0.04942569,-0.045343608,2017-03-01 18:34:59,52.47693092871803
-1.1755531,0.090979666,9.861717,-0.0032724924,-0.0021816615,0.0010908308,18.686594,-1.0127473,0.079008654,9.753978,-0.16280572,0.011971008,0.107739076,0.011531325,0.049074426,-0.04597974,2017-03-01 18:35:00,35.59726379355593
-1.1085154,0.1340753,9.876082,0.0076358155,0.0054541538,-0.008726646,19.7544,-1.0055647,0.079008654,9.7563715,-0.10295067,0.055066638,0.11971009,0.011279538,0.04894738,-0.047266424,2017-03-01 18:35:01,55.07806237311979
-1.0893618,0.1388637,9.82341,-0.008726646,0.0032724924,-0.0054541538,18.686594,-1.0055647,0.074220255,9.7563715,-0.08379706,0.06464344,0.06703765,0.010705007,0.0493515,-0.048033655,2017-03-01 18:35:02,53.76803710652205
-1.1563994,0.16280572,10.005369,0.0076358155,0.011999139,-0.0021816615,18.686594,-1.0199299,0.07182605,9.753978,-0.1364695,0.090979666,0.25139117,0.010459583,0.050258134,-0.048270434,2017-03-01 18:35:03,36.33190778167894
-1.079785,-0.038307227,9.85214,-0.008726646,-0.0032724924,-0.0076358155,18.152693,-1.0079589,0.079008654,9.7563715,-0.07182605,-0.11731588,0.095768064,0.010644447,0.049964134,-0.049633145,2017-03-01 18:35:04,50.94075627734124
-1.1420342,0.06703765,9.737218,0.006544985,0.006544985,0.0021816615,19.220497,-0.9935937,0.074220255,9.7563715,-0.14844051,-0.007182605,-0.019153614,0.010203842,0.04940746,-0.050446242,2017-03-01 18:35:05,56.032068453409316
-1.1707647,-0.019153614,9.962274,-0.0032724924,-0.015271631,0.011999139,19.7544,-0.9864111,0.07182605,9.758766,-0.18435353,-0.090979666,0.20350714,0.009837024,0.04936506,-0.051085383,2017-03-01 18:35:06,52.090765739191404
-1.1420342,0.076614454,9.933543,-0.0010908308,0.0032724924,0.0021816615,18.152693,-0.9935937,0.059855044,9.7563715,-0.14844051,0.016759412,0.17717093,0.009156067,0.050076097,-0.0517236,2017-03-01 18:35:07,43.561672309932675
-1.0606314,0.038307227,9.751583,-0.0010908308,0.0,-0.004363323,18.152693,-0.9696517,0.055066638,9.758766,-0.090979666,-0.016759412,-0.007182605,0.0087556485,0.049114116,-0.05200553,2017-03-01 18:35:08,39.02587203780612
-1.0462662,0.062249243,9.832987,0.009817477,0.006544985,-0.0054541538,19.7544,-0.9864111,0.050278235,9.758766,-0.059855044,0.011971008,0.074220255,0.008546686,0.050223164,-0.052518815,2017-03-01 18:35:09,40.257051506403
-1.0654198,0.1340753,9.746795,0.0010908308,0.0054541538,-0.009817477,19.7544,-0.9840169,0.04070143,9.758766,-0.08140286,0.093373865,-0.011971008,0.0079985075,0.050343852,-0.0536294,2017-03-01 18:35:10,45.74968801614375
