ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-0.82360536,-0.61291564,9.892841,426.0,2017-04-16 10:53:29,-Infinity
-0.90021986,-0.60333884,9.80665,427.0,2017-04-16 10:53:30,-Infinity
-0.8619126,-0.60333884,9.77792,423.0,2017-04-16 10:53:31,-Infinity
-3.0454245,6.3685765,8.149862,423.0,2017-04-16 10:53:32,-Infinity
-9.825804,2.9113493,-6.339846,288.0,2017-04-16 10:53:33,-Infinity
-0.2873042,-3.2561142,11.013328,449.0,2017-04-16 10:53:34,-Infinity
3.821146,3.4955344,8.39886,273.0,2017-04-16 10:53:35,-Infinity
-4.050989,-4.8841715,12.689269,0.0,2017-04-16 10:53:36,-Infinity
-7.0964136,-5.2480903,1.7525556,247.0,2017-04-16 10:53:37,-Infinity
-0.11492168,-4.4244847,-8.121132,115.0,2017-04-16 10:53:38,-Infinity
-1.9728222,1.6280571,-9.528923,211.0,2017-04-16 10:53:39,-Infinity
3.5338416,-5.3247046,-4.2042184,200.0,2017-04-16 10:53:40,-Infinity
-0.36391866,-8.2169,3.0550013,293.0,2017-04-16 10:53:41,-Infinity
1.340753,-4.5777135,9.825804,252.0,2017-04-16 10:53:43,-Infinity
0.5650316,0.1436521,9.77792,1.0,2017-04-16 10:53:44,-Infinity
0.59376204,0.1340753,9.998186,0.0,2017-04-16 10:53:45,-Infinity
0.5746084,0.15322891,9.739613,0.0,2017-04-16 10:53:46,-Infinity
0.58418524,0.1340753,9.768343,0.0,2017-04-16 10:53:47,-Infinity
0.5746084,0.15322891,9.80665,1.0,2017-04-16 10:53:48,-Infinity
0.5554548,0.18195933,9.787497,0.0,2017-04-16 10:53:49,-Infinity
0.6895301,0.17238252,9.864111,0.0,2017-04-16 10:53:50,-Infinity
0.5554548,0.18195933,9.576807,0.0,2017-04-16 10:53:51,-Infinity
0.545878,0.17238252,9.80665,0.0,2017-04-16 10:53:52,-Infinity
0.4309563,0.21068975,9.270349,0.0,2017-04-16 10:53:53,-Infinity
0.58418524,0.22026655,10.04607,1.0,2017-04-16 10:53:54,-Infinity
0.5650316,0.21068975,10.170568,0.0,2017-04-16 10:53:55,-Infinity
0.5363012,0.22026655,9.701305,0.0,2017-04-16 10:53:56,-Infinity
0.45010993,0.18195933,9.892841,1.0,2017-04-16 10:53:57,-Infinity
0.5650316,0.15322891,9.758766,0.0,2017-04-16 10:53:58,-Infinity
0.7661445,0.18195933,8.90643,1.0,2017-04-16 10:53:59,-Infinity
0.58418524,0.1436521,9.797073,1.0,2017-04-16 10:54:00,-Infinity
0.545878,0.1340753,9.730036,0.0,2017-04-16 10:54:01,-Infinity
0.58418524,0.2681506,9.662998,0.0,2017-04-16 10:54:02,-Infinity
1.1013328,0.10534488,9.653421,0.0,2017-04-16 10:54:03,-Infinity
0.4405331,-4.098873,9.701305,1.0,2017-04-16 10:54:04,-Infinity
1.4269443,-2.0207062,9.050082,30.0,2017-04-16 10:54:05,-Infinity
1.5131354,1.6089035,9.835381,0.0,2017-04-16 10:54:06,-Infinity
0.4213795,-0.50757074,9.241618,0.0,2017-04-16 10:54:08,-Infinity
1.7812861,-0.009576807,9.385271,0.0,2017-04-16 10:54:09,-Infinity
1.3694834,-0.2873042,9.471462,0.0,2017-04-16 10:54:10,-Infinity
1.3311762,-0.31603462,9.902418,0.0,2017-04-16 10:54:11,-Infinity
1.4748282,-0.36391866,7.9870567,1.0,2017-04-16 10:54:12,-Infinity
2.1547816,-0.21068975,11.21444,1.0,2017-04-16 10:54:13,-Infinity
1.5897499,0.15322891,10.5919485,1.0,2017-04-16 10:54:14,-Infinity
1.7621324,0.15322891,9.643845,0.0,2017-04-16 10:54:15,-Infinity
1.6950948,0.15322891,9.615114,1.0,2017-04-16 10:54:16,-Infinity
1.6567876,0.1340753,9.576807,1.0,2017-04-16 10:54:17,-Infinity
1.6950948,0.16280572,9.80665,0.0,2017-04-16 10:54:18,-Infinity
1.7525556,0.20111294,10.419566,1.0,2017-04-16 10:54:19,-Infinity
1.7046716,0.1340753,9.624691,2.0,2017-04-16 10:54:20,-Infinity
1.6663644,0.1340753,6.081272,1.0,2017-04-16 10:54:21,-Infinity
1.7046716,0.1436521,9.5385,0.0,2017-04-16 10:54:22,-Infinity
1.7429788,0.1436521,9.902418,0.0,2017-04-16 10:54:23,-Infinity
1.685518,0.17238252,9.80665,1.0,2017-04-16 10:54:24,-Infinity
1.7238252,0.1340753,9.5385,0.0,2017-04-16 10:54:25,-Infinity
1.7046716,0.1436521,9.490616,1.0,2017-04-16 10:54:26,-Infinity
1.7429788,0.12449849,9.643845,0.0,2017-04-16 10:54:27,-Infinity
1.733402,0.1436521,9.442732,0.0,2017-04-16 10:54:28,-Infinity
1.733402,0.16280572,9.682152,0.0,2017-04-16 10:54:29,-Infinity
1.733402,0.15322891,9.77792,0.0,2017-04-16 10:54:30,-Infinity
1.6567876,0.1436521,9.959879,1.0,2017-04-16 10:54:31,-Infinity
1.7142484,0.1436521,9.624691,0.0,2017-04-16 10:54:32,-Infinity
1.7429788,0.18195933,10.180145,0.0,2017-04-16 10:54:34,-Infinity
1.7525556,0.1436521,9.739613,0.0,2017-04-16 10:54:35,-Infinity
1.7238252,0.17238252,9.691729,0.0,2017-04-16 10:54:36,-Infinity
1.733402,0.1436521,9.672575,0.0,2017-04-16 10:54:37,-Infinity
1.7525556,0.1436521,9.653421,0.0,2017-04-16 10:54:38,-Infinity
1.7142484,0.18195933,9.959879,0.0,2017-04-16 10:54:39,-Infinity
1.7429788,0.1340753,9.624691,0.0,2017-04-16 10:54:40,-Infinity
1.6950948,0.15322891,9.911995,0.0,2017-04-16 10:54:41,-Infinity
1.6759412,0.1340753,10.199299,0.0,2017-04-16 10:54:42,-Infinity
1.7142484,0.17238252,9.691729,0.0,2017-04-16 10:54:43,-Infinity
1.7621324,0.1436521,10.084377,0.0,2017-04-16 10:54:44,-Infinity
1.7429788,0.1340753,9.222465,1.0,2017-04-16 10:54:45,-Infinity
1.7046716,0.16280572,9.902418,0.0,2017-04-16 10:54:46,-Infinity
1.733402,0.15322891,9.615114,0.0,2017-04-16 10:54:47,-Infinity
1.7046716,0.11492168,9.662998,0.0,2017-04-16 10:54:48,-Infinity
1.5897499,0.19153613,9.921572,0.0,2017-04-16 10:54:49,-Infinity
1.7717092,0.16280572,9.662998,0.0,2017-04-16 10:54:50,-Infinity
1.7046716,0.11492168,9.643845,2.0,2017-04-16 10:54:51,-Infinity
1.685518,0.17238252,9.682152,0.0,2017-04-16 10:54:52,-Infinity
1.7046716,0.1436521,9.662998,0.0,2017-04-16 10:54:53,-Infinity
1.6759412,0.1340753,9.701305,1.0,2017-04-16 10:54:54,-Infinity
1.7142484,0.1436521,9.710882,0.0,2017-04-16 10:54:56,-Infinity
1.7525556,0.17238252,9.701305,0.0,2017-04-16 10:54:57,-Infinity
1.7238252,0.1340753,9.701305,0.0,2017-04-16 10:54:58,-Infinity
1.7429788,0.17238252,9.385271,1.0,2017-04-16 10:54:59,-Infinity
1.6184803,0.18195933,9.490616,1.0,2017-04-16 10:55:00,-Infinity
1.733402,0.1436521,9.3182335,1.0,2017-04-16 10:55:01,-Infinity
1.7238252,0.16280572,9.557653,0.0,2017-04-16 10:55:02,-Infinity
1.6759412,0.1340753,9.854534,0.0,2017-04-16 10:55:03,-Infinity
1.6376339,0.18195933,10.04607,1.0,2017-04-16 10:55:04,-Infinity
1.7046716,0.15322891,9.873688,1.0,2017-04-16 10:55:05,-Infinity
1.8291701,0.15322891,9.509769,0.0,2017-04-16 10:55:06,-Infinity
1.7238252,0.15322891,9.394848,0.0,2017-04-16 10:55:07,-Infinity
1.6950948,0.15322891,9.653421,0.0,2017-04-16 10:55:08,-Infinity
1.7621324,0.16280572,9.078813,1.0,2017-04-16 10:55:09,-Infinity
1.7238252,0.1436521,9.634268,1.0,2017-04-16 10:55:10,-Infinity
1.7238252,0.17238252,9.720459,0.0,2017-04-16 10:55:11,-Infinity
1.6950948,0.18195933,9.500193,1.0,2017-04-16 10:55:12,-Infinity
1.6759412,0.12449849,9.720459,1.0,2017-04-16 10:55:13,-Infinity
1.6950948,0.24899697,10.697293,0.0,2017-04-16 10:55:14,-Infinity
1.685518,0.16280572,9.634268,0.0,2017-04-16 10:55:15,-Infinity
1.733402,0.16280572,9.691729,1.0,2017-04-16 10:55:16,-Infinity
1.5993267,0.18195933,8.820239,0.0,2017-04-16 10:55:17,-Infinity
1.7142484,0.21068975,9.844957,0.0,2017-04-16 10:55:18,-Infinity
1.685518,0.1340753,9.107543,1.0,2017-04-16 10:55:20,-Infinity
1.7238252,0.1340753,9.624691,1.0,2017-04-16 10:55:21,-Infinity
1.6759412,0.16280572,9.662998,0.0,2017-04-16 10:55:22,-Infinity
1.7429788,0.21068975,9.097966,1.0,2017-04-16 10:55:23,-Infinity
1.7238252,0.17238252,9.634268,1.0,2017-04-16 10:55:24,-Infinity
1.685518,0.1340753,9.691729,1.0,2017-04-16 10:55:25,-Infinity
1.6950948,0.1340753,9.672575,0.0,2017-04-16 10:55:26,-Infinity
1.6950948,0.17238252,9.921572,1.0,2017-04-16 10:55:27,-Infinity
1.6663644,0.20111294,9.911995,0.0,2017-04-16 10:55:28,-Infinity
1.6184803,0.1340753,10.036493,0.0,2017-04-16 10:55:29,-Infinity
1.8387469,0.095768064,7.335834,0.0,2017-04-16 10:55:30,-Infinity
1.7429788,0.15322891,9.548077,0.0,2017-04-16 10:55:31,-Infinity
1.7046716,0.17238252,9.662998,1.0,2017-04-16 10:55:32,-Infinity
2.2505496,0.8810662,10.036493,2.0,2017-04-16 10:55:33,-Infinity
1.7142484,0.1436521,9.653421,2.0,2017-04-16 10:55:34,-Infinity
0.60333884,-0.39264908,9.069236,1.0,2017-04-16 10:55:35,-Infinity
1.7238252,0.1340753,9.682152,1.0,2017-04-16 10:55:52,-Infinity
2.7868507,-0.20111294,9.739613,1.0,2017-04-16 10:55:52,-Infinity
