ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-2.786,4.29,8.609,158.0,2017-06-09 10:55:11,24.07450658345653
-0.028,3.907,9.146,152.0,2017-06-09 10:55:12,67.05574018712976
1.043,2.413,8.724,330.0,2017-06-09 10:55:13,63.05441887719973
2.269,1.455,9.452,334.0,2017-06-09 10:55:14,45.9664433632545
6.79,-1.494,7.307,169.0,2017-06-09 10:55:15,40.853175158859955
7.862,-0.191,6.234,286.0,2017-06-09 10:55:16,54.36175339255691
6.483,-0.229,7.192,335.0,2017-06-09 10:55:17,56.293817887663316
6.445,-0.268,7.269,200.0,2017-06-09 10:55:18,51.18989155914217
6.407,-0.229,7.192,222.0,2017-06-09 10:55:19,53.504274541520545
6.407,-0.229,7.23,243.0,2017-06-09 10:55:20,49.25176887352809
6.483,-0.268,7.192,246.0,2017-06-09 10:55:21,51.67326720009952
6.407,-0.268,7.192,246.0,2017-06-09 10:55:22,52.65394571455809
6.368,-0.306,7.23,246.0,2017-06-09 10:55:23,60.12613182775404
6.407,-0.268,7.23,251.0,2017-06-09 10:55:24,61.866892797068815
6.445,-0.191,7.154,242.0,2017-06-09 10:55:25,55.86084752244161
6.522,-0.191,7.383,251.0,2017-06-09 10:55:26,53.86402078705143
6.407,-0.306,7.345,251.0,2017-06-09 10:55:27,54.98565189554345
6.56,-0.153,7.345,251.0,2017-06-09 10:55:28,53.329233203181346
6.483,-0.153,7.23,251.0,2017-06-09 10:55:29,58.906738011477586
6.407,-0.268,7.192,255.0,2017-06-09 10:55:30,54.923212359520264
6.33,-0.268,7.192,251.0,2017-06-09 10:55:31,54.38508124622106
6.445,-0.268,7.115,251.0,2017-06-09 10:55:32,55.437646156714784
6.483,-0.268,7.23,255.0,2017-06-09 10:55:33,54.54297583154908
6.445,-0.344,7.154,259.0,2017-06-09 10:55:34,57.048413979894804
6.407,-0.229,7.269,260.0,2017-06-09 10:55:35,59.58966535973155
6.445,-0.268,7.269,234.0,2017-06-09 10:55:36,56.11619303213512
6.483,-0.306,7.154,161.0,2017-06-09 10:55:37,66.2548568757048
6.33,-0.229,7.23,156.0,2017-06-09 10:55:38,60.676865033214554
6.522,-0.191,7.23,161.0,2017-06-09 10:55:39,55.83079142468809
6.368,-0.229,7.23,187.0,2017-06-09 10:55:40,46.022670058715214
6.445,-0.306,7.192,105.0,2017-06-09 10:55:41,62.26790211416244
6.33,-0.229,6.732,131.0,2017-06-09 10:55:42,64.89690268888478
6.445,-0.191,7.23,256.0,2017-06-09 10:55:43,66.04989537760952
6.483,-0.191,7.115,260.0,2017-06-09 10:55:44,68.43683089364688
6.483,-0.306,6.962,272.0,2017-06-09 10:55:45,61.5079336962631
6.483,-0.229,7.23,195.0,2017-06-09 10:55:47,55.7844094042186
6.407,-0.306,7.23,281.0,2017-06-09 10:55:48,69.29393697581504
6.483,-0.191,7.154,150.0,2017-06-09 10:55:49,68.11740846051173
6.445,-0.268,7.269,52.0,2017-06-09 10:55:50,55.76603327431031
6.445,-0.191,7.269,185.0,2017-06-09 10:55:51,67.19632481516764
6.407,-0.268,7.269,319.0,2017-06-09 10:55:52,67.39439636912897
6.407,-0.268,7.345,311.0,2017-06-09 10:55:53,67.36033506792192
6.483,-0.306,7.422,314.0,2017-06-09 10:55:54,58.6675170746848
6.445,-0.268,7.307,332.0,2017-06-09 10:55:55,51.691102205233506
6.368,-0.229,7.307,336.0,2017-06-09 10:55:56,60.31790711843015
6.445,-0.153,7.23,332.0,2017-06-09 10:55:57,55.97760045080997
6.483,-0.268,7.192,323.0,2017-06-09 10:55:58,55.08712417199859
6.445,-0.153,7.269,332.0,2017-06-09 10:55:59,52.927307132898605
6.445,-0.229,7.23,324.0,2017-06-09 10:56:00,65.86043686208613
6.445,-0.268,7.307,332.0,2017-06-09 10:56:01,66.94878193248684
6.483,-0.306,7.23,332.0,2017-06-09 10:56:02,60.96531746457174
6.483,-0.153,7.269,332.0,2017-06-09 10:56:03,64.97557628222984
6.483,-0.229,7.269,314.0,2017-06-09 10:56:04,61.7938221809148
6.407,-0.153,7.345,310.0,2017-06-09 10:56:05,63.70530102141929
6.483,-0.191,7.269,314.0,2017-06-09 10:56:06,63.555290264820535
6.368,-0.229,7.192,316.0,2017-06-09 10:56:07,62.455487445856164
6.368,-0.229,7.269,328.0,2017-06-09 10:56:08,55.08358393726198
6.445,-0.229,7.23,302.0,2017-06-09 10:56:09,64.6973664416642
6.407,-0.229,7.192,305.0,2017-06-09 10:56:10,64.40408056046354
6.445,-0.229,7.23,301.0,2017-06-09 10:56:11,62.17558842500484
6.522,-0.421,7.383,301.0,2017-06-09 10:56:12,56.15547852052251
6.483,-0.191,7.269,301.0,2017-06-09 10:56:13,48.44825545027301
6.445,-0.306,7.192,297.0,2017-06-09 10:56:14,56.66708658221176
6.522,-0.191,7.154,301.0,2017-06-09 10:56:15,64.35855367201273
6.483,-0.191,7.154,297.0,2017-06-09 10:56:16,56.688892304718735
6.522,-0.306,7.23,301.0,2017-06-09 10:56:17,61.51392614817031
6.368,-0.229,7.23,305.0,2017-06-09 10:56:18,55.44724451164328
6.368,-0.153,7.307,301.0,2017-06-09 10:56:19,58.3076341868382
6.407,-0.306,7.192,301.0,2017-06-09 10:56:20,63.387653466002945
