ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
3.9618835,5.589798,7.276535,0.07954407,0.11634827,0.21151733,61.0,37.00226,3.9208221,5.450969,7.1473403,-0.035188913,0.0328207,-0.009803295,-0.03250264,-0.3667842,-0.7997438,2017-07-20 10:07:35,55.06094409201714
4.0795593,5.256363,7.3746033,0.0135650635,-0.009857178,0.023010254,62.0,37.00226,4.0496106,5.2431903,7.2304907,-0.026774883,-0.060269833,0.042833805,-0.027464861,-0.36137688,-0.77867454,2017-07-20 10:07:36,48.61948620011561
4.1776276,5.1779175,7.3549805,-0.040649414,0.012130737,-0.037506104,62.0,37.00226,4.091148,5.146515,7.2764196,0.022080898,-0.049608707,-0.035976887,-0.028173225,-0.3580672,-0.7738658,2017-07-20 10:07:37,36.39740624922936
4.1187897,5.2759705,7.3746033,0.021255493,-0.0047302246,-0.0126953125,63.0,37.00226,4.073234,5.163919,7.274138,-0.020868301,0.027841568,-0.018157005,-0.024581026,-0.35849398,-0.7705229,2017-07-20 10:07:38,44.65300917734811
4.2364655,5.2171326,7.3157654,-0.035095215,0.005844116,0.030334473,63.0,37.00226,4.22069,5.157596,7.1941204,-0.05690813,-0.029282093,-0.0022439957,-0.027449323,-0.36393473,-0.7628175,2017-07-20 10:07:39,34.63321451159524
4.275696,5.0210114,7.4726715,2.593994E-4,0.0022888184,0.019836426,64.0,37.00226,4.2150526,4.933051,7.3531437,-0.009044647,0.0064020157,-0.0020422935,-0.030507786,-0.35236812,-0.7608873,2017-07-20 10:07:40,40.47614493707179
4.3345337,4.9033203,7.551117,0.00630188,-0.009918213,0.0044555664,64.0,37.00226,4.285848,4.8463154,7.3698792,-0.02521944,-0.026565075,0.054151535,-0.035985388,-0.35063627,-0.76064676,2017-07-20 10:07:41,38.62638406394715
9.179031,-3.8049774,-3.393097,1.4307251,-4.933319,0.7807312,36.0,37.00226,8.342648,-3.6261413,-3.6635659,0.8193493,-0.17143226,0.27794933,-0.6737939,-0.4824849,-0.28742424,2017-07-20 10:07:42,35.42824130710583
0.11767578,0.31381226,-10.06163,-0.0010223389,3.0517578E-5,0.001159668,2.0,37.102264,0.07056123,0.7966684,-9.773982,0.047881164,-0.47420073,-0.39383793,0.5929345,0.80421585,0.03485748,2017-07-20 10:07:43,36.922796390161984
0.13729858,0.2942047,-9.845871,0.003982544,-7.6293945E-4,0.0015258789,2.0,37.102264,0.090924345,0.39296463,-9.798352,0.04555455,-0.10230255,0.0408144,0.6180131,0.7858987,0.018618861,2017-07-20 10:07:44,39.075129127143235
0.13729858,0.23536682,-9.963562,0.002090454,-2.1362305E-4,0.0015258789,2.0,37.102264,0.11374465,0.29011044,-9.801699,0.021832548,-0.059134096,-0.0135269165,0.6260715,0.7796037,0.015166165,2017-07-20 10:07:45,42.756242909087476
0.15690613,0.2942047,-9.904724,0.0025787354,-0.0024719238,-3.0517578E-4,2.0,37.102264,0.09963214,0.27595824,-9.80226,0.05565858,0.01377216,0.05646801,0.6264637,0.779307,0.0141503075,2017-07-20 10:07:46,41.02843093641923
0.11767578,0.31381226,-9.924332,0.0012359619,-0.002105713,8.544922E-4,2.0,37.102264,0.12868977,0.27409735,-9.801974,-0.013161451,0.03514102,0.04120922,0.62683254,0.779001,0.015003043,2017-07-20 10:07:47,41.59124477524081
0.11767578,0.3530426,-9.904724,-0.001083374,-3.9672852E-4,0.0010986328,2.0,37.102264,0.10452249,0.28803548,-9.801862,0.011705317,0.061016887,0.032925606,0.6259799,0.77968264,0.014789763,2017-07-20 10:07:48,45.25711833244241
