ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-3.883438,-1.1669922,9.012314,1.0,0.17453292,0.1316055,-1.8890782E31,0.07274463,0.18114415,0.9718925,0.18114415,0.07274463,-0.9718925,2017-11-23 20:54:39,42.04064897135389
-4.030533,-1.6867371,8.894638,1.0,0.17453292,0.1181376,-1.0469387E-38,0.11578345,0.19606516,0.96653825,0.19606516,0.11578345,-0.96653825,2017-11-23 20:54:40,62.66774787045043
-3.9324646,-1.6082916,8.933853,1.0,0.17453292,0.11970798,-2.3419646E-7,0.10619118,0.193004,0.9680614,0.193004,0.10619118,-0.9680614,2017-11-23 20:54:41,66.24786498482179
-3.9030457,-1.5690613,8.953476,1.0,0.17453292,0.12052274,-1.8890782E31,0.10526954,0.1909611,0.96846604,0.1909611,0.10526954,-0.96846604,2017-11-23 20:54:42,61.95340958651705
-3.9030457,-1.5494537,8.982895,1.0,0.17453292,0.12131818,-1.8890782E31,0.10580266,0.18915495,0.96866304,0.18915495,0.10580266,-0.96866304,2017-11-23 20:54:43,46.58287347704774
-3.912857,-1.5396423,9.080963,1.0,0.17453292,0.1265691,-1.8890782E31,0.10652544,0.18948343,0.9678474,0.18948343,0.10652544,-0.9678474,2017-11-23 20:54:44,55.69858870551989
-3.9030457,-1.5886841,9.012314,1.0,0.17453292,0.12628876,-1.8890782E31,0.10681201,0.1903784,0.9676768,0.1903784,0.10681201,-0.9676768,2017-11-23 20:54:45,66.5198821909243
-3.8638153,-1.5788727,8.845596,1.0,0.17453292,0.12601423,-1.8890782E31,0.107102305,0.18901595,0.96794754,0.18901595,0.107102305,-0.96794754,2017-11-23 20:54:46,65.90092320173389
-3.883438,-1.5984802,9.002502,1.0,0.17453292,0.124730155,-1.8890782E31,0.106888056,0.18953396,0.9680363,0.18953396,0.106888056,-0.9680363,2017-11-23 20:54:47,58.019478022939055
-3.883438,-1.5886841,8.924057,1.0,0.17453292,0.12096945,-1.8890782E31,0.10636373,0.19008215,0.9684637,0.19008215,0.10636373,-0.9684637,2017-11-23 20:54:48,61.99170868067766
-3.883438,-1.5886841,8.963272,1.0,0.17453292,0.12036164,-1.8890782E31,0.10587762,0.1890765,0.9687895,0.1890765,0.10587762,-0.9687895,2017-11-23 20:54:49,66.59811900557332
-3.883438,-1.5788727,8.884827,1.0,0.17453292,0.12626208,-1.8890782E31,0.10653391,0.18899181,0.9679827,0.18899181,0.10653391,-0.9679827,2017-11-23 20:54:50,66.45854554856729
-3.912857,-1.6769409,8.904434,1.0,0.17453292,0.118932605,-1.8890782E31,0.10537281,0.19114849,0.9686144,0.19114849,0.10537281,-0.9686144,2017-11-23 20:54:51,59.25933721384905
-3.8343964,-1.5592499,8.884827,1.0,0.17453292,0.11955776,-1.8890782E31,0.106247395,0.18843067,0.96897435,0.18843067,0.106247395,-0.96897435,2017-11-23 20:54:52,63.408090224759576
-3.8736267,-1.5690613,8.884827,1.0,0.17453292,0.11899782,-1.8890782E31,0.105712324,0.19055451,0.9686864,0.19055451,0.105712324,-0.9686864,2017-11-23 20:54:53,61.395060812309296
-3.9324646,-1.5788727,8.943665,1.0,0.17453292,0.11828173,-1.8890782E31,0.105427794,0.19082148,0.96875256,0.19082148,0.105427794,-0.96875256,2017-11-23 20:54:54,66.25427685195666
-3.8246002,-1.5494537,8.933853,1.0,0.17453292,0.11866752,-4.224586E-39,0.10444881,0.1904409,0.9688863,0.1904409,0.10444881,-0.9688863,2017-11-23 20:54:55,62.41402947215123
-3.8736267,-1.5690613,8.953476,1.0,0.17453292,0.118406385,-4.224586E-39,0.105324715,0.18935864,0.96903557,0.18935864,0.105324715,-0.96903557,2017-11-23 20:54:56,65.84727030400198
-3.9226532,-1.5396423,8.9730835,1.0,0.17453292,0.11715438,-4.224586E-39,0.10388297,0.1914489,0.9689327,0.1914489,0.10388297,-0.9689327,2017-11-23 20:54:57,59.21965864132378
-3.912857,-1.5494537,8.9730835,1.0,0.17453292,0.11749804,-4.224586E-39,0.10358086,0.1896302,0.96928096,0.1896302,0.10358086,-0.96928096,2017-11-23 20:54:58,65.82492302152204
-4.1089935,-1.6377106,8.776947,1.0,0.17453292,0.115869425,-4.224586E-39,0.1087095,0.19977058,0.9668755,0.19977058,0.1087095,-0.9668755,2017-11-23 20:54:59,67.7079866208575
-3.9815063,-1.5690613,8.904434,1.0,0.17453292,0.10621703,-1.0469387E-38,0.10412522,0.19762135,0.9689281,0.19762135,0.10412522,-0.9689281,2017-11-23 20:55:00,66.13361829854091
-3.9618835,-1.5396423,9.051544,1.0,0.17453292,0.11157486,-1.0469387E-38,0.10367192,0.19394092,0.96911824,0.19394092,0.10367192,-0.96911824,2017-11-23 20:55:01,36.70761192148376
-3.9815063,-1.6082916,8.825989,1.0,0.17453292,0.11192933,-1.0469387E-38,0.105152465,0.19527638,0.9686495,0.19527638,0.105152465,-0.9686495,2017-11-23 20:55:02,36.5225144169677
-3.912857,-1.5494537,8.875015,1.0,0.17453292,0.11326228,-1.0469387E-38,0.105228715,0.19506802,0.9685283,0.19506802,0.105228715,-0.9685283,2017-11-23 20:55:03,35.20810931536473
-3.9520874,-1.5886841,8.943665,1.0,0.17453292,0.11228742,-1.0469387E-38,0.10488872,0.19413306,0.96886647,0.19413306,0.10488872,-0.96886647,2017-11-23 20:55:04,51.952111696906215
-3.9520874,-1.5886841,8.855408,1.0,0.17453292,0.10989786,-1.0469387E-38,0.103789985,0.19439453,0.96920633,0.19439453,0.103789985,-0.96920633,2017-11-23 20:55:05,66.2421976106181
-3.912857,-1.5886841,8.963272,1.0,0.17453292,0.111032255,-1.0469387E-38,0.10448403,0.19363095,0.9691553,0.19363095,0.10448403,-0.9691553,2017-11-23 20:55:06,59.111941654547365
