ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-5.5737,7.8242493,1.474823,-0.007843018,0.009109497,-7.6293945E-5,4.0,-5.590032,7.9193096,1.4854176,-0.015901566,-0.028840065,0.039453268,0.4124346,-0.50414526,-0.75685966,2017-01-03 09:04:15,-Infinity
-5.851425,7.6518707,1.5227051,-0.0035552979,0.008300781,-0.047943115,4.0,-5.8211703,7.7433257,1.5248846,-0.00393486,-0.04651308,0.035563946,0.42363527,-0.49273288,-0.7584668,2017-01-03 09:04:16,40.15835028848329
-6.119583,7.460327,1.656784,-0.005996704,0.006668091,-0.0041503906,4.0,-6.067646,7.532332,1.6180353,-0.033940792,-0.0131697655,0.017349124,0.42902604,-0.4831561,-0.7623353,2017-01-03 09:04:17,31.148694159457815
-6.4739227,6.1770477,3.1124573,-0.15545654,-0.62065125,-0.18067932,4.0,-6.774993,6.3536105,3.1466627,-0.2311616,-0.054382324,0.56776047,-0.39661175,0.42692384,0.81074476,2017-01-03 09:04:18,30.72608290862606
-6.5888367,6.167465,3.0454254,0.016601563,0.026626587,0.04675293,3.0,-6.9402585,6.262337,2.9641755,-0.08732128,-0.028781414,0.016640663,-0.4098672,0.42529756,0.80496323,2017-01-03 09:04:19,38.80663920614728
-6.847412,6.2440796,3.0933075,-0.0033569336,0.017456055,0.01171875,3.0,-6.867767,6.32419,3.0014632,6.2417984E-4,-0.03507805,0.05145502,-0.41020882,0.4227253,0.8068278,2017-01-03 09:04:20,31.170941021741847
-6.81868,6.2632294,3.2273865,0.0068206787,0.014816284,0.021499634,3.0,-6.8757315,6.3252115,2.9810064,0.0030846596,-0.027270317,-0.06589723,-0.41329348,0.42095068,0.80641437,2017-01-03 09:04:21,30.287351496303828
-5.008667,5.6981964,2.8634644,0.16931152,-0.59317017,0.040649414,3.0,-5.3677793,5.794174,5.812476,-0.14145994,-0.06949997,0.17440891,-0.25170046,0.38676396,0.8695851,2017-01-03 09:04:22,27.354466903343653
-6.234497,6.301544,4.6830597,0.035736084,-0.007171631,0.017227173,2.0,-6.2883415,6.3261786,4.075121,-0.2753148,0.07245779,0.22704792,-0.34711114,0.4144159,0.8382444,2017-01-03 09:04:23,15.686416644881076
-4.7022095,6.8282623,2.6815033,0.3046875,0.11112976,0.007461548,3.0,-6.3975124,6.8166637,2.9623158,-0.417109,-0.29761457,2.4242558,-0.39676818,0.4376516,0.80674803,2017-01-03 09:04:24,44.74783582205082
-2.5091248,9.318237,3.016693,-0.112091064,0.25224304,0.3497467,3.0,-2.251972,9.254922,2.3335435,1.1691883,-0.63079643,0.15988255,0.28196105,-0.5491087,-0.765,2017-01-03 09:04:25,68.68466077683244
0.86190796,9.777924,1.4269409,-0.049575806,-0.009216309,0.109054565,1.0,0.7576542,9.669899,1.4454737,-0.26896125,0.1131897,-0.0027620792,0.32383633,-0.5669492,-0.6263455,2017-01-03 09:04:26,69.9600353584846
1.2162476,9.643845,1.2641449,-0.0076293945,0.011154175,0.0335083,1.0,1.2363467,9.633702,1.3541131,-0.12923563,0.05474758,-0.12469232,0.26911566,-0.5987789,-0.6430895,2017-01-03 09:04:27,66.67583077849076
1.2832947,9.634262,1.1970978,0.018630981,0.011352539,0.014984131,1.0,1.2782319,9.619931,1.4118901,-0.0074728727,-0.0060539246,-0.058469176,0.25745437,-0.60144067,-0.65001637,2017-01-03 09:04:28,66.05365706741398
1.4077911,9.60553,1.4173737,-0.008041382,0.011962891,0.01927185,1.0,1.3036156,9.616889,1.4094036,-0.07932603,0.0325737,0.04610181,0.25080767,-0.6043475,-0.65318865,2017-01-03 09:04:29,65.33834072031726
1.0726013,9.60553,2.355896,0.0035705566,0.015213013,0.013153076,1.0,1.26131,9.618027,1.4398049,-0.0156852,-0.012063026,-0.85694265,0.25235978,-0.6024159,-0.654458,2017-01-03 09:04:30,33.267594499055505
2.0111237,9.461884,1.5322876,-0.015777588,0.022338867,0.19845581,1.0,1.3982128,9.5698395,1.622821,-0.5512626,0.09586716,-0.02500236,0.24901515,-0.59602904,-0.65442795,2017-01-03 09:04:31,43.351914625601566
1.312027,9.643845,1.312027,-0.0206604,0.008911133,0.06690979,1.0,1.4651656,9.549355,1.6833005,-0.23356545,0.059588432,-0.13091588,0.24542591,-0.59493,-0.65510017,2017-01-03 09:04:32,47.36693882198274
1.9440918,9.414001,1.6184845,-0.010482788,0.01399231,0.028839111,1.0,1.7371432,9.5190115,1.5940927,0.048859477,-0.019248962,-0.22487724,0.23882057,-0.60140556,-0.6465612,2017-01-03 09:04:33,63.2027957094502
1.608902,9.56723,1.5801697,-0.019638062,0.011764526,0.008270264,1.0,1.6575879,9.54268,1.536244,-0.03604722,0.01646328,0.04932797,0.23984712,-0.6034457,-0.64820534,2017-01-03 09:04:34,63.71328024904337
1.9345093,9.509766,1.5131378,-0.021270752,-2.593994E-4,0.07952881,1.0,1.7906262,9.503401,1.6277025,-0.075868726,0.032670975,-0.0948441,0.24025618,-0.59940577,-0.6438706,2017-01-03 09:04:35,60.85169069404125
1.6759338,9.56723,1.7812805,-0.0033569336,0.012786865,0.022720337,1.0,1.720242,9.52684,1.5653956,-0.0048800707,0.0022592545,-0.039281845,0.24058431,-0.60191876,-0.645596,2017-01-03 09:04:36,63.28275213031971
1.7238312,9.538498,1.5131378,-0.0051879883,0.015014648,0.010101318,0.0,1.7921126,9.5086975,1.5947975,-0.028612137,0.012459755,-0.010751128,0.2359396,-0.60251176,-0.6461724,2017-01-03 09:04:37,55.92079870318666
