ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
0.20111294,0.08619126,9.643845,15.0,2017-01-29 18:06:20,NaN
0.20111294,0.08619126,9.643845,15.0,2017-01-29 18:06:21,NaN
0.20111294,0.08619126,9.662998,15.0,2017-01-29 18:06:22,NaN
0.20111294,0.06703765,9.672575,15.0,2017-01-29 18:06:23,NaN
0.19153613,0.076614454,9.653421,15.0,2017-01-29 18:06:24,NaN
0.18195933,0.076614454,9.662998,15.0,2017-01-29 18:06:25,NaN
0.19153613,0.076614454,9.672575,15.0,2017-01-29 18:06:26,NaN
0.20111294,0.076614454,9.672575,15.0,2017-01-29 18:06:27,NaN
0.19153613,0.076614454,9.653421,15.0,2017-01-29 18:06:28,NaN
0.18195933,0.06703765,9.672575,15.0,2017-01-29 18:06:29,NaN
0.19153613,0.06703765,9.653421,15.0,2017-01-29 18:06:30,NaN
0.20111294,0.095768064,9.653421,15.0,2017-01-29 18:06:31,NaN
0.19153613,0.06703765,9.672575,15.0,2017-01-29 18:06:32,NaN
0.18195933,0.076614454,9.662998,15.0,2017-01-29 18:06:33,NaN
0.19153613,0.08619126,9.672575,15.0,2017-01-29 18:06:34,NaN
0.20111294,0.076614454,9.662998,15.0,2017-01-29 18:06:35,NaN
0.20111294,0.076614454,9.662998,15.0,2017-01-29 18:06:36,NaN
0.19153613,0.076614454,9.672575,15.0,2017-01-29 18:06:37,NaN
0.20111294,0.06703765,9.653421,15.0,2017-01-29 18:06:39,NaN
0.20111294,0.076614454,9.672575,15.0,2017-01-29 18:06:40,NaN
0.19153613,0.076614454,9.682152,15.0,2017-01-29 18:06:41,NaN
0.19153613,0.076614454,9.662998,15.0,2017-01-29 18:06:42,NaN
0.20111294,0.08619126,9.672575,15.0,2017-01-29 18:06:43,NaN
0.20111294,0.076614454,9.662998,15.0,2017-01-29 18:06:44,NaN
0.20111294,0.076614454,9.662998,15.0,2017-01-29 18:06:45,NaN
0.20111294,0.08619126,9.662998,15.0,2017-01-29 18:06:46,NaN
0.19153613,0.06703765,9.662998,15.0,2017-01-29 18:06:47,NaN
0.20111294,0.076614454,9.662998,15.0,2017-01-29 18:06:48,NaN
0.20111294,0.08619126,9.662998,15.0,2017-01-29 18:06:49,NaN
0.18195933,0.06703765,9.682152,15.0,2017-01-29 18:06:50,NaN
0.19153613,0.08619126,9.662998,15.0,2017-01-29 18:06:51,NaN
0.20111294,0.06703765,9.672575,15.0,2017-01-29 18:06:52,NaN
0.18195933,0.076614454,9.682152,15.0,2017-01-29 18:06:53,NaN
0.19153613,0.08619126,9.662998,15.0,2017-01-29 18:06:54,NaN
0.20111294,0.08619126,9.682152,15.0,2017-01-29 18:06:55,NaN
0.18195933,0.06703765,9.682152,15.0,2017-01-29 18:06:57,NaN
0.19153613,0.076614454,9.672575,15.0,2017-01-29 18:06:58,NaN
0.20111294,0.095768064,9.672575,15.0,2017-01-29 18:06:59,NaN
0.19153613,0.076614454,9.682152,15.0,2017-01-29 18:07:00,NaN
0.18195933,0.08619126,9.662998,12.0,2017-01-29 18:07:01,NaN
0.18195933,0.076614454,9.672575,9.0,2017-01-29 18:07:02,NaN
0.2777274,0.1340753,9.672575,6.0,2017-01-29 18:07:03,NaN
-0.5650316,-0.009576807,9.203311,3.0,2017-01-29 18:07:04,NaN
0.17238252,0.41180268,9.691729,9.0,2017-01-29 18:07:05,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:07:06,NaN
0.18195933,0.41180268,9.672575,12.0,2017-01-29 18:07:07,NaN
0.18195933,0.40222588,9.682152,12.0,2017-01-29 18:07:08,NaN
0.18195933,0.40222588,9.691729,12.0,2017-01-29 18:07:09,NaN
0.18195933,0.41180268,9.691729,12.0,2017-01-29 18:07:10,NaN
0.18195933,0.40222588,9.682152,12.0,2017-01-29 18:07:11,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:07:12,NaN
0.19153613,0.4213795,9.672575,12.0,2017-01-29 18:07:13,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:07:14,NaN
0.19153613,0.41180268,9.691729,12.0,2017-01-29 18:07:15,NaN
0.18195933,0.41180268,9.682152,12.0,2017-01-29 18:07:16,NaN
0.18195933,0.4213795,9.682152,12.0,2017-01-29 18:07:18,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:07:19,NaN
0.18195933,0.40222588,9.682152,12.0,2017-01-29 18:07:20,NaN
0.19153613,0.4213795,9.691729,12.0,2017-01-29 18:07:21,NaN
0.17238252,0.40222588,9.691729,12.0,2017-01-29 18:07:22,NaN
0.20111294,0.4213795,9.691729,12.0,2017-01-29 18:07:23,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:07:24,NaN
0.20111294,0.41180268,9.682152,12.0,2017-01-29 18:07:25,NaN
0.20111294,0.40222588,9.682152,12.0,2017-01-29 18:07:26,NaN
0.17238252,0.41180268,9.682152,12.0,2017-01-29 18:07:27,NaN
0.18195933,0.40222588,9.682152,12.0,2017-01-29 18:07:28,NaN
0.18195933,0.41180268,9.701305,12.0,2017-01-29 18:07:29,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:07:30,NaN
0.20111294,0.40222588,9.691729,12.0,2017-01-29 18:07:31,NaN
0.19153613,0.41180268,9.682152,12.0,2017-01-29 18:07:32,NaN
0.18195933,0.4213795,9.691729,12.0,2017-01-29 18:07:33,NaN
0.20111294,0.4213795,9.672575,12.0,2017-01-29 18:07:34,NaN
0.18195933,0.4213795,9.682152,12.0,2017-01-29 18:07:35,NaN
0.20111294,0.4213795,9.691729,12.0,2017-01-29 18:07:36,NaN
0.19153613,0.4213795,9.682152,12.0,2017-01-29 18:07:37,NaN
0.20111294,0.40222588,9.682152,12.0,2017-01-29 18:07:38,NaN
0.20111294,0.41180268,9.691729,12.0,2017-01-29 18:07:40,NaN
0.20111294,0.40222588,9.682152,12.0,2017-01-29 18:07:41,NaN
0.19153613,0.4213795,9.682152,12.0,2017-01-29 18:07:42,NaN
0.19153613,0.41180268,9.682152,12.0,2017-01-29 18:07:43,NaN
0.18195933,0.41180268,9.691729,12.0,2017-01-29 18:07:44,NaN
0.18195933,0.40222588,9.682152,12.0,2017-01-29 18:07:45,NaN
0.18195933,0.41180268,9.691729,12.0,2017-01-29 18:07:46,NaN
0.20111294,0.40222588,9.682152,12.0,2017-01-29 18:07:47,NaN
0.19153613,0.4213795,9.672575,12.0,2017-01-29 18:07:48,NaN
0.20111294,0.41180268,9.682152,12.0,2017-01-29 18:07:49,NaN
0.19153613,0.41180268,9.691729,12.0,2017-01-29 18:07:50,NaN
0.20111294,0.39264908,9.691729,12.0,2017-01-29 18:07:51,NaN
0.20111294,0.4213795,9.691729,12.0,2017-01-29 18:07:52,NaN
0.20111294,0.4213795,9.682152,12.0,2017-01-29 18:07:53,NaN
0.19153613,0.41180268,9.682152,12.0,2017-01-29 18:07:54,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:07:55,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:07:56,NaN
0.20111294,0.40222588,9.672575,12.0,2017-01-29 18:07:57,NaN
0.20111294,0.4213795,9.682152,12.0,2017-01-29 18:07:58,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:07:59,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:08:01,NaN
0.20111294,0.40222588,9.691729,12.0,2017-01-29 18:08:02,NaN
0.18195933,0.40222588,9.691729,12.0,2017-01-29 18:08:03,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:08:04,NaN
0.19153613,0.41180268,9.691729,12.0,2017-01-29 18:08:05,NaN
0.18195933,0.40222588,9.691729,12.0,2017-01-29 18:08:06,NaN
0.20111294,0.40222588,9.682152,12.0,2017-01-29 18:08:07,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:08:08,NaN
0.18195933,0.40222588,9.691729,12.0,2017-01-29 18:08:09,NaN
0.19153613,0.4213795,9.682152,12.0,2017-01-29 18:08:10,NaN
0.18195933,0.40222588,9.691729,12.0,2017-01-29 18:08:11,NaN
0.18195933,0.41180268,9.691729,12.0,2017-01-29 18:08:12,NaN
0.18195933,0.40222588,9.691729,12.0,2017-01-29 18:08:13,NaN
0.19153613,0.41180268,9.691729,12.0,2017-01-29 18:08:14,NaN
0.20111294,0.40222588,9.691729,12.0,2017-01-29 18:08:15,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:08:16,NaN
0.18195933,0.40222588,9.691729,12.0,2017-01-29 18:08:17,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:08:18,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:08:19,NaN
0.20111294,0.40222588,9.682152,12.0,2017-01-29 18:08:20,NaN
0.19153613,0.40222588,9.701305,12.0,2017-01-29 18:08:21,NaN
0.18195933,0.41180268,9.682152,12.0,2017-01-29 18:08:23,NaN
0.18195933,0.40222588,9.682152,12.0,2017-01-29 18:08:24,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:08:25,NaN
0.19153613,0.41180268,9.682152,12.0,2017-01-29 18:08:26,NaN
0.18195933,0.4213795,9.691729,12.0,2017-01-29 18:08:27,NaN
0.20111294,0.41180268,9.691729,12.0,2017-01-29 18:08:28,NaN
0.19153613,0.39264908,9.701305,12.0,2017-01-29 18:08:29,NaN
0.18195933,0.41180268,9.682152,12.0,2017-01-29 18:08:30,NaN
0.18195933,0.41180268,9.682152,12.0,2017-01-29 18:08:31,NaN
0.20111294,0.40222588,9.691729,12.0,2017-01-29 18:08:32,NaN
0.20111294,0.41180268,9.691729,12.0,2017-01-29 18:08:33,NaN
0.18195933,0.4213795,9.691729,12.0,2017-01-29 18:08:34,NaN
0.20111294,0.41180268,9.682152,12.0,2017-01-29 18:08:35,NaN
0.20111294,0.40222588,9.701305,12.0,2017-01-29 18:08:36,NaN
0.18195933,0.38307226,9.691729,12.0,2017-01-29 18:08:37,NaN
0.18195933,0.39264908,9.691729,12.0,2017-01-29 18:08:38,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:08:39,NaN
0.19153613,0.41180268,9.672575,12.0,2017-01-29 18:08:40,NaN
0.19153613,0.41180268,9.682152,12.0,2017-01-29 18:08:41,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:08:42,NaN
0.20111294,0.41180268,9.691729,12.0,2017-01-29 18:08:44,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:08:45,NaN
0.20111294,0.41180268,9.691729,12.0,2017-01-29 18:08:46,NaN
0.19153613,0.41180268,9.682152,12.0,2017-01-29 18:08:47,NaN
0.20111294,0.41180268,9.691729,12.0,2017-01-29 18:08:48,NaN
0.19153613,0.41180268,9.682152,12.0,2017-01-29 18:08:49,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:08:50,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:08:51,NaN
0.20111294,0.41180268,9.691729,12.0,2017-01-29 18:08:52,NaN
0.18195933,0.41180268,9.691729,12.0,2017-01-29 18:08:53,NaN
0.19153613,0.41180268,9.691729,12.0,2017-01-29 18:08:54,NaN
0.18195933,0.40222588,9.682152,12.0,2017-01-29 18:08:55,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:08:56,NaN
0.20111294,0.40222588,9.672575,12.0,2017-01-29 18:08:57,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:08:58,NaN
0.20111294,0.41180268,9.691729,12.0,2017-01-29 18:08:59,NaN
0.20111294,0.4213795,9.672575,12.0,2017-01-29 18:09:00,NaN
0.19153613,0.40222588,9.682152,12.0,2017-01-29 18:09:01,NaN
0.20111294,0.39264908,9.682152,12.0,2017-01-29 18:09:02,NaN
0.19153613,0.40222588,9.691729,12.0,2017-01-29 18:09:04,NaN
0.19153613,0.4213795,9.691729,12.0,2017-01-29 18:09:05,NaN
0.20111294,0.41180268,9.682152,12.0,2017-01-29 18:09:06,NaN
