ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-0.459,3.524,9.194,0.0,2017-06-04 14:38:39,-Infinity
-0.459,3.524,9.194,99.0,2017-06-04 14:38:40,-22.041199826559247
-0.306,3.371,9.194,99.0,2017-06-04 14:38:41,-0.4125698933399866
-0.306,3.524,9.194,99.0,2017-06-04 14:38:42,10.61405352563149
-0.459,3.524,9.194,99.0,2017-06-04 14:38:43,49.35596401665113
-0.459,3.524,9.194,103.0,2017-06-04 14:38:44,50.82701094204984
-0.306,3.524,9.194,97.0,2017-06-04 14:38:45,51.35117409043349
-0.459,3.524,9.04,99.0,2017-06-04 14:38:46,51.1057257174134
-0.306,3.371,9.194,101.0,2017-06-04 14:38:47,50.92104174844465
-0.459,3.524,9.194,105.0,2017-06-04 14:38:48,50.87862097634919
-0.306,3.524,9.194,101.0,2017-06-04 14:38:49,50.2663208540502
-0.306,3.524,9.194,97.0,2017-06-04 14:38:50,50.93850044128479
-0.306,3.524,9.04,101.0,2017-06-04 14:38:52,50.80894107408663
-0.306,3.524,9.04,101.0,2017-06-04 14:38:53,50.727670724831945
-0.459,3.524,9.04,101.0,2017-06-04 14:38:54,51.394466813261666
-0.306,3.371,9.194,101.0,2017-06-04 14:38:55,51.44257311944909
-0.459,3.524,9.194,101.0,2017-06-04 14:38:56,51.06322130782536
-0.306,3.371,9.194,97.0,2017-06-04 14:38:57,51.36936353141668
-0.459,3.524,9.194,101.0,2017-06-04 14:38:59,51.480273465258534
-0.306,3.371,9.194,99.0,2017-06-04 14:39:00,52.408092869157805
-0.306,3.524,9.194,101.0,2017-06-04 14:39:01,50.98204981474567
-0.306,3.524,9.04,101.0,2017-06-04 14:39:02,50.24765618885236
-0.459,3.524,9.194,101.0,2017-06-04 14:39:03,50.8413340246224
-0.459,3.524,9.194,101.0,2017-06-04 14:39:04,51.025070681515885
-0.306,3.524,9.194,99.0,2017-06-04 14:39:05,51.28864980715251
-0.306,3.524,9.04,101.0,2017-06-04 14:39:06,51.30712726108801
-0.306,3.524,9.194,101.0,2017-06-04 14:39:07,51.28457186943309
-0.306,3.524,9.194,101.0,2017-06-04 14:39:08,50.0046837823011
-0.459,3.524,9.194,103.0,2017-06-04 14:39:09,51.08391283876156
-0.306,3.524,9.194,103.0,2017-06-04 14:39:10,49.75130886414719
-0.306,3.524,9.194,101.0,2017-06-04 14:39:12,51.069707449272165
-0.306,3.524,9.194,101.0,2017-06-04 14:39:13,50.912687230751594
-0.306,3.524,9.04,97.0,2017-06-04 14:39:14,50.277311044782856
-0.459,3.524,9.194,97.0,2017-06-04 14:39:15,50.822409609924875
-0.306,3.524,9.194,97.0,2017-06-04 14:39:16,51.01777426685618
-0.306,3.524,9.04,99.0,2017-06-04 14:39:17,50.175593677650824
-0.306,3.524,9.194,99.0,2017-06-04 14:39:18,50.201634118832395
-0.306,3.524,9.194,101.0,2017-06-04 14:39:19,50.12555632605559
-0.459,3.524,9.194,101.0,2017-06-04 14:39:20,49.54587184351692
-0.306,3.524,9.04,99.0,2017-06-04 14:39:21,49.25343730789079
-0.306,3.524,9.194,101.0,2017-06-04 14:39:22,51.093415943758735
-0.306,3.371,9.194,97.0,2017-06-04 14:39:23,49.13356559803948
-0.306,3.371,9.194,101.0,2017-06-04 14:39:24,50.285869843998974
-0.306,3.524,9.194,101.0,2017-06-04 14:39:25,49.1809469925687
-0.306,3.524,9.194,101.0,2017-06-04 14:39:26,48.60266978639614
-0.306,3.524,9.194,99.0,2017-06-04 14:39:27,49.78133462965388
-0.306,3.524,9.194,103.0,2017-06-04 14:39:28,49.71514998637811
-0.306,3.524,9.194,99.0,2017-06-04 14:39:29,49.85441420943914
-0.306,3.524,9.04,101.0,2017-06-04 14:39:31,49.63721793042243
-0.306,3.371,9.194,103.0,2017-06-04 14:39:32,49.588531821257654
-0.459,3.524,9.04,92.0,2017-06-04 14:39:33,49.33103963309324
-0.306,3.524,9.194,103.0,2017-06-04 14:39:34,49.66710520635657
-0.306,3.371,9.194,99.0,2017-06-04 14:39:35,49.89491698811271
-0.306,3.524,9.194,101.0,2017-06-04 14:39:36,49.62913845496861
-0.306,3.524,9.194,101.0,2017-06-04 14:39:37,49.83695972155732
-0.306,3.524,9.194,103.0,2017-06-04 14:39:38,50.372273840640574
-0.306,3.524,9.194,101.0,2017-06-04 14:39:39,51.28270843652733
-0.306,3.371,9.194,101.0,2017-06-04 14:39:41,49.300262098337285
-0.459,3.524,9.194,101.0,2017-06-04 14:39:42,49.325932616631746
-0.306,3.524,9.04,101.0,2017-06-04 14:39:43,48.88795384358928
-0.306,3.371,9.194,101.0,2017-06-04 14:39:44,48.708975650711956
-0.306,3.524,9.194,103.0,2017-06-04 14:39:45,49.57941154255628
-0.459,3.524,9.194,101.0,2017-06-04 14:39:46,49.433075014842096
-0.306,3.524,9.194,99.0,2017-06-04 14:39:47,49.70719719999679
-0.306,3.371,9.194,103.0,2017-06-04 14:39:49,49.22152230777354
-0.306,3.371,9.194,101.0,2017-06-04 14:39:50,49.23150545212082
-0.459,3.524,9.194,101.0,2017-06-04 14:39:51,49.8601943460413
-0.306,3.524,9.194,103.0,2017-06-04 14:39:52,50.8825683236969
-0.459,3.524,9.194,101.0,2017-06-04 14:39:53,50.72573383496628
-0.306,3.524,9.194,101.0,2017-06-04 14:39:54,50.455487483328184
-0.306,3.524,9.04,101.0,2017-06-04 14:39:55,50.75914644462921
-0.306,3.524,9.194,101.0,2017-06-04 14:39:56,50.50191548603798
-0.306,3.524,9.04,99.0,2017-06-04 14:39:57,50.77693731032477
-0.306,3.524,9.04,101.0,2017-06-04 14:39:59,50.635980965319476
-0.306,3.524,9.194,101.0,2017-06-04 14:40:00,50.88559397005929
-0.306,3.524,9.194,99.0,2017-06-04 14:40:01,49.76096069529116
-0.306,3.524,9.194,101.0,2017-06-04 14:40:02,50.39469195725797
-0.306,3.371,9.194,101.0,2017-06-04 14:40:03,49.87708821019588
-0.306,3.371,9.194,101.0,2017-06-04 14:40:04,50.172221406651964
-0.306,3.371,9.194,101.0,2017-06-04 14:40:05,50.743190409024166
