ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
4.0773697,-1.7647067,7.6139617,-0.38600764,1.1962955,-0.08543238,4603.0,2.7104657,2.1962721,9.16516,-0.2470549,-4.4120255,0.12617022,0.18084784,9.860551E-4,0.7675056,2017-06-16 09:03:03,43.884161685095926
3.958925,-0.08015956,7.908279,-0.073244646,-2.2721975,-0.49226862,1118.0,4.3064623,-0.640488,8.787182,1.0056041,0.95992994,-1.4818939,0.07002546,-0.21696754,0.4321141,2017-06-16 09:03:04,17.252222960925124
0.0011964113,-0.33140594,9.610772,0.003724372,-0.002222132,0.13081393,3084.0,0.8070862,-0.38674587,9.765728,0.016044835,0.6619205,-0.10111761,0.0014442094,-0.045655303,0.45995164,2017-06-16 09:03:05,17.26956314294752
0.007178468,-0.33140594,9.609576,0.0011976808,-0.017053487,-0.003260024,3928.0,0.06325124,-0.30844644,9.801595,-0.056072775,-0.022959508,-0.19201836,-0.012389067,-0.010212586,0.46803734,2017-06-16 09:03:06,25.96198351238689
0.016749758,-0.337388,9.616755,-1.045838E-4,-0.010948859,-0.0077995285,3917.0,0.040067013,-0.31275484,9.80158,-0.036477778,-0.016258257,-0.18123686,-0.013068789,-0.009366088,0.47445503,2017-06-16 09:03:07,27.594600889483864
0.015553348,-0.33020952,9.611969,-0.0026582181,-0.0086242035,-0.003834851,3841.0,0.032390166,-0.31435814,9.801558,-0.022818876,-0.02063702,-0.1836065,-0.013200691,-0.009242672,0.48651057,2017-06-16 09:03:08,34.77548553073865
0.015553348,-0.33140594,9.619147,0.0020961538,-0.011262111,-0.0022815242,3838.0,0.035952244,-0.3190764,9.801393,-0.029970188,-0.023097238,-0.1666922,-0.0132569885,-0.009609581,0.49248594,2017-06-16 09:03:09,33.806441893440876
0.009571291,-0.32662028,9.639486,-0.0016732104,-0.006654471,-0.006884314,2646.0,0.028140921,-0.32181612,9.801329,-0.019766042,-0.0036077788,-0.16902094,-0.0134837385,-0.009462839,0.50089264,2017-06-16 09:03:10,23.149923447594254
0.009571291,-0.33379877,9.613165,0.0018638,-0.007018365,-0.0029356927,3934.0,0.03156127,-0.32456434,9.801228,-0.018400744,0.001533274,-0.18327685,-0.013406199,-0.009837775,0.51074207,2017-06-16 09:03:11,24.10640177086494
0.009571291,-0.3278167,9.607183,-0.001912944,-0.007481359,-0.0050977394,3924.0,0.029760603,-0.33143604,9.801003,-0.024974959,0.0012265096,-0.19741,-0.013690253,-0.010026104,0.51625454,2017-06-16 09:03:12,12.096825341134267
0.009571291,-0.33020952,9.613165,4.059933E-4,-0.0067720115,6.7807734E-5,3930.0,0.03483071,-0.33098802,9.801,-0.033634298,-0.005203597,-0.18185236,-0.013511247,-0.01026995,0.51842,2017-06-16 09:03:13,28.70528264261363
0.003589234,-0.337388,9.61795,2.990961E-4,-0.00857926,-0.005786583,3928.0,0.02555306,-0.33368644,9.800939,-0.020767415,0.0022805121,-0.1770055,-0.013855118,-0.009963404,0.52006024,2017-06-16 09:03:14,12.506486786539245
0.010767702,-0.33140594,9.622736,0.0026915465,-0.0068264604,-0.0018976927,3928.0,0.025686394,-0.33934033,9.800745,-0.018507928,0.00913078,-0.1756161,-0.014114485,-0.010096059,0.5186549,2017-06-16 09:03:15,11.770853785826583
0.0023928226,-0.34097722,9.623933,0.0013657585,-0.0026205853,-0.0028847083,3927.0,0.017291984,-0.33237252,9.801002,-0.007720694,0.00335943,-0.18305063,-0.013967964,-0.009640162,0.52441263,2017-06-16 09:03:16,12.441997822775706
0.0023928226,-0.3397808,9.625129,4.303828E-5,-0.0045511723,-1.8950552E-4,3931.0,0.01840336,-0.33335787,9.800965,-0.008832071,7.555311E-4,-0.18062194,-0.013951495,-0.009757148,0.52699244,2017-06-16 09:03:17,12.003716351027611
0.009571291,-0.33499518,9.628718,0.0011758618,-0.0053252466,-0.002442591,3925.0,0.020557992,-0.33723474,9.80083,-0.015772346,0.002239559,-0.19723581,-0.014057929,-0.009959986,0.52730703,2017-06-16 09:03:18,11.739143398014066
0.007178468,-0.33379877,9.622736,-0.0013375059,-0.0061079133,-0.0034631416,3924.0,0.01802227,-0.33882573,9.800779,-0.009647393,2.4133448E-4,-0.18402444,-0.014198068,-0.009888628,0.52704906,2017-06-16 09:03:19,12.008846823944445
0.0011964113,-0.3385844,9.620343,0.0034742448,-0.008183265,3.3252686E-4,3924.0,0.019462653,-0.34098378,9.800702,-0.013480595,0.008381423,-0.1791618,-0.014250035,-0.010013143,0.5272907,2017-06-16 09:03:21,26.953147343565192
0.0047856453,-0.33260235,9.61795,0.0021836367,-0.0017371774,4.4424832E-4,3928.0,0.019374618,-0.3383075,9.800795,-0.014588973,0.00690156,-0.18643267,-0.014175599,-0.009881359,0.52392876,2017-06-16 09:03:22,33.64596720497518
0.0047856453,-0.33140594,9.620343,0.002189627,-0.0039005913,-0.003079988,3927.0,0.012530907,-0.33162457,9.801034,-0.0017632057,-0.0021742024,-0.17829788,-0.014045124,-0.009439813,0.5260097,2017-06-16 09:03:23,13.677052663849043
0.007178468,-0.3290131,9.602397,-0.0027303621,-0.0024189763,-5.495176E-4,3921.0,0.014572058,-0.34085226,9.8007145,-0.012179235,0.009446313,-0.1863526,-0.014371442,-0.009804181,0.52767307,2017-06-16 09:03:24,14.738517701548151
0.003589234,-0.33260235,9.61795,0.002126364,-9.971708E-4,-0.0028785914,3925.0,0.010800585,-0.34130108,9.800703,-0.004818529,0.006305932,-0.17318098,-0.014502998,-0.009636953,0.52673805,2017-06-16 09:03:25,14.707870641632045
0.007178468,-0.3361916,9.632308,-3.8419664E-4,-0.0032081269,-0.0039584115,3930.0,0.007857125,-0.34081683,9.800724,-0.0018750686,0.008214469,-0.18636195,-0.014549446,-0.009514165,0.5277776,2017-06-16 09:03:26,12.985119449163182
0.0023928226,-0.3278167,9.616755,-4.75768E-4,-0.0029393882,-0.0026203245,3927.0,0.014868393,-0.33831564,9.800802,-0.01247557,0.0093025565,-0.1828519,-0.014231405,-0.009781051,0.5296002,2017-06-16 09:03:27,11.961589069081693
0.009571291,-0.3385844,9.61795,0.0019259024,9.0884045E-4,-0.0049585328,3925.0,0.009900632,-0.33883592,9.80079,-0.006311398,0.005037154,-0.17805356,-0.014404042,-0.00955624,0.5281856,2017-06-16 09:03:28,16.164755138885656
0.0047856453,-0.33379877,9.615558,-5.322583E-4,-1.4982E-4,-0.0012562647,3928.0,0.008620794,-0.3372628,9.800845,-0.006227971,-1.2519729E-4,-0.18648295,-0.0143354805,-0.00951126,0.5313071,2017-06-16 09:03:29,17.14067678703001
0.013160525,-0.337388,9.622736,-5.641021E-4,-0.0011653863,-0.004828863,3927.0,0.021630324,-0.33797356,9.800801,-0.014451857,-0.0030036755,-0.1744757,-0.014075371,-0.010006295,0.5260967,2017-06-16 09:03:30,13.098961977447246
0.011964113,-0.3385844,9.615558,0.0030501839,2.3035705E-4,-0.0035586655,3920.0,0.0076487795,-0.340616,9.800732,-4.7031124E-4,0.0068172426,-0.17919104,-0.014576188,-0.009453895,0.5251017,2017-06-16 09:03:31,11.809497936760101
0.0,-0.3385844,9.623933,-7.1379915E-4,-0.0020564422,-0.0047374517,3927.0,0.007907851,-0.33865884,9.8007965,0.0016634397,0.0024672304,-0.17806056,-0.014379366,-0.009572233,0.5344755,2017-06-16 09:03:32,12.53534871562535
0.008374879,-0.33499518,9.616755,0.0016417895,-6.7621097E-4,-0.0034201816,3927.0,0.013255349,-0.34064817,9.800724,-0.0108625265,0.005653021,-0.18038054,-0.014365743,-0.009789214,0.53047866,2017-06-16 09:03:33,12.057286393652669
0.007178468,-0.3278167,9.61795,-0.0021024533,-0.0017328598,-0.002137415,3929.0,0.012520213,-0.34371385,9.800618,-0.0077345674,0.003933065,-0.17429216,-0.014558402,-0.009780803,0.5269983,2017-06-16 09:03:34,12.136837399839562
0.0047856453,-0.337388,9.62154,0.0014786851,-0.0028455984,-8.0733746E-4,3921.0,0.01212387,-0.3433131,9.8006315,-0.007338225,0.004728709,-0.17789574,-0.01453425,-0.009778816,0.5285145,2017-06-16 09:03:35,13.101620652044533
0.007178468,-0.34097722,9.620343,-9.91609E-4,-3.096722E-4,5.3687394E-4,3929.0,0.010025546,-0.3378204,9.800826,-4.542557E-4,0.0064144703,-0.18407121,-0.014341208,-0.009557566,0.5295628,2017-06-16 09:03:36,13.846557735481795
0.013160525,-0.3397808,9.625129,0.002627356,-0.0014337525,-0.0030897036,3928.0,0.008612656,-0.34003034,9.800751,9.586342E-4,0.0014459611,-0.17562252,-0.0144381635,-0.009611694,0.53281593,2017-06-16 09:03:37,12.928096654172903
0.003589234,-0.34337005,9.614362,-0.001060769,-0.0013884827,-6.158948E-4,3927.0,0.0033257469,-0.34057513,9.8007345,0.0062455432,0.0019907355,-0.18637305,-0.014595363,-0.009413867,0.5337132,2017-06-16 09:03:38,12.106027385029536
0.010767702,-0.3290131,9.627522,0.002589265,0.0047675706,-0.002978772,3923.0,0.009601503,-0.34087676,9.800719,-0.006012269,0.013060083,-0.18755496,-0.014483605,-0.0096237445,0.52967536,2017-06-16 09:03:39,12.949482018548697
0.009571291,-0.3361916,9.620343,1.6951934E-4,-0.0013012104,-4.7069788E-4,3923.0,0.008368545,-0.34312978,9.800641,-0.004779311,-2.4027504E-4,-0.17551264,-0.014611367,-0.009635874,0.5299397,2017-06-16 09:03:40,11.63142732128315
0.003589234,-0.33260235,9.62154,1.6769394E-4,0.0011490621,0.0044039115,3921.0,0.0063699097,-0.34257382,9.800664,-0.003977087,0.0051858053,-0.17673136,-0.014628129,-0.009554671,0.53111285,2017-06-16 09:03:41,11.906817945067862
