ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.1591797,5.3828125,7.5,0.082458496,0.071777344,0.06317139,82.0,-1.4404297,2.8359375,9.2734375,2.640625,2.28125,-2.5195313,0.11138916,-0.12097168,-0.94921875,2017-07-12 11:12:44,-Infinity
11.03125,-0.31079102,11.9921875,1.3535156,0.8779297,0.8569336,70.0,3.1835938,1.7998047,9.09375,4.171875,-1.6367188,-0.08868408,-0.026168823,-0.18811035,-0.5961914,2017-07-12 11:12:45,-Infinity
4.0429688,-0.24621582,8.84375,-0.012825012,-0.057647705,-0.01739502,77.0,3.3242188,2.5058594,8.875,0.72558594,-2.7011719,0.0068511963,-0.13427734,-0.17102051,-0.9433594,2017-07-12 11:12:47,-Infinity
-0.06933594,-0.16967773,9.765625,-0.0030536652,-0.008796692,-3.0446053E-4,67.0,0.0748291,1.9726563,9.6015625,-0.16088867,-2.1210938,0.16223145,0.017166138,-0.10394287,-0.9824219,2017-07-12 11:12:48,-Infinity
-0.07647705,-0.13867188,9.734375,-0.0030536652,-0.007572174,-3.0446053E-4,67.0,0.3215332,1.0234375,9.7421875,0.0055274963,0.04272461,-0.007888794,-0.01586914,-0.052459717,-0.9980469,2017-07-12 11:12:49,-Infinity
-0.07647705,-0.14099121,9.7734375,-0.004272461,-0.008796692,-3.0446053E-4,69.0,0.234375,0.6582031,9.78125,0.0049705505,0.023925781,0.012016296,0.013801575,0.03286743,0.9975586,2017-07-12 11:12:50,-Infinity
-0.07171631,-0.14575195,9.7421875,2.4461746E-4,0.0014038086,7.9488754E-4,68.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:12:51,-Infinity
-0.07409668,-0.13867188,9.7421875,0.0014657974,1.8250942E-4,-4.2653084E-4,68.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:12:53,-Infinity
-0.08605957,-0.14099121,9.7421875,-6.0796738E-5,-7.1525574E-7,0.0012226105,68.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:12:54,-Infinity
-0.06451416,-0.16259766,9.7421875,0.0023822784,-7.1525574E-7,-0.0012207031,68.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:12:55,-Infinity
-0.08129883,-0.117126465,9.734375,-6.0796738E-5,-7.1525574E-7,0.0012226105,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:12:57,-Infinity
-0.07409668,-0.14575195,9.7265625,-2.4402142E-4,4.2676926E-4,-1.82271E-4,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:12:59,-Infinity
-0.062164307,-0.16259766,9.7265625,-0.0014657974,-6.1130524E-4,-5.4836273E-4,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:00,-Infinity
-0.07885742,-0.12670898,9.7421875,9.775162E-4,6.098747E-4,6.7281723E-4,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:02,-Infinity
-0.0836792,-0.15539551,9.734375,-3.0493736E-4,-7.944107E-4,-6.098747E-4,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:03,-Infinity
-0.08129883,-0.1529541,9.765625,-3.0493736E-4,4.2676926E-4,6.117821E-4,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:05,-Infinity
-0.08843994,-0.12902832,9.734375,-0.0012207031,-5.502701E-4,6.117821E-4,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:06,-Infinity
-0.07409668,-0.15063477,9.734375,2.3841858E-7,-5.502701E-4,6.117821E-4,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:07,-Infinity
-0.0836792,-0.14099121,9.7265625,2.3841858E-7,-5.502701E-4,6.117821E-4,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:08,-Infinity
-0.08605957,-0.13378906,9.734375,-8.544922E-4,7.3194504E-4,4.892349E-4,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:09,-Infinity
-0.06689453,-0.15771484,9.734375,-8.544922E-4,-4.892349E-4,4.892349E-4,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:11,-Infinity
-0.0836792,-0.13623047,9.7265625,0.001709938,-7.3337555E-4,-6.709099E-4,69.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:13,-Infinity
-0.08843994,-0.12670898,9.75,4.887581E-4,-0.0019550323,5.502701E-4,68.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:14,-Infinity
-0.059753418,-0.16491699,9.734375,-0.0015878677,-3.0612946E-4,2.450943E-4,68.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:15,-Infinity
-0.09082031,-0.14099121,9.75,-3.6621094E-4,-0.0015277863,-0.0021972656,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:17,-Infinity
-0.07885742,-0.119506836,9.7421875,-0.0014038086,-4.892349E-4,-7.929802E-4,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:18,-Infinity
-0.10040283,-0.13146973,9.734375,0.0010385513,7.3194504E-4,4.284382E-4,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:19,-Infinity
-0.07409668,-0.13623047,9.7265625,0.0010385513,-4.892349E-4,4.284382E-4,68.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:21,-Infinity
-0.08605957,-0.12902832,9.7421875,-0.0010375977,-4.2819977E-4,0.0013446808,68.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:22,-Infinity
-0.08605957,-0.13867188,9.7578125,1.834631E-4,7.929802E-4,1.2302399E-4,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:23,-Infinity
-0.08843994,-0.14343262,9.75,-0.001159668,-0.0011606216,-7.929802E-4,68.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:24,-Infinity
-0.0836792,-0.12194824,9.734375,6.133318E-5,6.03199E-5,0.0016498566,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:26,-Infinity
-0.09082031,-0.14099121,9.75,-0.0012817383,-4.892349E-4,5.502701E-4,68.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:27,-Infinity
-0.08843994,-0.13623047,9.7421875,-0.0012817383,-4.892349E-4,0.0017719269,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:29,-Infinity
-0.06689453,-0.15539551,9.7109375,-1.8298626E-4,-3.0612946E-4,-1.2117624E-4,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:30,-Infinity
-0.08605957,-0.13378906,9.734375,-1.8298626E-4,-0.0015277863,-0.0013427734,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:31,-Infinity
-0.08605957,-0.13867188,9.7265625,0.0010385513,-3.0612946E-4,-0.0013427734,66.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:32,-Infinity
-0.08605957,-0.13146973,9.7421875,0.0023822784,7.3194504E-4,6.198883E-5,66.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:33,-Infinity
-0.07885742,-0.14343262,9.7109375,-6.0796738E-5,-4.892349E-4,6.198883E-5,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:35,-Infinity
-0.08129883,-0.13623047,9.71875,-3.6621094E-4,-1.2290478E-4,-1.2117624E-4,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:36,-Infinity
-0.07885742,-0.12902832,9.7265625,-3.6621094E-4,-1.2290478E-4,-0.0013427734,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:37,-Infinity
-0.08605957,-0.13623047,9.71875,6.133318E-5,-1.2290478E-4,1.8417835E-4,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:39,-Infinity
-0.09082031,-0.12670898,9.7421875,-0.001159668,-1.2290478E-4,0.001405716,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:41,-Infinity
-0.08605957,-0.13378906,9.7265625,0.0012216568,-3.0612946E-4,0.0012226105,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:42,-Infinity
-0.08605957,-0.12432861,9.7265625,0.0012216568,-0.0015277863,8.940697E-7,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:43,-Infinity
-0.08843994,-0.14819336,9.7421875,0.0012216568,9.1552734E-4,8.940697E-7,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:45,-Infinity
-0.08843994,-0.14099121,9.734375,-4.8828125E-4,1.8250942E-4,0.0011615753,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:46,-Infinity
-0.0836792,-0.13867188,9.75,-4.8828125E-4,-0.0010385513,-6.0081482E-5,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:47,-Infinity
-0.08843994,-0.14099121,9.734375,0.0013437271,-0.0011606216,-1.82271E-4,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:49,-Infinity
-0.06451416,-0.13378906,9.71875,0.0013437271,6.03199E-5,0.0010385513,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:50,-Infinity
-0.0836792,-0.13146973,9.734375,-9.160042E-4,-0.0013437271,9.1695786E-4,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:51,-Infinity
-0.09082031,-0.13623047,9.7421875,-9.160042E-4,-0.0013437271,9.1695786E-4,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:53,-Infinity
-0.0836792,-0.13867188,9.7265625,-9.160042E-4,2.4354458E-4,-1.2117624E-4,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:54,-Infinity
-0.08605957,-0.12902832,9.734375,3.0565262E-4,2.4354458E-4,0.0010995865,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:55,-Infinity
-0.06689453,-0.119506836,9.71875,-0.0021362305,2.4354458E-4,-1.2117624E-4,67.0,0.19152832,0.51464844,9.7890625,0.010116577,0.02746582,9.236336E-4,0.011993408,0.025314331,0.99560547,2017-07-12 11:13:56,-Infinity
