ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.5798156,2.7619507,9.463489,32.0,1.1265649,2.9295723,9.290793,0.026939392,-0.01512146,0.039230347,-0.0013360651,-0.16207856,-0.9204378,2017-07-14 20:43:34,10.451395386648581
-0.76243895,1.9613526,11.037908,29.0,-1.6199249,2.4733484,9.350336,0.26357877,-0.18200111,1.45819,0.13067351,-0.07867649,-0.8903415,2017-07-14 20:43:35,11.562840720740141
0.74519044,0.6862518,10.068237,30.0,-0.15343024,1.5132109,9.687984,0.48347217,-0.57825375,0.1555748,0.045038264,-0.07507679,-0.92554414,2017-07-14 20:43:36,34.85453014140232
2.7207,0.39795226,9.505818,30.0,1.4613078,1.1675315,9.626621,0.5981455,-0.40661573,-0.10598469,-0.008972687,-0.09538558,-0.69143087,2017-07-14 20:43:37,41.76332089989331
2.907849,-0.35255128,9.469121,28.0,2.4618747,0.23910007,9.489594,-0.03782773,-0.26200178,-0.040810585,-0.02229159,-0.1251737,-0.26748607,2017-07-14 20:43:38,47.25286373883243
2.0250213,-0.85729676,9.805832,29.0,1.8181256,-0.55688864,9.620534,-0.38586938,-0.012690127,0.091958046,-0.049738616,-0.083757594,-0.23526967,2017-07-14 20:43:39,51.39712333893744
1.9163177,-0.9981354,9.861325,27.0,1.3485601,-0.5802808,9.6961355,0.06706607,-0.15263963,0.03717804,-0.045066703,-0.060030505,-0.23472589,2017-07-14 20:43:40,45.00864847953048
1.8454254,-1.082257,9.761635,28.0,1.4557406,-0.65524197,9.675839,-0.085627556,-0.118149996,-0.0016670227,-0.049097467,-0.06526056,-0.21949019,2017-07-14 20:43:41,48.96864998976596
2.1441162,-1.2136505,9.73341,28.0,1.4358752,-0.7500786,9.67192,0.1640718,-0.14861202,-0.003973961,-0.05482868,-0.062154282,-0.23830216,2017-07-14 20:43:42,34.57339162529246
2.5014007,-1.5577056,9.457841,27.0,1.8484141,-1.0895721,9.569043,0.041834712,-0.14303792,-0.024694443,-0.07398196,-0.076334834,-0.24638017,2017-07-14 20:43:43,25.522574494022447
2.3964813,-1.8393829,9.599861,28.0,1.8829142,-1.6017066,9.489971,-0.09951329,-0.055001497,0.04531002,-0.10342016,-0.074615076,-0.23205918,2017-07-14 20:43:44,34.249426029702754
2.324643,-1.7042053,9.629969,28.0,1.8430427,-1.4510251,9.52198,-0.042581916,0.030040145,0.032626152,-0.09582823,-0.07392118,-0.24168174,2017-07-14 20:43:45,4.7825075986063235
2.326535,-1.4565704,9.607391,27.0,1.8389763,-1.312321,9.54287,-0.01921928,0.13561594,-0.013097763,-0.087880835,-0.07567037,-0.2362079,2017-07-14 20:43:46,-6.955902636846382
2.5297668,-1.4518402,9.586698,27.0,1.9000268,-1.1759716,9.548684,0.07806742,0.048764825,0.010560989,-0.08101943,-0.078886874,-0.2329431,2017-07-14 20:43:47,-4.617877002987765
2.2840087,-1.5785034,9.651589,27.0,1.8175356,-1.3312821,9.544352,-0.029087901,0.024986386,0.012722969,-0.08864153,-0.07427116,-0.23726085,2017-07-14 20:43:48,20.294345100585986
2.7169158,-1.385678,9.786079,27.0,2.0526671,-1.1406302,9.521339,0.033055305,0.15602553,0.08742237,-0.081108205,-0.09039477,-0.2304352,2017-07-14 20:43:49,-11.340821160481697
2.6677673,-1.2401092,9.531204,27.0,2.155612,-0.8361707,9.530191,0.028395653,-0.11710185,0.008274078,-0.06756791,-0.09658984,-0.2510925,2017-07-14 20:43:50,-0.49543865738039106
2.3898742,-1.7864501,9.614907,23.0,1.8976252,-1.3536495,9.5255995,-0.015500069,-0.15252078,0.0016765594,-0.091451205,-0.07724176,-0.24544245,2017-07-14 20:43:51,-7.454821336302755
2.1289947,-1.8648956,9.661002,23.0,1.7324737,-1.4856442,9.537389,-0.086881876,-0.03234446,0.0052518845,-0.09706882,-0.065199,-0.25202996,2017-07-14 20:43:52,43.30052673058988
2.0013855,-1.7335174,9.613025,23.0,1.4495987,-1.6431054,9.558726,0.042117,0.15143275,-0.01959896,-0.10087876,-0.04963925,-0.2608514,2017-07-14 20:43:53,44.067929397021004
2.8019836,-1.8942077,9.539676,23.0,2.031717,-1.5158447,9.47337,0.25798178,-0.095219135,-0.029985428,-0.10296356,-0.07994431,-0.26407063,2017-07-14 20:43:54,33.557561330185145
3.4740264,-2.5246704,9.185095,21.0,2.7367387,-1.9892119,9.204547,0.17507029,-0.19513655,-0.06694126,-0.13862066,-0.107158914,-0.2760436,2017-07-14 20:43:55,43.23531986773403
2.87193,-1.7968414,9.49264,21.0,2.5708623,-1.7525207,9.299985,-0.2204957,0.24356854,0.090735435,-0.122252256,-0.10434128,-0.25940904,2017-07-14 20:43:56,47.66340636863202
2.661145,-1.3478668,9.607377,23.0,2.217052,-1.267657,9.468268,-0.057839155,0.15537715,0.023115158,-0.09256729,-0.09318769,-0.25739142,2017-07-14 20:43:57,45.3551671013442
2.5307128,-1.4603393,9.635602,23.0,2.0802991,-1.1723479,9.511485,-0.062484503,-0.007010579,0.022392273,-0.08467028,-0.08877043,-0.24416716,2017-07-14 20:43:58,-16.300887149282058
2.3738067,-1.1607177,10.100213,23.0,1.921371,-1.0728861,9.556549,-0.11695087,0.108829856,0.22321129,-0.08135625,-0.0831664,-0.24265012,2017-07-14 20:43:59,36.43146125445765
4.3303957,-4.1069613,5.443715,23.0,2.9693904,-3.962597,8.464687,0.97530127,-0.5958979,-2.3641982,-0.20088953,-0.20188692,0.103488125,2017-07-14 20:44:00,30.806986228711292
