ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
0.402,0.373,9.653,20.0,2016-11-12 21:16:34,NaN
0.306,0.316,9.854,17.0,2016-11-12 21:16:35,NaN
0.239,0.21,9.625,29.0,2016-11-12 21:16:36,NaN
5.391,-1.043,7.403,3.0,2016-11-12 21:16:37,NaN
9.414,0.689,4.06,0.0,2016-11-12 21:16:38,NaN
7.805,-0.411,5.727,2.0,2016-11-12 21:16:39,NaN
7.441,-0.651,6.33,3.0,2016-11-12 21:16:40,NaN
4.003,-1.254,8.504,4.0,2016-11-12 21:16:41,NaN
1.446,-0.785,9.807,16.0,2016-11-12 21:16:42,NaN
0.996,-0.632,9.998,28.0,2016-11-12 21:16:43,NaN
1.704,-0.775,9.797,16.0,2016-11-12 21:16:44,NaN
1.723,0.162,8.945,5.0,2016-11-12 21:16:45,NaN
1.934,-0.086,9.471,7.0,2016-11-12 21:16:46,NaN
2.423,0.287,9.548,6.0,2016-11-12 21:16:47,NaN
2.145,-0.057,9.433,8.0,2016-11-12 21:16:48,NaN
2.164,-0.009,9.433,5.0,2016-11-12 21:16:49,NaN
2.26,0.095,9.337,7.0,2016-11-12 21:16:50,NaN
2.116,-0.095,9.414,7.0,2016-11-12 21:16:51,NaN
2.087,-0.105,9.404,7.0,2016-11-12 21:16:52,NaN
2.011,-0.067,9.5,8.0,2016-11-12 21:16:53,NaN
1.685,-0.067,9.376,11.0,2016-11-12 21:16:54,NaN
2.193,-0.028,9.414,8.0,2016-11-12 21:16:56,NaN
2.193,-0.019,9.443,7.0,2016-11-12 21:16:57,NaN
2.03,-0.047,9.519,10.0,2016-11-12 21:16:58,NaN
2.02,-0.067,9.5,8.0,2016-11-12 21:16:59,NaN
2.049,-0.067,9.5,10.0,2016-11-12 21:17:00,NaN
1.992,-0.095,9.5,8.0,2016-11-12 21:17:01,NaN
2.039,-0.057,9.481,7.0,2016-11-12 21:17:02,NaN
2.049,-0.067,9.5,6.0,2016-11-12 21:17:03,NaN
2.049,-0.067,9.462,8.0,2016-11-12 21:17:04,NaN
2.068,-0.086,9.577,10.0,2016-11-12 21:17:05,NaN
1.992,-0.076,9.414,8.0,2016-11-12 21:17:06,NaN
2.011,-0.086,9.529,10.0,2016-11-12 21:17:07,NaN
