ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
6.38773,2.585738,6.9048777,64.0,2017-01-27 10:14:14,NaN
6.215348,-1.2737153,7.469909,83.0,2017-01-27 10:14:15,NaN
6.9240313,-0.6799533,6.943185,41.0,2017-01-27 10:14:16,NaN
7.3549876,-2.6240451,6.2249246,46.0,2017-01-27 10:14:17,NaN
0.45010993,0.02873042,7.833828,97.0,2017-01-27 10:14:18,NaN
0.41180268,0.047884032,9.643845,95.0,2017-01-27 10:14:19,NaN
0.4213795,0.05746084,9.634268,93.0,2017-01-27 10:14:20,NaN
0.4309563,0.05746084,9.643845,92.0,2017-01-27 10:14:21,NaN
0.41180268,0.05746084,9.634268,91.0,2017-01-27 10:14:22,NaN
0.41180268,0.038307227,9.653421,72.0,2017-01-27 10:14:23,NaN
0.4213795,0.047884032,9.643845,73.0,2017-01-27 10:14:24,NaN
0.41180268,0.05746084,9.653421,76.0,2017-01-27 10:14:25,NaN
0.41180268,0.06703765,9.653421,78.0,2017-01-27 10:14:26,NaN
0.40222588,0.047884032,9.662998,81.0,2017-01-27 10:14:27,NaN
0.4213795,0.047884032,9.643845,78.0,2017-01-27 10:14:29,NaN
0.4309563,0.05746084,9.653421,85.0,2017-01-27 10:14:30,NaN
0.4213795,0.06703765,9.653421,80.0,2017-01-27 10:14:31,NaN
0.4213795,0.05746084,9.662998,83.0,2017-01-27 10:14:32,NaN
0.41180268,0.047884032,9.653421,83.0,2017-01-27 10:14:33,NaN
0.40222588,0.05746084,9.653421,85.0,2017-01-27 10:14:34,NaN
0.41180268,0.05746084,9.662998,86.0,2017-01-27 10:14:35,NaN
0.41180268,0.038307227,9.672575,85.0,2017-01-27 10:14:36,NaN
0.4213795,0.05746084,9.653421,89.0,2017-01-27 10:14:37,NaN
0.41180268,0.05746084,9.662998,91.0,2017-01-27 10:14:38,NaN
0.41180268,0.047884032,9.653421,89.0,2017-01-27 10:14:39,NaN
0.4309563,0.06703765,9.634268,90.0,2017-01-27 10:14:40,NaN
0.41180268,0.05746084,9.653421,90.0,2017-01-27 10:14:41,NaN
0.41180268,0.047884032,9.643845,89.0,2017-01-27 10:14:42,NaN
0.41180268,0.047884032,9.653421,87.0,2017-01-27 10:14:43,NaN
0.4213795,0.047884032,9.643845,88.0,2017-01-27 10:14:44,NaN
0.4213795,0.047884032,9.653421,88.0,2017-01-27 10:14:45,NaN
