ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
-3.8651993,2.8577192,8.418887,0.0,-3.2280223,3.0237172,8.757884,-0.53119355,-0.12258312,-0.25878662,2017-02-02 05:15:19,33.10242790228409
-3.8364687,2.8768728,8.438955,0.0,-3.8136973,2.9556153,8.553578,-0.040861044,-0.013620348,-0.12258312,2017-02-02 05:15:20,33.95188196405962
-3.8460455,2.8864496,8.44899,0.0,-3.9090397,2.9283745,8.512717,0.08172209,-0.05448139,-0.08172209,2017-02-02 05:15:21,32.680822780861945
-3.826892,2.8481424,8.438955,0.0,-3.8954194,2.8875136,8.539958,0.068101734,-0.068101734,-0.13620347,2017-02-02 05:15:22,35.86301009137952
-4.4972687,5.5200715,6.6026554,0.0,-3.9090397,2.901134,8.526338,-0.8989429,1.4709975,0.25878662,2017-02-02 05:15:23,36.15863617928228
-2.8117504,5.136999,7.7666492,0.0,-3.4731886,5.09401,7.641015,0.84446156,0.38136974,-0.6946377,2017-02-02 05:15:24,40.365688289402975
-2.984133,3.068409,9.251745,0.0,-2.6559677,6.197258,7.137062,0.7763598,-2.1792555,0.83084124,2017-02-02 05:15:26,32.96129874931908
0.7795521,5.788222,6.6728964,0.0,-3.568531,3.8273177,8.308412,2.9828563,1.484618,-1.2803127,2017-02-02 05:15:27,37.25903213676151
-3.1565156,2.0149603,8.549335,0.0,-2.6968286,4.426613,8.335652,-0.28602728,-2.3018386,0.7627395,2017-02-02 05:15:28,45.1330524527176
-2.2754493,0.17621328,9.502605,0.0,-2.3699405,2.8466525,9.0983925,0.068101734,-2.628727,0.44947144,2017-02-02 05:15:29,33.62971405112751
-1.7774553,0.0708684,9.683225,0.0,-2.3971813,0.53119355,9.507003,0.53119355,-0.38136974,0.027240695,2017-02-02 05:15:30,29.94414769953487
