ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.534,6.211,6.322,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-22 15:53:32,-3.345216149657269
3.933,2.826,8.39,-0.30170575,-0.1119403,0.102345414,80.0,7.5067754,3.5167174,-0.5345316,0.15562181,0.06809627,-0.9534806,2017-08-22 15:53:33,25.497227040361537
0.848,2.861,9.494,-0.9498934,-0.3795309,0.30597016,120.0,6.0617113,4.2675066,3.271803,-0.32861722,-0.12110523,0.9366489,2017-08-22 15:53:34,44.03233291136775
1.69,0.254,10.067,0.0,0.0031982942,0.0,30.0,0.37814704,0.034229316,-0.053346634,-0.0042863563,0.0049667223,-0.97090524,2017-08-22 15:53:35,38.122075115665425
-0.06,0.166,10.069,0.029850746,-0.0021321962,0.0,0.0,-0.009731773,0.034507364,-0.012905121,-0.0023137927,0.005136176,-0.97142214,2017-08-22 15:53:36,53.77714695490626
-0.069,0.143,10.037,-0.0053304904,0.0053304904,0.0021321962,0.0,0.0033188257,0.024503857,-0.008135796,-0.0013830434,0.005369024,-0.9975535,2017-08-22 15:53:37,78.52463370550421
-0.067,0.144,10.044,0.0010660981,-0.0010660981,0.0,0.0,0.0074792635,0.019025944,0.0026378632,8.9821464E-4,-0.0054698666,0.99979025,2017-08-22 15:53:38,51.536502316066176
-0.08,0.139,10.054,-0.0021321962,0.0031982942,0.0,0.0,-0.012272899,0.020821601,0.0026378632,8.9821464E-4,-0.0054698666,0.99979025,2017-08-22 15:53:39,57.96113569678453
-0.066,0.135,10.054,0.0042643924,-0.0010660981,0.0,0.0,-0.0026960913,0.014237553,0.0056324005,5.7723664E-4,-0.0055129877,0.9969323,2017-08-22 15:53:40,41.98190980713457
-0.074,0.147,10.056,-0.0063965884,0.0031982942,0.0,0.0,0.0074792653,0.026807107,-0.008136749,5.177681E-4,-0.0055188905,0.9960328,2017-08-22 15:53:41,53.94182499427849
-0.076,0.131,10.05,0.0021321962,0.0010660981,0.0010660981,0.0,0.005085066,0.018427394,-0.011727333,3.976929E-4,-0.0055288402,0.9938671,2017-08-22 15:53:42,29.795270350248583
-0.071,0.136,10.042,0.0031982942,0.0031982942,0.0010660981,0.0,-0.003893191,0.013639003,-0.0051441193,3.3229167E-4,-0.005533156,0.9924918,2017-08-22 15:53:43,59.30482756848349
-0.074,0.135,10.051,-0.0021321962,0.0010660981,0.0,0.0,-0.007484494,0.017828852,2.4318695E-4,3.0690618E-4,-0.0055346224,0.9919208,2017-08-22 15:53:44,53.77579116875616
-0.061,0.142,10.054,0.0,0.0021321962,0.0,0.0,0.0014937613,0.016033195,0.005630493,2.5371846E-4,-0.0055373153,0.9906574,2017-08-22 15:53:45,49.561663614989094
-0.064,0.132,10.044,-0.0010660981,0.0,0.0,0.0,0.00987347,0.011244796,-0.0021486282,5.7673973E-5,-0.005542826,0.9852171,2017-08-22 15:53:46,50.354320366119644
-0.058,0.144,10.046,-0.0010660981,0.0,0.0,0.0,8.9522265E-4,0.013040446,-0.0057411194,-8.807784E-5,-0.005542425,0.98037475,2017-08-22 15:53:47,54.292991543438035
-0.081,0.119,10.067,0.0010660981,0.0010660981,0.0,0.0,-0.0014989804,0.023814358,2.4318695E-4,-9.747033E-5,-0.0055422676,0.98003936,2017-08-22 15:53:48,32.832795805915744
-0.063,0.129,10.046,0.0,0.0021321962,0.0,0.0,2.9667094E-4,0.010646246,-0.015318871,-9.747033E-5,-0.0055422676,0.98003936,2017-08-22 15:53:49,52.57855074232454
-0.067,0.14,10.044,-0.0010660981,0.0,0.0,0.0,8.9522265E-4,0.021420158,-0.006939888,-1.3451587E-4,-0.0055414927,0.9786891,2017-08-22 15:53:50,48.50153443116768
-0.071,0.133,10.05,-0.0010660981,0.0,0.0,0.0,-0.0032946244,0.012441881,2.4223328E-4,-1.3985923E-4,-0.005541359,0.9784907,2017-08-22 15:53:52,48.78539382482871
-0.064,0.137,10.049,-0.0010660981,0.0010660981,0.0010660981,0.0,0.004486531,0.010646224,-0.009334564,-1.4388765E-4,-0.005541255,0.97834045,2017-08-22 15:53:53,35.96204154563272
-0.064,0.137,10.045,0.0,0.0,0.0010660981,0.0,-0.0014989767,0.0064563677,-0.0021514893,-1.4421614E-4,-0.005541247,0.9783282,2017-08-22 15:53:54,53.124476873859585
-0.07,0.132,10.052,0.0010660981,0.0010660981,0.0,0.0,-0.008083035,0.014836073,0.014009476,-1.476706E-4,-0.005541156,0.978199,2017-08-22 15:53:55,42.93168475719598
-0.07,0.141,10.041,0.0,0.0,-0.0010660981,0.0,0.009274926,0.009449117,-0.017713547,-1.5228605E-4,-0.0055410312,0.97802573,2017-08-22 15:53:56,43.18103787192146
-0.07,0.135,10.058,-0.0010660981,0.0021321962,0.0,0.0,0.012866231,0.017230265,0.0068273544,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:53:57,32.70475940924274
-0.064,0.139,10.06,0.0010660981,0.0010660981,0.0,0.0,0.0074792746,0.015434615,0.0026378632,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:53:58,30.065613011419707
-0.061,0.128,10.031,0.0,0.0010660981,0.0,0.0,0.003289422,0.0058578104,-0.008136749,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:53:59,34.786134135012034
-0.067,0.137,10.048,0.0,0.0010660981,0.0,0.0,2.9667094E-4,0.016033165,-0.0051441193,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:00,28.299881017140983
-0.076,0.126,10.042,0.0010660981,0.0010660981,0.0,0.0,0.0134647805,0.014237516,-0.011129379,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:01,47.17142564433381
-0.073,0.127,10.06,0.0,0.0010660981,0.0,0.0,0.0026908722,0.011244759,-0.0063409805,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:02,35.918185519270764
-0.068,0.123,10.061,0.0,0.0,0.0010660981,0.0,0.0038879737,0.00885056,0.0038347244,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:03,48.66729965258359
-0.072,0.117,10.063,0.0,0.0010660981,0.0,0.0,-0.014667089,0.0022665039,0.011615753,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:04,57.17423795035187
-0.063,0.133,10.048,-0.0010660981,0.0021321962,0.0,0.0,0.0038879737,0.0022665039,-0.0183115,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:05,35.2939212712611
-0.064,0.12,10.039,-0.0010660981,0.0,0.0,0.0,0.006880725,0.00645636,-0.0063409805,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:06,30.940037699406272
-0.067,0.129,10.041,0.0010660981,0.0010660981,0.0010660981,0.0,-9.004306E-4,0.0052592605,-0.005742073,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:07,47.29376044458771
-0.071,0.117,10.036,-0.0010660981,0.0010660981,0.0,0.0,-0.0044917325,0.0028650537,-0.011129379,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:08,51.61998876584338
-0.063,0.126,10.041,0.0010660981,0.0,0.0,0.0,-9.004306E-4,-1.276955E-4,0.0068273544,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:09,44.97466754148806
-0.069,0.12,10.058,0.0,0.0010660981,0.0,0.0,0.012267677,0.017828815,-0.025494576,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:10,36.02422564894076
-0.08,0.119,10.066,0.0021321962,0.0,0.0,0.0,-0.01526564,0.0022665039,0.011615753,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:11,35.43952305930139
-0.064,0.12,10.063,0.0010660981,0.0,0.0,0.0,-0.0038931817,0.0028650537,0.0038347244,-1.7284953E-4,-0.0055404273,0.9772455,2017-08-22 15:54:12,50.73308135208429
