ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
7.82,-0.703,5.876,62.0,2017-09-04 09:16:33,39.75944057975314
8.006,-0.713,5.561,74.0,2017-09-04 09:16:34,42.987061562096436
8.15,-0.684,5.546,74.0,2017-09-04 09:16:35,33.88910587705097
8.083,-0.66,5.661,70.0,2017-09-04 09:16:36,39.92948848392372
8.126,-0.588,5.565,41.0,2017-09-04 09:16:37,52.53774230105285
7.863,0.119,4.958,8.0,2017-09-04 09:16:38,59.75219951890072
8.801,-0.928,5.393,149.0,2017-09-04 09:16:39,51.81511233116524
8.423,-0.09,4.905,128.0,2017-09-04 09:16:40,58.77969793170112
9.169,-0.196,3.56,160.0,2017-09-04 09:16:42,48.81043491419699
9.107,-0.114,3.68,169.0,2017-09-04 09:16:43,60.401135887769
8.978,-0.119,3.967,175.0,2017-09-04 09:16:44,45.77130214135561
7.867,-0.177,5.829,66.0,2017-09-04 09:16:45,53.943653022704794
8.336,-0.114,5.202,135.0,2017-09-04 09:16:46,49.53621117301096
8.155,0.047,5.451,126.0,2017-09-04 09:16:47,55.094875730443185
8.097,-0.076,5.58,35.0,2017-09-04 09:16:48,56.87253790173506
7.968,-0.047,5.738,98.0,2017-09-04 09:16:49,58.336667589712114
8.016,-0.076,5.671,104.0,2017-09-04 09:16:50,53.91732600709367
7.992,-0.067,5.699,102.0,2017-09-04 09:16:51,56.99333227104689
7.992,-0.076,5.699,104.0,2017-09-04 09:16:52,59.670028638049324
7.992,-0.062,5.714,104.0,2017-09-04 09:16:53,59.24271147508186
8.006,-0.086,5.57,102.0,2017-09-04 09:16:54,54.3382502872487
7.977,-0.143,5.733,46.0,2017-09-04 09:16:55,57.26564816753608
7.824,-0.119,5.934,29.0,2017-09-04 09:16:56,62.450426835303645
7.772,-0.114,6.006,50.0,2017-09-04 09:16:57,53.73898716781358
7.666,-0.11,6.14,27.0,2017-09-04 09:16:58,39.98421311046919
7.604,-0.129,6.24,23.0,2017-09-04 09:16:59,37.00834480546918
7.561,-0.148,6.298,22.0,2017-09-04 09:17:00,38.36463445657575
7.508,-0.124,6.331,11.0,2017-09-04 09:17:01,36.87114837354776
7.389,-0.148,6.489,14.0,2017-09-04 09:17:02,40.06255291275184
7.485,-0.196,6.47,66.0,2017-09-04 09:17:03,36.76279207186366
8.006,-0.086,5.675,27.0,2017-09-04 09:17:04,58.289388373151866
7.939,-0.062,5.819,24.0,2017-09-04 09:17:05,59.05806595347747
7.93,-0.062,5.814,24.0,2017-09-04 09:17:06,63.739050443998366
7.91,-0.057,5.819,23.0,2017-09-04 09:17:07,61.345604490181024
7.915,-0.071,5.843,23.0,2017-09-04 09:17:08,57.75620560186393
7.896,-0.062,5.843,22.0,2017-09-04 09:17:09,56.57100492944541
7.887,-0.067,5.853,22.0,2017-09-04 09:17:10,60.5375298864497
7.906,-0.043,5.867,21.0,2017-09-04 09:17:11,53.10919097846636
7.891,-0.071,5.843,21.0,2017-09-04 09:17:12,60.83089010555811
7.915,-0.043,5.819,3.0,2017-09-04 09:17:13,53.819664880322065
7.887,-0.052,5.857,34.0,2017-09-04 09:17:14,61.5852253182313
7.891,-0.052,5.872,34.0,2017-09-04 09:17:15,60.7759672834844
7.915,-0.076,5.843,34.0,2017-09-04 09:17:16,60.984256791647866
7.882,-0.052,5.848,34.0,2017-09-04 09:17:17,61.116272307919424
7.992,-0.062,5.766,29.0,2017-09-04 09:17:18,60.60937109560946
8.308,-0.09,5.192,17.0,2017-09-04 09:17:19,62.14806901860585
8.088,-0.057,5.599,13.0,2017-09-04 09:17:20,60.663802262517436
8.255,-0.028,5.46,4.0,2017-09-04 09:17:21,53.577231979725894
8.102,-0.043,5.671,4.0,2017-09-04 09:17:22,54.48146954202286
6.613,0.947,6.015,34.0,2017-09-04 09:17:23,47.046098568486286
1.971,7.226,5.436,313.0,2017-09-04 09:17:24,50.87554465280054
2.258,8.346,4.699,111.0,2017-09-04 09:17:25,54.17412050979444
0.057,8.762,5.168,114.0,2017-09-04 09:17:26,48.31005749336021
0.019,8.968,3.646,27.0,2017-09-04 09:17:27,59.72746776412584
-0.253,8.595,4.661,94.0,2017-09-04 09:17:28,55.49442774458192
-0.138,9.614,0.78,16.0,2017-09-04 09:17:29,51.71730534855216
-0.033,9.562,1.703,16.0,2017-09-04 09:17:30,56.06030666201501
-0.11,9.557,1.454,16.0,2017-09-04 09:17:31,57.55353317463485
0.172,9.638,1.588,14.0,2017-09-04 09:17:32,61.30622448828689
-0.014,9.59,1.435,13.0,2017-09-04 09:17:33,56.35384821359991
0.033,9.566,1.861,13.0,2017-09-04 09:17:34,46.24986357457551
0.009,9.566,1.919,13.0,2017-09-04 09:17:35,36.45880926021087
