ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
3.907,1.762,8.504,13.0,2016-12-19 12:15:40,-Infinity
4.673,2.145,8.121,17.0,2016-12-19 12:15:41,-Infinity
4.711,2.643,8.044,26.0,2016-12-19 12:15:42,-Infinity
4.826,2.949,6.589,26.0,2016-12-19 12:15:43,-Infinity
3.677,-2.834,8.964,8.0,2016-12-19 12:15:44,-Infinity
0.919,-0.421,9.423,8.0,2016-12-19 12:15:45,-Infinity
0.842,-0.421,9.462,4.0,2016-12-19 12:15:46,-Infinity
0.881,-0.727,9.462,8.0,2016-12-19 12:15:47,-Infinity
0.766,-0.229,9.385,8.0,2016-12-19 12:15:48,-Infinity
0.842,-0.498,9.423,8.0,2016-12-19 12:15:49,-Infinity
0.804,-0.421,9.347,8.0,2016-12-19 12:15:50,-Infinity
0.804,-0.498,9.423,8.0,2016-12-19 12:15:51,-Infinity
0.842,-0.459,9.385,4.0,2016-12-19 12:15:52,-Infinity
0.842,-0.574,9.462,8.0,2016-12-19 12:15:53,-Infinity
0.766,-0.383,9.347,8.0,2016-12-19 12:15:54,-Infinity
0.842,-0.498,9.423,4.0,2016-12-19 12:15:55,-Infinity
0.804,-0.459,9.347,4.0,2016-12-19 12:15:56,-Infinity
0.842,-0.459,9.385,4.0,2016-12-19 12:15:57,-Infinity
0.881,-0.498,9.462,4.0,2016-12-19 12:15:58,-Infinity
0.842,-0.459,9.423,4.0,2016-12-19 12:15:59,-Infinity
0.881,-0.421,9.385,4.0,2016-12-19 12:16:00,-Infinity
0.804,-0.459,9.385,8.0,2016-12-19 12:16:01,-Infinity
0.804,-0.459,9.423,8.0,2016-12-19 12:16:02,-Infinity
0.842,-0.498,9.5,8.0,2016-12-19 12:16:03,-Infinity
0.842,-0.536,9.347,8.0,2016-12-19 12:16:04,-Infinity
0.842,-0.459,9.423,8.0,2016-12-19 12:16:05,-Infinity
0.766,-0.536,9.385,8.0,2016-12-19 12:16:06,-Infinity
0.804,-0.459,9.423,8.0,2016-12-19 12:16:07,-Infinity
0.804,-0.536,9.385,8.0,2016-12-19 12:16:08,-Infinity
0.804,-0.421,9.423,4.0,2016-12-19 12:16:09,-Infinity
0.766,-0.459,9.385,4.0,2016-12-19 12:16:10,-Infinity
0.804,-0.421,9.423,4.0,2016-12-19 12:16:11,-Infinity
0.804,-0.344,9.385,4.0,2016-12-19 12:16:12,-Infinity
0.919,-0.459,9.385,4.0,2016-12-19 12:16:14,-Infinity
0.804,-0.459,9.462,4.0,2016-12-19 12:16:15,-Infinity
0.842,-0.536,9.385,4.0,2016-12-19 12:16:16,-Infinity
0.881,-0.459,9.423,4.0,2016-12-19 12:16:17,-Infinity
0.766,-0.498,9.385,4.0,2016-12-19 12:16:18,-Infinity
0.842,-0.459,9.462,4.0,2016-12-19 12:16:19,-Infinity
0.804,-0.536,9.347,4.0,2016-12-19 12:16:20,-Infinity
0.881,-0.498,9.385,8.0,2016-12-19 12:16:21,-Infinity
0.804,-0.421,9.423,8.0,2016-12-19 12:16:22,-Infinity
0.881,-0.459,9.385,8.0,2016-12-19 12:16:23,-Infinity
0.919,-0.421,9.385,4.0,2016-12-19 12:16:24,-Infinity
0.842,-0.459,9.385,4.0,2016-12-19 12:16:25,-Infinity
0.881,-0.498,9.423,4.0,2016-12-19 12:16:26,-Infinity
0.842,-0.498,9.423,4.0,2016-12-19 12:16:27,-Infinity
0.804,-0.498,9.385,4.0,2016-12-19 12:16:28,-Infinity
0.842,-0.536,9.423,4.0,2016-12-19 12:16:29,-Infinity
0.842,-0.498,9.385,4.0,2016-12-19 12:16:30,-Infinity
0.804,-0.498,9.423,4.0,2016-12-19 12:16:31,-Infinity
0.842,-0.536,9.462,4.0,2016-12-19 12:16:32,-Infinity
0.881,-0.651,9.423,4.0,2016-12-19 12:16:33,-Infinity
0.881,-0.459,9.462,4.0,2016-12-19 12:16:34,-Infinity
0.842,-0.459,9.5,4.0,2016-12-19 12:16:35,-Infinity
0.842,-0.383,9.462,4.0,2016-12-19 12:16:36,-Infinity
0.881,-0.459,9.423,4.0,2016-12-19 12:16:37,-Infinity
0.842,-0.421,9.347,8.0,2016-12-19 12:16:38,-Infinity
0.804,-0.459,9.423,4.0,2016-12-19 12:16:39,-Infinity
0.842,-0.498,9.385,4.0,2016-12-19 12:16:40,-Infinity
0.842,-0.459,9.462,4.0,2016-12-19 12:16:41,-Infinity
0.804,-0.421,9.423,0.0,2016-12-19 12:16:42,-Infinity
0.804,-0.421,9.423,0.0,2016-12-19 12:16:43,-Infinity
0.842,-0.498,9.423,0.0,2016-12-19 12:16:44,-Infinity
0.881,-0.459,9.423,4.0,2016-12-19 12:16:45,-Infinity
0.881,-0.459,9.5,4.0,2016-12-19 12:16:46,-Infinity
0.842,-0.459,9.462,4.0,2016-12-19 12:16:47,-Infinity
0.881,-0.459,9.462,4.0,2016-12-19 12:16:48,-Infinity
0.842,-0.459,9.462,4.0,2016-12-19 12:16:49,-Infinity
0.842,-0.421,9.462,4.0,2016-12-19 12:16:51,-Infinity
0.804,-0.421,9.385,4.0,2016-12-19 12:16:52,-Infinity
0.842,-0.459,9.347,0.0,2016-12-19 12:16:53,-Infinity
0.881,-0.459,9.385,0.0,2016-12-19 12:16:54,-Infinity
0.842,-0.498,9.385,0.0,2016-12-19 12:16:55,-Infinity
0.842,-0.459,9.462,4.0,2016-12-19 12:16:56,-Infinity
0.842,-0.498,9.385,0.0,2016-12-19 12:16:57,-Infinity
0.881,-0.498,9.423,0.0,2016-12-19 12:16:58,-Infinity
0.804,-0.421,9.423,0.0,2016-12-19 12:16:59,-Infinity
0.842,-0.498,9.385,0.0,2016-12-19 12:17:00,-Infinity
0.842,-0.459,9.385,0.0,2016-12-19 12:17:01,-Infinity
0.842,-0.421,9.423,0.0,2016-12-19 12:17:02,-Infinity
0.804,-0.459,9.385,0.0,2016-12-19 12:17:03,-Infinity
0.842,-0.459,9.5,0.0,2016-12-19 12:17:04,-Infinity
0.804,-0.498,9.462,0.0,2016-12-19 12:17:05,-Infinity
0.842,-0.421,9.423,0.0,2016-12-19 12:17:06,-Infinity
0.804,-0.498,9.347,0.0,2016-12-19 12:17:07,-Infinity
0.842,-0.459,9.385,0.0,2016-12-19 12:17:08,-Infinity
0.842,-0.498,9.5,0.0,2016-12-19 12:17:09,-Infinity
0.842,-0.459,9.423,0.0,2016-12-19 12:17:10,-Infinity
0.842,-0.421,9.462,0.0,2016-12-19 12:17:11,-Infinity
0.881,-0.498,9.462,0.0,2016-12-19 12:17:12,-Infinity
0.804,-0.383,9.462,0.0,2016-12-19 12:17:13,-Infinity
0.881,-0.459,9.538,0.0,2016-12-19 12:17:14,-Infinity
0.881,-0.459,9.423,0.0,2016-12-19 12:17:15,-Infinity
0.804,-0.383,9.423,4.0,2016-12-19 12:17:16,-Infinity
0.842,-0.459,9.385,4.0,2016-12-19 12:17:17,-Infinity
0.842,-0.498,9.308,4.0,2016-12-19 12:17:18,-Infinity
0.881,-0.421,9.462,4.0,2016-12-19 12:17:19,-Infinity
0.842,-0.459,9.385,4.0,2016-12-19 12:17:20,-Infinity
0.804,-0.421,9.462,4.0,2016-12-19 12:17:21,-Infinity
0.842,-0.459,9.385,4.0,2016-12-19 12:17:22,-Infinity
0.842,-0.574,9.462,4.0,2016-12-19 12:17:23,-Infinity
0.842,-0.421,9.423,4.0,2016-12-19 12:17:24,-Infinity
0.804,-0.459,9.385,4.0,2016-12-19 12:17:25,-Infinity
0.842,-0.459,9.347,4.0,2016-12-19 12:17:26,-Infinity
0.881,-0.383,9.462,4.0,2016-12-19 12:17:27,-Infinity
0.919,-0.459,9.462,0.0,2016-12-19 12:17:28,-Infinity
0.881,-0.421,9.423,0.0,2016-12-19 12:17:29,-Infinity
0.842,-0.421,9.347,0.0,2016-12-19 12:17:30,-Infinity
0.919,-0.498,9.462,0.0,2016-12-19 12:17:31,-Infinity
0.919,-0.421,9.308,0.0,2016-12-19 12:17:33,-Infinity
0.804,-0.459,9.347,0.0,2016-12-19 12:17:34,-Infinity
0.842,-0.383,9.385,0.0,2016-12-19 12:17:35,-Infinity
0.842,-0.421,9.385,0.0,2016-12-19 12:17:36,-Infinity
0.842,-0.459,9.385,4.0,2016-12-19 12:17:37,-Infinity
0.842,-0.421,9.385,4.0,2016-12-19 12:17:38,-Infinity
0.919,-0.383,9.385,0.0,2016-12-19 12:17:39,-Infinity
0.919,-0.574,9.462,4.0,2016-12-19 12:17:40,-Infinity
0.842,-0.459,9.385,4.0,2016-12-19 12:17:41,-Infinity
0.957,-0.344,9.347,4.0,2016-12-19 12:17:42,-Infinity
0.919,-0.383,9.385,4.0,2016-12-19 12:17:43,-Infinity
0.842,-0.459,9.5,4.0,2016-12-19 12:17:44,-Infinity
0.804,-0.459,9.423,4.0,2016-12-19 12:17:45,-Infinity
0.842,-0.498,9.347,4.0,2016-12-19 12:17:46,-Infinity
0.804,-0.498,9.423,4.0,2016-12-19 12:17:47,-Infinity
0.881,-0.498,9.385,4.0,2016-12-19 12:17:48,-Infinity
0.842,-0.459,9.5,4.0,2016-12-19 12:17:49,-Infinity
0.842,-0.383,9.385,4.0,2016-12-19 12:17:50,-Infinity
0.842,-0.421,9.423,4.0,2016-12-19 12:17:51,-Infinity
0.842,-0.421,9.462,4.0,2016-12-19 12:17:52,-Infinity
0.842,-0.421,9.5,0.0,2016-12-19 12:17:53,-Infinity
0.842,-0.383,9.347,0.0,2016-12-19 12:17:54,-Infinity
0.804,-0.459,9.462,0.0,2016-12-19 12:17:55,-Infinity
0.881,-0.421,9.385,0.0,2016-12-19 12:17:56,-Infinity
0.766,-0.421,9.5,0.0,2016-12-19 12:17:57,-Infinity
0.881,-0.421,9.423,4.0,2016-12-19 12:17:58,-Infinity
0.996,-0.727,5.286,4.0,2016-12-19 12:17:59,-Infinity
0.804,-0.459,9.423,4.0,2016-12-19 12:18:00,-Infinity
0.919,-0.459,9.423,4.0,2016-12-19 12:18:01,-Infinity
0.881,-0.459,9.5,0.0,2016-12-19 12:18:02,-Infinity
0.919,-0.498,9.462,4.0,2016-12-19 12:18:03,-Infinity
0.766,-0.383,9.5,0.0,2016-12-19 12:18:04,-Infinity
0.842,-0.459,9.423,0.0,2016-12-19 12:18:05,-Infinity
0.842,-0.459,9.423,0.0,2016-12-19 12:18:06,-Infinity
0.842,-0.498,9.423,4.0,2016-12-19 12:18:07,-Infinity
0.881,-0.421,9.347,0.0,2016-12-19 12:18:08,-Infinity
0.842,-0.383,9.385,0.0,2016-12-19 12:18:10,-Infinity
0.919,-0.383,9.385,0.0,2016-12-19 12:18:11,-Infinity
0.881,-0.421,9.5,0.0,2016-12-19 12:18:12,-Infinity
0.842,-0.421,9.423,0.0,2016-12-19 12:18:13,-Infinity
0.881,-0.421,9.385,0.0,2016-12-19 12:18:14,-Infinity
0.804,-0.421,9.462,0.0,2016-12-19 12:18:15,-Infinity
0.804,-0.498,9.5,0.0,2016-12-19 12:18:16,-Infinity
0.842,-0.383,9.423,4.0,2016-12-19 12:18:17,-Infinity
0.881,-0.344,9.462,0.0,2016-12-19 12:18:18,-Infinity
0.919,-0.421,9.5,0.0,2016-12-19 12:18:19,-Infinity
0.919,-0.421,9.5,0.0,2016-12-19 12:18:20,-Infinity
0.881,-0.383,9.385,0.0,2016-12-19 12:18:21,-Infinity
0.881,-0.344,9.462,0.0,2016-12-19 12:18:22,-Infinity
0.881,-0.498,9.5,0.0,2016-12-19 12:18:23,-Infinity
0.881,-0.421,9.423,0.0,2016-12-19 12:18:24,-Infinity
0.804,-0.383,9.347,0.0,2016-12-19 12:18:25,-Infinity
0.919,-0.459,9.385,0.0,2016-12-19 12:18:26,-Infinity
0.842,-0.421,9.347,0.0,2016-12-19 12:18:27,-Infinity
0.842,-0.383,9.385,0.0,2016-12-19 12:18:28,-Infinity
0.919,-0.421,9.423,0.0,2016-12-19 12:18:29,-Infinity
0.842,-0.498,9.385,4.0,2016-12-19 12:18:30,-Infinity
0.842,-0.459,9.385,4.0,2016-12-19 12:18:31,-Infinity
0.919,-0.421,9.423,4.0,2016-12-19 12:18:32,-Infinity
0.804,-0.459,9.423,0.0,2016-12-19 12:18:33,-Infinity
0.881,-0.421,9.423,0.0,2016-12-19 12:18:34,-Infinity
0.842,-0.383,9.385,4.0,2016-12-19 12:18:35,-Infinity
0.881,-0.421,9.5,4.0,2016-12-19 12:18:36,-Infinity
0.919,-0.498,9.423,0.0,2016-12-19 12:18:37,-Infinity
0.881,-0.383,9.462,0.0,2016-12-19 12:18:38,-Infinity
0.804,-0.459,9.5,0.0,2016-12-19 12:18:39,-Infinity
0.842,-0.383,9.423,4.0,2016-12-19 12:18:40,-Infinity
0.881,-0.421,9.423,0.0,2016-12-19 12:18:41,-Infinity
0.881,-0.383,9.462,4.0,2016-12-19 12:18:42,-Infinity
0.842,-0.344,9.423,8.0,2016-12-19 12:18:43,-Infinity
0.842,-0.459,9.423,8.0,2016-12-19 12:18:45,-Infinity
0.842,-0.421,9.462,4.0,2016-12-19 12:18:46,-Infinity
0.919,-0.459,9.423,8.0,2016-12-19 12:18:47,-Infinity
0.804,-0.421,9.423,4.0,2016-12-19 12:18:48,-Infinity
0.842,-0.383,9.462,4.0,2016-12-19 12:18:49,-Infinity
0.881,-0.498,9.385,4.0,2016-12-19 12:18:50,-Infinity
0.842,-0.383,9.385,4.0,2016-12-19 12:18:51,-Infinity
0.804,-0.421,9.385,4.0,2016-12-19 12:18:52,-Infinity
0.996,-0.421,9.385,4.0,2016-12-19 12:18:53,-Infinity
0.881,-0.459,9.423,8.0,2016-12-19 12:18:54,-Infinity
0.842,-0.383,9.423,8.0,2016-12-19 12:18:55,-Infinity
0.957,-0.306,9.538,4.0,2016-12-19 12:18:56,-Infinity
0.881,-0.421,9.385,4.0,2016-12-19 12:18:57,-Infinity
0.881,-0.383,9.423,4.0,2016-12-19 12:18:58,-Infinity
0.842,-0.383,9.385,4.0,2016-12-19 12:18:59,-Infinity
-2.413,-3.141,14.25,4.0,2016-12-19 12:19:00,-Infinity
4.328,3.294,7.47,8.0,2016-12-19 12:19:01,-Infinity
5.861,2.49,7.661,8.0,2016-12-19 12:19:02,-Infinity
4.597,0.536,8.312,4.0,2016-12-19 12:19:03,-Infinity
3.371,0.268,7.661,4.0,2016-12-19 12:19:04,-Infinity
0.612,-0.727,9.462,8.0,2016-12-19 12:19:05,-Infinity
0.651,-0.727,9.385,8.0,2016-12-19 12:19:06,-Infinity
0.612,-0.651,9.423,4.0,2016-12-19 12:19:07,-Infinity
0.612,-0.651,9.347,4.0,2016-12-19 12:19:08,-Infinity
0.651,-0.727,9.347,4.0,2016-12-19 12:19:09,-Infinity
0.727,-0.651,9.577,4.0,2016-12-19 12:19:10,-Infinity
0.612,-0.727,9.385,4.0,2016-12-19 12:19:11,-Infinity
0.727,-0.651,9.462,4.0,2016-12-19 12:19:12,-Infinity
0.651,-0.689,9.423,4.0,2016-12-19 12:19:13,-Infinity
0.651,-0.612,9.347,4.0,2016-12-19 12:19:14,-Infinity
0.574,-0.689,9.423,4.0,2016-12-19 12:19:15,-Infinity
0.689,-0.651,9.423,4.0,2016-12-19 12:19:16,-Infinity
0.689,-0.766,9.423,4.0,2016-12-19 12:19:18,-Infinity
0.727,-0.727,9.347,4.0,2016-12-19 12:19:19,-Infinity
0.612,-0.804,9.347,4.0,2016-12-19 12:19:20,-Infinity
0.689,-0.612,9.385,4.0,2016-12-19 12:19:21,-Infinity
0.651,-0.727,9.385,4.0,2016-12-19 12:19:22,-Infinity
0.612,-0.727,9.423,4.0,2016-12-19 12:19:23,-Infinity
0.651,-0.689,9.385,4.0,2016-12-19 12:19:24,-Infinity
0.612,-0.727,9.423,4.0,2016-12-19 12:19:25,-Infinity
0.651,-0.651,9.385,4.0,2016-12-19 12:19:26,-Infinity
0.727,-0.689,9.423,4.0,2016-12-19 12:19:27,-Infinity
0.689,-0.689,9.308,4.0,2016-12-19 12:19:28,-Infinity
0.651,-0.689,9.423,4.0,2016-12-19 12:19:29,-Infinity
0.612,-0.689,9.423,4.0,2016-12-19 12:19:30,-Infinity
0.727,-0.727,9.423,4.0,2016-12-19 12:19:31,-Infinity
0.651,-0.727,9.423,4.0,2016-12-19 12:19:32,-Infinity
0.612,-0.612,9.462,4.0,2016-12-19 12:19:33,-Infinity
0.689,-0.689,9.385,4.0,2016-12-19 12:19:34,-Infinity
0.727,-0.651,9.462,4.0,2016-12-19 12:19:35,-Infinity
0.612,-0.689,9.385,4.0,2016-12-19 12:19:36,-Infinity
0.689,-0.651,9.385,4.0,2016-12-19 12:19:37,-Infinity
0.574,-0.651,9.347,4.0,2016-12-19 12:19:38,-Infinity
0.651,-0.727,9.385,4.0,2016-12-19 12:19:39,-Infinity
0.689,-0.651,9.538,4.0,2016-12-19 12:19:40,-Infinity
0.727,-0.689,9.308,4.0,2016-12-19 12:19:41,-Infinity
0.689,-0.689,9.462,4.0,2016-12-19 12:19:42,-Infinity
0.919,-0.689,9.308,4.0,2016-12-19 12:19:43,-Infinity
0.153,-0.804,9.308,4.0,2016-12-19 12:19:44,-Infinity
0.881,-1.149,9.27,4.0,2016-12-19 12:19:45,-Infinity
0.651,-0.574,9.423,0.0,2016-12-19 12:19:46,-Infinity
0.766,-0.574,9.462,4.0,2016-12-19 12:19:47,-Infinity
0.842,-0.612,9.462,4.0,2016-12-19 12:19:48,-Infinity
0.574,-0.727,9.385,4.0,2016-12-19 12:19:49,-Infinity
0.651,-0.651,9.538,4.0,2016-12-19 12:19:50,-Infinity
0.766,-0.881,9.385,12.0,2016-12-19 12:19:51,-Infinity
0.651,-0.881,9.308,0.0,2016-12-19 12:19:52,-Infinity
0.498,-0.536,9.538,0.0,2016-12-19 12:19:53,-Infinity
0.612,-0.689,9.423,0.0,2016-12-19 12:19:54,-Infinity
0.612,-0.727,9.5,8.0,2016-12-19 12:19:55,-Infinity
0.612,-0.804,9.385,8.0,2016-12-19 12:19:57,-Infinity
0.612,-0.727,9.423,8.0,2016-12-19 12:19:58,-Infinity
0.574,-0.727,9.347,8.0,2016-12-19 12:19:59,-Infinity
0.536,-0.804,9.423,8.0,2016-12-19 12:20:00,-Infinity
0.651,-0.727,9.423,12.0,2016-12-19 12:20:01,-Infinity
0.536,-0.766,9.462,12.0,2016-12-19 12:20:02,-Infinity
0.651,-0.804,9.423,12.0,2016-12-19 12:20:03,-Infinity
0.574,-0.766,9.423,8.0,2016-12-19 12:20:04,-Infinity
0.612,-0.842,9.308,8.0,2016-12-19 12:20:05,-Infinity
0.536,-0.727,9.308,8.0,2016-12-19 12:20:06,-Infinity
