ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
1.7525556,3.1507695,9.069236,45.0,2017-01-27 14:18:55,NaN
1.6950948,3.3806129,8.7532015,40.0,2017-01-27 14:18:56,NaN
1.3790601,3.4763808,8.743625,39.0,2017-01-27 14:18:57,NaN
1.8387469,3.3423057,9.088389,40.0,2017-01-27 14:18:58,NaN
2.8060043,1.1492168,8.015787,38.0,2017-01-27 14:18:59,NaN
-4.6351743,-0.2681506,8.561666,14.0,2017-01-27 14:19:00,NaN
-0.15322891,0.6799533,9.595961,26.0,2017-01-27 14:19:01,NaN
-0.095768064,0.7086837,9.576807,26.0,2017-01-27 14:19:02,NaN
-0.08619126,0.7086837,9.576807,25.0,2017-01-27 14:19:03,NaN
-0.08619126,0.7182605,9.576807,25.0,2017-01-27 14:19:04,NaN
-0.08619126,0.6991069,9.586384,25.0,2017-01-27 14:19:05,NaN
-0.08619126,0.6991069,9.576807,26.0,2017-01-27 14:19:06,NaN
-0.076614454,0.7086837,9.576807,25.0,2017-01-27 14:19:07,NaN
-0.08619126,0.7086837,9.586384,26.0,2017-01-27 14:19:08,NaN
-0.08619126,0.6991069,9.576807,26.0,2017-01-27 14:19:09,NaN
-0.076614454,0.7086837,9.586384,26.0,2017-01-27 14:19:11,NaN
-0.06703765,0.6991069,9.595961,26.0,2017-01-27 14:19:12,NaN
-0.08619126,0.7086837,9.576807,26.0,2017-01-27 14:19:13,NaN
-0.06703765,0.7182605,9.595961,27.0,2017-01-27 14:19:14,NaN
-0.076614454,0.7182605,9.595961,27.0,2017-01-27 14:19:15,NaN
-0.076614454,0.7182605,9.595961,26.0,2017-01-27 14:19:16,NaN
-0.08619126,0.6895301,9.586384,26.0,2017-01-27 14:19:17,NaN
-0.076614454,0.6991069,9.595961,26.0,2017-01-27 14:19:18,NaN
-0.06703765,0.7086837,9.586384,26.0,2017-01-27 14:19:19,NaN
-0.076614454,0.6895301,9.595961,26.0,2017-01-27 14:19:20,NaN
-0.076614454,0.6991069,9.595961,26.0,2017-01-27 14:19:21,NaN
-0.08619126,0.7086837,9.595961,26.0,2017-01-27 14:19:22,NaN
-0.08619126,0.6991069,9.595961,26.0,2017-01-27 14:19:23,NaN
-0.06703765,0.6991069,9.595961,26.0,2017-01-27 14:19:24,NaN
-0.08619126,0.7086837,9.605537,25.0,2017-01-27 14:19:25,NaN
-0.076614454,0.7086837,9.605537,25.0,2017-01-27 14:19:26,NaN
-0.08619126,0.7086837,9.595961,26.0,2017-01-27 14:19:27,NaN
-0.08619126,0.6991069,9.605537,26.0,2017-01-27 14:19:28,NaN
-0.076614454,0.7086837,9.586384,25.0,2017-01-27 14:19:29,NaN
-0.06703765,0.6991069,9.605537,27.0,2017-01-27 14:19:30,NaN
-0.076614454,0.7086837,9.615114,27.0,2017-01-27 14:19:31,NaN
-0.076614454,0.7086837,9.595961,27.0,2017-01-27 14:19:32,NaN
-0.076614454,0.7182605,9.595961,26.0,2017-01-27 14:19:33,NaN
-0.08619126,0.7086837,9.605537,27.0,2017-01-27 14:19:34,NaN
-0.08619126,0.7086837,9.586384,27.0,2017-01-27 14:19:36,NaN
-0.076614454,0.7086837,9.586384,27.0,2017-01-27 14:19:37,NaN
-0.08619126,0.7086837,9.586384,27.0,2017-01-27 14:19:38,NaN
-0.076614454,0.7086837,9.605537,27.0,2017-01-27 14:19:39,NaN
-0.06703765,0.7086837,9.586384,27.0,2017-01-27 14:19:40,NaN
-0.06703765,0.6991069,9.595961,27.0,2017-01-27 14:19:41,NaN
-0.06703765,0.7086837,9.595961,27.0,2017-01-27 14:19:42,NaN
-0.08619126,0.6991069,9.615114,27.0,2017-01-27 14:19:43,NaN
-0.08619126,0.7086837,9.605537,27.0,2017-01-27 14:19:44,NaN
-0.08619126,0.6895301,9.595961,27.0,2017-01-27 14:19:45,NaN
-0.076614454,0.6991069,9.605537,27.0,2017-01-27 14:19:46,NaN
-0.08619126,0.6991069,9.605537,27.0,2017-01-27 14:19:47,NaN
-0.08619126,0.6991069,9.595961,27.0,2017-01-27 14:19:48,NaN
-0.076614454,0.7182605,9.605537,27.0,2017-01-27 14:19:49,NaN
-0.08619126,0.6991069,9.595961,27.0,2017-01-27 14:19:50,NaN
-0.095768064,0.7086837,9.605537,27.0,2017-01-27 14:19:51,NaN
-0.08619126,0.6895301,9.615114,27.0,2017-01-27 14:19:52,NaN
-0.095768064,0.6895301,9.615114,29.0,2017-01-27 14:19:53,NaN
-0.095768064,0.7086837,9.605537,27.0,2017-01-27 14:19:54,NaN
-0.095768064,0.6799533,9.615114,27.0,2017-01-27 14:19:55,NaN
-0.095768064,0.6991069,9.615114,27.0,2017-01-27 14:19:57,NaN
-0.095768064,0.6895301,9.605537,27.0,2017-01-27 14:19:58,NaN
-0.08619126,0.6799533,9.615114,27.0,2017-01-27 14:19:59,NaN
-0.08619126,0.6991069,9.605537,27.0,2017-01-27 14:20:00,NaN
-0.095768064,0.7086837,9.615114,27.0,2017-01-27 14:20:01,NaN
-0.076614454,0.6991069,9.605537,27.0,2017-01-27 14:20:02,NaN
-0.076614454,0.6991069,9.605537,27.0,2017-01-27 14:20:03,NaN
-0.08619126,0.7086837,9.595961,27.0,2017-01-27 14:20:04,NaN
-0.08619126,0.7086837,9.595961,27.0,2017-01-27 14:20:05,NaN
-0.095768064,0.6991069,9.605537,27.0,2017-01-27 14:20:06,NaN
-0.095768064,0.7086837,9.615114,27.0,2017-01-27 14:20:07,NaN
-0.08619126,0.7086837,9.605537,27.0,2017-01-27 14:20:08,NaN
-0.08619126,0.6991069,9.605537,27.0,2017-01-27 14:20:09,NaN
-0.095768064,0.7086837,9.615114,27.0,2017-01-27 14:20:10,NaN
-0.095768064,0.7086837,9.615114,27.0,2017-01-27 14:20:11,NaN
-0.095768064,0.6991069,9.605537,27.0,2017-01-27 14:20:12,NaN
-0.08619126,0.7086837,9.595961,27.0,2017-01-27 14:20:13,NaN
