ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
-2.4765623,6.3245234,6.813378,3669.0,-4.9578066,3.9362803,7.504812,1.0760074,2.465283,-1.2258313,2017-02-14 12:03:52,64.66766410675385
1.4978126,5.2998047,8.218199,3401.0,-3.0645783,5.720546,7.3686085,3.3642259,-0.095342435,2.4516625,2017-02-14 12:03:53,62.83121950865944
5.826529,4.658159,5.3282824,2356.0,0.91256326,5.638824,7.9815235,4.7262607,-1.0487667,-2.5197642,2017-02-14 12:03:54,56.471796113758764
9.820058,2.8481424,0.05017215,4150.0,6.5105257,5.339176,5.025908,3.2280223,-3.4595683,-6.8374147,2017-02-14 12:03:55,58.236406625621825
2.417186,-6.843586,-7.816821,915.0,8.948568,1.3211737,-3.759216,-6.2244987,-8.730643,-3.2552629,2017-02-14 12:03:56,62.533150377173484
3.2790987,-6.2785544,-6.5625176,1529.0,3.6366327,-5.4208984,-7.300506,-0.58567494,-1.2122109,1.0760074,2017-02-14 12:03:57,63.57457114580978
3.461058,-6.948931,-5.3082137,1780.0,3.1463003,-6.687591,-6.428804,0.51757324,-0.23154591,1.1985906,2017-02-14 12:03:58,48.60804397984044
3.413174,-7.1691976,-5.338317,2044.0,3.5549107,-7.096201,-5.7477865,-0.14982383,0.027240695,0.32688835,2017-02-14 12:03:59,61.42839259723337
3.317406,-7.044699,-5.428627,1843.0,3.5004294,-7.2868857,-5.529861,-0.040861044,0.027240695,-0.040861044,2017-02-14 12:04:00,65.59089709408275
5.2519207,-4.8420334,-6.2313814,1972.0,3.3914666,-7.2051635,-5.7069254,1.3620348,1.9477097,-0.32688835,2017-02-14 12:04:01,51.58285107647138
5.7116075,-4.4302306,-6.963895,1501.0,4.767122,-5.9112306,-6.1836376,0.62653595,1.4573771,-0.6401563,2017-02-14 12:04:02,64.26390327012338
5.539225,-4.0663123,-6.422035,1409.0,5.50262,-4.4947147,-6.742072,-0.095342435,0.3405087,-0.16344418,2017-02-14 12:04:03,65.72065227986167
5.491341,-3.7885847,-7.475651,1393.0,5.638824,-4.004382,-6.932757,-0.42223078,-0.10896278,-0.16344418,2017-02-14 12:04:04,55.59267795622446
6.6118274,2.714067,-6.6528273,1394.0,5.7069254,-3.568531,-7.1098213,1.4165161,6.26536,-1.0215261,2017-02-14 12:04:06,67.87285521734856
4.543237,6.0563726,-5.9102798,1317.0,6.769313,1.7978858,-6.851035,-1.8932283,4.0452433,0.8580819,2017-02-14 12:04:07,73.26478080253649
5.4817643,6.046796,-4.595769,1353.0,5.3527966,5.815888,-5.7886477,0.27240694,0.21792556,1.1577295,2017-02-14 12:04:08,53.239584499649524
5.4147267,5.903144,-5.338317,1494.0,5.2438335,6.2244987,-5.4617596,0.12258312,-0.3405087,0.05448139,2017-02-14 12:04:09,70.90759711731073
1.9287689,5.6637235,-6.943826,1356.0,5.652444,6.033814,-5.2846947,-2.8330321,0.3405087,-1.6344416,2017-02-14 12:04:10,71.06727101586876
5.290228,4.8018107,-6.6126895,471.0,4.440233,5.5434813,-6.7556925,0.38136974,-0.53119355,0.08172209,2017-02-14 12:04:11,68.33107122275774
5.6733003,5.2710743,-5.709591,503.0,4.8897047,4.8488436,-6.973618,0.83084124,0.27240694,1.7842655,2017-02-14 12:04:12,71.96272332630112
5.2614975,5.443457,-6.2715187,1344.0,5.5843425,5.1484914,-6.197258,-0.31326798,0.3949901,0.55843425,2017-02-14 12:04:13,77.21155313000278
5.0603848,5.85526,-5.6794877,1282.0,5.2846947,5.7069254,-5.9657125,-0.10896278,-0.040861044,-0.31326798,2017-02-14 12:04:14,73.39584721122083
4.993347,5.9606047,-5.6594186,1302.0,5.08039,5.938472,-5.9112306,-0.095342435,0.0,-0.27240694,2017-02-14 12:04:15,74.89218018918879
4.9741936,2.963064,2.398229,1673.0,5.1076303,6.033814,-5.802268,0.23154591,2.1520147,4.630918,2017-02-14 12:04:16,71.44920950146616
1.4020445,4.8401184,7.014067,2750.0,5.0122876,8.403754,0.62653595,-4.3993726,-3.609392,6.7148314,2017-02-14 12:04:17,72.41963053101361
1.1913548,0.48267108,9.201572,2982.0,2.1247742,5.1212506,8.090487,-0.7899802,-5.3527966,1.4709975,2017-02-14 12:04:18,72.92389406885715
1.9000385,3.1833305,9.221642,2046.0,2.1520147,1.293933,9.479762,-0.74911916,2.192876,-1.3484143,2017-02-14 12:04:19,65.66252905256631
1.277546,1.9670762,9.462467,3003.0,1.7025435,2.192876,9.41166,-0.8172208,-0.095342435,0.43585113,2017-02-14 12:04:20,54.670215624117176
3.4323275,3.7387855,7.816821,3203.0,1.2394516,2.3426998,9.452521,1.0487667,1.6753027,0.19068487,2017-02-14 12:04:21,60.09066855354517
2.5799918,0.85616654,9.141366,3035.0,2.969236,3.214402,8.785125,1.1713499,-2.9147542,1.1577295,2017-02-14 12:04:22,60.291460480202275
1.3924677,2.3884556,9.2918825,2077.0,3.963521,3.3097444,8.349273,-2.669588,0.068101734,0.5448139,2017-02-14 12:04:23,62.116678386650094
1.32543,2.7811048,8.308508,2027.0,2.1520147,3.3642259,8.962189,-1.1032481,-0.17706451,0.28602728,2017-02-14 12:04:24,52.339799594752385
1.0093955,2.5608382,8.469059,1931.0,1.2122109,2.4516625,9.425281,-0.24516624,0.70825803,-0.38136974,2017-02-14 12:04:25,61.52433215345896
1.133894,2.2543805,8.639644,2065.0,1.2122109,2.4108014,9.438901,-0.12258312,0.42223078,0.58567494,2017-02-14 12:04:26,64.70575206835422
1.6127343,2.46507,9.924052,2223.0,1.1304889,2.2882183,9.479762,0.027240695,0.24516624,0.27240694,2017-02-14 12:04:27,68.25860576455788
2.9917943,7.5407777,3.8532212,2541.0,1.6344416,3.759216,8.921328,0.013620348,4.0452433,-4.903325,2017-02-14 12:04:28,65.45836633759892
0.9615114,8.843224,2.6189864,2804.0,2.1247742,7.681876,5.734166,-0.46309182,0.91256326,-1.7842655,2017-02-14 12:04:30,68.77712540667584
-3.2139764,3.212061,6.6528273,2956.0,1.3211737,8.894087,3.9226599,-3.2688832,-4.971427,3.1190596,2017-02-14 12:04:31,71.86218170689462
