ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-1.0214264,3.533252,9.047781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-29 20:42:46,12.142641813826874
2.3671844,3.377292,9.849103,0.0,0.9642203,3.6689394,9.043204,0.94734675,-0.07490134,0.80736923,0.02617289,-0.19555017,-0.9067121,2017-05-29 20:42:47,38.431817595193586
4.641385,0.7382385,9.251869,0.0,3.6169856,1.6988711,8.955537,0.52156854,-0.70574653,0.28814507,-0.1817987,-0.101705156,-0.9756012,2017-05-29 20:42:48,43.58218748014856
4.8096285,1.8432038,8.290657,0.0,4.622782,1.3563236,8.541701,-0.59955215,0.80915236,-0.14239216,-0.18376672,-0.17625554,-0.8739913,2017-05-29 20:42:49,51.12463559478854
4.997739,2.1777985,8.459004,0.0,4.35848,2.3544276,8.463492,0.030400753,0.29206014,-0.308465,0.048781853,-0.25507575,-0.29182807,2017-05-29 20:42:50,51.196740284333295
5.241605,1.7968781,8.183435,0.0,4.5711985,2.217283,8.387979,0.026734352,-0.06639719,-0.0846529,0.047829404,-0.26229388,-0.27021953,2017-05-29 20:42:51,37.691077702847416
5.120618,1.8507569,8.412925,0.0,4.65143,2.0790315,8.379272,-0.08832741,0.028419971,0.18630314,0.039696526,-0.26728305,-0.25791064,2017-05-29 20:42:52,46.5715505844356
5.105481,1.6702302,8.488171,0.0,4.575451,1.977258,8.4454775,-0.004052162,-0.038998365,0.022658348,0.03574878,-0.2613107,-0.2622454,2017-05-29 20:42:53,62.31610835025079
5.071454,1.6380799,8.397878,0.0,4.604046,1.917459,8.443726,-0.026564598,-0.029620767,-0.02443695,0.031835694,-0.26167977,-0.26060668,2017-05-29 20:42:54,50.95882538967645
5.0771303,1.4518769,8.426088,0.0,4.5582023,1.8802419,8.476902,-0.045505524,-0.055615902,0.062298775,0.030061573,-0.25848937,-0.25547057,2017-05-29 20:42:55,55.26205260386524
5.119672,1.5369446,8.36777,0.0,4.5753236,1.7380471,8.497999,0.043884754,-0.024055004,-0.047880173,0.024735272,-0.2583913,-0.25675526,2017-05-29 20:42:56,48.623344040427476
5.006238,1.4348633,8.615145,0.0,4.5318036,1.6931682,8.530318,-0.032629967,-0.005580783,0.07542896,0.022397567,-0.25411254,-0.25757703,2017-05-29 20:42:57,37.0118305810224
5.0119143,1.4811738,8.527677,0.0,4.5639024,1.7220157,8.5074,-0.02175045,0.015740156,0.041968346,0.024294272,-0.25622872,-0.25426432,2017-05-29 20:42:58,53.52510347001278
4.9674807,1.5293915,8.539899,0.0,4.5135036,1.7101269,8.536635,6.260872E-4,0.05965376,-0.032544136,0.021805614,-0.25382596,-0.25947842,2017-05-29 20:42:59,42.089474388107675
5.0241976,1.3932679,8.634898,0.0,4.478183,1.6483715,8.567329,0.036188602,-0.0017623901,0.0456028,0.018731534,-0.25067288,-0.26572528,2017-05-29 20:43:00,47.32451033657584
4.9221163,1.2344849,8.617028,0.0,4.442094,1.5578886,8.602975,-0.024881363,-0.07076001,0.008919716,0.015644269,-0.24723598,-0.2622574,2017-05-29 20:43:01,56.19527277739269
4.9041567,1.4915802,8.91235,0.0,4.4902277,1.562245,8.577158,0.044188023,-0.083721995,-0.2974224,0.019851152,-0.247499,-0.2533618,2017-05-29 20:43:02,47.09316213631848
5.4561586,0.54446715,8.376243,0.0,4.5384893,1.3562528,8.586797,0.42470074,-0.5382098,-0.18360043,0.008363189,-0.24924941,-0.24600412,2017-05-29 20:43:03,48.9955479867326
4.7737093,1.2722809,9.443735,0.0,4.6077995,1.2563803,8.56505,-0.25279856,0.21031702,0.7192793,0.0040772157,-0.2515698,-0.23943324,2017-05-29 20:43:04,58.07404232759993
5.470334,0.58700866,9.230234,0.0,4.4267015,1.2123008,8.666316,-0.21852398,-0.1250639,-0.23956013,0.009324508,-0.23939055,-0.24984822,2017-05-29 20:43:05,7.139103541289553
5.0572786,0.9906036,8.4514885,0.0,4.4249415,1.3198509,8.65149,-0.16587734,0.010780692,0.056767464,0.008686457,-0.23997131,-0.25004166,2017-05-29 20:43:06,59.15830490193896
4.8086824,1.208957,8.571874,0.0,4.3980093,1.4389112,8.646238,0.175004,-0.06058824,-0.06638527,0.015062205,-0.24244992,-0.24621862,2017-05-29 20:43:07,59.06685945729904
4.699033,1.4452546,8.555886,0.0,4.475123,1.4262154,8.608691,0.1986494,-0.15531158,0.020292282,0.012141497,-0.246843,-0.24851996,2017-05-29 20:43:08,47.87140292380439
4.9533052,1.2259705,8.507924,0.0,4.4595733,1.4362749,8.615086,0.04243183,0.020200133,-0.05673504,0.011132401,-0.24684231,-0.2571278,2017-05-29 20:43:09,52.77247680579147
5.004346,1.08797,8.581272,0.0,4.500144,1.2927732,8.616718,-0.010170937,0.05160868,-0.054656982,0.003019024,-0.2462936,-0.2561623,2017-05-29 20:43:10,60.48030629774627
4.9684267,1.120105,8.475933,0.0,4.523564,1.348279,8.595923,-0.044647217,0.016563177,-0.10249138,0.004621587,-0.24841201,-0.25936708,2017-05-29 20:43:11,55.64466457041319
4.9334536,0.8223602,8.652753,0.0,4.466431,1.203961,8.647072,0.072517395,-0.15819061,0.02535057,-0.002813953,-0.2424407,-0.25835967,2017-05-29 20:43:12,63.460712332689354
