ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.406,0.054,10.118,-0.013447433,-0.0061124694,-0.009779952,30.0,0.476,0.1694,9.7936,0.093079,0.016481,0.398621,-0.02386,-0.009746,-0.998619,2017-06-08 06:37:37,53.59893789704959
0.412,0.059,10.118,-0.004889976,-0.0073349634,-0.004889976,30.0,0.4842,0.1765,9.793,0.092235,0.023533,0.379098,-0.024341,-0.009925,-0.998948,2017-06-08 06:37:38,78.19080790427556
0.422,0.058,10.12,-0.002444988,-0.014669927,-0.009779952,30.0,0.4858,0.1763,9.793,0.10281,0.033323,0.370022,-0.024484,-0.009763,-0.999164,2017-06-08 06:37:39,80.56810758113882
0.423,0.059,10.119,-0.012224939,-0.012224939,-0.0061124694,30.0,0.4761,0.1784,9.7934,0.093182,0.044442,0.398457,-0.024041,-0.00973,-0.999324,2017-06-08 06:37:40,76.10398808650524
0.422,0.06,10.118,-0.009779952,-0.028117359,-0.0061124694,31.0,0.4826,0.1714,9.7932,0.099638,0.009483,0.360265,-0.024414,-0.009293,-0.99941,2017-06-08 06:37:41,56.71657969823018
0.424,0.058,10.118,-0.0036674817,-0.001222494,-0.0036674817,31.0,0.485,0.1715,9.7931,0.112099,0.037595,0.379141,-0.024569,-0.009225,-0.999471,2017-06-08 06:37:42,67.17677348760773
0.44,0.075,10.115,-0.011002445,-0.014669927,-0.0036674817,31.0,0.4799,0.1712,9.7934,0.096912,0.028296,0.379403,-0.024317,-0.009169,-0.999504,2017-06-08 06:37:44,77.19127080972729
0.431,0.076,10.164,-0.011002445,-0.018337408,-0.0073349634,31.0,0.4779,0.1776,9.7933,0.094928,0.024639,0.360386,-0.024225,-0.009454,-0.99953,2017-06-08 06:37:45,55.62009827811531
0.431,0.068,10.149,-0.012224939,-0.012224939,0.0,31.0,0.4788,0.1678,9.7935,0.086885,0.014862,0.379513,-0.024283,-0.008952,-0.999535,2017-06-08 06:37:46,76.34207444547397
0.426,0.068,10.134,-0.013447433,-0.014669927,-0.0085574575,31.0,0.4858,0.1725,9.793,0.102881,0.038572,0.379087,-0.024639,-0.009192,-0.999529,2017-06-08 06:37:47,74.47166380797549
0.424,0.067,10.122,0.0,-0.004889976,-0.011002445,31.0,0.4827,0.1701,9.7932,0.109726,0.027127,0.379285,-0.02448,-0.009065,-0.999534,2017-06-08 06:37:48,50.225648521630966
0.608,0.196,10.101,-0.011002445,-0.019559903,-0.09535452,33.0,0.3503,0.3417,9.7944,-0.242637,0.198724,0.40943,0.018172,0.017112,0.999534,2017-06-08 06:37:49,79.66755802238895
0.617,0.075,10.132,-0.009779952,-0.009779952,-0.0036674817,30.0,0.6694,0.2046,9.7816,0.10449,0.06161,0.233629,0.034372,0.009702,0.999131,2017-06-08 06:37:50,63.49184718948473
0.627,0.098,10.228,-0.013447433,-0.0073349634,0.0,30.0,0.6719,0.1994,9.7815,0.126923,0.056401,0.377571,0.034558,0.009185,0.998949,2017-06-08 06:37:51,81.11909368646886
0.598,0.088,10.199,-0.0061124694,-0.002444988,-0.0036674817,31.0,0.6756,0.2074,9.7811,0.130671,0.045478,0.415145,0.034804,0.009436,0.9988,2017-06-08 06:37:52,74.25738337971038
0.59,0.078,10.033,-0.0085574575,-0.011002445,-0.0036674817,31.0,0.6721,0.2116,9.7813,0.098125,0.058644,0.4053,0.034652,0.009573,0.998723,2017-06-08 06:37:53,78.80403409260391
0.597,0.077,10.076,-0.001222494,-0.019559903,-0.001222494,31.0,0.6777,0.2042,9.781,0.122753,0.05122,0.37707,0.034941,0.009128,0.998658,2017-06-08 06:37:54,52.924487091517314
0.853,-0.019,10.032,-0.0085574575,-0.020782396,0.0085574575,31.0,0.653,0.204,9.7827,-0.102977,0.185033,0.406757,0.033674,0.009178,0.998716,2017-06-08 06:37:55,79.2800282198105
0.563,0.058,10.129,-0.012224939,-0.020782396,-0.0085574575,33.0,0.6713,0.1899,9.7817,0.097373,0.036925,0.386798,0.034575,0.008464,0.998732,2017-06-08 06:37:56,81.58715177417919
0.606,0.068,10.148,-0.002444988,-0.013447433,-0.0085574575,31.0,0.666,0.1986,9.7819,0.111025,0.055649,0.31999,0.03433,0.008873,0.998689,2017-06-08 06:37:57,86.91375982237851
0.598,0.07,10.129,-0.004889976,-0.013447433,-0.0073349634,31.0,0.6641,0.2031,9.782,0.109146,0.041142,0.406025,0.034249,0.00908,0.998662,2017-06-08 06:37:58,86.5734777716014
0.598,0.069,10.118,-0.0073349634,-0.012224939,-0.001222494,31.0,0.6696,0.201,9.7816,0.104655,0.039022,0.396693,0.034533,0.008937,0.998627,2017-06-08 06:37:59,84.1752698865547
0.597,0.068,10.115,-0.0036674817,-0.017114915,-0.004889976,31.0,0.67,0.2004,9.7816,0.115005,0.038496,0.37768,0.034556,0.008883,0.998597,2017-06-08 06:38:00,63.324542454125236
0.596,0.069,10.113,-0.011002445,-0.004889976,-0.0073349634,31.0,0.6684,0.1949,9.7819,0.09442,0.041935,0.377902,0.034459,0.008624,0.998627,2017-06-08 06:38:01,79.95954668763272
0.598,0.068,10.111,-0.0073349634,-0.009779952,-0.0073349634,31.0,0.6713,0.1989,9.7816,0.116328,0.036979,0.367621,0.034617,0.008819,0.998614,2017-06-08 06:38:02,47.65434442362974
0.597,0.069,10.11,-0.0061124694,-0.009779952,-0.0061124694,31.0,0.6722,0.1933,9.7816,0.107226,0.040301,0.377673,0.034658,0.008498,0.998582,2017-06-08 06:38:03,79.52466468004202
0.598,0.068,10.112,-0.0036674817,-0.019559903,-0.002444988,31.0,0.6717,0.2012,9.7815,0.106793,0.039206,0.386543,0.034659,0.008875,0.998548,2017-06-08 06:38:04,51.941855996357404
