ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.7641418,3.1589386,8.198482,457.0,0.07991385,2.625586,9.448297,1.0457854,1.3432605,-1.0094738,0.09745228,-0.070561096,-0.666917,2017-06-25 10:47:44,8.827734886535307
2.841687,-1.6871917,6.723753,433.0,1.8221543,-0.658855,9.613327,0.4557433,-1.9864336,0.3250723,-0.11102051,-0.028271366,-0.79223955,2017-06-25 10:47:45,16.33421109850459
3.149823,-2.4093444,9.298891,449.0,2.616662,-2.100736,9.214683,0.006733179,-0.010422707,-0.0028982162,-0.17301412,-0.015749857,-0.70887876,2017-06-25 10:47:46,3.9467052410719035
3.1224182,-2.4499938,9.317702,436.0,2.6274922,-2.1125023,9.208909,-0.019888878,-0.031807423,0.008576393,-0.08072791,-0.15478797,0.19218689,2017-06-25 10:47:47,5.19335689379261
3.151715,-2.3809936,9.296067,426.0,2.628812,-2.1174817,9.207389,8.735657E-4,-0.025385618,-0.005927086,-0.07950316,-0.15547167,0.19917764,2017-06-25 10:47:48,17.431176252147417
3.143216,-2.3753173,9.307363,450.0,2.6252725,-2.0933986,9.213903,0.001761198,0.007909775,0.0044851303,-0.07666956,-0.1560239,0.21145909,2017-06-25 10:47:49,13.138672203691534
3.1384857,-2.4291961,9.2970085,438.0,2.6263015,-2.1227157,9.2069,1.2397766E-5,0.0062770844,0.0039167404,-0.077972755,-0.15655904,0.21356459,2017-06-25 10:47:50,6.8741747501663975
3.1545532,-2.4471557,9.310172,437.0,2.6270857,-2.1423666,9.202124,0.0078001022,0.007780075,-0.019321442,-0.07825786,-0.15703458,0.2164755,2017-06-25 10:47:51,-3.7321068310948142
3.151715,-2.4376953,9.312996,431.0,2.6287625,-2.1452932,9.200962,0.0041685104,0.022181034,-0.012647629,-0.07837822,-0.15722407,0.21657759,2017-06-25 10:47:52,7.035600415864951
3.1347015,-2.4093444,9.2970085,434.0,2.6176257,-2.149367,9.203186,1.06573105E-4,0.004956007,0.012147903,-0.07847891,-0.15658869,0.21636087,2017-06-25 10:47:53,3.891660843645325
3.116742,-2.4301422,9.270681,440.0,2.6204114,-2.1395755,9.204676,-0.015342712,0.008024216,-0.0061130524,-0.07853439,-0.15685514,0.21647613,2017-06-25 10:47:54,-1.568451152717453
3.1554992,-2.4225738,9.29136,432.0,2.6182659,-2.1416116,9.204812,-0.017026663,0.004980564,0.02037239,-0.07821654,-0.15681861,0.21638307,2017-06-25 10:47:55,-2.379782499168922
3.126187,-2.4339263,9.292301,427.0,2.612675,-2.149044,9.204669,-0.007829905,-0.0044744015,-0.0053081512,-0.07893586,-0.15652026,0.21644852,2017-06-25 10:47:56,1.6925183452537578
3.2925537,-2.7259948,9.265033,437.0,2.6058457,-2.2602935,9.179925,0.12901926,-0.12953472,-7.7056885E-4,-0.08692576,-0.15619855,0.20190589,2017-06-25 10:47:57,-0.30933714243650734
4.063855,1.1323884,7.991569,503.0,3.5255766,1.065367,9.088767,0.76894236,0.63346404,0.09144211,0.09419314,-0.157275,0.26261505,2017-06-25 10:47:58,0.5535443687515068
3.854016,0.3988983,8.836163,500.0,3.4216275,0.35881406,9.18336,-0.051074505,0.23287725,-0.30751896,0.07330846,-0.16249557,0.30889085,2017-06-25 10:47:59,8.17172707554105
4.0487337,0.25900573,9.249987,489.0,3.60997,0.6256383,9.096542,-0.044454813,-0.07211459,-0.043283463,0.090793826,-0.16721815,0.3142408,2017-06-25 10:48:00,12.782533028026574
4.1971254,0.6257507,9.172858,483.0,3.5850344,0.76263696,9.09595,0.0045187473,0.18424666,0.004488945,0.09952845,-0.16354917,0.31971034,2017-06-25 10:48:01,17.49107988903929
4.1687746,0.56431884,9.119247,479.0,3.665702,0.855694,9.055429,0.04795122,0.05729121,-0.05481243,0.10333163,-0.16683675,0.31112802,2017-06-25 10:48:02,2.199445427615631
4.645154,1.0889161,8.739281,452.0,4.022086,1.2616904,8.854454,0.08003664,0.054469943,-0.13493252,0.1242902,-0.18193533,0.2839328,2017-06-25 10:48:03,-2.0958287835742695
4.7113314,1.331836,8.863431,444.0,4.1237736,1.401705,8.786359,0.019976139,0.047930956,0.1795578,0.13574246,-0.18462127,0.2868311,2017-06-25 10:48:04,6.052713681540503
4.642316,1.3072541,8.634898,438.0,4.100402,1.6302224,8.757823,-0.05070162,0.015764475,-0.08336353,0.1440098,-0.17964791,0.28003848,2017-06-25 10:48:05,7.514475144429395
4.757642,1.4414856,8.61138,433.0,4.186116,1.7600818,8.691889,0.035474777,0.058457494,0.03616333,0.15105599,-0.18444824,0.27880064,2017-06-25 10:48:06,-3.637002049194386
4.6886415,1.4159577,8.724234,435.0,4.200679,1.7409112,8.688724,-0.022197723,-0.15938842,0.010167122,0.15179935,-0.1851,0.27803218,2017-06-25 10:48:07,11.179958963180336
4.7557497,1.5378907,8.680978,435.0,4.227264,1.7935178,8.665098,0.010342121,0.029967904,0.060954094,0.1541567,-0.18547325,0.27873385,2017-06-25 10:48:08,12.702055699706458
4.7406282,1.3932679,8.701657,437.0,4.2270174,1.7383955,8.676445,-0.0027866364,-0.051579714,0.012104034,0.1508803,-0.18622558,0.28247344,2017-06-25 10:48:09,3.2639987367584986
4.8086824,1.4896882,8.645238,448.0,4.2273636,1.8401122,8.655274,0.13576984,0.3185941,-0.07578945,0.15796685,-0.18395597,0.29191306,2017-06-25 10:48:10,-2.0848478805837485
4.882413,1.3375123,8.7091875,442.0,4.297861,1.5551704,8.676417,0.05309105,0.030084252,-0.001994133,0.15093948,-0.18666306,0.31712413,2017-06-25 10:48:11,-1.9551981089400725
4.85217,1.3715394,8.715777,419.0,4.2830873,1.5602492,8.682809,-0.10179567,-0.09351742,0.26360798,0.15199527,-0.18371807,0.3275593,2017-06-25 10:48:12,1.480625354554377
4.9863863,1.3743622,8.394113,458.0,4.4098263,1.557366,8.619654,0.12966013,0.014252663,-0.12635231,0.1531721,-0.18914656,0.32677498,2017-06-25 10:48:14,-3.3635795800572414
4.8039675,1.577594,8.650886,446.0,4.222818,1.6375285,8.698086,0.04840231,0.14215946,-0.062191963,0.15175031,-0.18301062,0.3077213,2017-06-25 10:48:15,-2.942966130050128
4.803006,1.1673615,8.538958,444.0,4.243909,1.7023236,8.675351,0.0011935234,-0.07711804,-0.05411148,0.153317,-0.18504395,0.3090953,2017-06-25 10:48:16,-3.393123536297777
4.614911,1.2155793,8.707305,456.0,4.0855546,1.5092845,8.786392,-0.1014905,-0.098792076,0.13728142,0.14256066,-0.17865439,0.30812556,2017-06-25 10:48:17,1.9555373882511338
