ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-23 10:59:03,34.95304164749597
2.519,4.082,9.014,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-23 10:59:03,66.01476469236144
6.011,2.939,7.554,-0.0053304904,0.051172707,0.23027718,120.0,3.0416641,0.8660666,-1.9425998,-0.1339465,-0.1216528,-0.9752272,2017-08-23 10:59:04,71.1072193253675
3.587,1.508,8.521,0.63432837,0.31982943,0.40724948,225.0,1.2225368,-0.74768245,-0.15476418,-0.08731581,-0.15556258,-0.9361541,2017-08-23 10:59:05,48.97161200022148
8.399,4.793,10.817,-0.52878463,0.9040512,2.2153518,80.0,6.434672,6.1407037,1.7915535,0.07604273,-0.10404339,0.99060285,2017-08-23 10:59:06,39.4767835720404
-4.702,-2.983,8.084,-2.1289978,-2.9829423,2.0607677,10.0,-2.9641728,-2.1983938,-3.4368248,0.21853006,0.09104266,-0.9672523,2017-08-23 10:59:07,48.40154166414473
-0.008,0.293,10.052,0.0053304904,0.0053304904,0.0010660981,10.0,-0.024606273,0.014558848,-0.0181427,-0.007104415,-0.003553178,-0.9535274,2017-08-23 10:59:08,29.227376188467964
-0.099,0.282,10.026,-0.0042643924,0.0,-0.0010660981,0.0,-0.23175023,0.0044677965,-0.021637917,-0.013370623,-0.0052742097,-0.9503111,2017-08-23 10:59:09,33.09251416681881
-0.082,0.3,10.045,-0.0031982942,0.0031982942,0.0010660981,0.0,-0.14636287,0.01227973,-0.042387962,-0.009464802,-0.004333383,-0.95036024,2017-08-23 10:59:10,41.69637731290992
-0.083,0.289,10.024,0.0,-0.0031982942,0.0,0.0,-0.13002285,0.007688105,-0.045143127,-0.008493545,-0.004229771,-0.95036924,2017-08-23 10:59:11,49.5740542280113
-0.08,0.276,10.032,-0.0010660981,0.0021321962,0.0,0.0,-0.12822713,0.005892448,-0.0331707,-0.008973246,-0.0030841655,-0.98284584,2017-08-23 10:59:12,29.28357340042947
-0.077,0.253,10.024,-0.0010660981,0.0031982942,0.0,0.0,-0.124635786,0.014870703,-0.035564423,-0.009327318,-0.0017413627,-0.9992038,2017-08-23 10:59:13,31.735382271849616
-0.083,0.299,10.028,-0.0010660981,-0.0042643924,0.0,0.0,-0.12343873,0.0017025955,-0.038558006,-0.009383077,-0.0014103511,-0.9999493,2017-08-23 10:59:14,27.549788246113913
-0.079,0.293,10.014,0.0042643924,0.0010660981,0.0,0.0,-0.13301553,-0.0102684125,-0.030776024,0.009395204,0.0013271605,0.99994,2017-08-23 10:59:15,29.030634789514128
-0.084,0.276,10.038,0.0053304904,0.0,0.0,0.0,-0.12164304,-0.016852468,-0.036162376,0.009473256,5.3722644E-4,0.99598324,2017-08-23 10:59:16,37.45103853214643
-0.087,0.283,10.025,-0.0021321962,0.0010660981,0.0,0.0,-0.124037236,5.0549395E-4,-0.03556347,0.009473256,5.3722644E-4,0.99598324,2017-08-23 10:59:17,30.097255296859707
