ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-2.451,6.617,6.656,50.0,2017-10-24 09:51:28,26.716364999360252
0.076,-0.296,6.598,20.0,2017-10-24 09:51:29,27.465049688345545
-0.545,0.038,9.845,0.0,2017-10-24 09:51:31,43.607495909550494
-0.555,0.067,9.826,0.0,2017-10-24 09:51:32,31.73886206592185
-0.545,0.057,9.797,0.0,2017-10-24 09:51:33,26.898298012404517
-0.603,0.067,9.797,0.0,2017-10-24 09:51:34,25.855411388082423
-0.584,0.076,9.797,0.0,2017-10-24 09:51:35,27.961886638761015
-0.565,0.067,9.768,0.0,2017-10-24 09:51:36,31.291093341833903
-0.574,0.057,9.845,0.0,2017-10-24 09:51:37,28.849684040680724
-0.593,0.057,9.768,0.0,2017-10-24 09:51:38,27.536922530885008
-0.622,0.095,9.807,0.0,2017-10-24 09:51:39,27.4218487233755
-0.555,0.067,9.826,0.0,2017-10-24 09:51:40,25.693418997029692
-0.526,0.028,9.749,0.0,2017-10-24 09:51:41,25.796027517475686
-0.526,0.057,9.816,0.0,2017-10-24 09:51:42,30.857830676645648
-0.469,0.057,9.787,0.0,2017-10-24 09:51:43,34.35041411171076
-0.603,0.086,9.854,0.0,2017-10-24 09:51:44,29.06884045516935
-0.536,0.067,9.816,0.0,2017-10-24 09:51:45,29.60571568803577
-0.612,0.086,9.787,0.0,2017-10-24 09:51:46,23.315123090635925
-0.603,0.076,9.807,0.0,2017-10-24 09:51:47,27.64012587111839
-0.565,0.095,9.797,0.0,2017-10-24 09:51:48,28.083666080298727
-0.517,0.047,9.759,0.0,2017-10-24 09:51:49,26.837688426326007
-0.565,0.067,9.807,0.0,2017-10-24 09:51:50,28.013400544963183
-0.565,0.067,9.835,0.0,2017-10-24 09:51:51,28.872666590566496
-0.507,0.038,9.797,0.0,2017-10-24 09:51:52,29.392705618769224
-0.545,0.067,9.807,0.0,2017-10-24 09:51:53,30.10446135984852
-0.612,0.076,9.874,0.0,2017-10-24 09:51:54,29.399051726392415
-0.565,0.057,9.816,0.0,2017-10-24 09:51:55,29.444845999445487
-0.593,0.086,9.874,0.0,2017-10-24 09:51:56,30.85181137711146
-0.574,0.067,9.807,0.0,2017-10-24 09:51:57,29.14065145804773
-0.565,0.057,9.835,0.0,2017-10-24 09:51:58,27.47548353193174
-0.545,0.057,9.787,0.0,2017-10-24 09:51:59,26.678148965086677
-0.545,0.057,9.787,0.0,2017-10-24 09:52:00,29.244150828344793
-0.565,0.067,9.807,0.0,2017-10-24 09:52:01,26.059969714137843
-0.545,0.047,9.72,0.0,2017-10-24 09:52:02,28.10695122258533
-0.565,0.076,9.807,0.0,2017-10-24 09:52:03,31.597460251518605
-0.565,0.067,9.807,0.0,2017-10-24 09:52:04,27.82509715210019
-0.603,0.086,9.787,0.0,2017-10-24 09:52:06,38.36188451683474
-0.593,0.076,9.787,0.0,2017-10-24 09:52:07,30.66475159323252
-0.584,0.057,9.816,0.0,2017-10-24 09:52:08,27.381834452504386
-0.584,0.086,9.816,0.0,2017-10-24 09:52:09,28.835100576799334
