ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TEMP_2,TIME,VOICE
4.453215,1.7717092,8.350976,-0.33529037,0.17090836,-0.026061961,1.98,24.7,4.1801267,1.8574516,8.674342,0.27308863,-0.08574235,-0.32336688,0.2204368,-0.09557943,0.65705043,0.0,2016-12-29 19:07:51,-Infinity
3.8786068,0.24420857,9.077616,0.37951243,3.536678E-4,0.32332453,1.98,24.8,3.9101803,0.13392566,8.992322,-0.031573534,0.11028291,0.085293435,0.15832663,-0.12825722,0.73918927,0.0,2016-12-29 19:07:52,62.3890233947855
4.143166,0.79248077,8.444349,-0.07961227,0.055700548,0.50334567,1.98,24.8,4.2293572,1.1150994,8.776994,-0.08619126,-0.3226187,-0.3326444,0.22774382,-0.024970677,0.908572,0.0,2016-12-29 19:07:53,67.14140128969521
5.1810527,-2.3068132,7.275979,0.18563963,0.20695744,0.0101264035,1.98,24.8,4.881478,-1.0627263,8.438514,0.2995745,-1.2440871,-1.1625346,0.23249818,-0.1252728,0.926971,0.0,2016-12-29 19:07:54,67.06221693349201
3.9600096,1.0594343,8.010999,-0.04871694,-0.0029164278,-0.22529997,16.41,24.8,4.2726026,0.72873515,8.796746,-0.31259295,0.33069912,-0.78574705,0.22650528,-0.013552837,0.9485567,0.0,2016-12-29 19:07:55,66.37012314751614
4.4783545,-1.1300632,8.391677,-0.23939794,0.080159284,-0.70360637,16.41,24.8,4.597466,-0.5705682,8.643368,-0.11911154,-0.55949503,-0.25169045,0.20312724,-0.1343459,0.86868924,0.0,2016-12-29 19:07:56,66.4525192432041
4.5082817,2.1332338,6.907272,-0.44925424,-0.04022412,-1.0551453,3.96,24.8,5.036652,1.3534721,8.304737,-0.5283704,0.77976155,-1.3974656,0.23264715,-0.14983219,0.64518243,0.0,2016-12-29 19:07:57,69.48791923345738
4.8841715,-1.0235212,8.599973,0.10894592,0.0034346788,-0.25620008,5.09,24.8,4.5733743,-0.05117606,8.674642,0.3107973,-0.9723452,-0.07466917,0.04776775,-0.23543756,0.20363784,0.0,2016-12-29 19:07:58,69.43918673667329
4.522647,-0.021547815,8.10557,-0.36616173,-0.12652971,-0.5470176,8.49,24.8,4.368969,0.035314474,8.779388,0.15367782,-0.05686229,-0.6738181,0.0033907173,-0.22881645,0.006539124,0.0,2016-12-29 19:07:59,68.75703485556434
4.0414124,0.7517793,7.9307933,0.27193245,-0.2607613,0.15925117,0.85,24.8,4.6900916,-0.058358666,8.612093,-0.648679,0.810138,-0.68130004,-0.0191322,-0.24604028,-0.0631252,0.0,2016-12-29 19:08:01,68.38679134730197
3.345897,-1.2689269,8.224083,0.23784426,0.23138875,0.26258156,24.62,24.8,3.6994905,-0.8722376,9.040056,-0.35359368,-0.3966893,-0.8159739,-0.06380818,-0.18711784,-0.0950419,0.0,2016-12-29 19:08:02,69.74602253720599
3.1196449,1.0079589,7.5561004,0.258084,-0.12440744,0.54913795,24.62,24.8,4.223671,0.28221652,8.845827,-1.1040263,0.7257424,-1.2897265,0.051725738,-0.21519355,0.1641741,0.0,2016-12-29 19:08:03,68.85565347426898
5.1762643,-1.1659763,8.293514,0.001355549,0.16534236,0.24553733,10.75,24.8,5.257817,-0.045190558,8.277802,-0.0815525,-1.1207857,0.015711948,0.055225503,-0.27367452,0.198021,0.0,2016-12-29 19:08:04,66.41184109120388
5.1223946,-0.2741361,7.7081323,0.004551342,0.044967476,-0.050606187,10.75,24.9,5.453692,-0.33279404,8.143428,-0.33129767,0.05865794,-0.4352958,0.06305295,-0.28428945,0.2636388,0.0,2016-12-29 19:08:05,65.26891694586512
5.0146556,-0.22266077,7.8865004,0.1696676,-0.10523694,0.030353645,10.75,24.9,5.4477067,-0.06778584,8.153903,-0.43305123,-0.15487492,-0.2674024,0.08217647,-0.27840534,0.28228372,0.0,2016-12-29 19:08:06,67.33366794726949
5.445612,0.15083471,7.6770077,-0.044450823,0.008748484,-0.03995354,5.38,24.9,5.6782985,0.12794015,7.9942393,-0.23268647,0.022894554,-0.3172317,0.09761869,-0.28787684,0.28552595,0.0,2016-12-29 19:08:07,66.26963515967768
5.555745,0.15562311,7.4615297,0.0045521413,-0.0072368737,0.0026559706,5.38,24.9,5.795165,0.185401,7.908946,-0.23942018,-0.029777884,-0.44741645,0.10276724,-0.2935881,0.28513116,0.0,2016-12-29 19:08:08,67.45208323408889
5.351041,0.027533319,7.633912,-0.060429256,0.14296754,-0.027171167,5.38,24.9,5.6091657,0.09636662,8.04347,-0.25812486,-0.0688333,-0.40955812,0.095635384,-0.28416237,0.2887162,0.0,2016-12-29 19:08:09,67.30052921952309
5.231331,0.1328782,7.890092,0.06527221,-0.09778435,0.0047864993,6.79,24.9,5.416133,0.11327567,8.174403,-0.18480244,0.019602526,-0.28431144,0.09325415,-0.27298504,0.29049784,0.0,2016-12-29 19:08:10,64.71507037093619
5.353435,0.16400282,7.6770077,-7.7338197E-4,-0.014702247,-0.009063536,6.79,24.9,5.4966383,0.13602059,8.120085,-0.14320318,0.027982233,-0.44307694,0.09637366,-0.27694324,0.29177555,0.0,2016-12-29 19:08:11,68.14240387396373
5.4551888,0.24420857,7.6829934,-0.019947875,0.024708277,-0.004803011,6.79,24.9,5.694309,0.25079262,7.980024,-0.2391209,-0.006584055,-0.29703066,0.108547956,-0.28521535,0.2992286,0.0,2016-12-29 19:08:12,66.21674075628928
5.4192758,0.1340753,7.7105265,0.012010324,0.00979271,0.009044894,6.79,24.9,5.650615,0.18929157,8.012645,-0.23133974,-0.055216275,-0.30211833,0.104462266,-0.28381482,0.29908597,0.0,2016-12-29 19:08:13,63.38237930314509
5.3594203,0.1316811,7.6494746,0.0034903388,-0.008340222,5.1851745E-4,2.83,25.0,5.609914,0.1587655,8.041824,-0.25049335,-0.027084406,-0.3923498,0.10153912,-0.28224778,0.29739404,0.0,2016-12-29 19:08:14,32.03078059897048
5.41329,0.17717093,7.6147585,-0.0060959756,-0.0040898165,-0.010135991,4.53,25.0,5.6281695,0.14634559,8.029405,-0.2148796,0.030825347,-0.41464582,0.10114761,-0.28351405,0.2969624,0.0,2016-12-29 19:08:15,42.20319072669465
5.3019595,0.061052144,7.704541,-0.09557632,0.124788,0.014361628,4.53,25.1,5.5222263,0.09920973,8.103325,-0.22026655,-0.03815759,-0.39878422,0.09931634,-0.27745506,0.30583027,0.0,2016-12-29 19:08:16,6.4464626994453225
4.63278,1.1073183,7.8410106,-0.33951735,0.077867635,0.24445023,4.53,25.2,4.8210244,1.0848726,8.470536,-0.1882441,0.022445641,-0.6295254,0.16129786,-0.20519052,0.41539925,0.0,2016-12-29 19:08:17,58.78148491827624
4.024653,-1.2725182,8.220491,0.6053762,-0.060661215,0.36162105,3.11,25.3,4.3495164,-0.947206,8.738088,-0.32486326,-0.32531217,-0.5175965,0.1003973,-0.21071686,0.595444,0.0,2016-12-29 19:08:19,64.33357169708913
4.203021,0.79248077,8.046912,-0.11154197,-0.015971243,0.22845395,0.85,25.4,4.521001,0.482282,8.688857,-0.3179799,0.31019875,-0.6419453,0.19773924,-0.13374709,0.74211746,0.0,2016-12-29 19:08:20,64.21090792774788
4.250905,-1.5263035,8.7951,0.516968,-0.28233182,0.14109427,1.42,25.4,4.6844053,-0.4487632,8.603713,-0.43350014,-1.0775404,0.19138649,0.18515715,-0.16446538,0.782395,0.0,2016-12-29 19:08:21,61.64296099003791
5.3821654,0.31603462,7.5441294,0.018428275,-0.029906766,-0.029355759,1.42,25.4,5.6518126,0.13093291,8.012944,-0.26964697,0.18510172,-0.4688146,0.25181225,-0.16744266,0.7812805,0.0,2016-12-29 19:08:22,64.08551013341798
5.5629277,0.415394,7.643489,0.0067116986,-0.0139424475,0.011121627,1.42,25.4,5.753566,0.37095162,7.9325886,-0.1906383,0.04444237,-0.28909984,0.26423287,-0.16039138,0.77953535,0.0,2016-12-29 19:08:23,67.00628998258675
5.499481,0.24540567,7.501034,-0.066788614,0.16499002,-0.027233485,1.42,25.4,5.693561,0.2570774,7.9803233,-0.19407998,-0.011671733,-0.47928926,0.25448865,-0.1683725,0.76970506,0.0,2016-12-29 19:08:24,67.54729816996657
4.0438066,-0.45968673,8.586804,-0.21059746,0.24806146,-0.031498004,1.42,25.5,4.3749547,-0.43724108,8.765621,-0.33114803,-0.022445641,-0.17881694,0.1663996,-0.15931912,0.7663136,0.0,2016-12-29 19:08:25,55.72071723196017
3.4799721,-0.48362875,8.439561,0.024827585,-0.025728267,0.048393898,1.42,25.5,3.869479,-0.57999533,8.992172,-0.3895067,0.09636662,-0.5526117,0.138145,-0.14979915,0.7630356,0.0,2016-12-29 19:08:26,70.68707218758925
3.728969,-0.32202014,8.508993,-0.013520069,0.013665212,-0.049614426,1.42,25.5,3.9555204,-0.3911527,8.964938,-0.22655134,0.069132574,-0.4559458,0.15039703,-0.14246309,0.77298385,0.0,2016-12-29 19:08:27,70.8899162239655
3.7612908,-0.29568392,8.499416,0.0056568203,0.0061870557,0.00897139,1.42,25.6,3.9419034,-0.3486556,8.97272,-0.1806126,0.052971713,-0.47330374,0.15055194,-0.14089999,0.770545,0.0,2016-12-29 19:08:28,68.96149578762927
3.7792473,-0.4261679,8.514978,-0.0060592243,-0.01726767,-0.03896897,1.42,25.5,3.9770682,-0.37349546,8.95611,-0.19782092,-0.05267244,-0.44113165,0.15095629,-0.14343823,0.7689138,0.0,2016-12-29 19:08:29,68.82001740657367
3.810372,-0.35194764,8.446744,0.0035286883,0.0146838715,0.0057710703,1.42,25.6,4.0644565,-0.35194764,8.917653,-0.25408465,0.0,-0.47090954,0.15282303,-0.14821672,0.757444,0.0,2016-12-29 19:08:30,70.45967667072672
