ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.8645172,2.2861633,9.471207,16.0,4.764761,2.7587135,8.115229,-2.6921315,0.646374,0.99630547,0.19376695,-0.17330801,0.25556538,2017-01-09 21:28:56,63.01782208610944
6.405121,-1.3631592,6.996933,15.0,5.1012797,-0.22844371,8.372285,1.823761,-0.32869977,-0.72679615,0.052431054,-0.23857178,0.18722498,2017-01-09 21:28:57,76.24670351148686
7.586075,-3.1267853,6.513199,18.0,8.49694,-2.774,4.0345173,-0.5311785,-0.33226252,2.0120358,0.14464739,-0.5228518,0.46420467,2017-01-09 21:28:58,45.500109793874685
6.693634,-1.8571472,6.945587,35.0,6.8633533,-1.884126,6.7464685,-0.19841576,0.014148235,0.24866724,0.082336575,-0.38991642,0.4196745,2017-01-09 21:28:59,36.66838435272403
6.3983154,-1.8342896,7.0985565,32.0,6.5026417,-1.8506488,7.1036,-0.025802612,-0.02112031,0.020344734,0.075871885,-0.36440325,0.43024662,2017-01-09 21:29:00,32.05114243231544
6.4272766,-1.8064117,7.2332764,31.0,6.376793,-1.8281807,7.2225103,0.049928665,0.021928072,0.010137558,0.06440107,-0.3572212,0.4116407,2017-01-09 21:29:01,36.92771208455055
6.2692413,-1.7722168,7.3213654,31.0,6.3639784,-1.7905746,7.2432046,-0.06410408,0.011582732,0.071695805,0.073002845,-0.35407618,0.4285592,2017-01-09 21:29:02,29.56883208791895
6.2851105,-1.8221436,7.3157654,31.0,6.282996,-1.7723974,7.3179884,-0.025884628,0.03967166,-0.007156849,0.074861705,-0.34807417,0.43543074,2017-01-09 21:29:03,47.50766999795739
6.162674,-1.7583771,7.361435,31.0,6.208075,-1.7631786,7.38386,0.015142918,0.023672104,0.027693272,0.06016687,-0.34654248,0.40572885,2017-01-09 21:29:04,45.80085586981156
4.857544,-2.329956,8.223648,30.0,5.1644907,-2.1833968,8.04557,-0.23388386,-0.1160419,0.1460638,0.01765533,-0.29912934,0.4226378,2017-01-09 21:29:05,39.79517360691509
