ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
7.805,4.654,-2.614,30.0,2017-02-20 15:30:39,41.79919931333466
7.862,4.75,-2.662,30.0,2017-02-20 15:30:40,26.320290109146946
7.709,4.759,-2.614,30.0,2017-02-20 15:30:41,23.13498536196279
7.738,4.989,-2.758,30.0,2017-02-20 15:30:42,26.981217933854232
7.881,4.558,-2.672,30.0,2017-02-20 15:30:43,25.43363441011538
8.226,2.806,-4.242,0.0,2017-02-20 15:30:44,28.22359017201835
8.006,2.528,-4.127,0.0,2017-02-20 15:30:45,20.98856576353316
8.073,2.681,-3.83,0.0,2017-02-20 15:30:46,21.636231126111866
8.13,2.844,-2.834,0.0,2017-02-20 15:30:47,22.59313377386836
8.332,3.284,-2.7,30.0,2017-02-20 15:30:48,25.882585727380253
8.447,3.476,-2.729,30.0,2017-02-20 15:30:49,24.958017116960356
8.351,3.543,-2.863,30.0,2017-02-20 15:30:50,21.088338113981607
8.274,3.371,-2.796,30.0,2017-02-20 15:30:51,24.818595454169028
8.293,3.476,-2.882,30.0,2017-02-20 15:30:52,24.250394555269867
8.389,3.524,-2.758,30.0,2017-02-20 15:30:53,22.435515308948602
8.284,3.457,-2.853,30.0,2017-02-20 15:30:54,22.183518709664988
8.236,3.476,-2.796,30.0,2017-02-20 15:30:55,30.65342247131795
8.198,3.572,-2.853,0.0,2017-02-20 15:30:56,21.776407550637103
8.265,3.639,-2.796,30.0,2017-02-20 15:30:58,27.184887138144106
8.14,3.438,-2.968,0.0,2017-02-20 15:30:59,24.378511625579225
8.255,3.61,-2.978,0.0,2017-02-20 15:31:00,22.194100358515627
8.284,3.553,-2.978,0.0,2017-02-20 15:31:01,21.75647124262827
8.274,3.61,-2.834,0.0,2017-02-20 15:31:02,22.217554341367773
8.226,3.581,-2.921,0.0,2017-02-20 15:31:03,21.351077940673267
8.14,3.495,-2.911,0.0,2017-02-20 15:31:04,22.125517228779735
8.226,3.533,-2.949,0.0,2017-02-20 15:31:05,21.521569083620534
8.102,3.313,-3.064,0.0,2017-02-20 15:31:06,20.674166978706232
8.159,3.591,-2.968,0.0,2017-02-20 15:31:07,20.71979039889549
8.217,3.543,-3.198,0.0,2017-02-20 15:31:08,19.967988813513745
