ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
3.89,7.228,5.669,-0.9402985,0.1705757,0.5597015,80.0,0.16982555,0.08373022,-0.065858364,0.10178299,-0.56642705,-0.5916535,2017-03-02 20:57:47,0.0631559091736546
6.082,5.958,3.399,-0.45095947,-0.1108742,0.09488273,80.0,-0.75329256,-0.12923098,1.0128651,0.007066997,-0.6091798,-0.49396813,2017-03-02 20:57:48,49.61935684086838
7.557,4.337,3.016,-0.118336886,0.06823028,0.010660981,80.0,-0.007757187,-0.08337116,0.2294271,-0.06292767,-0.59920686,-0.44645157,2017-03-02 20:57:49,32.2610553543271
7.213,4.395,3.172,0.0031982942,-0.03304904,-0.020255864,80.0,0.0611763,-0.070883274,0.20517993,-0.06661378,-0.5846473,-0.4636394,2017-03-02 20:57:50,8.975411859431327
6.85,4.586,3.368,0.01705757,0.118336886,0.03731343,80.0,0.30430603,-0.12548399,0.36010647,-0.056798182,-0.58828187,-0.45275185,2017-03-02 20:57:51,5.213066752929102
7.174,4.345,3.179,-0.12260128,-0.018123668,0.01705757,80.0,-0.1465187,-0.15330315,0.10511422,-0.06278976,-0.5872698,-0.459988,2017-03-02 20:57:52,26.94009314736059
7.903,3.174,3.993,-0.31663114,0.17910448,0.047974415,80.0,-0.17708874,-0.17334962,-0.07506776,-0.11905502,-0.55123526,-0.46495113,2017-03-02 20:57:53,18.597233352555833
8.174,0.632,3.551,-0.45735607,-0.6215352,-0.06716418,80.0,-0.3897829,-0.3699041,0.31790137,-0.27423316,-0.5209484,-0.4438583,2017-03-02 20:57:54,53.28307810446293
7.962,2.202,3.881,-0.0063965884,0.13219616,-0.0074626864,80.0,0.066057205,-0.185956,0.33834124,-0.17806825,-0.5329425,-0.46085495,2017-03-02 20:57:55,46.568102727568586
7.918,2.233,4.202,0.0063965884,0.03731343,-0.0010660981,80.0,-0.07807922,-0.068308115,0.13039947,-0.17130275,-0.52042806,-0.4583069,2017-03-02 20:57:56,48.67661323594784
7.789,2.255,4.085,-0.05970149,0.031982943,0.020255864,80.0,-0.18155956,-0.13737822,0.10086942,-0.16964617,-0.51870036,-0.4627959,2017-03-02 20:57:57,57.58869003611547
7.822,2.083,4.276,0.01705757,-0.0031982942,-0.0074626864,80.0,-0.051873207,-0.16436219,0.18053961,-0.173087,-0.5099024,-0.4609397,2017-03-02 20:57:58,39.77896386903034
7.865,2.327,4.239,-0.03411514,0.0042643924,0.0053304904,80.0,-0.19668388,-0.12540007,-5.373955E-4,-0.15710387,-0.5142057,-0.45879343,2017-03-02 20:57:59,26.43068875013487
7.785,2.348,4.152,0.03304904,-0.047974415,-0.061833687,80.0,-0.09921169,-0.0853169,3.9339066E-4,-0.1555129,-0.51271534,-0.45973137,2017-03-02 20:58:01,62.62936430223144
7.836,2.555,4.031,0.0042643924,0.0,0.04904051,80.0,-0.029091835,-0.06542611,-0.18646383,-0.14899607,-0.5173371,-0.46374458,2017-03-02 20:58:02,59.38421166703268
7.698,2.502,4.161,0.0074626864,-0.023454158,0.0031982942,80.0,-0.0071573257,-0.11995745,0.039875984,-0.14905798,-0.5160492,-0.45633295,2017-03-02 20:58:03,57.9561344227448
7.751,2.426,4.213,-0.0031982942,-0.010660981,0.009594883,80.0,-0.030960083,-0.11765194,-0.018135548,-0.14856845,-0.5132281,-0.4541954,2017-03-02 20:58:04,51.14053680148572
8.149,2.046,3.899,-0.042643923,0.020255864,-0.051172707,80.0,0.29044628,-0.38425243,-0.12176943,-0.15711805,-0.51926434,-0.44735506,2017-03-02 20:58:05,45.51753420603865
7.763,2.54,4.229,-0.014925373,-0.021321962,-0.0042643924,80.0,-0.09896469,-0.053768873,-0.044887066,-0.1474597,-0.5159488,-0.4551641,2017-03-02 20:58:06,30.177655447170814
7.835,2.279,4.082,-0.011727079,0.026652452,-0.0042643924,80.0,-0.04776764,-0.025816679,0.011733532,-0.16911052,-0.51406187,-0.4600796,2017-03-02 20:58:07,60.15861651032722
7.747,1.188,4.507,0.040511727,0.3880597,0.26972282,30.0,-0.21767044,-0.21036994,0.11186552,-0.21648286,-0.47182348,-0.46826017,2017-03-02 20:58:08,34.19149180137486
7.614,1.027,4.542,0.04477612,0.081023455,0.0565032,80.0,-0.49521637,0.16299218,0.44260406,-0.23009425,-0.4762929,-0.43803486,2017-03-02 20:58:09,61.41050829285854
8.135,0.639,4.325,-0.02771855,-0.01705757,-0.0063965884,80.0,-0.048797607,-0.11450052,0.07952452,-0.21637923,-0.48419964,-0.4119548,2017-03-02 20:58:10,45.14236636035439
7.853,0.715,4.623,0.02238806,-0.009594883,0.0021321962,80.0,-0.15888119,-0.054439247,0.17640448,-0.20961231,-0.47990477,-0.40665835,2017-03-02 20:58:11,64.9174173820025
7.889,0.808,4.631,-0.011727079,0.015991472,-0.0074626864,80.0,-0.15646362,0.018489003,0.1590209,-0.20336367,-0.47552556,-0.4086516,2017-03-02 20:58:12,29.290665172569934
7.843,0.801,4.668,0.0074626864,0.0021321962,-0.0021321962,80.0,-0.058401108,-0.007249534,0.07756853,-0.20235905,-0.4721147,-0.4102475,2017-03-02 20:58:13,19.410229882712436
7.859,0.775,4.655,0.0031982942,-0.0031982942,-0.010660981,80.0,-0.029334068,-0.04296863,-0.028431416,-0.20288035,-0.47069597,-0.41135487,2017-03-02 20:58:14,14.570269132646573
