ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-0.91,3.897,9.173,58.0,2017-03-06 08:39:05,57.049648659523086
4.903,0.675,8.451,57.0,2017-03-06 08:39:06,62.9665977525554
4.84,1.519,8.337,60.0,2017-03-06 08:39:07,63.533247676343166
4.959,1.033,8.225,58.0,2017-03-06 08:39:08,60.94351998572333
4.57,1.398,8.809,58.0,2017-03-06 08:39:09,62.48666904128429
4.876,1.692,8.339,58.0,2017-03-06 08:39:10,61.34561277522195
4.631,0.21,8.809,57.0,2017-03-06 08:39:11,61.96877730184241
4.614,0.562,8.741,58.0,2017-03-06 08:39:13,61.598764355708
4.673,0.152,8.821,61.0,2017-03-06 08:39:14,60.286106269533306
4.31,0.422,8.966,58.0,2017-03-06 08:39:15,63.19413500560763
4.779,1.016,8.673,60.0,2017-03-06 08:39:16,63.1320254587602
4.761,1.722,8.506,60.0,2017-03-06 08:39:17,64.6706269472981
5.132,1.951,8.288,62.0,2017-03-06 08:39:18,67.78348715002815
4.807,1.112,8.626,63.0,2017-03-06 08:39:19,66.70048091701672
5.056,1.465,8.502,63.0,2017-03-06 08:39:20,64.63979265589744
4.961,0.845,8.803,63.0,2017-03-06 08:39:21,60.63898779585151
4.733,1.118,8.633,62.0,2017-03-06 08:39:22,64.55561364064236
4.743,0.651,8.923,63.0,2017-03-06 08:39:23,66.12657986179934
4.947,1.164,8.329,66.0,2017-03-06 08:39:24,65.1943272070194
4.796,0.244,8.684,68.0,2017-03-06 08:39:25,66.05254182639085
4.466,0.199,8.959,65.0,2017-03-06 08:39:26,67.89885870607377
4.732,0.592,8.405,65.0,2017-03-06 08:39:27,69.53631243144895
4.923,0.193,8.726,69.0,2017-03-06 08:39:28,69.67149703321392
4.858,0.192,8.669,75.0,2017-03-06 08:39:29,68.44680675264182
4.837,0.607,8.541,76.0,2017-03-06 08:39:30,65.60312062091951
