ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-1.348,5.196,5.922,1764.0,2017-03-06 12:52:17,69.69773148694107
2.293,5.67,6.372,3011.0,2017-03-06 12:52:18,75.81608963172333
3.207,5.153,11.488,2124.0,2017-03-06 12:52:19,76.14903283923253
0.694,5.221,6.918,1672.0,2017-03-06 12:52:20,75.80979729412994
-2.692,0.939,10.156,3250.0,2017-03-06 12:52:21,75.75197102293504
0.128,3.918,9.395,2611.0,2017-03-06 12:52:22,75.51660319363266
-1.295,2.877,5.873,2067.0,2017-03-06 12:52:23,75.55441093998701
-0.441,4.52,8.693,1744.0,2017-03-06 12:52:24,74.4892991108466
-0.509,4.867,8.738,1825.0,2017-03-06 12:52:25,75.36026129674264
0.437,5.136,9.147,873.0,2017-03-06 12:52:26,75.8956320779697
0.501,3.831,9.146,1715.0,2017-03-06 12:52:27,75.15270064930957
0.323,4.677,9.574,1581.0,2017-03-06 12:52:28,76.04047926719954
1.182,2.466,8.819,1304.0,2017-03-06 12:52:29,74.90374829220526
2.311,2.421,10.706,1232.0,2017-03-06 12:52:31,74.47895108203186
2.121,3.484,10.316,1168.0,2017-03-06 12:52:32,74.1043416762991
1.851,2.948,8.893,1450.0,2017-03-06 12:52:33,74.84989215535444
4.072,-0.623,7.102,556.0,2017-03-06 12:52:34,74.92721175454938
0.172,-0.599,11.302,3963.0,2017-03-06 12:52:35,74.89337612836289
0.709,1.709,11.156,4405.0,2017-03-06 12:52:36,74.69773942792804
0.242,1.627,9.876,3735.0,2017-03-06 12:52:37,75.44563191637694
-0.09,0.167,8.354,4007.0,2017-03-06 12:52:38,75.83656612850925
-0.647,1.021,7.343,3421.0,2017-03-06 12:52:39,76.37563844326294
3.046,3.697,6.167,521.0,2017-03-06 12:52:40,76.14480162492076
0.628,1.969,8.541,3203.0,2017-03-06 12:52:41,75.17323643926038
-0.421,1.177,14.056,3679.0,2017-03-06 12:52:42,76.02058185492551
0.143,1.506,6.044,5658.0,2017-03-06 12:52:43,74.41919942833853
-1.891,2.28,9.104,5721.0,2017-03-06 12:52:44,75.79710100186882
-0.69,1.898,7.259,5520.0,2017-03-06 12:52:45,75.94264253606653
-1.241,1.555,10.659,5604.0,2017-03-06 12:52:46,75.541385224141
-1.069,1.55,8.481,4561.0,2017-03-06 12:52:47,76.06577466842757
-0.665,1.769,8.215,5163.0,2017-03-06 12:52:48,75.54382888841016
-1.574,1.519,12.455,5463.0,2017-03-06 12:52:49,75.97639736577717
-1.463,1.866,11.06,5361.0,2017-03-06 12:52:50,75.54542723590654
-2.645,0.845,15.571,3730.0,2017-03-06 12:52:51,75.15221156864173
-2.087,0.781,14.064,3347.0,2017-03-06 12:52:52,75.4871321165332
-1.72,2.302,10.188,4121.0,2017-03-06 12:52:53,74.92917463296526
-1.503,1.098,9.533,5575.0,2017-03-06 12:52:54,75.07921583880747
-1.225,1.517,7.791,5629.0,2017-03-06 12:52:55,74.91117483801028
-1.075,1.637,8.382,1938.0,2017-03-06 12:52:56,75.36616525124325
-1.743,1.718,9.137,3775.0,2017-03-06 12:52:58,76.26764489630656
-0.025,2.166,6.429,3857.0,2017-03-06 12:52:59,75.37384899606235
-1.662,1.61,8.344,2901.0,2017-03-06 12:53:00,75.16676746379285
-1.884,1.907,9.33,3940.0,2017-03-06 12:53:01,73.61238673929462
-1.622,1.576,9.561,3146.0,2017-03-06 12:53:02,75.51886305066182
-2.037,1.623,10.595,3498.0,2017-03-06 12:53:03,74.97139038119434
-1.825,2.341,11.284,3465.0,2017-03-06 12:53:04,75.31852684318405
-3.516,1.395,16.704,3448.0,2017-03-06 12:53:05,74.60730662812165
-2.381,1.475,9.961,3629.0,2017-03-06 12:53:06,73.95011433378457
-1.972,1.602,9.064,2981.0,2017-03-06 12:53:07,73.53093090390058
-1.533,1.452,7.909,2563.0,2017-03-06 12:53:08,75.84570804239017
-1.767,1.542,8.88,3780.0,2017-03-06 12:53:09,74.98254576704252
-1.671,1.436,7.981,5157.0,2017-03-06 12:53:10,74.46242296430113
-1.586,1.884,8.273,4878.0,2017-03-06 12:53:11,74.17905016591186
-2.602,1.374,8.708,5301.0,2017-03-06 12:53:12,74.30847410587222
-2.165,1.258,9.247,3991.0,2017-03-06 12:53:13,74.97722844307992
-2.833,1.166,12.358,5071.0,2017-03-06 12:53:14,74.98188473574777
-2.179,1.054,10.933,3939.0,2017-03-06 12:53:15,74.67323096992017
-2.177,1.508,8.979,5717.0,2017-03-06 12:53:16,74.21206417219133
-2.223,1.623,11.242,5067.0,2017-03-06 12:53:17,74.59169568645002
-2.407,1.931,12.26,5428.0,2017-03-06 12:53:18,73.4055261930522
-2.109,1.335,9.449,3880.0,2017-03-06 12:53:19,73.70368387339708
-2.393,2.121,9.484,5495.0,2017-03-06 12:53:20,73.35593361070677
-2.086,1.427,8.842,4366.0,2017-03-06 12:53:21,74.51014382727436
-2.092,1.96,9.504,5258.0,2017-03-06 12:53:22,74.26043853098189
-2.446,1.973,10.057,4693.0,2017-03-06 12:53:23,73.20177957835844
-1.997,1.506,7.205,3538.0,2017-03-06 12:53:24,74.93585276675186
-4.296,1.117,14.092,4444.0,2017-03-06 12:53:25,73.59157430696848
-0.27,1.905,8.871,4558.0,2017-03-06 12:53:26,74.80725220621552
-2.719,1.425,12.783,4388.0,2017-03-06 12:53:27,74.80342557744342
-1.046,1.615,8.709,4704.0,2017-03-06 12:53:28,74.08497192431741
-1.714,1.003,8.789,5087.0,2017-03-06 12:53:30,75.11907310889227
-1.469,1.342,10.908,5043.0,2017-03-06 12:53:31,75.47053332284678
-0.964,1.646,10.431,5006.0,2017-03-06 12:53:32,75.06741482649248
-2.757,1.32,14.183,2679.0,2017-03-06 12:53:33,74.82875365581643
-1.986,1.864,12.63,4909.0,2017-03-06 12:53:34,74.71968877983203
-2.109,1.26,12.535,4903.0,2017-03-06 12:53:35,74.90357301486819
-0.818,1.789,9.222,4875.0,2017-03-06 12:53:36,74.25174856961127
-0.887,3.04,10.949,4664.0,2017-03-06 12:53:37,74.33924155221021
-2.341,1.719,17.088,4630.0,2017-03-06 12:53:38,74.80787694135373
-1.169,2.231,8.582,4596.0,2017-03-06 12:53:39,73.56071162288642
-1.386,1.746,11.216,4683.0,2017-03-06 12:53:40,75.13880520136378
-1.174,2.478,12.977,4724.0,2017-03-06 12:53:41,74.93989827058331
-0.8,2.142,11.1,4670.0,2017-03-06 12:53:42,74.20953585083652
