ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.031,0.288,10.288,0.0042643924,-0.0042643924,0.0021321962,30.0,0.0021052286,-3.4926832E-4,-0.00970459,-0.0021457262,0.0025573322,-0.021263165,2017-03-07 20:42:48,-2.667901919113822
-0.027,0.284,10.306,0.01705757,0.0,-0.0010660981,30.0,-0.002592191,7.829778E-4,-0.0067043304,-0.00212129,0.002683583,-0.02126346,2017-03-07 20:42:49,30.542183054834258
-0.014,0.291,10.306,0.013859275,0.0,0.0,30.0,0.0032412745,-0.021523122,-0.024677277,-0.0016883322,0.0027276706,-0.021264723,2017-03-07 20:42:50,61.5072204706091
-0.026,0.275,10.313,-0.014925373,0.0074626864,-0.0042643924,30.0,0.0068325773,-0.027227499,0.0070228577,-0.0014856105,0.002723359,-0.02126528,2017-03-07 20:42:51,25.63027763528304
-0.022,0.287,10.309,0.0021321962,0.0042643924,-0.0042643924,30.0,0.022052541,0.014905255,0.014899254,-0.0022047772,0.0029624957,-0.021263625,2017-03-07 20:42:52,25.587202862785922
-0.029,0.281,10.302,0.0042643924,0.0,0.0031982942,30.0,0.013216678,-0.0015520081,0.0065746307,-0.0026628636,0.0031960772,-0.021262798,2017-03-07 20:42:53,66.6588756231905
-0.022,0.285,10.323,0.012793177,0.0031982942,0.0010660981,30.0,0.022194952,0.013280738,0.026333809,-0.0027477192,0.0031978823,-0.021262532,2017-03-07 20:42:54,30.58160871214809
-0.025,0.296,10.336,0.0021321962,-0.0031982942,0.0063965884,30.0,0.02738225,0.023782142,0.019758224,-0.002670426,0.003308158,-0.021263093,2017-03-07 20:42:55,70.16197586040553
-0.023,0.285,10.324,0.010660981,0.0,0.0031982942,30.0,0.021396738,0.004043866,0.0023889542,-0.0025795994,0.0033062256,-0.021263395,2017-03-07 20:42:57,52.07952287816417
-0.016,0.296,10.348,-0.0063965884,0.0,0.0,30.0,0.028579328,0.013538122,0.020348549,-0.0025366617,0.0033053118,-0.021263529,2017-03-07 20:42:58,38.70115387921277
-0.035,0.28,10.33,-0.013859275,0.0053304904,-0.0053304904,30.0,0.034963764,0.0092079565,0.016768456,-0.0025658594,0.0034178535,-0.021263706,2017-03-07 20:42:59,63.810419787010005
-0.019,0.28,10.313,0.0010660981,-0.0031982942,0.0042643924,30.0,0.021339498,-0.0031837076,0.015528679,-0.0018697648,0.0035629356,-0.02126647,2017-03-07 20:43:00,49.25793100649039
-0.018,0.299,10.315,-0.014925373,0.0053304904,-0.0063965884,30.0,0.045233913,-0.01901643,0.023292542,-0.0014580861,0.0036128012,-0.021268027,2017-03-07 20:43:01,34.86057401257457
-0.009,0.293,10.309,-0.019189766,0.009594883,-0.0053304904,30.0,0.02637472,-0.00677906,0.017932892,-0.0016524658,0.0037235268,-0.02126748,2017-03-07 20:43:02,70.37845289936827
-0.021,0.293,10.324,-0.014925373,0.010660981,-0.0063965884,30.0,0.042383153,-0.0028633997,0.028782845,-0.0019048202,0.00411795,-0.021267092,2017-03-07 20:43:03,65.60434393006268
-0.027,0.28,10.302,0.008528785,-0.0063965884,0.0,30.0,0.04781721,-0.0041842647,0.0031414032,-0.00244183,0.0044065053,-0.021265393,2017-03-07 20:43:04,64.76458865394586
-0.028,0.277,10.325,0.0010660981,-0.0031982942,-0.0021321962,30.0,0.04312355,0.015464071,0.009176254,-0.0025539391,0.004627402,-0.021265415,2017-03-07 20:43:05,39.067483841644126
-0.007,0.284,10.307,0.0074626864,-0.0031982942,0.0021321962,30.0,0.06287575,0.010695521,8.363724E-4,-0.002921095,0.004635212,-0.021263717,2017-03-07 20:43:06,45.22898792766998
0.008,0.284,10.318,0.012793177,0.0,0.0,30.0,0.057441153,0.0069667175,0.014573097,-0.002546695,0.0046858713,-0.021265658,2017-03-07 20:43:07,58.62720735432242
-0.034,0.29,10.32,-0.0074626864,0.0,-0.0010660981,30.0,0.038733993,0.010531161,0.016389847,-0.0025771386,0.0047398144,-0.021265663,2017-03-07 20:43:08,61.33225170866027
-0.004,0.29,10.33,0.0042643924,-0.0042643924,0.0021321962,30.0,0.070153005,0.018958416,0.02363491,-0.0031709732,0.0048590354,-0.02126306,2017-03-07 20:43:09,40.500590018367944
-0.007,0.293,10.317,0.0053304904,-0.0021321962,0.0053304904,30.0,0.05727922,0.021816425,0.017726898,-0.0034505809,0.0049715717,-0.021262016,2017-03-07 20:43:10,62.39746207596831
-0.035,0.289,10.323,0.0031982942,-0.0031982942,0.0042643924,30.0,0.058875136,0.007142812,0.014126778,-0.0031443285,0.0050769756,-0.021263886,2017-03-07 20:43:11,43.759062296512205
-0.023,0.278,10.309,0.0063965884,-0.0031982942,0.0031982942,30.0,0.062019322,0.013109088,0.020198822,-0.003265715,0.005362017,-0.021264171,2017-03-07 20:43:12,31.30514058782101
-0.031,0.274,10.332,-0.0063965884,0.0031982942,-0.0021321962,30.0,0.088203475,0.031245414,0.028053284,-0.0038233914,0.0054271743,-0.021261357,2017-03-07 20:43:13,67.5241882914486
-0.017,0.287,10.318,0.013859275,-0.0021321962,0.0031982942,30.0,0.05353444,0.024895139,0.009640694,-0.0043549393,0.00571561,-0.021259518,2017-03-07 20:43:14,71.83791357168096
-0.026,0.286,10.314,-0.0021321962,-0.0031982942,0.0031982942,30.0,0.062417377,0.03959535,0.016259193,-0.004400038,0.0058338144,-0.021259727,2017-03-07 20:43:15,58.825109449171904
-0.017,0.269,10.308,0.0,0.0021321962,-0.0053304904,30.0,0.09165103,0.03794466,0.018671036,-0.004343909,0.0059498674,-0.021260625,2017-03-07 20:43:16,30.904502578045282
-0.019,0.278,10.319,0.008528785,-0.0021321962,0.0053304904,30.0,0.07139471,0.02984377,0.014528275,-0.0043229647,0.0061679264,-0.021261686,2017-03-07 20:43:17,35.93984646629347
-0.024,0.278,10.312,0.0031982942,-0.0021321962,0.0042643924,30.0,0.06481068,0.047615767,0.012738228,-0.0043440717,0.006168376,-0.021261556,2017-03-07 20:43:18,29.09265527754257
-0.028,0.282,10.323,0.013859275,-0.0021321962,0.0,30.0,0.08935126,0.028086297,0.0354681,-0.0042638844,0.006166672,-0.021262053,2017-03-07 20:43:19,27.42632322111472
-0.014,0.295,10.316,0.0,-0.0021321962,0.0053304904,30.0,0.073788956,0.023205403,0.014503479,-0.00416763,0.006164625,-0.021262646,2017-03-07 20:43:20,52.79412308663752
